RAPiD_ID,Taxon,Accession
WA01,glob_MR,4190
WA02,glob_pure,1119
WA03,glob_MR,6015
WA04,glob_MR,4118
WA05,cord_MR,4376a
WB01,cord_MR,5506
WB02,glob_MR,6024
WB03,glob_MR,4216
WB04,glob_MR,4220
WB05,glob_pure,1081
WC01,glob_pure,1129
WC02,glob_MR,4223
WC03,glob_MR,4229
WC04,glob_pure,1043
WC05,glob_MR,6029
WD01,glob_pure,1130
WD02,cord_MR,2899a
WD03,glob_pure,1116
WD04,glob_MR,6012
WD05,cord_MR,5502c
WE01,cord_MR,cord5
WE02,glob_MR,4224
WE03,glob_MR,4110
WE04,glob_MR,4207
WE05,glob_MR,2003
WF01,glob_MR,4246
WF02,cord_MR,2897a
WF03,glob_pure,1051
WF04,cord_MR,5504
WF05,glob_pure,1059
WG01,cord_MR,cord3
WG02,cord_MR,5500
WG03,glob_MR,4505
WG04,glob_MR,2025
WG05,glob_MR,4241
WH01,glob_pure,1056
WH02,glob_pure,1128
WH03,glob_MR,4112
WH04,glob_MR,4507
WH05,cord_MR,5509
