Sample Name, Dups %, GC %,M Seqs
S10_R1_raw,19.90,39,56
S10_R2_raw,18.90,39,56
S11_R1_raw,18.80,40,60.3
S11_R2_raw,18.60,40,60.3
S12_R1_raw,21.00,40,53.9
S12_R2_raw,20.00,40,53.9
S13_R1_raw,20.00,40,49.6
S13_R2_raw,18.70,40,49.6
S14_R1_raw,24.10,39,63.5
S14_R2_raw,23.70,39,63.5
S15_R1_raw,21.40,39,75.4
S15_R2_raw,21.10,40,75.4
S16_R1_raw,20.90,39,35.7
S16_R2_raw,19.50,39,35.7
S17_R1_raw,20.30,39,50.1
S17_R2_raw,19.20,39,50.1
S18_R1_raw,16.40,40,40.8
S18_R2_raw,15.90,40,40.8
S19_R1_raw,16.90,40,45.4
S19_R2_raw,16.00,40,45.4
S1_R1_raw,16.10,40,45.6
S1_R2_raw,15.40,40,45.6
S20_R1_raw,16.90,40,44.6
S20_R2_raw,15.90,40,44.6
S21_R1_raw,19.40,40,43.8
S21_R2_raw,18.20,40,43.8
S22_R1_raw,22.70,40,118.1
S22_R2_raw,22.50,40,118.1
S23_R1_raw,17.40,40,53.1
S23_R2_raw,17.10,40,53.1
S24_R1_raw,19.00,39,58.9
S24_R2_raw,18.20,39,58.9
S25_R1_raw,17.10,40,41.9
S25_R2_raw,16.30,40,41.9
S26_R1_raw,17.70,39,60.9
S26_R2_raw,17.10,39,60.9
S27_R1_raw,20.60,39,66.8
S27_R2_raw,19.80,40,66.8
S28_R1_raw,22.30,40,58.2
S28_R2_raw,21.50,40,58.2
S29_R1_raw,17.60,39,53.7
S29_R2_raw,17.10,40,53.7
S2_R1_raw,21.00,39,43.7
S2_R2_raw,20.00,40,43.7
S30_R1_raw,19.50,39,70.5
S30_R2_raw,19.20,39,70.5
S31_R1_raw,21.90,40,88.1
S31_R2_raw,21.70,40,88.1
S320_R1_raw,14.20,40,16.6
S320_R2_raw,12.50,40,16.6
S321_R1_raw,18.40,39,15.8
S321_R2_raw,16.40,40,15.8
S322_R1_raw,17.60,40,20.1
S322_R2_raw,15.90,40,20.1
S323_R1_raw,16.40,40,17.1
S323_R2_raw,14.60,40,17.1
S324_R1_raw,20.00,40,22.6
S324_R2_raw,17.80,40,22.6
S325_R1_raw,19.10,39,16.5
S325_R2_raw,16.70,40,16.5
S326_R1_raw,24.30,39,21.4
S326_R2_raw,21.10,39,21.4
S327_R1_raw,15.80,39,14.8
S327_R2_raw,13.60,40,14.8
S328_R1_raw,15.20,39,18.3
S328_R2_raw,12.60,40,18.3
S329_R1_raw,17.60,39,20.2
S329_R2_raw,15.50,39,20.2
S32_R1_raw,23.00,39,83.4
S32_R2_raw,22.30,40,83.4
S330_R1_raw,16.60,40,21.6
S330_R2_raw,15.30,40,21.6
S331_R1_raw,18.20,40,20.1
S331_R2_raw,16.10,40,20.1
S332_R1_raw,17.20,40,17.2
S332_R2_raw,15.10,40,17.2
S333_R1_raw,21.70,39,23.9
S333_R2_raw,20.10,39,23.9
S334_R1_raw,19.30,39,27.3
S334_R2_raw,17.80,40,27.3
S335_R1_raw,18.90,39,13.5
S335_R2_raw,16.50,39,13.5
S336_R1_raw,17.30,39,17.4
S336_R2_raw,15.10,39,17.4
S337_R1_raw,14.50,40,15.1
S337_R2_raw,13.10,40,15.1
S338_R1_raw,14.60,40,16.5
S338_R2_raw,12.70,40,16.5
S339_R1_raw,14.20,40,16.1
S339_R2_raw,12.10,40,16.1
S33_R1_raw,21.30,39,37.6
S33_R2_raw,20.20,40,37.6
S340_R1_raw,16.40,40,15.3
S340_R2_raw,14.20,40,15.3
S341_R1_raw,19.80,40,39.3
S341_R2_raw,18.60,40,39.3
S342_R1_raw,15.30,39,19.3
S342_R2_raw,14.00,40,19.3
S343_R1_raw,16.90,39,21
S343_R2_raw,14.70,39,21
S344_R1_raw,14.20,39,15.1
S344_R2_raw,12.30,40,15.1
S345_R1_raw,16.10,39,22.9
S345_R2_raw,14.30,40,22.9
S346_R1_raw,17.40,39,22.4
S346_R2_raw,15.40,40,22.4
S347_R1_raw,19.80,39,20.7
S347_R2_raw,17.50,40,20.7
S348_R1_raw,15.30,39,19.8
S348_R2_raw,13.70,40,19.8
S349_R1_raw,17.80,39,24.9
S349_R2_raw,16.40,40,24.9
S34_R1_raw,17.20,39,44
S34_R2_raw,16.60,40,44
S350_R1_raw,19.60,40,31.3
S350_R2_raw,18.10,40,31.3
S351_R1_raw,20.20,39,28.3
S351_R2_raw,18.20,40,28.3
S352_R1_raw,19.40,39,15.1
S352_R2_raw,16.90,40,15.1
