Sample	i7-Barcode	RunSample	Instrument	Run	Flowcell	Lane
WA01	97	S320	A00916	113	H3K2CDSX2	4
WA02	98	S328	A00916	113	H3K2CDSX2	4
WA03	99	S336	A00916	113	H3K2CDSX2	4
WA04	100	S344	A00916	113	H3K2CDSX2	4
WA05	101	S352	A00916	113	H3K2CDSX2	4
WB01	109	S321	A00916	113	H3K2CDSX2	4
WB02	110	S329	A00916	113	H3K2CDSX2	4
WB03	111	S337	A00916	113	H3K2CDSX2	4
WB04	112	S345	A00916	113	H3K2CDSX2	4
WB05	113	S353	A00916	113	H3K2CDSX2	4
WC01	121	S322	A00916	113	H3K2CDSX2	4
WC02	122	S330	A00916	113	H3K2CDSX2	4
WC03	123	S338	A00916	113	H3K2CDSX2	4
WC04	124	S346	A00916	113	H3K2CDSX2	4
WC05	125	S354	A00916	113	H3K2CDSX2	4
WD01	133	S323	A00916	113	H3K2CDSX2	4
WD02	134	S331	A00916	113	H3K2CDSX2	4
WD03	135	S339	A00916	113	H3K2CDSX2	4
WD04	136	S347	A00916	113	H3K2CDSX2	4
WD05	137	S355	A00916	113	H3K2CDSX2	4
WE01	145	S324	A00916	113	H3K2CDSX2	4
WE02	146	S332	A00916	113	H3K2CDSX2	4
WE03	147	S340	A00916	113	H3K2CDSX2	4
WE04	148	S348	A00916	113	H3K2CDSX2	4
WE05	149	S356	A00916	113	H3K2CDSX2	4
WF01	157	S325	A00916	113	H3K2CDSX2	4
WF02	158	S333	A00916	113	H3K2CDSX2	4
WF03	159	S341	A00916	113	H3K2CDSX2	4
WF04	160	S349	A00916	113	H3K2CDSX2	4
WF05	161	S357	A00916	113	H3K2CDSX2	4
WG01	169	S326	A00916	113	H3K2CDSX2	4
WG02	170	S334	A00916	113	H3K2CDSX2	4
WG03	171	S342	A00916	113	H3K2CDSX2	4
WG04	172	S350	A00916	113	H3K2CDSX2	4
WG05	173	S358	A00916	113	H3K2CDSX2	4
WH01	181	S327	A00916	113	H3K2CDSX2	4
WH02	182	S335	A00916	113	H3K2CDSX2	4
WH03	183	S343	A00916	113	H3K2CDSX2	4
WH04	184	S351	A00916	113	H3K2CDSX2	4
WH05	185	S359	A00916	113	H3K2CDSX2	4
WA01	97	S1	A01443	18	HCVN2DSX2	2
WA02	98	S9	A01443	18	HCVN2DSX2	2
WA03	99	S17	A01443	18	HCVN2DSX2	2
WA04	100	S25	A01443	18	HCVN2DSX2	2
WA05	101	S33	A01443	18	HCVN2DSX2	2
WB01	109	S2	A01443	18	HCVN2DSX2	2
WB02	110	S10	A01443	18	HCVN2DSX2	2
WB03	111	S18	A01443	18	HCVN2DSX2	2
WB04	112	S26	A01443	18	HCVN2DSX2	2
WB05	113	S34	A01443	18	HCVN2DSX2	2
WC01	121	S3	A01443	18	HCVN2DSX2	2
WC02	122	S11	A01443	18	HCVN2DSX2	2
WC03	123	S19	A01443	18	HCVN2DSX2	2
WC04	124	S27	A01443	18	HCVN2DSX2	2
WC05	125	S35	A01443	18	HCVN2DSX2	2
WD01	133	S4	A01443	18	HCVN2DSX2	2
WD02	134	S12	A01443	18	HCVN2DSX2	2
WD03	135	S20	A01443	18	HCVN2DSX2	2
WD04	136	S28	A01443	18	HCVN2DSX2	2
WD05	137	S36	A01443	18	HCVN2DSX2	2
WE01	145	S5	A01443	18	HCVN2DSX2	2
WE02	146	S13	A01443	18	HCVN2DSX2	2
WE03	147	S21	A01443	18	HCVN2DSX2	2
WE04	148	S29	A01443	18	HCVN2DSX2	2
WE05	149	S37	A01443	18	HCVN2DSX2	2
WF01	157	S6	A01443	18	HCVN2DSX2	2
WF02	158	S14	A01443	18	HCVN2DSX2	2
WF03	159	S22	A01443	18	HCVN2DSX2	2
WF04	160	S30	A01443	18	HCVN2DSX2	2
WF05	161	S38	A01443	18	HCVN2DSX2	2
WG01	169	S7	A01443	18	HCVN2DSX2	2
WG02	170	S15	A01443	18	HCVN2DSX2	2
WG03	171	S23	A01443	18	HCVN2DSX2	2
WG04	172	S31	A01443	18	HCVN2DSX2	2
WG05	173	S39	A01443	18	HCVN2DSX2	2
WH01	181	S8	A01443	18	HCVN2DSX2	2
WH02	182	S16	A01443	18	HCVN2DSX2	2
WH03	183	S24	A01443	18	HCVN2DSX2	2
WH04	184	S32	A01443	18	HCVN2DSX2	2
WH05	185	S40	A01443	18	HCVN2DSX2	2
