# This file was produced by bcftools stats (1.15+htslib-1.15) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  all_to_ASM1654582_raw.vcf
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	all_to_ASM1654582_raw.vcf
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	40
SN	0	number of records:	63132698
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	56830000
SN	0	number of MNPs:	9853912
SN	0	number of indels:	3938884
SN	0	number of others:	2523882
SN	0	number of multiallelic sites:	11957079
SN	0	number of multiallelic SNP sites:	2811241
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	30488919	22168022	1.38	27102792	19438087	1.39
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	2600444	1528544	1071900	220288	0	0	220288
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	29200968	14679135	14521833	1763617	0	0	1763617
AF	0	0.020000	3913981	2557785	1356196	361787	0	0	361787
AF	0	0.030000	1593400	1020721	572679	173584	0	0	173584
AF	0	0.040000	1324341	869263	455078	152474	0	0	152474
AF	0	0.050000	937830	633775	304055	79662	0	0	79662
AF	0	0.060000	920371	605360	315011	111851	0	0	111851
AF	0	0.070000	1077501	720409	357092	123693	0	0	123693
AF	0	0.080000	700754	467795	232959	85187	0	0	85187
AF	0	0.090000	758949	509465	249484	89828	0	0	89828
AF	0	0.100000	300602	206983	93619	28750	0	0	28750
AF	0	0.110000	552005	370689	181316	68603	0	0	68603
AF	0	0.120000	558712	377053	181659	68568	0	0	68568
AF	0	0.130000	413415	279434	133981	53194	0	0	53194
AF	0	0.140000	430275	291298	138977	54142	0	0	54142
AF	0	0.150000	226794	157262	69532	22752	0	0	22752
AF	0	0.160000	339674	229671	110003	44842	0	0	44842
AF	0	0.170000	320509	217670	102839	42581	0	0	42581
AF	0	0.180000	291614	198284	93330	37726	0	0	37726
AF	0	0.190000	329238	224993	104245	42182	0	0	42182
AF	0	0.200000	118797	82643	36154	13083	0	0	13083
AF	0	0.210000	201456	136916	64540	28272	0	0	28272
AF	0	0.220000	280177	191649	88528	36483	0	0	36483
AF	0	0.230000	179179	122690	56489	24950	0	0	24950
AF	0	0.240000	293468	200170	93298	38327	0	0	38327
AF	0	0.250000	139646	95131	44515	20686	0	0	20686
AF	0	0.260000	88792	62026	26766	10222	0	0	10222
AF	0	0.270000	192150	132271	59879	26181	0	0	26181
AF	0	0.280000	154219	105686	48533	21447	0	0	21447
AF	0	0.290000	156917	108003	48914	21891	0	0	21891
AF	0	0.300000	141537	97484	44053	19636	0	0	19636
AF	0	0.310000	63051	44153	18898	7619	0	0	7619
AF	0	0.320000	93094	63690	29404	14286	0	0	14286
AF	0	0.330000	202782	139671	63111	27083	0	0	27083
AF	0	0.340000	123552	85328	38224	17695	0	0	17695
AF	0	0.350000	95247	65394	29853	14212	0	0	14212
AF	0	0.360000	62065	43611	18454	7635	0	0	7635
AF	0	0.370000	120391	83097	37294	17417	0	0	17417
AF	0	0.380000	98034	67651	30383	14691	0	0	14691
AF	0	0.390000	125864	86999	38865	18182	0	0	18182
AF	0	0.400000	87341	60468	26873	13293	0	0	13293
AF	0	0.410000	49363	34697	14666	6441	0	0	6441
AF	0	0.420000	101473	70173	31300	15019	0	0	15019
AF	0	0.430000	72809	50433	22376	11436	0	0	11436
AF	0	0.440000	96006	66529	29477	14565	0	0	14565
AF	0	0.450000	92769	64418	28351	14174	0	0	14174
AF	0	0.460000	45548	32307	13241	6234	0	0	6234
AF	0	0.470000	69622	48241	21381	10996	0	0	10996
AF	0	0.480000	52310	36121	16189	8877	0	0	8877
AF	0	0.490000	199636	138805	60831	28809	0	0	28809
AF	0	0.500000	45406	31243	14163	8059	0	0	8059
AF	0	0.510000	64387	44961	19426	10699	0	0	10699
AF	0	0.520000	39267	27840	11427	5950	0	0	5950
AF	0	0.530000	62576	43696	18880	10635	0	0	10635
AF	0	0.540000	70317	49080	21237	11812	0	0	11812
AF	0	0.550000	73831	51718	22113	12395	0	0	12395
AF	0	0.560000	72690	50825	21865	12092	0	0	12092
AF	0	0.570000	36135	25767	10368	5748	0	0	5748
AF	0	0.580000	56612	39585	17027	10085	0	0	10085
AF	0	0.590000	82784	57913	24871	14068	0	0	14068
AF	0	0.600000	61079	42871	18208	11064	0	0	11064
AF	0	0.610000	69912	49212	20700	12397	0	0	12397
AF	0	0.620000	20601	14749	5852	3585	0	0	3585
AF	0	0.630000	63097	44361	18736	11650	0	0	11650
AF	0	0.640000	61879	43500	18379	11460	0	0	11460
AF	0	0.650000	34481	23882	10599	6676	0	0	6676
AF	0	0.660000	120006	84393	35613	21204	0	0	21204
AF	0	0.670000	24468	17647	6821	4586	0	0	4586
AF	0	0.680000	56872	40071	16801	10892	0	0	10892
AF	0	0.690000	67362	47221	20141	13162	0	0	13162
AF	0	0.700000	64219	45057	19162	12285	0	0	12285
AF	0	0.710000	57627	40384	17243	11330	0	0	11330
AF	0	0.720000	39157	28135	11022	8122	0	0	8122
AF	0	0.730000	46639	32586	14053	9296	0	0	9296
AF	0	0.740000	111053	77891	33162	21236	0	0	21236
AF	0	0.750000	46895	33225	13670	10094	0	0	10094
AF	0	0.760000	53990	38235	15755	11663	0	0	11663
AF	0	0.770000	58815	41626	17189	13013	0	0	13013
AF	0	0.780000	23883	17296	6587	5803	0	0	5803
AF	0	0.790000	79264	56400	22864	17285	0	0	17285
AF	0	0.800000	42661	30135	12526	9754	0	0	9754
AF	0	0.810000	63713	45485	18228	14818	0	0	14818
AF	0	0.820000	66075	46587	19488	14839	0	0	14839
AF	0	0.830000	29523	21312	8211	7668	0	0	7668
AF	0	0.840000	70223	49956	20267	16880	0	0	16880
AF	0	0.850000	48930	34867	14063	12026	0	0	12026
AF	0	0.860000	67295	47982	19313	16439	0	0	16439
AF	0	0.870000	45910	32497	13413	11097	0	0	11097
AF	0	0.880000	44129	31907	12222	12210	0	0	12210
AF	0	0.890000	63343	45177	18166	16085	0	0	16085
AF	0	0.900000	72328	51374	20954	18555	0	0	18555
AF	0	0.910000	78572	55586	22986	21183	0	0	21183
AF	0	0.920000	60000	42583	17417	14726	0	0	14726
AF	0	0.930000	48137	34489	13648	15369	0	0	15369
AF	0	0.940000	73064	51880	21184	18927	0	0	18927
AF	0	0.950000	74343	52523	21820	18370	0	0	18370
AF	0	0.960000	110001	77410	32591	33568	0	0	33568
AF	0	0.970000	65783	46227	19556	11748	0	0	11748
AF	0	0.990000	1779379	1216072	563307	324571	0	0	324571
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	0.0	32768592	17876269	14892323	2030802
QUAL	0	0.1	171856	114654	57202	34943
QUAL	0	0.2	99740	66965	32775	18535
QUAL	0	0.3	64893	43422	21471	17111
QUAL	0	0.4	51365	34612	16753	12824
QUAL	0	0.5	44094	29710	14384	10230
QUAL	0	0.6	44218	29668	14550	9725
QUAL	0	0.7	33001	22153	10848	7691
QUAL	0	0.8	27003	18229	8774	6587
QUAL	0	0.9	29812	20098	9714	5945
QUAL	0	1.0	22160	14933	7227	5486
QUAL	0	1.1	20864	14063	6801	5240
QUAL	0	1.2	20052	13418	6634	4619
QUAL	0	1.3	17843	12073	5770	4031
QUAL	0	1.4	16548	11122	5426	4040
QUAL	0	1.5	15967	10793	5174	4119
QUAL	0	1.6	14375	9669	4706	3438
QUAL	0	1.7	13585	9123	4462	3212
QUAL	0	1.8	13611	9158	4453	3166
QUAL	0	1.9	12696	8629	4067	3073
QUAL	0	2.0	11873	8093	3780	2741
QUAL	0	2.1	11170	7508	3662	3205
QUAL	0	2.2	11601	7896	3705	2591
QUAL	0	2.3	11168	7573	3595	2438
QUAL	0	2.4	12259	8373	3886	2432
QUAL	0	2.5	10141	6778	3363	2165
QUAL	0	2.6	9487	6521	2966	2166
QUAL	0	2.7	9688	6602	3086	2027
QUAL	0	2.8	9734	6626	3108	1995
QUAL	0	2.9	10064	6797	3267	1920
QUAL	0	3.0	9198	6307	2891	1675
QUAL	0	3.1	8412	5671	2741	1589
QUAL	0	3.2	7857	5423	2434	1475
QUAL	0	3.3	8558	5730	2828	1458
QUAL	0	3.4	7995	5454	2541	1417
QUAL	0	3.5	7577	5206	2371	1282
QUAL	0	3.6	7215	4850	2365	1247
QUAL	0	3.7	7286	5015	2271	1327
QUAL	0	3.8	7096	4885	2211	1118
QUAL	0	3.9	7405	5024	2381	1067
QUAL	0	4.0	7081	4769	2312	1061
QUAL	0	4.1	6858	4612	2246	1051
QUAL	0	4.2	6671	4559	2112	1040
QUAL	0	4.3	7022	4772	2250	969
QUAL	0	4.4	6610	4526	2084	886
QUAL	0	4.5	6554	4525	2029	926
QUAL	0	4.6	6367	4335	2032	876
QUAL	0	4.7	6374	4423	1951	816
QUAL	0	4.8	8228	5561	2667	908
QUAL	0	4.9	6481	4403	2078	889
QUAL	0	5.0	6092	4129	1963	833
QUAL	0	5.1	6267	4261	2006	757
QUAL	0	5.2	5836	4012	1824	772
QUAL	0	5.3	6051	4166	1885	740
QUAL	0	5.4	5718	3960	1758	706
QUAL	0	5.5	5632	3818	1814	632
QUAL	0	5.6	5933	4015	1918	701
QUAL	0	5.7	5761	3903	1858	673
QUAL	0	5.8	5828	3916	1912	671
QUAL	0	5.9	5562	3749	1813	628
QUAL	0	6.0	5527	3763	1764	624
QUAL	0	6.1	5334	3647	1687	627
QUAL	0	6.2	5154	3451	1703	613
QUAL	0	6.3	5351	3630	1721	619
QUAL	0	6.4	5176	3561	1615	595
QUAL	0	6.5	5405	3713	1692	632
QUAL	0	6.6	5340	3642	1698	583
QUAL	0	6.7	5079	3434	1645	556
QUAL	0	6.8	5441	3694	1747	618
QUAL	0	6.9	4979	3382	1597	555
QUAL	0	7.0	4926	3365	1561	573
QUAL	0	7.1	4923	3359	1564	551
QUAL	0	7.2	4906	3292	1614	517
QUAL	0	7.3	5073	3496	1577	543
QUAL	0	7.4	4621	3166	1455	513
QUAL	0	7.5	4697	3200	1497	513
QUAL	0	7.6	4823	3263	1560	502
QUAL	0	7.7	4780	3239	1541	504
QUAL	0	7.8	4883	3314	1569	518
QUAL	0	7.9	4679	3241	1438	517
QUAL	0	8.0	4671	3168	1503	506
QUAL	0	8.1	4739	3258	1481	482
