Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
growth	Round_1_Replicate_1	-108912.66	217829.32	203191.67	842319.16	0.2657,2.2352
growth	Round_1_Replicate_2	-66655.82	133315.64	121971.14	424637.1	0.3407,0.4922
growth	Round_1_Replicate_3	-175342.17	350688.34	337108.57	245429.8	2.5954,0.0926
growth	Round_1_Replicate_4	-322346.31	644696.62	707209.22	145064.73	4.9343,1.0311
growth	Round_1_Replicate_5	-120925.22	241854.44	227521.65	1925651.2	0.1253,2.5579
growth	Round_1_Replicate_6	-249155.01	498314.02	503116.49	203224.96	3.7527,0.3278
growth	Round_1_Replicate_7	-125749.46	251502.92	237445.24	1539180.51	0.1612,3.7843
growth	Round_1_Replicate_8	-109196.89	218397.78	204269.08	309001.85	0.6972,0.6034
growth	Round_1_Replicate_9	-129684.23	259372.46	245600.42	2055531.83	0.1234,4.6669
growth	Round_1_Replicate_10	-222832.05	445668.1	449677.49	201768.73	2.3181,0.6016
growth	Round_1_Replicate_11	-320790.62	641585.24	710473.92	126239.03	5.0494,1.5859
growth	Round_1_Replicate_12	-224783.62	449571.24	445695.77	216878.78	3.2517,0.2495
growth	Round_1_Replicate_13	-104848.35	209700.7	195925.32	307405.42	0.6586,0.4274
growth	Round_1_Replicate_14	-119428.5	238861.0	224464.66	694051.99	0.3444,3.3143
growth	Round_1_Replicate_15	-139950.02	279904.04	267111.0	263254.25	1.0215,0.8542
growth	Round_2_Replicate_1	-28882.96	57769.92	52692.25	816889.17	0.0927,0.3179
growth	Round_2_Replicate_2	-55837.63	111679.26	101593.62	692037.44	0.1934,0.647
growth	Round_2_Replicate_3	-142544.1	285092.2	272227.3	262657.25	1.0666,0.1974
growth	Round_2_Replicate_4	-25004.85	50013.7	45781.68	659976.05	0.0936,0.232
growth	Round_2_Replicate_5	-36802.8	73609.6	67009.35	629625.1	0.1446,0.3568
growth	Round_2_Replicate_6	-107392.55	214789.1	200906.77	304935.65	0.6827,0.4582
growth	Round_2_Replicate_7	-46775.36	93554.72	84967.4	949955.61	0.124,0.5608
growth	Round_2_Replicate_8	-50125.71	100255.42	91218.69	563912.87	0.2109,0.4832
growth	Round_2_Replicate_9	-144968.46	289940.92	277760.03	252569.93	1.0947,1.3774
growth	Round_2_Replicate_10	-41875.1	83754.2	76252.16	549634.68	0.1808,0.3631
growth	Round_2_Replicate_11	-88003.15	176010.3	162128.98	588855.02	0.3239,1.27
growth	Round_2_Replicate_12	-41223.27	82450.54	74909.61	866018.21	0.1216,0.4796
growth	Round_2_Replicate_13	-143335.57	286675.14	273669.91	262485.05	1.1029,0.123
growth	Round_2_Replicate_14	-70627.25	141258.5	129003.4	926569.65	0.1759,0.9398
growth	Round_2_Replicate_15	-17687.2	35378.4	32565.02	1482168.58	0.0328,0.2036
growth	Round_2_Replicate_16	-76618.56	153241.12	140316.54	811930.09	0.213,1.06
growth	Round_2_Replicate_17	-123371.83	246747.66	232650.43	300432.04	0.8091,1.2534
growth	Round_2_Replicate_18	-104771.11	209546.22	195720.86	308718.76	0.6585,0.4489
growth	Round_2_Replicate_19	-25491.24	50986.48	46615.59	767925.61	0.0861,0.2681
growth	Round_2_Replicate_20	-114211.49	228426.98	214210.36	304945.27	0.7402,0.7326
growth	Round_2_Replicate_21	-139070.58	278145.16	265169.92	265238.2	1.0175,0.1247
growth	Round_2_Replicate_22	-145208.94	290421.88	277656.17	260717.26	1.1066,0.2072
growth	Round_2_Replicate_23	-83923.84	167851.68	154223.91	919902.67	0.2016,1.2301
growth	Round_2_Replicate_24	-124444.35	248892.7	234850.38	297818.36	0.8218,1.269
growth	Round_2_Replicate_25	-62658.88	125321.76	114127.65	987160.69	0.1509,0.7978
growth	Round_2_Replicate_26	-81226.15	162456.3	149065.4	900752.4	0.2009,1.1658
growth	Round_2_Replicate_27	-142222.8	284449.6	271318.06	263412.69	1.1198,0.0692
growth	Round_2_Replicate_28	-37094.14	74192.28	67460.8	821779.99	0.1164,0.4201
growth	Round_2_Replicate_29	-39839.8	79683.6	72455.15	693946.26	0.144,0.423
growth	Round_2_Replicate_30	-67158.89	134321.78	122521.79	849978.05	0.1841,0.8734
growth	Round_3_Replicate_1	-7637.23	15278.46	14382.77	926673.64	0.0111,0.0503
growth	Round_3_Replicate_2	-7700.89	15405.78	14497.33	1199950.21	0.0101,0.0595
growth	Round_3_Replicate_3	-17268.28	34540.56	31820.73	1092144.74	0.0421,0.1969
growth	Round_3_Replicate_4	-8310.15	16624.3	15612.0	1151570.11	0.0126,0.0697
growth	Round_3_Replicate_5	-19875.57	39755.14	36514.09	930148.93	0.0566,0.2215
growth	Round_3_Replicate_6	-8847.49	17698.98	16600.12	810494.95	0.0168,0.0616
growth	Round_3_Replicate_7	-8844.18	17692.36	16590.73	897935.42	0.0167,0.0693
growth	Round_3_Replicate_8	-11426.7	22857.4	21279.78	1290837.39	0.0211,0.1208
growth	Round_3_Replicate_9	-7938.75	15881.5	14933.26	1093753.2	0.0117,0.062
growth	Round_3_Replicate_10	-20029.89	40063.78	36775.66	1252475.98	0.0439,0.2338
growth	Round_3_Replicate_11	-53572.33	107148.66	97362.32	1086836.7	0.1215,0.656
growth	Round_3_Replicate_12	-35478.58	70961.16	64536.02	899129.55	0.103,0.4098
growth	Round_3_Replicate_13	-53227.86	106459.72	96781.56	762849.13	0.1697,0.6293
growth	Round_3_Replicate_14	-7580.0	15164.0	14277.58	950276.27	0.0108,0.0505
growth	Round_3_Replicate_15	-24746.9	49497.8	45246.21	1030282.05	0.065,0.2871
growth	Round_3_Replicate_16	-7768.2	15540.4	14620.89	1128407.92	0.0108,0.0596
growth	Round_3_Replicate_17	-9471.5	18947.0	17733.8	928705.22	0.0193,0.0813
growth	Round_3_Replicate_18	-9633.94	19271.88	18025.28	1229458.39	0.0164,0.0929
growth	Round_3_Replicate_19	-9876.31	19756.62	18509.16	621929.5	0.0148,0.0374
growth	Round_3_Replicate_20	-10539.31	21082.62	19671.52	1167485.84	0.0201,0.1062
growth	Round_3_Replicate_21	-11104.85	22213.7	20699.96	1034678.03	0.0241,0.1113
growth	Round_3_Replicate_22	-7818.09	15640.18	14717.6	795442.65	0.0113,0.0428
growth	Round_3_Replicate_23	-13751.37	27506.74	25491.61	946023.1	0.0356,0.1441
growth	Round_3_Replicate_24	-7421.14	14846.28	13987.01	898495.58	0.0101,0.0447
growth	Round_3_Replicate_25	-9811.26	19626.52	18363.82	739878.03	0.0211,0.0666
growth	Round_3_Replicate_26	-8208.89	16421.78	15435.81	754086.5	0.0127,0.0439
growth	Round_3_Replicate_27	-8170.44	16344.88	15356.86	1119392.41	0.0124,0.0667
growth	Round_3_Replicate_28	-16957.09	33918.18	31262.83	1048927.28	0.0427,0.1915
growth	Round_3_Replicate_29	-11599.97	23203.94	21593.47	1310186.45	0.0213,0.1234
growth	Round_3_Replicate_30	-11614.61	23233.22	21622.89	1089433.61	0.0249,0.1205
growth	Round_3_Replicate_31	-34418.78	68841.56	62594.18	1338771.58	0.0689,0.4028
growth	Round_3_Replicate_32	-26280.04	52564.08	47996.34	1024436.0	0.0693,0.3055
growth	Round_3_Replicate_33	-7678.26	15360.52	14457.05	1005123.23	0.0111,0.0546
growth	Round_3_Replicate_34	-17487.86	34979.72	32254.65	716933.83	0.0581,0.1615
growth	Round_3_Replicate_35	-11318.49	22640.98	21091.19	913715.64	0.0271,0.1081
growth	Round_3_Replicate_36	-12167.21	24338.42	22622.39	1146638.6	0.0257,0.1298
growth	Round_3_Replicate_37	-13953.15	27910.3	25946.81	581033.81	0.0357,0.072
growth	Round_3_Replicate_38	-11509.04	23022.08	21428.81	1305871.0	0.0211,0.1221
growth	Round_3_Replicate_39	-9378.52	18761.04	17560.77	1168446.13	0.0163,0.088
growth	Round_3_Replicate_40	-29851.05	59706.1	54425.29	845786.71	0.0929,0.334
growth	Round_3_Replicate_41	-33615.76	67235.52	61180.54	917818.93	0.0964,0.3883
growth	Round_3_Replicate_42	-56460.09	112924.18	102771.58	622508.54	0.2151,0.6212
growth	Round_3_Replicate_43	-7628.39	15260.78	14364.84	1131246.78	0.0102,0.0571
growth	Round_3_Replicate_44	-7744.33	15492.66	14581.41	821891.61	0.0113,0.0443
growth	Round_3_Replicate_45	-20249.51	40503.02	37179.5	1013669.97	0.0537,0.2314
growth	Round_3_Replicate_46	-14719.2	29442.4	27243.57	862951.05	0.0416,0.1502
growth	Round_3_Replicate_47	-8346.65	16697.3	15683.13	852174.64	0.0145,0.0575
growth	Round_3_Replicate_48	-7455.16	14914.32	14048.29	991900.55	0.0102,0.05
growth	Round_3_Replicate_49	-7426.57	14857.14	13996.19	957884.64	0.0101,0.048
growth	Round_3_Replicate_50	-47134.94	94273.88	85641.69	828263.6	0.142,0.554
growth	Round_4_Replicate_1	-7399.39	14802.78	13946.59	936324.09	0.01,0.0464
growth	Round_4_Replicate_2	-7409.12	14822.24	13964.52	929230.8	0.01,0.0462
growth	Round_4_Replicate_3	-7403.21	14810.42	13953.63	933815.55	0.01,0.0464
growth	Round_4_Replicate_4	-7401.08	14806.16	13949.94	916504.32	0.01,0.0454
growth	Round_4_Replicate_5	-7401.41	14806.82	13950.55	915760.52	0.01,0.0453
growth	Round_4_Replicate_6	-7404.38	14812.76	13955.5	956619.24	0.01,0.0475
growth	Round_4_Replicate_7	-7402.07	14808.14	13951.49	936529.73	0.01,0.0465
growth	Round_4_Replicate_8	-7409.86	14823.72	13966.03	917424.94	0.01,0.0456
growth	Round_4_Replicate_9	-7406.3	14816.6	13959.33	929581.58	0.01,0.0462
growth	Round_4_Replicate_10	-7408.24	14820.48	13962.76	939632.67	0.01,0.0468
growth	Round_4_Replicate_11	-7402.75	14809.5	13952.57	951141.88	0.01,0.0472
growth	Round_4_Replicate_12	-7403.17	14810.34	13953.9	907766.29	0.01,0.0449
growth	Round_4_Replicate_13	-7408.9	14821.8	13964.47	903586.79	0.01,0.0447
growth	Round_4_Replicate_14	-7399.75	14803.5	13947.27	934024.24	0.01,0.0463
growth	Round_4_Replicate_15	-7404.44	14812.88	13955.95	926938.25	0.01,0.046
growth	Round_4_Replicate_16	-7401.41	14806.82	13950.21	942865.29	0.01,0.0468
growth	Round_4_Replicate_17	-7402.84	14809.68	13952.94	933756.15	0.01,0.0464
growth	Round_4_Replicate_18	-7400.77	14805.54	13949.0	946621.11	0.01,0.047
growth	Round_4_Replicate_19	-7412.41	14828.82	13971.16	888368.28	0.01,0.0438
growth	Round_4_Replicate_20	-7399.71	14803.42	13947.13	939177.53	0.01,0.0466
growth	Round_4_Replicate_21	-7402.36	14808.72	13952.27	917769.89	0.01,0.0455
growth	Round_4_Replicate_22	-7430.1	14864.2	14002.44	980173.63	0.0101,0.0491
growth	Round_4_Replicate_23	-7401.63	14807.26	13950.86	922303.87	0.01,0.0457
growth	Round_4_Replicate_24	-7402.35	14808.7	13951.81	953535.11	0.01,0.0474
growth	Round_4_Replicate_25	-7399.6	14803.2	13946.93	939062.88	0.01,0.0466
growth	Round_4_Replicate_26	-7415.54	14835.08	13975.8	973972.82	0.01,0.0485
growth	Round_4_Replicate_27	-7407.07	14818.14	13960.81	925103.79	0.01,0.046
growth	Round_4_Replicate_28	-7401.7	14807.4	13950.87	932417.02	0.01,0.0463
growth	Round_4_Replicate_29	-7405.53	14815.06	13957.78	941451.31	0.01,0.0468
growth	Round_4_Replicate_30	-7401.03	14806.06	13949.76	922813.77	0.01,0.0457
growth	Round_4_Replicate_31	-7399.65	14803.3	13947.14	929732.39	0.01,0.0461
growth	Round_4_Replicate_32	-7400.1	14804.2	13948.1	919478.41	0.01,0.0455
growth	Round_4_Replicate_33	-7455.58	14915.16	14048.73	1032087.31	0.01,0.0514
growth	Round_4_Replicate_34	-7400.71	14805.42	13948.98	937908.65	0.01,0.0465
growth	Round_4_Replicate_35	-7403.05	14810.1	13953.33	933205.54	0.01,0.0463
growth	Round_4_Replicate_36	-7436.92	14877.84	14014.68	1012446.2	0.01,0.0504
growth	Round_4_Replicate_37	-7404.37	14812.74	13955.58	947409.98	0.01,0.0471
growth	Round_4_Replicate_38	-7401.33	14806.66	13950.03	945978.15	0.01,0.047
growth	Round_4_Replicate_39	-7418.58	14841.16	13981.24	988625.98	0.01,0.0492
growth	Round_4_Replicate_40	-7410.27	14824.54	13966.8	915274.81	0.01,0.0455
growth	Round_4_Replicate_41	-7405.26	14814.52	13957.64	913379.08	0.01,0.0453
growth	Round_4_Replicate_42	-7406.74	14817.48	13960.37	913237.56	0.01,0.0453
growth	Round_4_Replicate_43	-7400.49	14804.98	13948.52	943636.56	0.01,0.0468
growth	Round_4_Replicate_44	-7415.81	14835.62	13977.46	884336.48	0.01,0.0436
growth	Round_4_Replicate_45	-7400.99	14805.98	13949.79	914798.11	0.01,0.0453
growth	Round_4_Replicate_46	-7399.49	14802.98	13946.81	933197.41	0.01,0.0463
growth	Round_4_Replicate_47	-7409.46	14822.92	13965.56	899326.31	0.01,0.0445
growth	Round_4_Replicate_48	-7400.54	14805.08	13948.61	943378.68	0.01,0.0468
growth	Round_4_Replicate_49	-7402.87	14809.74	13953.11	924026.34	0.01,0.0458
growth	Round_4_Replicate_50	-7409.41	14822.82	13965.02	931150.35	0.01,0.0464
growth	Round_4_Replicate_51	-7399.25	14802.5	13946.33	934996.84	0.01,0.0464
growth	Round_4_Replicate_52	-7400.27	14804.54	13948.29	928390.27	0.01,0.046
growth	Round_4_Replicate_53	-7401.17	14806.34	13950.13	913931.83	0.01,0.0452
growth	Round_4_Replicate_54	-7400.5	14805.0	13948.69	929883.95	0.01,0.0461
growth	Round_4_Replicate_55	-7412.83	14829.66	13971.17	941882.92	0.0101,0.047
growth	Round_4_Replicate_56	-7405.64	14815.28	13958.53	900482.59	0.01,0.0445
growth	Round_4_Replicate_57	-7402.32	14808.64	13952.22	916063.0	0.01,0.0454
growth	Round_4_Replicate_58	-7408.27	14820.54	13963.03	924191.28	0.01,0.046
growth	Round_4_Replicate_59	-7408.37	14820.74	13963.3	917513.54	0.01,0.0456
growth	Round_4_Replicate_60	-7402.44	14808.88	13951.99	951816.49	0.01,0.0473
growth	Round_4_Replicate_61	-7399.19	14802.38	13946.32	927981.81	0.01,0.046
growth	Round_4_Replicate_62	-7407.39	14818.78	13960.96	962973.0	0.01,0.0479
growth	Round_4_Replicate_63	-7403.75	14811.5	13954.79	919887.34	0.01,0.0456
growth	Round_4_Replicate_64	-7400.96	14805.92	13949.42	939663.41	0.01,0.0466
growth	Round_4_Replicate_65	-7401.39	14806.78	13950.41	923728.79	0.01,0.0458
growth	Round_4_Replicate_66	-7407.97	14819.94	13962.3	938253.47	0.01,0.0467
growth	Round_4_Replicate_67	-7402.63	14809.26	13952.63	928325.95	0.01,0.0461
growth	Round_4_Replicate_68	-7403.05	14810.1	13953.68	907218.99	0.01,0.0449
