Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
two_epoch	Round_1_Replicate_1	-138121.92	276247.84	263278.47	662510.32	0.4013,3.9034
two_epoch	Round_1_Replicate_2	-138135.7	276275.4	263307.83	683542.66	0.3889,4.876
two_epoch	Round_1_Replicate_3	-66412.4	132828.8	120926.16	511286.64	0.3178,0.2849
two_epoch	Round_1_Replicate_4	-207614.17	415232.34	423192.69	81478.52	4.1482,3.9337
two_epoch	Round_1_Replicate_5	-265890.64	531785.28	539538.99	199919.94	3.5637,0.2055
two_epoch	Round_1_Replicate_6	-158562.95	317129.9	307780.81	58572.79	4.9335,9.7581
two_epoch	Round_1_Replicate_7	-81218.99	162441.98	148800.21	483507.49	0.3884,0.3926
two_epoch	Round_1_Replicate_8	-137622.27	275248.54	262215.04	405095.19	0.6548,3.3537
two_epoch	Round_1_Replicate_9	-241756.58	483517.16	477256.53	214857.47	4.5792,0.1248
two_epoch	Round_1_Replicate_10	-131301.44	262606.88	248858.39	326726.89	0.7886,1.4263
two_epoch	Round_1_Replicate_11	-340864.24	681732.48	748663.93	159288.71	4.2396,0.4393
two_epoch	Round_1_Replicate_12	-162997.19	325998.38	317699.73	104546.13	2.8097,4.4746
two_epoch	Round_1_Replicate_13	-138188.97	276381.94	263421.28	166172.58	1.6003,11.3209
two_epoch	Round_1_Replicate_14	-138144.56	276293.12	263326.71	260880.24	1.0191,6.0781
two_epoch	Round_1_Replicate_15	-138136.64	276277.28	263309.84	1837114.65	0.1447,5.4597
two_epoch	Round_2_Replicate_1	-34841.89	69687.78	63567.97	482616.36	0.1792,0.0892
two_epoch	Round_2_Replicate_2	-105465.95	210935.9	196026.81	519414.51	0.4315,0.7055
two_epoch	Round_2_Replicate_3	-146254.99	292513.98	280609.55	254248.07	1.0868,0.4977
two_epoch	Round_2_Replicate_4	-111594.02	223192.04	208492.54	315827.62	0.7301,0.4221
two_epoch	Round_2_Replicate_5	-118986.69	237977.38	223472.64	301279.94	0.7994,0.4622
two_epoch	Round_2_Replicate_6	-52946.31	105896.62	96128.53	521298.12	0.2611,0.2015
two_epoch	Round_2_Replicate_7	-93744.67	187493.34	172933.88	466652.52	0.4441,0.5177
two_epoch	Round_2_Replicate_8	-45146.62	90297.24	81863.66	686231.72	0.1779,0.186
two_epoch	Round_2_Replicate_9	-38753.79	77511.58	70413.08	547178.95	0.1906,0.1326
two_epoch	Round_2_Replicate_10	-105877.02	211758.04	197093.47	324011.03	0.6849,0.3716
two_epoch	Round_2_Replicate_11	-132651.01	265306.02	251817.8	272982.98	0.946,0.3657
two_epoch	Round_2_Replicate_12	-69215.85	138435.7	126159.14	498760.62	0.3356,0.3
two_epoch	Round_2_Replicate_13	-129692.72	259389.44	245689.45	276539.64	0.918,0.3383
two_epoch	Round_2_Replicate_14	-122725.69	245455.38	231015.14	479733.03	0.5149,1.1283
two_epoch	Round_2_Replicate_15	-58301.67	116607.34	106001.91	475797.81	0.3057,0.2129
two_epoch	Round_2_Replicate_16	-53641.11	107286.22	97638.9	439455.77	0.2987,0.1583
two_epoch	Round_2_Replicate_17	-57503.41	115010.82	104475.9	511381.93	0.2841,0.2254
