Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_1_Replicate_1	-76223.56	152453.12	143162.98	191268.01	0.6589,0.8616,0.3755
bottlegrowth	Round_1_Replicate_2	-73832.11	147670.22	138903.63	170935.25	1.4397,0.8682,2.2659
bottlegrowth	Round_1_Replicate_3	-107192.21	214390.42	203020.04	191148.96	0.2644,1.8334,0.3267
bottlegrowth	Round_1_Replicate_4	-24769.53	49545.06	44968.55	383513.68	0.1997,0.1784,0.1602
bottlegrowth	Round_1_Replicate_5	-139438.24	278882.48	285874.87	130276.62	0.1718,1.911,4.624
bottlegrowth	Round_1_Replicate_6	-83045.05	166096.1	160863.1	145509.18	3.4244,0.8289,0.59
bottlegrowth	Round_1_Replicate_7	-82305.65	164617.3	156293.93	1210162.21	1.0144,0.1341,6.3211
bottlegrowth	Round_1_Replicate_8	-90758.1	181522.2	174460.03	88410.14	2.3407,1.9324,3.6728
bottlegrowth	Round_1_Replicate_9	-137790.93	275587.86	281585.43	125983.53	3.2518,1.6146,0.3811
bottlegrowth	Round_1_Replicate_10	-77935.5	155877.0	147584.61	176329.31	1.0527,0.8521,0.5031
bottlegrowth	Round_1_Replicate_11	-66067.04	132140.08	123118.6	714044.02	2.6204,0.1946,3.1247
bottlegrowth	Round_1_Replicate_12	-91996.09	183998.18	177850.13	129551.64	1.9431,1.2634,1.1921
bottlegrowth	Round_1_Replicate_13	-172625.43	345256.86	349724.61	125869.19	6.9355,3.9619,0.1792
bottlegrowth	Round_1_Replicate_14	-28214.02	56434.04	51371.77	281060.08	0.2054,0.2622,0.107
bottlegrowth	Round_1_Replicate_15	-87614.28	175234.56	167468.36	233186.97	0.663,0.729,4.5356
bottlegrowth	Round_2_Replicate_1	-71332.71	142671.42	133691.02	4831095.22	0.144,0.0304,0.4076
bottlegrowth	Round_2_Replicate_2	-15880.11	31766.22	29090.48	357368.74	0.5737,0.1043,0.1521
bottlegrowth	Round_2_Replicate_3	-27208.47	54422.94	49461.33	427564.45	0.5381,0.1625,0.3343
bottlegrowth	Round_2_Replicate_4	-47669.84	95345.68	87232.83	684574.87	0.2112,0.1648,0.3981
bottlegrowth	Round_2_Replicate_5	-68204.08	136414.16	125607.49	311720.2	0.1627,0.5933,0.2882
bottlegrowth	Round_2_Replicate_6	-8501.67	17009.34	15723.82	525844.74	0.4026,0.0404,0.1028
bottlegrowth	Round_2_Replicate_7	-32312.05	64630.1	58710.25	919561.29	0.5137,0.0898,0.4562
bottlegrowth	Round_2_Replicate_8	-31537.43	63080.86	57325.66	534377.88	0.6075,0.1491,0.4669
bottlegrowth	Round_2_Replicate_9	-15720.55	31447.1	28742.1	437355.32	0.8169,0.0937,0.2301
bottlegrowth	Round_2_Replicate_10	-9010.46	18026.92	16645.23	499593.28	0.2833,0.0454,0.0928
bottlegrowth	Round_2_Replicate_11	-42531.04	85068.08	77629.44	629402.8	0.3735,0.1617,0.5022
