Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_1_Replicate_1	-465332.7	930673.4	1255404.26	94717.0	0.6255,6.2484,1.2197,1.5901
three_epoch	Round_1_Replicate_2	-171935.26	343878.52	337971.91	128673.04	1.439,2.3566,0.935,2.4782
three_epoch	Round_1_Replicate_3	-160094.79	320197.58	311204.22	196519.45	2.2097,1.4786,0.2029,1.126
three_epoch	Round_1_Replicate_4	-183218.51	366445.02	364075.37	154895.44	1.2163,2.0348,0.3096,1.6526
three_epoch	Round_1_Replicate_5	-286371.44	572750.88	620863.56	161634.11	4.0342,2.575,0.3629,0.1927
three_epoch	Round_1_Replicate_6	-138136.64	276281.28	263309.83	1624494.87	6.3776,0.1637,0.4365,3.1549
three_epoch	Round_1_Replicate_7	-116049.03	232106.06	217337.7	1015629.0	2.8558,0.2347,0.75,0.8141
three_epoch	Round_1_Replicate_8	-179079.32	358166.64	354491.63	242335.57	0.4443,1.2812,1.0411,1.4426
three_epoch	Round_1_Replicate_9	-115989.36	231986.72	217219.57	273474.04	1.4297,0.8713,4.5468,1.1818
three_epoch	Round_1_Replicate_10	-99420.7	198849.4	184047.55	488278.03	3.9628,0.4416,0.3495,0.7683
three_epoch	Round_1_Replicate_11	-109731.63	219471.26	204562.88	1009210.69	1.2071,0.2279,8.2502,0.6828
three_epoch	Round_1_Replicate_12	-138467.61	276943.22	264014.91	887404.92	0.2873,0.3,4.7314,0.914
three_epoch	Round_1_Replicate_13	-138136.3	276280.6	263309.1	1008660.44	2.6378,0.2636,1.612,3.9046
three_epoch	Round_1_Replicate_14	-138136.64	276281.28	263309.84	1311139.68	0.2456,0.2028,0.5634,7.1125
three_epoch	Round_1_Replicate_15	-74816.22	149640.44	141935.04	80724.03	7.5807,1.0595,5.221,0.2521
three_epoch	Round_2_Replicate_1	-56646.37	113300.74	103074.81	280580.05	3.2172,0.4968,1.3418,0.3589
three_epoch	Round_2_Replicate_2	-160857.06	321722.12	327252.46	27150.74	15.0209,1.5287,14.3195,0.074
three_epoch	Round_2_Replicate_3	-197255.37	394518.74	421545.8	105689.99	29.1511,1.7785,1.4233,0.4126
three_epoch	Round_2_Replicate_4	-126430.44	252868.88	242791.4	88763.53	3.377,1.6931,7.1647,0.0812
three_epoch	Round_2_Replicate_5	-119728.03	239464.06	227396.91	121517.63	2.3075,1.5629,9.8687,0.1031
three_epoch	Round_2_Replicate_6	-100819.6	201647.2	191104.16	101280.33	3.5152,1.4985,5.3195,0.2236
three_epoch	Round_2_Replicate_7	-68387.75	136783.5	124557.4	402445.11	3.8339,0.4149,2.0872,0.6865
three_epoch	Round_2_Replicate_8	-27233.08	54474.16	49710.4	293966.85	2.1792,0.2572,5.1416,0.184
