Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
growth	Round_1_Replicate_1	-35047.28	70098.56	63355.1	400757.71	0.3923,1.5006
growth	Round_1_Replicate_2	-77265.61	154535.22	138508.59	172833.57	1.3354,0.9965
growth	Round_1_Replicate_3	-33129.16	66262.32	60126.84	389441.28	0.392,1.3289
growth	Round_1_Replicate_4	-104389.76	208783.52	186045.82	176886.25	2.4682,0.1173
growth	Round_1_Replicate_5	-88860.91	177725.82	160732.2	94189.02	2.5891,6.0191
growth	Round_1_Replicate_6	-56334.86	112673.72	100283.06	205181.6	0.9559,0.9371
growth	Round_1_Replicate_7	-36544.23	73092.46	65835.79	304339.94	0.5253,1.2215
growth	Round_1_Replicate_8	-42910.3	85824.6	76730.98	294679.72	0.5875,1.7606
growth	Round_1_Replicate_9	-52554.05	105112.1	93565.81	851386.29	0.2236,5.2223
growth	Round_1_Replicate_10	-84641.06	169286.12	152627.2	97834.55	2.433,6.3118
growth	Round_1_Replicate_11	-81863.34	163730.68	145761.73	186769.64	1.5596,0.1249
growth	Round_1_Replicate_12	-51438.0	102880.0	91595.63	270291.3	0.6974,3.2412
growth	Round_1_Replicate_13	-41371.68	82747.36	74005.83	240931.34	0.6985,0.7895
growth	Round_1_Replicate_14	-67758.72	135521.44	120976.58	156867.29	1.3641,3.9036
growth	Round_1_Replicate_15	-43172.92	86349.84	77203.67	923600.6	0.1886,2.2413
growth	Round_2_Replicate_1	-66946.08	133896.16	119347.86	193111.18	1.1326,0.3068
growth	Round_2_Replicate_2	-31522.98	63049.96	57506.01	665627.04	0.2243,1.3818
growth	Round_2_Replicate_3	-19088.82	38181.64	37547.44	614061.8	0.16,0.599
growth	Round_2_Replicate_4	-20764.37	41532.74	40071.0	624829.88	0.1783,0.7388
growth	Round_2_Replicate_5	-26314.9	52633.8	48962.38	740473.66	0.1818,1.0632
growth	Round_2_Replicate_6	-41107.29	82218.58	73656.88	588552.21	0.2891,2.221
growth	Round_2_Replicate_7	-32730.51	65465.02	59527.76	897974.93	0.1697,1.3829
growth	Round_2_Replicate_8	-28295.62	56595.24	52109.35	436214.01	0.3213,1.0931
growth	Round_2_Replicate_9	-25375.12	50754.24	47425.75	672260.32	0.1955,1.0168
growth	Round_2_Replicate_10	-22189.99	44383.98	42334.94	690835.46	0.172,0.8333
growth	Round_2_Replicate_11	-60075.89	120155.78	106994.06	190703.61	1.061,4.4137
growth	Round_2_Replicate_12	-59003.15	118010.3	105062.89	198314.68	1.0119,5.6218
growth	Round_2_Replicate_13	-39703.69	79411.38	71218.48	292975.36	0.5687,1.3964
growth	Round_2_Replicate_14	-15696.36	31396.72	30956.17	347248.59	0.2348,0.2894
growth	Round_2_Replicate_15	-40164.57	80333.14	71812.86	228374.99	0.7118,0.432
growth	Round_2_Replicate_16	-45467.64	90939.28	81162.64	452980.79	0.3935,2.8651
growth	Round_2_Replicate_17	-17338.89	34681.78	34353.78	412356.6	0.2075,0.3919
growth	Round_2_Replicate_18	-34298.08	68600.16	62148.04	1065216.75	0.1466,1.4037
growth	Round_2_Replicate_19	-46551.45	93106.9	82983.71	222061.93	0.7998,0.6499
growth	Round_2_Replicate_20	-38726.49	77456.98	69598.74	597101.85	0.2771,1.9609
growth	Round_2_Replicate_21	-16266.85	32537.7	31729.68	330992.11	0.2691,0.308
growth	Round_2_Replicate_22	-32753.39	65510.78	59562.83	833535.88	0.1828,1.41
growth	Round_2_Replicate_23	-30177.66	60359.32	55153.49	347841.67	0.4162,1.0122
growth	Round_2_Replicate_24	-25445.14	50894.28	46929.95	286385.35	0.4504,0.5006
growth	Round_2_Replicate_25	-24551.36	49106.72	45766.24	340398.17	0.3747,0.6864
growth	Round_2_Replicate_26	-33765.11	67534.22	61226.37	522780.67	0.2956,1.5316
growth	Round_2_Replicate_27	-36902.82	73809.64	66503.7	510474.52	0.3165,1.7838
growth	Round_2_Replicate_28	-39496.65	78997.3	70898.41	418492.35	0.3986,1.9501
growth	Round_2_Replicate_29	-37199.72	74403.44	67006.44	518641.39	0.3127,1.8136
growth	Round_2_Replicate_30	-59388.41	118780.82	105752.87	199735.16	1.0091,0.4087
growth	Round_3_Replicate_1	-7846.49	15696.98	15377.22	287201.71	0.1391,0.0713
growth	Round_3_Replicate_2	-18718.04	37440.08	35479.95	297090.66	0.3496,0.3248
growth	Round_3_Replicate_3	-17511.09	35026.18	34858.26	439240.42	0.1844,0.3815
growth	Round_3_Replicate_4	-13707.57	27419.14	27177.31	332911.32	0.2019,0.1998
growth	Round_3_Replicate_5	-16910.6	33825.2	33063.59	348797.0	0.2613,0.3516
growth	Round_3_Replicate_6	-12433.97	24871.94	23829.04	279735.75	0.258,0.1415
growth	Round_3_Replicate_7	-8682.44	17368.88	16949.85	285372.79	0.1656,0.0851
growth	Round_3_Replicate_8	-14101.13	28206.26	27933.57	335052.56	0.2098,0.2158
growth	Round_3_Replicate_9	-9197.98	18399.96	17905.97	284188.18	0.1806,0.093
growth	Round_3_Replicate_10	-6260.78	12525.56	12149.24	274722.97	0.1017,0.0417
growth	Round_3_Replicate_11	-13624.04	27252.08	26860.45	321648.53	0.2234,0.2051
growth	Round_3_Replicate_12	-15250.9	30505.8	29809.71	322312.09	0.2598,0.2626
growth	Round_3_Replicate_13	-6969.96	13943.92	13509.97	275096.6	0.1245,0.0519
growth	Round_3_Replicate_14	-10247.24	20498.48	20037.95	292013.5	0.1958,0.1162
growth	Round_3_Replicate_15	-9986.14	19976.28	19261.61	278275.96	0.205,0.0994
growth	Round_3_Replicate_16	-19258.39	38520.78	38385.13	1476297.42	0.0598,0.4674
growth	Round_3_Replicate_17	-16349.52	32703.04	31533.07	309080.04	0.2977,0.2822
growth	Round_3_Replicate_18	-16286.11	32576.22	30757.71	277360.7	0.3315,0.2072
growth	Round_3_Replicate_19	-6474.34	12952.68	12675.91	283753.33	0.1016,0.0481
growth	Round_3_Replicate_20	-21351.23	42706.46	41101.4	976254.74	0.1172,0.7509
growth	Round_3_Replicate_21	-20551.5	41107.0	39656.45	529342.75	0.2087,0.7028
growth	Round_3_Replicate_22	-17899.99	35803.98	35500.25	460040.67	0.1897,0.4429
growth	Round_3_Replicate_23	-6980.84	13965.68	13346.61	264401.83	0.109,0.0371
growth	Round_3_Replicate_24	-13868.76	27741.52	26724.49	291218.29	0.2747,0.1891
growth	Round_3_Replicate_25	-7964.83	15933.66	15398.97	275172.04	0.1537,0.0659
growth	Round_3_Replicate_26	-14527.33	29058.66	28551.88	324625.48	0.2404,0.2376
growth	Round_3_Replicate_27	-10234.97	20473.94	20101.39	296916.14	0.1866,0.117
growth	Round_3_Replicate_28	-6669.01	13342.02	12940.53	275393.89	0.1151,0.048
growth	Round_3_Replicate_29	-45491.56	90987.12	81113.38	220953.09	0.7902,0.5213
growth	Round_3_Replicate_30	-9011.53	18027.06	17688.9	292101.18	0.1633,0.0925
growth	Round_3_Replicate_31	-15332.91	30669.82	30182.41	337338.71	0.2401,0.2719
growth	Round_3_Replicate_32	-18909.61	37823.22	37419.23	696453.78	0.1348,0.5679
growth	Round_3_Replicate_33	-20244.21	40492.42	39321.43	704715.84	0.153,0.7045
growth	Round_3_Replicate_34	-10083.55	20171.1	19970.42	312502.09	0.1362,0.0968
growth	Round_3_Replicate_35	-31582.08	63168.16	57148.97	255034.25	0.567,0.4887
growth	Round_3_Replicate_36	-25236.14	50476.28	47201.21	672998.59	0.1946,1.0089
growth	Round_3_Replicate_37	-24628.73	49261.46	46244.72	776646.77	0.1659,0.9657
growth	Round_3_Replicate_38	-10930.41	21864.82	21565.45	306003.61	0.1852,0.1306
growth	Round_3_Replicate_39	-16159.24	32322.48	30466.9	274841.87	0.3312,0.197
growth	Round_3_Replicate_40	-18052.13	36108.26	35665.13	452202.84	0.2013,0.4673
growth	Round_3_Replicate_41	-20139.43	40282.86	39167.82	712977.91	0.1502,0.6963
growth	Round_3_Replicate_42	-13220.6	26445.2	25568.58	292396.19	0.2607,0.1769
growth	Round_3_Replicate_43	-15626.18	31256.36	30761.71	341880.04	0.2407,0.286
growth	Round_3_Replicate_44	-9539.32	19082.64	18797.2	298768.59	0.1634,0.1014
growth	Round_3_Replicate_45	-16459.59	32923.18	30345.4	249317.32	0.3171,0.1008
growth	Round_3_Replicate_46	-14629.6	29263.2	28648.86	319304.43	0.2509,0.2393
growth	Round_3_Replicate_47	-26450.09	52904.18	49183.51	750237.04	0.18,1.0692
growth	Round_3_Replicate_48	-4734.54	9473.08	9154.28	269607.13	0.0403,0.0156
growth	Round_3_Replicate_49	-9387.54	18779.08	18391.23	291084.58	0.1754,0.0995
growth	Round_3_Replicate_50	-51071.23	102146.46	90929.29	211453.59	0.8777,0.5329
growth	Round_4_Replicate_1	-4244.48	8492.96	8253.78	276444.79	0.0231,0.0104
