Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
two_epoch	Round_1_Replicate_1	-75871.63	151747.26	135669.32	527088.01	0.5628,0.9439
two_epoch	Round_1_Replicate_2	-165837.79	331679.58	298364.26	282923.65	1.7364,0.1287
two_epoch	Round_1_Replicate_3	-94704.05	189412.1	168826.49	745228.2	0.4362,3.0771
two_epoch	Round_1_Replicate_4	-89790.12	179584.24	160055.3	388675.37	0.8186,1.542
two_epoch	Round_1_Replicate_5	-154718.28	309440.56	282600.91	222480.49	1.7752,0.9326
two_epoch	Round_1_Replicate_6	-63960.51	127925.02	115336.29	669456.56	0.4107,0.6785
two_epoch	Round_1_Replicate_7	-93326.28	186656.56	166358.63	367505.28	0.8794,2.3071
two_epoch	Round_1_Replicate_8	-342426.14	684856.28	650443.74	217309.7	4.2741,0.2132
two_epoch	Round_1_Replicate_9	-92820.08	185644.16	165453.62	606119.86	0.532,2.2339
two_epoch	Round_1_Replicate_10	-247528.24	495060.48	481667.54	164513.59	2.9215,1.057
two_epoch	Round_1_Replicate_11	-94882.26	189768.52	169146.19	1456711.43	0.2233,3.4745
two_epoch	Round_1_Replicate_12	-132098.38	264200.76	238442.51	144584.8	2.5556,3.1202
two_epoch	Round_1_Replicate_13	-104526.9	209057.8	186617.07	201922.88	1.6738,3.2948
two_epoch	Round_1_Replicate_14	-214518.94	429041.88	411308.04	85253.07	5.1731,3.7507
two_epoch	Round_1_Replicate_15	-94830.57	189665.14	169053.45	331552.85	0.981,4.0075
two_epoch	Round_2_Replicate_1	-29977.21	59958.42	57862.44	494128.43	0.3482,0.1346
two_epoch	Round_2_Replicate_2	-42460.33	84924.66	79581.88	526140.09	0.4186,0.2818
two_epoch	Round_2_Replicate_3	-53331.07	106666.14	97518.28	507067.37	0.4957,0.4155
two_epoch	Round_2_Replicate_4	-58291.48	116586.96	105811.68	534804.79	0.4918,0.5249
two_epoch	Round_2_Replicate_5	-62152.38	124308.76	112285.65	550317.57	0.4929,0.6088
two_epoch	Round_2_Replicate_6	-27325.45	54654.9	53678.87	519873.63	0.2931,0.116
two_epoch	Round_2_Replicate_7	-104883.58	209771.16	187268.0	295328.9	1.1465,0.8958
two_epoch	Round_2_Replicate_8	-110706.43	221416.86	197869.56	307476.12	1.1378,0.2782
two_epoch	Round_2_Replicate_9	-74051.39	148106.78	132499.24	400550.89	0.7323,0.5917
two_epoch	Round_2_Replicate_10	-78216.71	156437.42	139475.58	345250.48	0.8572,0.1934
two_epoch	Round_2_Replicate_11	-103756.09	207516.18	185199.36	312368.7	1.0829,0.3775
two_epoch	Round_2_Replicate_12	-95149.92	190303.84	169626.57	307542.97	1.059,3.7075
two_epoch	Round_2_Replicate_13	-95098.89	190201.78	169534.97	322539.03	1.0095,1.9542
two_epoch	Round_2_Replicate_14	-81104.64	162213.28	144758.99	611726.68	0.4988,1.1548
two_epoch	Round_2_Replicate_15	-86889.0	173782.0	154916.76	734314.83	0.4275,1.3711
two_epoch	Round_2_Replicate_16	-97156.3	194316.6	173237.38	320265.13	1.0257,0.5795
two_epoch	Round_2_Replicate_17	-78161.95	156327.9	139636.07	739505.62	0.4062,1.0014
two_epoch	Round_2_Replicate_18	-31344.21	62692.42	60953.86	530427.12	0.3268,0.1566
