Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_1_Replicate_1	-57885.91	115777.82	103057.21	1414955.39	0.1688,0.1406,2.5555
bottlegrowth	Round_1_Replicate_2	-99380.27	198766.54	180825.47	243580.49	0.3503,1.083,1.4467
bottlegrowth	Round_1_Replicate_3	-145181.31	290368.62	286180.58	66709.51	5.5992,3.9931,2.3161
bottlegrowth	Round_1_Replicate_4	-142225.18	284456.36	270044.1	55913.06	1.4115,5.6279,5.4182
bottlegrowth	Round_1_Replicate_5	-170167.03	340340.06	310169.37	152351.57	3.441,4.3744,0.126
bottlegrowth	Round_1_Replicate_6	-88988.84	177983.68	160983.63	129870.03	0.3238,1.8786,8.0906
bottlegrowth	Round_1_Replicate_7	-154148.47	308302.94	296090.8	161101.51	0.1414,2.0558,3.1381
bottlegrowth	Round_1_Replicate_8	-12909.52	25825.04	25171.09	299674.78	1.4317,0.2442,0.2282
bottlegrowth	Round_1_Replicate_9	-109758.31	219522.62	201805.57	151555.24	1.8066,1.7469,0.4296
bottlegrowth	Round_1_Replicate_10	-16757.64	33521.28	32523.08	237957.98	9.3735,0.3916,1.2206
bottlegrowth	Round_1_Replicate_11	-141563.08	283132.16	259271.34	154209.14	0.9074,2.8978,0.3219
bottlegrowth	Round_1_Replicate_12	-65789.3	131584.6	116077.75	225485.87	0.2361,1.8534,0.1326
bottlegrowth	Round_1_Replicate_13	-85835.22	171676.44	152405.83	191310.42	0.6039,1.7375,0.215
bottlegrowth	Round_1_Replicate_14	-99102.4	198210.8	175831.89	188399.2	0.4841,2.2773,0.2102
bottlegrowth	Round_1_Replicate_15	-12714.55	25435.1	24603.82	280937.5	3.0929,0.2661,0.3467
bottlegrowth	Round_2_Replicate_1	-33097.44	66200.88	59329.29	181115.45	6.0622,0.6456,0.5927
bottlegrowth	Round_2_Replicate_2	-15491.93	30989.86	30507.92	340501.33	1.0668,0.2393,0.2922
bottlegrowth	Round_2_Replicate_3	-19230.24	38466.48	37620.56	509920.93	1.5971,0.1984,0.7856
bottlegrowth	Round_2_Replicate_4	-14436.89	28879.78	28157.37	310330.31	1.2869,0.2599,0.2726
bottlegrowth	Round_2_Replicate_5	-21270.54	42547.08	40910.99	620366.53	3.132,0.184,1.3964
bottlegrowth	Round_2_Replicate_6	-40978.32	81962.64	73039.94	175601.14	2.7847,0.8815,0.9698
bottlegrowth	Round_2_Replicate_7	-40889.76	81785.52	73700.56	197697.41	3.9526,0.5594,0.2389
bottlegrowth	Round_2_Replicate_8	-72114.98	144235.96	129713.14	188050.03	3.2435,0.8136,0.0997
bottlegrowth	Round_2_Replicate_9	-24399.09	48804.18	44438.47	247109.56	1.2322,0.4765,0.2882
bottlegrowth	Round_2_Replicate_10	-22835.87	45677.74	43104.76	389924.24	1.2895,0.3118,0.8851
bottlegrowth	Round_2_Replicate_11	-17213.2	34432.4	33607.43	284385.7	5.4798,0.3278,1.0108
bottlegrowth	Round_2_Replicate_12	-40996.42	81998.84	73347.31	239506.84	0.9999,0.6983,0.732
bottlegrowth	Round_2_Replicate_13	-35024.12	70054.24	63079.86	239701.45	1.4238,0.6423,1.0513
bottlegrowth	Round_2_Replicate_14	-19015.78	38037.56	36912.7	366326.52	2.2481,0.28,0.8637
bottlegrowth	Round_2_Replicate_15	-47999.18	96004.36	85523.12	199536.34	1.4614,0.846,0.4763
bottlegrowth	Round_2_Replicate_16	-26216.18	52438.36	48786.0	656472.97	1.1027,0.2045,1.1315
bottlegrowth	Round_2_Replicate_17	-7045.77	14097.54	13761.59	281667.19	2.3212,0.1249,0.0844
bottlegrowth	Round_2_Replicate_18	-15433.83	30873.66	28719.31	257732.85	1.5193,0.3209,0.1845
