Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_1_Replicate_1	-68654.93	137317.86	122703.61	75393.04	1.5925,2.8231,0.524,5.3595
three_epoch	Round_1_Replicate_2	-38734.39	77476.78	69752.69	636623.18	0.6922,0.2636,2.8668,0.4563
three_epoch	Round_1_Replicate_3	-19355.36	38718.72	38425.29	169810.42	4.9874,0.5601,2.8976,0.4849
three_epoch	Round_1_Replicate_4	-58810.15	117628.3	104716.0	918536.26	1.1534,0.2181,1.3775,4.3641
three_epoch	Round_1_Replicate_5	-19230.79	38469.58	38393.34	443559.85	0.5332,0.1968,0.122,0.1227
three_epoch	Round_1_Replicate_6	-203942.9	407893.8	417085.8	79539.07	3.7274,4.7058,1.1591,0.2172
three_epoch	Round_1_Replicate_7	-179164.36	358336.72	365026.21	284488.13	0.2392,1.0827,3.6761,0.4708
three_epoch	Round_1_Replicate_8	-42172.91	84353.82	75569.06	965655.54	0.2712,0.1805,1.0208,0.1767
three_epoch	Round_1_Replicate_9	-39109.97	78227.94	70378.81	256210.25	5.1686,0.6578,0.5177,0.9054
three_epoch	Round_1_Replicate_10	-77607.73	155223.46	139562.95	74580.42	2.7551,2.9896,0.8395,3.6233
three_epoch	Round_1_Replicate_11	-58810.15	117628.3	104716.0	372129.65	0.5464,0.5385,6.7948,8.0246
three_epoch	Round_1_Replicate_12	-167007.1	334022.2	314458.69	134230.93	1.8431,3.1129,0.2902,0.1348
three_epoch	Round_1_Replicate_13	-37028.18	74064.36	66875.79	228871.19	5.3125,0.7178,0.8271,0.9612
three_epoch	Round_1_Replicate_14	-73668.41	147344.82	132084.74	565751.64	0.1428,0.3865,1.0663,0.6232
three_epoch	Round_1_Replicate_15	-277101.59	554211.18	610060.76	72695.87	1.3284,5.7357,0.6114,0.9976
three_epoch	Round_2_Replicate_1	-30533.68	61075.36	56142.88	1353872.46	0.1986,0.11,0.3413,0.1548
