Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, T)
schange	Round_1_Replicate_1	-3724296.75	7448603.5	2757802428.79	142176.69	0.528,0.313,0.2851,2.1858,2.1292
schange	Round_1_Replicate_2	-6561410.46	13122830.92	8829274016873.94	114759.76	0.3177,0.1246,0.1916,5.3008,2.7013
schange	Round_1_Replicate_3	-6826217.97	13652445.94	11979684445131.14	203529.71	0.5069,4.8078,0.1282,0.1872,3.0239
schange	Round_1_Replicate_4	-780189.21	1560388.42	1948764.05	172592.02	0.3047,3.0538,0.2923,4.2858,0.3233
schange	Round_1_Replicate_5	-858374.52	1716759.04	4181994.3	107578.18	0.4124,6.6342,2.6722,1.0227,1.0073
schange	Round_1_Replicate_6	-1378168.21	2756346.42	11390417.83	85526.44	8.4813,0.4092,5.3632,0.4624,0.8985
schange	Round_1_Replicate_7	-4741417.43	9482844.86	54117178303.32	169104.31	0.6995,0.1968,0.2324,1.0866,2.3302
schange	Round_1_Replicate_8	-3545587.58	7091185.16	2506797907.64	86538.89	0.3236,4.1268,3.4517,0.3134,3.4279
schange	Round_1_Replicate_9	-3514705.95	7029421.9	1632579208.77	119623.04	0.3641,0.8512,0.3377,2.6871,2.2108
schange	Round_1_Replicate_10	-3250512.61	6501035.22	1319210647.92	121109.78	0.7755,0.915,1.1109,0.4887,2.9382
schange	Round_1_Replicate_11	-874285.84	1748581.68	3730799.66	115698.52	0.8767,0.4699,1.1655,6.2782,0.8634
schange	Round_1_Replicate_12	-960595.24	1921200.48	6431188.67	90711.69	5.8106,1.5826,1.0476,2.2596,1.7962
schange	Round_1_Replicate_13	-428852.05	857714.1	919594.35	167594.59	0.8695,0.5435,2.2986,0.5012,0.2767
schange	Round_1_Replicate_14	-433162.97	866335.94	963110.19	162760.07	0.5227,7.0112,1.9474,0.4878,0.2936
schange	Round_1_Replicate_15	-671880.23	1343770.46	1523986.81	156659.52	0.1768,7.9269,1.1295,2.0556,0.3234
schange	Round_2_Replicate_1	-593613.62	1187237.24	2324017.99	184117.27	0.5695,1.3127,1.0969,0.3263,0.5399
schange	Round_2_Replicate_2	-569713.68	1139437.36	5801105.03	200622.51	0.594,0.3148,1.7528,1.1006,0.0977
schange	Round_2_Replicate_3	-812763.54	1625537.08	2528013.41	116100.07	1.9976,0.7364,8.0353,0.3221,0.4672
schange	Round_2_Replicate_4	-938141.3	1876292.6	4204484.18	106735.55	1.504,0.718,6.1933,0.4424,0.7022
schange	Round_2_Replicate_5	-622270.12	1244550.24	1807600.53	146616.01	2.3682,0.883,7.0194,0.3793,0.2117
schange	Round_2_Replicate_6	-1019499.57	2039009.14	6704685.09	132068.96	0.9046,0.2555,2.1897,1.0659,0.7669
schange	Round_2_Replicate_7	-577557.73	1155125.46	1418541.38	133591.37	1.1899,0.8196,4.2413,0.5249,0.4178
schange	Round_2_Replicate_8	-430436.18	860882.36	959302.26	165274.78	3.0613,0.9011,1.538,0.3577,0.2433
schange	Round_2_Replicate_9	-727077.32	1454164.64	19470552.21	189862.4	0.9568,0.4267,1.4969,1.8812,0.1078
schange	Round_2_Replicate_10	-1723936.45	3447882.9	29027494.08	101255.88	0.2978,0.1737,7.2293,1.8206,1.0313
