Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, T1, T2)
bottle_schange	Round_1_Replicate_1	-3881635.9	7763287.8	309132156.82	181308.04	6.6875,0.3364,3.8333,3.8565,0.2999,2.0722,1.4655,0.6089
bottle_schange	Round_1_Replicate_2	-2298020.21	4596056.42	35911096.93	123802.41	2.4381,6.5547,0.8913,2.583,2.8002,1.2093,0.6721,1.9986
bottle_schange	Round_1_Replicate_3	-3249473.19	6498962.38	156145221.84	123554.45	4.3279,0.8163,0.5832,6.3338,2.0846,0.3691,2.8062,0.1645
bottle_schange	Round_1_Replicate_4	-11841620.3	23683256.6	832635156187045.9	126190.19	3.7732,1.3615,0.1456,3.5446,1.1998,0.2688,4.3176,3.8683
bottle_schange	Round_1_Replicate_5	-4405061.7	8810139.4	5.072750378507897e+17	146898.68	0.1286,0.2318,0.1202,3.1244,0.2278,3.113,3.8117,0.3588
bottle_schange	Round_1_Replicate_6	-9213617.98	18427251.96	3009726720459.74	208042.25	0.343,0.2519,6.4206,1.0857,2.6752,0.2486,2.117,0.2905
bottle_schange	Round_1_Replicate_7	-4316569.34	8633154.68	2634483321389443.5	212475.9	0.1214,0.2888,1.6891,0.3537,0.1551,7.6902,2.5127,0.1653
bottle_schange	Round_1_Replicate_8	-1396095.6	2792207.2	6178948.17	302571.83	0.2604,0.9778,0.507,0.2932,6.1638,0.2542,0.2307,0.2098
bottle_schange	Round_1_Replicate_9	-3015647.12	6031310.24	117591996.34	100524.86	4.5328,1.9545,0.3553,2.2569,2.6074,0.4432,4.603,0.2258
bottle_schange	Round_1_Replicate_10	-5572103.28	11144222.56	5619648417.4	92964.68	0.7736,0.3667,0.7631,0.5553,2.1012,4.3778,0.1222,4.7509
bottle_schange	Round_1_Replicate_11	-2175434.55	4350885.1	21630660.56	87983.29	2.5206,0.3237,2.957,4.2115,1.8355,7.9698,0.142,2.5285
bottle_schange	Round_1_Replicate_12	-6380899.15	12761814.3	10830940926.83	287801.2	0.197,0.1922,0.93,0.7568,2.9276,0.7297,0.9098,0.2313
bottle_schange	Round_1_Replicate_13	-4903470.08	9806956.16	1442785356.81	143899.18	0.5186,1.244,1.5045,3.2291,2.7221,0.2891,1.287,1.9261
bottle_schange	Round_1_Replicate_14	-9895031.07	19790078.14	22749713373918.57	226690.09	0.798,0.2238,7.7998,0.3902,0.2331,0.5819,2.8839,0.3175
bottle_schange	Round_1_Replicate_15	-3226692.3	6453400.6	83941817.31	359023.87	1.2679,0.1483,0.3176,0.4929,0.2316,1.154,0.1532,0.7222
bottle_schange	Round_2_Replicate_1	-1445704.02	2891424.04	6369477.59	311886.5	0.4816,2.1635,0.6583,0.1821,4.2007,0.0929,0.111,0.2063
bottle_schange	Round_2_Replicate_2	-2679030.51	5358077.02	48344227.68	236940.0	0.6169,1.4044,1.7685,0.1751,1.9663,0.2543,0.1593,0.6454
bottle_schange	Round_2_Replicate_3	-1970250.93	3940517.86	16416629.36	305946.12	0.7611,0.2617,0.8602,0.1406,2.0637,0.1793,0.2888,0.2088
bottle_schange	Round_2_Replicate_4	-2572773.68	5145563.36	31011292.97	213223.31	0.2166,0.7989,0.1749,1.0468,17.2729,0.4712,0.3412,0.4609
bottle_schange	Round_2_Replicate_5	-1452190.28	2904396.56	6749903.91	337111.57	0.195,2.8422,0.8616,0.1704,2.8957,0.1367,0.1044,0.2266
