Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, T1, T2, T3)
bottle_schange_thr_epoch	Round_1_Replicate_1	-7008307.64	14016633.28	59623239028.95	139301.68	0.5601,7.4526,0.5256,0.3682,1.7339,1.2617,4.6606,0.2751,0.2121
bottle_schange_thr_epoch	Round_1_Replicate_2	-1832665.22	3665348.44	11676177.61	313915.38	0.8313,2.2588,0.5692,0.8366,0.174,0.9675,0.3679,0.1486,0.3602
bottle_schange_thr_epoch	Round_1_Replicate_3	-10577512.15	21155042.3	212707718801176.3	138405.75	0.2763,0.2842,4.3047,0.4663,0.3689,4.4479,2.049,1.8171,0.1872
bottle_schange_thr_epoch	Round_1_Replicate_4	-3808968.09	7617954.18	9.50347447311243e+18	88870.4	0.2266,7.0432,0.343,0.3626,1.1318,0.2458,0.1441,2.5335,6.2587
bottle_schange_thr_epoch	Round_1_Replicate_5	-15125982.85	30251983.7	4.229198235752714e+19	134478.9	0.2537,0.2187,0.1919,0.7519,7.6942,0.8678,2.8929,0.7095,0.8469
bottle_schange_thr_epoch	Round_1_Replicate_6	-3507627.08	7015272.16	178640899.97	129300.16	4.6359,7.6789,2.5587,3.7217,0.4534,0.4541,0.242,4.1933,0.8912
bottle_schange_thr_epoch	Round_1_Replicate_7	-9360443.23	18720904.46	5501520024393.54	137545.13	2.4643,5.6081,1.4832,0.2948,2.6668,2.288,0.9728,3.6102,0.1362
bottle_schange_thr_epoch	Round_1_Replicate_8	-1531761.48	3063540.96	5323024.03	150430.51	0.2319,3.681,3.9887,1.5635,5.7514,2.9248,0.1727,0.126,0.4025
bottle_schange_thr_epoch	Round_1_Replicate_9	-3743125.99	7486269.98	5.069532429617087e+17	49735.26	0.2221,7.3778,3.1414,0.1861,3.3379,4.2259,5.4828,1.9807,2.9668
bottle_schange_thr_epoch	Round_1_Replicate_10	-3281614.48	6563246.96	153652238.35	147431.68	1.5855,0.4869,2.5422,2.5356,1.8177,0.8987,1.4283,0.2256,0.4771
bottle_schange_thr_epoch	Round_1_Replicate_11	-1037622.46	2075262.92	3820774.27	272216.88	0.7609,3.5117,0.5615,1.0171,0.5184,0.9997,0.248,0.2023,0.2145
bottle_schange_thr_epoch	Round_1_Replicate_12	-2478568.58	4957155.16	633936583422236.4	61180.51	0.3745,3.344,1.1006,0.1737,1.3842,3.0171,0.7839,4.9519,1.5131
bottle_schange_thr_epoch	Round_1_Replicate_13	-13636947.67	27273913.34	1.5855988078123254e+16	185514.19	0.6462,0.4432,1.2367,1.1167,0.2515,0.1749,0.1893,2.0003,4.3063
bottle_schange_thr_epoch	Round_1_Replicate_14	-2807670.81	5615359.62	57449377.63	294898.36	0.6752,0.3398,0.2466,0.8084,3.0455,0.2019,0.4195,0.1678,0.3499
bottle_schange_thr_epoch	Round_1_Replicate_15	-11687834.72	23375687.44	1215182393235919.5	189295.69	0.2141,0.1971,4.2148,1.5509,1.0232,2.0021,2.147,0.2244,0.187
bottle_schange_thr_epoch	Round_2_Replicate_1	-2971526.89	5943071.78	77952311.24	150842.93	0.3748,12.1846,0.6962,2.8784,1.6018,1.478,0.9648,0.1657,0.6407
bottle_schange_thr_epoch	Round_2_Replicate_2	-3923454.64	7846927.28	226198538.95	429655.6	0.27,1.6388,0.3066,0.2783,0.2014,0.4931,0.2442,0.0497,0.6869
bottle_schange_thr_epoch	Round_2_Replicate_3	-2904872.92	5809763.84	61326472.5	228754.55	0.2521,1.9351,0.5224,2.0423,0.4942,1.2793,0.6172,0.243,0.2677
bottle_schange_thr_epoch	Round_2_Replicate_4	-3025110.26	6050238.52	74878366.13	425418.37	0.3912,1.3265,0.2884,0.4273,0.2342,0.2554,0.1362,0.6905,0.0566
bottle_schange_thr_epoch	Round_2_Replicate_5	-684739.27	1369496.54	1319935.62	272611.97	0.553,2.2149,1.1261,2.7149,0.2752,0.6996,0.1194,0.1432,0.0755
bottle_schange_thr_epoch	Round_2_Replicate_6	-2222062.69	4444143.38	22580781.93	265710.58	0.2365,3.9119,1.1694,0.6393,0.3685,0.9669,0.6029,0.0652,0.1022
bottle_schange_thr_epoch	Round_2_Replicate_7	-960779.97	1921577.94	3422919.81	256455.9	1.3475,13.5235,0.5421,3.7551,0.8477,0.3107,0.1296,0.3297,0.2345
bottle_schange_thr_epoch	Round_2_Replicate_8	-801733.31	1603484.62	2748647.2	288620.9	0.5191,2.76,0.9048,0.6542,0.8267,0.4284,0.0735,0.3354,0.1142
bottle_schange_thr_epoch	Round_2_Replicate_9	-1395100.95	2790219.9	8779769.62	244856.6	0.4235,4.4395,1.6373,1.3209,0.4442,0.6391,0.0659,0.6021,0.5051
bottle_schange_thr_epoch	Round_2_Replicate_10	-3520135.01	7040288.02	123980226.8	267834.7	0.4133,7.2334,0.196,2.2291,0.308,1.0106,0.1473,0.2677,0.6475
bottle_schange_thr_epoch	Round_2_Replicate_11	-821074.51	1642167.02	2020992.5	217183.37	1.7948,4.7755,1.09,0.6833,1.7613,2.4036,0.1212,0.1562,0.2635
bottle_schange_thr_epoch	Round_2_Replicate_12	-2059191.9	4118401.8	16323143.29	280581.34	0.2621,2.723,0.5203,1.5567,0.2254,1.0049,0.2659,0.2998,0.2618
bottle_schange_thr_epoch	Round_2_Replicate_13	-1277498.7	2555015.4	6990977.17	192778.56	0.973,5.0924,1.0341,3.1038,1.1902,0.2603,0.4005,0.6731,0.1731
bottle_schange_thr_epoch	Round_2_Replicate_14	-1404853.89	2809725.78	6070996.37	233218.5	0.6965,1.7646,0.444,3.9924,0.784,0.4839,0.2953,0.3515,0.1165
bottle_schange_thr_epoch	Round_2_Replicate_15	-470968.9	941955.8	1042230.01	270886.19	2.9561,10.3266,1.7696,1.0254,0.4031,0.3904,0.1725,0.1202,0.148
bottle_schange_thr_epoch	Round_2_Replicate_16	-3924339.76	7848697.52	215397376.13	283119.31	0.2643,2.0804,0.1715,1.2664,0.2847,1.1934,0.3262,0.1824,0.5608
bottle_schange_thr_epoch	Round_2_Replicate_17	-1999200.52	3998419.04	21367212.16	224132.8	0.8791,1.7069,0.3891,1.9917,1.5306,0.4973,0.4649,0.1189,0.7142
bottle_schange_thr_epoch	Round_2_Replicate_18	-1699905.93	3399829.86	10401218.31	185688.42	0.3902,4.7323,1.2451,3.8624,0.7232,0.6798,0.54,0.3101,0.128
bottle_schange_thr_epoch	Round_2_Replicate_19	-2648769.95	5297557.9	37370927.5	261918.53	0.3364,4.7802,0.2802,1.3673,0.9249,0.7246,0.353,0.54,0.0678
bottle_schange_thr_epoch	Round_2_Replicate_20	-2556901.78	5113821.56	48468772.31	279385.13	0.3379,2.5622,0.7446,0.5582,0.7254,0.5247,0.3294,0.1729,0.7283
bottle_schange_thr_epoch	Round_2_Replicate_21	-1040925.2	2081868.4	4078919.27	310554.88	0.8551,1.2243,0.2948,1.2285,1.6107,0.2703,0.1167,0.1525,0.2464
bottle_schange_thr_epoch	Round_2_Replicate_22	-2357626.68	4715271.36	34534421.27	228236.95	0.8981,4.9347,0.9439,0.4938,2.0772,0.3338,0.1281,0.5539,0.4824
bottle_schange_thr_epoch	Round_2_Replicate_23	-1640749.37	3281516.74	13010490.45	221577.35	0.4197,11.026,1.1989,0.797,1.0799,0.7743,0.0691,0.6052,0.4749
bottle_schange_thr_epoch	Round_2_Replicate_24	-844074.02	1688166.04	2295796.57	284617.73	1.2783,10.5827,0.3324,0.5768,0.8882,2.5217,0.2107,0.134,0.1356
bottle_schange_thr_epoch	Round_2_Replicate_25	-1232107.78	2464233.56	5395277.82	220234.1	0.6703,5.6855,0.8018,0.4948,0.8997,2.9716,0.7185,0.0883,0.0778
bottle_schange_thr_epoch	Round_2_Replicate_26	-690351.51	1380721.02	2142346.84	333519.38	0.3832,1.1995,1.3596,0.5894,0.3152,0.5771,0.0702,0.1451,0.2261
bottle_schange_thr_epoch	Round_2_Replicate_27	-622743.94	1245505.88	1415610.43	283057.53	1.1593,11.8146,1.7387,1.2798,0.3375,1.2629,0.0784,0.0587,0.1522
bottle_schange_thr_epoch	Round_2_Replicate_28	-1526923.34	3053864.68	9016438.88	259873.25	0.5219,4.1897,1.2253,0.3976,0.1352,3.0931,0.7792,0.0926,0.0665
