Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_schange	Round_1_Replicate_1	-782975.41	1565966.82	2849731.19	145761.92	0.2186,4.4769,0.781,0.2049,0.3808,0.2326,4.7748,6.8339
sec_contact_schange	Round_1_Replicate_2	-153512.77	307041.54	297540.17	62688.94	0.6876,8.1285,0.3099,0.1583,2.2022,0.5043,6.0274,0.2608
sec_contact_schange	Round_1_Replicate_3	-461472.3	922960.6	1177479.1	75987.5	0.1927,7.3273,1.5346,0.2309,0.3125,0.2069,5.763,0.9489
sec_contact_schange	Round_1_Replicate_4	-819761.76	1639539.52	8209662.96	161219.04	1.7913,0.2325,1.0578,5.9039,2.3243,0.2014,0.1918,0.2365
sec_contact_schange	Round_1_Replicate_5	-339125.46	678266.92	823412.49	210685.45	0.9979,5.2866,0.4943,0.3516,1.7125,0.2255,1.1872,6.1481
sec_contact_schange	Round_1_Replicate_6	-2423287.8	4846591.6	1858416601149.4	56822.23	2.5565,3.4567,8.1979,5.0121,6.4785,0.3094,0.6422,2.1719
sec_contact_schange	Round_1_Replicate_7	-594929.08	1189874.16	4333028.57	47007.47	3.3419,3.8377,1.6499,1.991,0.4687,0.2765,4.5524,0.217
sec_contact_schange	Round_1_Replicate_8	-696404.83	1392825.66	4803512.79	77709.18	2.3778,1.2793,1.5421,2.1446,0.2042,0.1695,2.4987,0.3117
sec_contact_schange	Round_1_Replicate_9	-351377.09	702770.18	728765.48	189394.41	0.4079,3.0372,0.4982,0.6203,0.329,1.1351,0.1218,1.7656
sec_contact_schange	Round_1_Replicate_10	-380137.84	760291.68	867924.14	52325.02	7.6818,0.3251,2.2605,3.925,0.2178,0.3872,1.7423,3.4745
sec_contact_schange	Round_1_Replicate_11	-848631.93	1697279.86	11999001.08	159196.52	0.2824,5.6552,2.707,0.7006,0.3555,3.1771,0.3112,0.3199
sec_contact_schange	Round_1_Replicate_12	-884998.65	1770013.3	3639909.59	153339.84	0.1846,6.9502,0.5277,0.2924,0.1937,0.1206,0.936,2.8804
sec_contact_schange	Round_1_Replicate_13	-904052.46	1808120.92	4125149.5	116515.64	0.5126,0.1635,2.0081,0.2992,0.3889,0.1244,0.7974,3.3114
sec_contact_schange	Round_1_Replicate_14	-714147.99	1428311.98	1954832.37	51778.28	1.0091,6.0361,0.3556,2.669,0.2842,0.2384,7.0639,1.447
sec_contact_schange	Round_1_Replicate_15	-1080109.84	2160235.68	110095254.54	91035.65	0.5616,6.6724,0.3928,5.3339,5.3439,1.963,0.4402,1.182
sec_contact_schange	Round_2_Replicate_1	-290983.78	581983.56	636017.39	73008.25	2.2254,8.5627,0.1826,0.3126,1.4272,0.4419,3.0803,0.2371
sec_contact_schange	Round_2_Replicate_2	-343636.07	687288.14	751462.41	151519.3	0.3576,2.3308,0.2611,0.4074,0.9877,0.301,1.7157,0.4165
sec_contact_schange	Round_2_Replicate_3	-815267.56	1630551.12	5127945.72	26289.32	1.2984,7.1565,1.1709,0.3766,1.6442,0.2185,19.3785,0.1324
sec_contact_schange	Round_2_Replicate_4	-491515.16	983046.32	1200346.25	39787.14	0.2013,7.6357,0.1438,0.5964,6.551,1.5855,9.5145,0.0918
sec_contact_schange	Round_2_Replicate_5	-381401.98	762819.96	850475.93	95767.7	0.2165,6.4807,0.4215,0.05,0.9076,1.5969,5.8699,0.2273
sec_contact_schange	Round_2_Replicate_6	-428396.89	856809.78	2537155.5	74862.01	1.3896,7.2776,0.5289,0.1693,4.818,0.5092,6.5552,0.6758
sec_contact_schange	Round_2_Replicate_7	-277525.14	555066.28	561873.79	60585.68	1.0009,3.8199,0.0909,0.3404,6.6433,0.3285,7.0537,0.0967
sec_contact_schange	Round_2_Replicate_8	-170788.85	341593.7	336086.6	114641.84	0.2409,7.6882,0.4383,0.2445,1.4541,0.3712,2.2868,0.5055
sec_contact_schange	Round_2_Replicate_9	-195101.3	390218.6	370860.91	108296.27	0.2684,15.9134,0.2899,0.2959,2.2718,1.2208,2.5002,0.571
sec_contact_schange	Round_2_Replicate_10	-787749.76	1575515.52	2035029.4	42129.63	0.4631,3.13,0.4865,0.0732,3.9263,0.6968,16.448,0.0866
sec_contact_schange	Round_2_Replicate_11	-695115.52	1390247.04	1954647.7	111504.61	2.3003,13.6936,0.1081,0.6277,0.8591,0.4032,1.9602,1.0013
sec_contact_schange	Round_2_Replicate_12	-173042.34	346100.68	400081.88	109681.76	0.523,8.8377,0.1782,0.2259,5.8872,0.2242,3.8534,0.6409
sec_contact_schange	Round_2_Replicate_13	-376996.23	754008.46	788758.51	139635.84	0.4025,2.3955,0.157,0.2258,1.5411,0.2088,3.882,0.5337
sec_contact_schange	Round_2_Replicate_14	-324946.84	649909.68	721995.08	81061.0	0.2611,3.6628,0.9421,0.3684,1.7248,0.1372,4.1813,0.2523
sec_contact_schange	Round_2_Replicate_15	-531980.06	1063976.12	1278036.59	153239.23	2.5333,3.9496,0.1083,0.1927,0.721,0.7037,2.9276,0.7667
sec_contact_schange	Round_2_Replicate_16	-1097938.43	2195892.86	18951844.03	44872.1	1.284,20.1181,1.0842,0.4413,5.3454,0.7291,2.4313,0.0815
