Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_bottle_schange	Round_1_Replicate_1	-221374.98	442769.96	407789.56	402461.95	3.8987,1.7067,2.4392,0.508,0.1601,0.2115,2.4724,1.6332,1.2681,2.5978
sec_contact_bottle_schange	Round_1_Replicate_2	-2240200.87	4480421.74	11323796243022.58	38238.22	0.2983,4.4661,0.876,2.0502,4.4814,7.115,2.2538,4.0496,7.6838,7.6156
sec_contact_bottle_schange	Round_1_Replicate_3	-1081441.22	2162902.44	3411504.78	76361.94	0.189,2.7021,3.6865,0.8014,0.3791,6.2446,0.1356,0.6772,3.5495,6.5581
sec_contact_bottle_schange	Round_1_Replicate_4	-473332.22	946684.44	1094341.65	49186.26	2.9431,0.868,0.3282,0.273,5.1426,3.5827,0.2345,0.2112,1.5757,5.7135
sec_contact_bottle_schange	Round_1_Replicate_5	-245280.46	490580.92	458995.17	234311.44	4.5373,7.7102,0.3951,2.2692,0.2983,0.2507,0.441,1.832,0.1972,0.3179
sec_contact_bottle_schange	Round_1_Replicate_6	-1066858.16	2133736.32	4182344.33	132572.32	0.3196,1.5489,0.5986,3.3898,0.1591,0.2943,0.2043,0.4542,3.3554,0.3087
sec_contact_bottle_schange	Round_1_Replicate_7	-657715.35	1315450.7	23646873.56	81023.21	3.2427,0.2812,0.2535,4.7237,1.3111,2.7467,0.4199,3.2583,4.8104,0.3564
sec_contact_bottle_schange	Round_1_Replicate_8	-1038681.19	2077382.38	543837073.86	99940.24	0.9426,1.2518,0.1683,2.6638,1.9401,0.6497,3.2043,4.2557,5.0131,1.2568
sec_contact_bottle_schange	Round_1_Replicate_9	-478233.71	956487.42	1306894.38	201298.96	3.6776,3.9846,0.1541,0.61,1.7113,0.2331,0.4963,0.1316,0.1505,0.4269
sec_contact_bottle_schange	Round_1_Replicate_10	-337544.55	675109.1	694342.59	99912.85	6.0463,0.9839,0.3123,0.6982,0.4145,0.8419,0.6151,0.5489,6.2624,1.2259
sec_contact_bottle_schange	Round_1_Replicate_11	-905454.52	1810929.04	36710188.98	72822.93	0.3073,0.4336,0.7154,0.2001,4.6453,2.3304,0.1301,1.6439,0.4242,3.0437
sec_contact_bottle_schange	Round_1_Replicate_12	-338679.63	677379.26	1244864.14	209513.81	3.7765,2.4129,0.3774,1.4349,0.4398,0.6589,3.4809,0.1469,6.081,4.1284
sec_contact_bottle_schange	Round_1_Replicate_13	-853509.0	1707038.0	102571511.25	77155.34	3.0961,0.4983,7.7343,0.2272,1.7444,2.3762,1.6254,0.9352,0.4438,5.3953
sec_contact_bottle_schange	Round_1_Replicate_14	-376614.28	753248.56	901400.21	320223.71	0.3508,0.5404,0.4599,0.2222,0.1571,0.2339,1.304,0.2543,0.2646,0.2132
sec_contact_bottle_schange	Round_1_Replicate_15	-1311931.23	2623882.46	2729143857.02	129561.21	0.5623,3.9365,3.049,1.7758,1.209,2.0018,0.3322,5.7143,0.3324,1.113
sec_contact_bottle_schange	Round_2_Replicate_1	-514582.95	1029185.9	1218213.64	435235.34	7.7724,4.541,1.8837,0.2243,0.0553,0.5321,5.2895,1.9301,0.957,8.6591
sec_contact_bottle_schange	Round_2_Replicate_2	-506930.79	1013881.58	1230698.27	516735.0	14.6836,5.9729,0.9099,0.9291,0.1096,0.0622,1.1688,2.4941,1.8301,1.4627
sec_contact_bottle_schange	Round_2_Replicate_3	-639594.28	1279208.56	1695833.43	351423.25	2.3217,1.7166,3.8537,1.4006,0.079,0.6069,2.1959,3.253,1.3168,3.904
sec_contact_bottle_schange	Round_2_Replicate_4	-260557.3	521134.6	610764.71	165471.24	1.6666,4.6813,6.4166,1.3413,0.3099,0.1993,1.6966,0.7893,2.0749,1.1415
sec_contact_bottle_schange	Round_2_Replicate_5	-322175.48	644370.96	881825.56	387823.33	9.3725,2.4925,2.6014,1.326,0.1573,0.3679,6.8994,1.9661,4.7992,6.5081
sec_contact_bottle_schange	Round_2_Replicate_6	-331288.36	662596.72	894191.33	132321.65	3.3994,6.9173,4.9059,1.3451,0.1762,0.4904,3.0212,3.2453,2.4074,0.8898
sec_contact_bottle_schange	Round_2_Replicate_7	-547491.24	1095002.48	1515872.49	1190721.43	6.9535,1.0517,2.1235,0.3168,0.0604,0.0648,2.4221,2.0862,2.1076,4.7087
sec_contact_bottle_schange	Round_2_Replicate_8	-406706.3	813432.6	856543.38	605818.9	0.9947,0.619,3.8934,1.5269,0.0708,0.2745,3.3246,3.0445,1.5889,7.4046
sec_contact_bottle_schange	Round_2_Replicate_9	-540843.44	1081706.88	1725325.94	341940.22	2.0589,1.8765,0.7671,0.2373,0.3699,0.1364,3.3352,0.4909,2.4761,1.0635
sec_contact_bottle_schange	Round_2_Replicate_10	-752232.7	1504485.4	2077897.49	338725.16	13.9503,6.6382,8.4444,1.2423,0.0576,0.1536,0.8219,1.3805,0.4583,0.936
sec_contact_bottle_schange	Round_2_Replicate_11	-447079.08	894178.16	1425410.75	893389.78	12.6426,0.5543,4.0033,0.8795,0.1764,0.1138,9.2006,0.575,5.0653,6.5463
sec_contact_bottle_schange	Round_2_Replicate_12	-324434.04	648888.08	806447.69	327340.1	10.3029,0.6887,1.134,1.7407,0.4509,0.1075,1.4437,2.761,0.6489,6.3218
sec_contact_bottle_schange	Round_2_Replicate_13	-255726.33	511472.66	510904.64	214196.59	1.9133,2.0759,0.6629,0.2401,0.494,0.4081,0.6432,0.9428,0.9835,7.0557
sec_contact_bottle_schange	Round_2_Replicate_14	-394532.77	789085.54	798407.94	500931.27	1.4637,2.588,6.9197,0.1659,0.0765,0.391,3.7066,0.4378,2.5332,6.7433
sec_contact_bottle_schange	Round_2_Replicate_15	-340686.96	681393.92	923486.61	178461.42	2.4913,5.8657,5.8496,1.7948,0.528,0.1254,1.0152,1.5879,0.5484,1.4008
sec_contact_bottle_schange	Round_2_Replicate_16	-323107.65	646235.3	639813.1	361232.67	11.9194,0.664,1.4973,0.2184,0.1201,0.5466,6.0662,1.3626,1.6658,1.2209
sec_contact_bottle_schange	Round_2_Replicate_17	-303246.09	606512.18	668378.42	430745.72	1.3556,0.5595,8.4887,0.6664,0.1692,0.119,2.102,1.5926,1.005,2.5371
sec_contact_bottle_schange	Round_2_Replicate_18	-373406.91	746833.82	902466.0	265845.25	4.7409,1.252,1.8153,1.5101,0.0613,0.355,4.4604,1.333,0.8388,0.6676
sec_contact_bottle_schange	Round_2_Replicate_19	-282251.14	564522.28	487446.01	307067.32	7.5938,6.2334,4.924,0.2714,0.147,0.6596,3.9145,0.4761,1.3805,1.6076
sec_contact_bottle_schange	Round_2_Replicate_20	-241861.05	483742.1	510667.76	202583.36	2.6337,1.6534,4.1349,1.4411,0.2868,0.3958,2.6015,2.1715,3.066,3.6892
sec_contact_bottle_schange	Round_2_Replicate_21	-407412.67	814845.34	1519473.73	335776.75	8.8179,1.8202,1.4688,1.2553,0.4772,0.136,3.8352,3.4826,1.0399,5.098
sec_contact_bottle_schange	Round_2_Replicate_22	-233950.04	467920.08	506146.53	263138.31	2.1098,2.2018,1.2902,0.5565,0.4996,0.111,0.8344,5.3529,0.8005,1.7461
sec_contact_bottle_schange	Round_2_Replicate_23	-327152.73	654325.46	757100.9	346691.87	5.1201,0.8015,3.4975,1.5881,0.1648,0.3489,1.9937,4.3017,1.6583,3.7912
sec_contact_bottle_schange	Round_2_Replicate_24	-520428.92	1040877.84	2109357.22	216486.77	1.4212,1.226,4.1393,0.3974,0.5391,0.0742,2.7341,3.0702,1.2379,1.0056
sec_contact_bottle_schange	Round_2_Replicate_25	-394517.47	789054.94	1377985.51	285353.01	4.1753,1.4181,1.1396,0.3113,0.5722,0.1098,2.6548,6.6357,3.8504,4.0101
sec_contact_bottle_schange	Round_2_Replicate_26	-302915.26	605850.52	557887.22	489977.7	3.4603,2.8972,7.281,0.9249,0.073,0.403,9.81,0.5586,3.5059,4.6285
sec_contact_bottle_schange	Round_2_Replicate_27	-302600.26	605220.52	688520.76	415993.8	1.9069,6.7692,3.2455,0.1389,0.1395,0.1693,3.3619,0.8408,1.1814,0.8088
sec_contact_bottle_schange	Round_2_Replicate_28	-343575.45	687170.9	1494412.06	152560.9	1.7844,0.6584,1.0899,1.0689,0.5565,0.449,1.5689,3.2513,1.6737,0.8882
sec_contact_bottle_schange	Round_2_Replicate_29	-611928.35	1223876.7	14568691.24	167403.52	1.5085,4.1083,1.316,0.4221,0.4821,0.7384,3.5803,3.3334,1.0919,1.6072
sec_contact_bottle_schange	Round_2_Replicate_30	-489690.45	979400.9	1293868.77	691247.11	3.7,0.4225,3.24,0.4763,0.1089,0.1209,1.6956,1.1132,0.346,9.7882
sec_contact_bottle_schange	Round_3_Replicate_1	-642069.79	1284159.58	2524028.18	218847.59	2.9434,0.5496,3.3846,0.1411,0.3302,0.0788,2.8744,1.2778,4.3556,0.8322
sec_contact_bottle_schange	Round_3_Replicate_2	-859741.74	1719503.48	2681579.55	265213.37	8.2319,0.8975,9.6069,0.2546,0.0799,0.0852,1.3571,0.6771,4.2016,0.994
sec_contact_bottle_schange	Round_3_Replicate_3	-374442.04	748904.08	1441149.86	306419.53	10.7631,3.0736,0.6954,0.3305,0.2771,0.4364,4.3233,2.5502,3.0809,7.5838
sec_contact_bottle_schange	Round_3_Replicate_4	-354825.8	709671.6	1457092.79	204011.54	1.8627,1.9379,1.5503,1.5523,0.524,0.3277,3.3674,0.6572,0.6049,1.4597
sec_contact_bottle_schange	Round_3_Replicate_5	-205945.89	411911.78	476338.79	239980.77	2.8157,1.7944,5.3475,1.7973,0.2136,0.1977,3.993,1.9496,0.936,1.0949
sec_contact_bottle_schange	Round_3_Replicate_6	-358256.7	716533.4	741220.74	227745.14	10.009,0.4876,0.6775,0.3713,0.1235,0.2211,2.233,0.5722,3.8211,0.6587
sec_contact_bottle_schange	Round_3_Replicate_7	-230881.82	461783.64	425978.55	498474.8	1.9334,1.1128,2.4995,0.5193,0.1977,0.1795,1.4714,3.0627,0.6149,8.5799
sec_contact_bottle_schange	Round_3_Replicate_8	-408944.0	817908.0	1719284.71	587420.95	2.9584,0.4726,2.9877,0.2237,0.2574,0.1423,7.1107,3.0205,1.7784,4.8521
sec_contact_bottle_schange	Round_3_Replicate_9	-313345.67	626711.34	850517.57	166976.33	2.7829,1.0285,1.9302,0.9689,0.4418,0.6796,1.8515,1.8501,2.5152,5.6107
sec_contact_bottle_schange	Round_3_Replicate_10	-198638.15	397296.3	376841.93	558858.83	13.806,5.4434,4.816,0.2745,0.0584,0.1407,10.2596,0.6855,3.3679,0.6422
sec_contact_bottle_schange	Round_3_Replicate_11	-351693.31	703406.62	731371.12	360857.37	5.7681,1.2983,6.5664,0.3801,0.1533,0.4055,1.8843,0.4179,0.4324,10.3167
sec_contact_bottle_schange	Round_3_Replicate_12	-546740.84	1093501.68	1253605.04	584036.55	3.383,2.7491,6.8366,0.1586,0.0753,0.3987,2.5148,4.3288,0.4404,6.6571
sec_contact_bottle_schange	Round_3_Replicate_13	-218599.48	437218.96	400830.29	292601.7	6.5439,2.7206,1.5495,1.2044,0.2734,0.2939,1.4789,1.3422,0.3632,5.4188
sec_contact_bottle_schange	Round_3_Replicate_14	-301718.25	603456.5	646232.4	482977.05	0.9932,0.7937,7.3072,1.6926,0.1564,0.2285,1.3611,5.7189,0.7264,4.1475
sec_contact_bottle_schange	Round_3_Replicate_15	-404032.07	808084.14	773545.96	470522.68	1.5358,0.9432,4.2912,0.1639,0.0587,0.5582,7.5174,0.8347,4.794,2.0109
