Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2, T3)
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_1	-3162296.75	6324615.5	333475057.62	64371.57	0.2544,0.1378,4.2278,3.5595,0.2344,5.6434,0.4555,0.2874,1.6806,0.7784,3.2527
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_2	-1388338.0	2776698.0	16566052.56	185203.33	0.9048,5.151,4.9747,4.6054,0.3539,0.1653,0.7508,0.951,0.1312,0.3112,1.1761
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_3	-4186502.45	8373026.9	29509786799.13	64591.19	1.002,0.2601,2.9947,0.1741,3.8683,1.3089,6.0018,1.4042,0.9484,0.4802,3.2919
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_4	-952085.38	1904192.76	4533984.15	62123.1	2.1948,0.1648,5.4245,4.2144,0.4091,1.2032,1.7284,1.0577,0.7339,7.0047,1.802
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_5	-6117552.98	12235127.96	4341718126202.6	45033.76	2.1917,0.4763,0.1417,2.3054,1.1977,6.2558,0.9769,0.1423,6.153,0.1621,4.2214
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_6	-1954720.97	3909463.94	1055957015381.7	34441.97	1.426,5.1198,0.489,0.1258,6.3898,0.2188,0.2791,0.145,7.3928,0.2883,3.0441
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_7	-2822391.84	5644805.68	354657154.22	95968.29	0.2272,2.8646,0.9213,0.2813,5.5597,0.3107,1.8432,2.8033,0.3768,0.2046,1.3874
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_8	-2019458.62	4038939.24	66384372.24	53382.19	1.9619,0.4646,1.8182,2.6469,4.686,0.5638,1.8492,4.2362,0.2385,5.1324,3.5533
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_9	-3197883.6	6395789.2	1108080423.3	227267.15	0.6559,0.2685,0.2349,0.2555,0.6741,0.3275,2.8599,1.6659,0.5074,0.723,1.1676
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_10	-442099.67	884221.34	874430.09	81617.5	0.3813,0.8785,0.7978,5.0366,0.6703,1.5281,6.076,1.9129,0.2219,2.3638,0.3795
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_11	-2677040.34	5354102.68	212224713.03	123763.97	2.0517,0.4037,0.2921,0.3945,0.5066,5.9843,3.4144,3.1959,0.7403,1.7164,1.4565
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_12	-877637.27	1755296.54	4344955.15	145626.89	0.4924,0.166,2.8612,0.2691,0.307,2.8792,0.2663,6.3934,0.1861,1.0778,0.6608
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_13	-6733187.77	13466397.54	2923115705643.81	121044.99	0.5125,0.1611,5.6943,5.5161,0.1271,0.2291,3.8174,2.2323,0.5471,1.9453,4.7673
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_14	-2165555.65	4331133.3	63495290.05	103339.51	0.9757,2.2667,1.0128,0.3385,0.4805,8.1823,0.1473,0.944,0.7543,1.0068,1.4043
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_15	-1661162.54	3322347.08	23918224.55	99548.27	5.608,0.4006,0.5035,0.1971,5.8284,2.4951,0.349,1.0176,1.2168,1.1454,0.7678
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_1	-2156688.24	4313398.48	39176533.0	80816.73	0.7056,0.2674,0.6234,12.7789,0.2509,2.4662,1.7209,1.2562,0.4916,1.8734,1.2804
