Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, T)
schange	Round_1_Replicate_1	-2301747.19	4603504.38	115061930.98	198331.51	1.4918,0.3256,0.7466,0.161,0.9868
schange	Round_1_Replicate_2	-2050488.71	4100987.42	41229586022858.67	133163.76	5.7287,0.1266,0.197,0.1488,3.2206
schange	Round_1_Replicate_3	-4774875.64	9549761.28	109590983459.43	73720.97	0.186,1.5551,2.9055,1.1025,4.4437
schange	Round_1_Replicate_4	-3788229.73	7576469.46	3945229934.58	114011.38	0.194,0.5943,0.6596,2.7567,2.2582
schange	Round_1_Replicate_5	-2455712.25	4911434.5	147382061.68	61632.79	0.2316,1.1804,3.6164,8.1772,2.4485
schange	Round_1_Replicate_6	-1977215.19	3954440.38	35927852.04	134346.08	5.1347,3.2245,0.195,1.465,1.9063
schange	Round_1_Replicate_7	-408264.5	816539.0	1137633.46	199272.75	1.0488,1.1615,0.4922,0.5609,0.4168
schange	Round_1_Replicate_8	-3696282.5	7392575.0	3072013774.36	111823.07	4.7546,0.3824,0.4814,1.3514,3.6435
schange	Round_1_Replicate_9	-1193235.62	2386481.24	10925004.82	136329.83	1.5754,0.758,0.7508,1.262,1.3227
schange	Round_1_Replicate_10	-636992.19	1273994.38	1517448.6	132929.78	0.4424,3.9408,3.0147,1.9595,0.3765
schange	Round_1_Replicate_11	-3145098.75	6290207.5	455627666.86	119121.78	0.1691,0.709,0.3702,6.9172,1.3738
schange	Round_1_Replicate_12	-2158561.91	4317133.82	70515375.2	295864.29	0.2759,0.272,0.2399,0.3822,0.7519
schange	Round_1_Replicate_13	-1451947.67	2903905.34	18807177.16	235021.0	0.5824,0.297,0.5746,0.2801,0.7071
schange	Round_1_Replicate_14	-473475.54	946961.08	978522.22	185113.82	0.1693,3.3236,2.3338,0.7424,0.1983
schange	Round_1_Replicate_15	-2032271.83	4064553.66	72636211.42	59055.52	4.3146,0.4675,2.0317,6.1311,3.3268
schange	Round_2_Replicate_1	-187164.64	374339.28	354524.88	261913.91	3.1262,0.6995,0.1353,0.2768,0.1496
schange	Round_2_Replicate_2	-612170.43	1224350.86	1864259.06	140620.26	0.7589,4.0564,0.9043,1.2312,0.6608
schange	Round_2_Replicate_3	-2316141.0	4632292.0	122422035.51	184234.84	0.3799,2.0011,0.802,0.2566,1.532
schange	Round_2_Replicate_4	-381769.6	763549.2	919361.88	176984.18	2.9691,3.8484,0.397,0.6318,0.4815
schange	Round_2_Replicate_5	-946661.39	1893332.78	3832108.39	213467.52	0.3597,2.2904,0.1974,0.8907,0.4401
schange	Round_2_Replicate_6	-978023.18	1956056.36	6488234.8	102000.0	1.1227,2.9426,1.632,1.3356,1.4652
schange	Round_2_Replicate_7	-1628760.09	3257530.18	27904086.75	161513.7	0.5048,0.9399,0.6677,0.8483,1.3021
schange	Round_2_Replicate_8	-458075.77	916161.54	1341321.75	173833.01	3.1129,0.3961,0.8335,1.6822,0.2154
schange	Round_2_Replicate_9	-1310076.84	2620163.68	14645659.76	168476.59	0.4267,4.1611,1.0443,0.3039,1.1425
schange	Round_2_Replicate_10	-314228.19	628466.38	619287.3	196330.3	1.6888,2.3229,0.4089,0.6005,0.2778
schange	Round_2_Replicate_11	-438608.29	877226.58	848269.85	220331.56	0.4847,2.2015,0.2186,1.4236,0.1429
schange	Round_2_Replicate_12	-1203502.92	2407015.84	11211966.02	190413.19	0.9479,4.5563,0.5252,0.2938,1.1386
schange	Round_2_Replicate_13	-1012725.81	2025461.62	7064612.15	215163.88	0.8892,4.6814,0.4343,0.234,0.8814
schange	Round_2_Replicate_14	-2513891.27	5027792.54	130419636.96	245602.12	0.9372,1.9984,0.1792,0.3112,1.3707
schange	Round_2_Replicate_15	-537071.07	1074152.14	1651985.13	278460.99	0.601,0.8575,0.1665,0.3419,0.306
schange	Round_2_Replicate_16	-1329485.34	2658980.68	14204545.62	163561.64	0.5281,0.3687,1.6733,0.4122,0.8233
schange	Round_2_Replicate_17	-314820.22	629650.44	561420.47	224125.45	1.3686,0.3505,0.2206,1.9303,0.1874
schange	Round_2_Replicate_18	-866329.36	1732668.72	3790998.03	168078.34	0.4272,0.6991,0.5569,2.0999,0.6244
schange	Round_2_Replicate_19	-200968.93	401947.86	396445.31	256394.77	0.4689,0.4035,0.429,0.2066,0.1201
schange	Round_2_Replicate_20	-380891.82	761793.64	769873.65	184520.15	0.3427,1.6724,1.7156,0.5065,0.2644
schange	Round_2_Replicate_21	-1749507.07	3499024.14	35461194.94	141751.71	1.9159,0.7835,1.4682,0.2246,1.2091
schange	Round_2_Replicate_22	-337123.68	674257.36	860183.58	233365.2	0.439,0.6138,0.8242,0.1988,0.2281
schange	Round_2_Replicate_23	-318849.56	637709.12	586387.2	231701.33	0.3542,0.7204,0.3584,0.8215,0.1735
