Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_1_Replicate_1	-469115.37	938236.74	60730397.89	5853.21	5.2394,1.188,4.3527
no_mig	Round_1_Replicate_2	-974505.26	1949016.52	111356176534.69	12002.04	2.6678,0.17,2.0483
no_mig	Round_1_Replicate_3	-1020599.29	2041204.58	103710241925.92	37002.14	0.2205,0.1635,1.3032
no_mig	Round_1_Replicate_4	-99180.83	198367.66	229151.18	31877.97	0.1813,0.6992,0.1199
no_mig	Round_1_Replicate_5	-433760.58	867527.16	36980445.2	8806.39	6.5659,0.3414,1.4191
no_mig	Round_1_Replicate_6	-147670.66	295347.32	718636.26	13721.19	5.0655,0.504,0.472
no_mig	Round_1_Replicate_7	-535845.01	1071696.02	149809166.99	4373.37	8.1656,1.2298,5.5072
no_mig	Round_1_Replicate_8	-77722.72	155451.44	525259.0	21509.85	0.7963,5.4271,0.1461
no_mig	Round_1_Replicate_9	-319277.39	638560.78	3127129970789.77	8130.15	0.4757,0.1406,5.5374
no_mig	Round_1_Replicate_10	-282965.98	565937.96	280253652272932.38	12877.63	0.1144,0.3046,2.6473
no_mig	Round_2_Replicate_1	-103958.81	207923.62	8597447.4	18521.85	2.3149,5.6444,0.1554
no_mig	Round_2_Replicate_2	-106717.9	213441.8	361331.21	13513.14	2.1706,3.2093,0.4936
no_mig	Round_2_Replicate_3	-87354.75	174715.5	228210.43	21211.94	0.5681,5.2793,0.1942
no_mig	Round_2_Replicate_4	-73764.13	147534.26	268313.2	23741.78	0.5026,4.2106,0.1244
no_mig	Round_2_Replicate_5	-98417.3	196840.6	5113325.43	19271.01	1.5181,16.127,0.149
no_mig	Round_2_Replicate_6	-138229.12	276464.24	442439.66	15478.77	0.7607,5.7018,0.4956
no_mig	Round_2_Replicate_7	-75414.53	150835.06	836560.28	23827.95	0.5793,11.4409,0.095
no_mig	Round_2_Replicate_8	-83118.87	166243.74	1663332.73	20376.18	1.3966,3.3833,0.1447
no_mig	Round_2_Replicate_9	-107772.13	215550.26	8235988.37	17903.92	1.9223,25.01,0.1714
no_mig	Round_2_Replicate_10	-94136.09	188278.18	6344035.08	20922.27	1.3209,10.7198,0.1163
no_mig	Round_2_Replicate_11	-83314.6	166635.2	275230.43	18603.67	1.14,2.7771,0.2601
no_mig	Round_2_Replicate_12	-80959.66	161925.32	205033.38	23663.39	0.4304,3.9593,0.1454
no_mig	Round_2_Replicate_13	-186490.0	372986.0	877903.27	22082.95	0.3537,1.6966,0.4603
no_mig	Round_2_Replicate_14	-107631.58	215269.16	14828330.2	18866.64	2.7752,4.4719,0.1391
no_mig	Round_2_Replicate_15	-84337.26	168680.52	212907.26	21382.3	0.6195,3.0357,0.2102
no_mig	Round_2_Replicate_16	-131579.83	263165.66	434254.06	17085.83	0.7643,2.8434,0.4949
no_mig	Round_2_Replicate_17	-75613.5	151233.0	1037934.36	21252.15	1.3242,2.1085,0.1355
no_mig	Round_2_Replicate_18	-69819.14	139644.28	596918.79	26385.61	0.3614,9.0235,0.065
no_mig	Round_2_Replicate_19	-85608.87	171223.74	2041522.2	19636.59	2.1407,2.1323,0.1479
no_mig	Round_2_Replicate_20	-104523.72	209053.44	293966.6	16330.26	0.9751,6.9502,0.3506
no_mig	Round_3_Replicate_1	-48787.79	97581.58	208286.6	32441.51	0.1367,0.3713,0.0253
no_mig	Round_3_Replicate_2	-69665.77	139337.54	488529.07	22716.83	0.8345,2.2963,0.1288
no_mig	Round_3_Replicate_3	-83911.24	167828.48	637089.7	18655.77	1.388,3.6553,0.208
no_mig	Round_3_Replicate_4	-61970.03	123946.06	371267.83	23385.08	0.9992,1.1115,0.1206
no_mig	Round_3_Replicate_5	-75541.01	151088.02	682613.95	23364.89	0.6062,9.067,0.1056
no_mig	Round_3_Replicate_6	-68078.64	136163.28	485690.31	27538.85	0.281,7.8329,0.054
no_mig	Round_3_Replicate_7	-94436.58	188879.16	2482153.0	18976.94	1.3469,17.5336,0.1656
no_mig	Round_3_Replicate_8	-79359.48	158724.96	425461.55	22692.68	0.5458,28.5188,0.1217
no_mig	Round_3_Replicate_9	-67599.04	135204.08	423364.8	24196.59	0.6111,2.5276,0.1069
no_mig	Round_3_Replicate_10	-72550.38	145106.76	380742.03	24482.99	0.4662,6.4054,0.0995
no_mig	Round_3_Replicate_11	-70667.89	141341.78	696378.06	25575.42	0.4396,7.0409,0.0741
no_mig	Round_3_Replicate_12	-72766.89	145539.78	1021345.8	24354.14	0.6065,5.0133,0.0868
no_mig	Round_3_Replicate_13	-72825.46	145656.92	488948.6	23609.73	0.5861,5.1045,0.1098
no_mig	Round_3_Replicate_14	-68536.13	137078.26	558867.14	27800.27	0.2613,14.33,0.0484
no_mig	Round_3_Replicate_15	-76459.29	152924.58	682419.0	23746.94	0.5327,28.2917,0.0969
no_mig	Round_3_Replicate_16	-66940.48	133886.96	866895.96	27829.36	0.299,4.7683,0.0456
no_mig	Round_3_Replicate_17	-65643.62	131293.24	377045.91	27825.12	0.2789,3.4707,0.0562
no_mig	Round_3_Replicate_18	-69434.85	138875.7	817852.26	27553.62	0.2856,24.9204,0.0469
no_mig	Round_3_Replicate_19	-91578.09	183162.18	1499604.89	19170.94	1.1419,28.6377,0.1684
no_mig	Round_3_Replicate_20	-68466.15	136938.3	918526.78	28089.32	0.2617,13.7181,0.0408
no_mig	Round_3_Replicate_21	-72276.93	144559.86	325120.45	26881.38	0.2721,26.2425,0.0651
no_mig	Round_3_Replicate_22	-69736.88	139479.76	384674.05	26439.0	0.3353,7.0033,0.071
no_mig	Round_3_Replicate_23	-70130.51	140267.02	451496.23	26030.61	0.3705,7.5423,0.0737
no_mig	Round_3_Replicate_24	-71008.86	142023.72	671755.47	26013.69	0.3866,12.283,0.0677
no_mig	Round_3_Replicate_25	-67080.4	134166.8	564890.75	25969.81	0.4386,3.3628,0.074
no_mig	Round_3_Replicate_26	-75340.92	150687.84	1031463.49	22849.73	0.7958,4.347,0.1098
no_mig	Round_3_Replicate_27	-70233.72	140473.44	686777.38	24372.76	0.5947,3.6524,0.0932
no_mig	Round_3_Replicate_28	-67256.26	134518.52	922631.04	28528.97	0.2419,7.5575,0.037
no_mig	Round_3_Replicate_29	-73283.67	146573.34	579526.4	22985.44	0.6944,4.2335,0.1178
no_mig	Round_3_Replicate_30	-91383.09	182772.18	1729836.24	19437.93	1.1412,28.3438,0.1603
no_mig	Round_4_Replicate_1	-34872.9	69751.8	122903.2	32106.39	0.2766,0.149,0.0303
no_mig	Round_4_Replicate_2	-45736.45	91478.9	158976.13	28028.37	0.5797,0.4187,0.0747
no_mig	Round_4_Replicate_3	-39935.51	79877.02	143646.43	31376.97	0.2888,0.267,0.0411
no_mig	Round_4_Replicate_4	-35542.35	71090.7	123604.0	31268.74	0.359,0.1539,0.0343
no_mig	Round_4_Replicate_5	-39954.06	79914.12	194226.11	29400.6	0.5243,0.2249,0.0415
no_mig	Round_4_Replicate_6	-37456.29	74918.58	118589.85	31272.93	0.3483,0.2039,0.0427
no_mig	Round_4_Replicate_7	-45892.73	91791.46	188930.14	28183.4	0.543,0.4434,0.0677
no_mig	Round_4_Replicate_8	-37091.11	74188.22	185086.03	30943.54	0.3409,0.1753,0.0302
no_mig	Round_4_Replicate_9	-35701.0	71408.0	111585.05	31459.99	0.3554,0.156,0.0371
no_mig	Round_4_Replicate_10	-41369.94	82745.88	144781.75	30376.04	0.3672,0.3123,0.0511
no_mig	Round_4_Replicate_11	-32872.3	65750.6	103678.29	32350.47	0.2802,0.0971,0.0249
no_mig	Round_4_Replicate_12	-35393.96	70793.92	89272.65	33708.32	0.2252,0.1332,0.0337
no_mig	Round_4_Replicate_13	-41335.06	82676.12	206863.16	29677.52	0.4362,0.2894,0.0446
no_mig	Round_4_Replicate_14	-33621.24	67248.48	101518.33	32357.48	0.2891,0.1137,0.0289
no_mig	Round_4_Replicate_15	-45363.01	90732.02	381730.83	29929.31	0.3421,0.3507,0.0351
no_mig	Round_4_Replicate_16	-36068.59	72143.18	130661.47	30461.84	0.4599,0.1351,0.0328
no_mig	Round_4_Replicate_17	-45292.88	90591.76	175846.34	28346.74	0.5351,0.4219,0.0677
no_mig	Round_4_Replicate_18	-41966.3	83938.6	137114.24	29398.61	0.4837,0.3104,0.0609
no_mig	Round_4_Replicate_19	-32715.47	65436.94	97672.56	32938.85	0.2442,0.0998,0.0253
no_mig	Round_4_Replicate_20	-41211.28	82428.56	140734.13	30409.24	0.3689,0.3068,0.0516
no_mig	Round_4_Replicate_21	-35967.32	71940.64	104467.95	31945.12	0.3193,0.1634,0.0387
no_mig	Round_4_Replicate_22	-39041.22	78088.44	167758.32	30154.43	0.4214,0.2332,0.0418
no_mig	Round_4_Replicate_23	-38833.92	77673.84	166937.13	30210.36	0.4178,0.2277,0.0411
no_mig	Round_4_Replicate_24	-34752.48	69510.96	94872.21	32256.15	0.3217,0.118,0.0337
no_mig	Round_4_Replicate_25	-34027.44	68060.88	132333.97	31636.9	0.3127,0.1177,0.0257
no_mig	Round_4_Replicate_26	-35857.45	71720.9	101159.84	32596.24	0.2694,0.1621,0.0365
no_mig	Round_4_Replicate_27	-34640.57	69287.14	101228.92	33055.01	0.2336,0.1399,0.0307
no_mig	Round_4_Replicate_28	-34434.11	68874.22	107344.78	32007.92	0.3108,0.1323,0.0319
no_mig	Round_4_Replicate_29	-48899.65	97805.3	237828.61	29395.67	0.3406,0.5777,0.0529
no_mig	Round_4_Replicate_30	-33200.33	66406.66	100241.7	32592.68	0.2695,0.1074,0.0272
no_mig	Round_4_Replicate_31	-34097.31	68200.62	103792.25	32363.84	0.2848,0.1276,0.0307
no_mig	Round_4_Replicate_32	-39720.89	79447.78	192506.68	30246.61	0.3907,0.2483,0.0396
no_mig	Round_4_Replicate_33	-38200.06	76406.12	132905.96	30089.77	0.4718,0.2014,0.0447
no_mig	Round_4_Replicate_34	-47915.04	95836.08	163173.52	31124.41	0.2336,0.4668,0.0451
no_mig	Round_4_Replicate_35	-36623.73	73253.46	134586.06	30812.79	0.3919,0.176,0.0373
no_mig	Round_4_Replicate_36	-50165.4	100336.8	251923.83	28158.43	0.4501,0.6468,0.0652
no_mig	Round_4_Replicate_37	-46031.82	92069.64	137602.36	28839.16	0.4719,0.4328,0.0756
no_mig	Round_4_Replicate_38	-33141.85	66289.7	106795.3	31797.89	0.324,0.0841,0.0229
no_mig	Round_4_Replicate_39	-35691.42	71388.84	122785.44	32525.45	0.2387,0.1647,0.0304
no_mig	Round_4_Replicate_40	-43932.17	87870.34	171020.11	28303.83	0.5901,0.3559,0.0645
