Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-54330.25	108668.5	193583.8	35237.58	0.2936,0.5096,4.005,5.1669
sym_mig	Round_1_Replicate_2	-97071.8	194151.6	348201.48	15839.99	3.7737,0.2047,1.9408,0.8607
sym_mig	Round_1_Replicate_3	-76147.19	152302.38	187625.65	14748.47	0.5541,1.4937,1.0005,6.0481
sym_mig	Round_1_Replicate_4	-233419.47	466846.94	1570829.33	17615.78	0.2833,1.0352,0.1792,4.0966
sym_mig	Round_1_Replicate_5	-262386.42	524780.84	2039207.92	13250.22	0.2766,6.8994,0.2207,1.0741
sym_mig	Round_1_Replicate_6	-89705.4	179418.8	487617.05	19359.66	0.5379,4.2657,1.7919,0.3305
sym_mig	Round_1_Replicate_7	-71860.88	143729.76	662354.14	20963.31	0.3557,1.5078,4.1073,4.4625
sym_mig	Round_1_Replicate_8	-63098.47	126204.94	310630.14	9255.11	3.3834,0.8643,1.2436,3.2819
sym_mig	Round_1_Replicate_9	-86389.19	172786.38	6522494.99	15866.96	0.4883,2.8095,6.1087,2.8156
sym_mig	Round_1_Replicate_10	-140225.93	280459.86	403136654.6	16268.37	1.7681,3.6529,5.6688,0.2797
sym_mig	Round_2_Replicate_1	-42677.08	85362.16	142481.97	27768.48	0.6699,0.329,3.2227,2.8595
sym_mig	Round_2_Replicate_2	-90114.9	180237.8	364719.04	28254.33	0.1959,1.5164,3.9931,1.9639
sym_mig	Round_2_Replicate_3	-42531.53	85071.06	132221.61	68948.14	0.2393,0.1493,7.3778,2.2927
sym_mig	Round_2_Replicate_4	-55010.47	110028.94	426511.69	12023.92	0.8811,1.5155,2.0356,25.2239
sym_mig	Round_2_Replicate_5	-71927.6	143863.2	292362.66	17230.07	0.5522,1.6657,1.8824,1.5757
sym_mig	Round_2_Replicate_6	-56600.05	113208.1	453933.2	13283.52	1.1095,1.2572,1.9434,2.7495
sym_mig	Round_2_Replicate_7	-74880.65	149769.3	183040.51	48163.21	0.2012,0.3434,2.295,12.8457
sym_mig	Round_2_Replicate_8	-58688.21	117384.42	177730.36	28330.53	0.8151,0.2059,1.9432,2.9075
sym_mig	Round_2_Replicate_9	-62634.19	125276.38	820491.64	27277.34	0.3422,0.8189,5.7755,2.4339
sym_mig	Round_2_Replicate_10	-43663.57	87335.14	144980.32	18843.0	1.091,0.4337,2.2391,12.9333
sym_mig	Round_2_Replicate_11	-161199.78	322407.56	518066.51	25305.27	0.1255,1.702,1.5995,17.2451
sym_mig	Round_2_Replicate_12	-42572.57	85153.14	141697.18	75415.58	0.2222,0.1361,8.5257,19.8559
sym_mig	Round_2_Replicate_13	-101587.11	203182.22	343213.26	72520.83	0.1576,0.157,1.8048,10.4827
sym_mig	Round_2_Replicate_14	-96830.83	193669.66	289461.87	48919.51	0.205,0.2842,1.4199,15.057
sym_mig	Round_2_Replicate_15	-51733.7	103475.4	414284.1	37845.73	0.3119,0.421,6.4514,7.3436
sym_mig	Round_2_Replicate_16	-69163.42	138334.84	672316.72	15406.72	0.7018,1.7378,2.4953,1.847
sym_mig	Round_2_Replicate_17	-125429.23	250866.46	343177.44	24229.09	0.1968,1.2585,1.3362,11.824
sym_mig	Round_2_Replicate_18	-47678.63	95365.26	123269.14	65932.35	0.2493,0.1477,4.6703,8.6779
sym_mig	Round_2_Replicate_19	-46845.52	93699.04	139152.74	28093.75	0.4616,0.4848,2.7821,16.9281
sym_mig	Round_2_Replicate_20	-94243.7	188495.4	319907.48	43518.24	0.2945,0.2333,1.1583,9.3011
sym_mig	Round_3_Replicate_1	-45735.13	91478.26	323421.22	84444.96	0.2388,0.1026,15.0468,1.4566
sym_mig	Round_3_Replicate_2	-47000.5	94009.0	157824.42	31382.56	0.3804,0.4542,3.5459,0.7553
sym_mig	Round_3_Replicate_3	-42520.11	85048.22	138357.18	125558.61	0.1413,0.0765,14.1099,7.1986
sym_mig	Round_3_Replicate_4	-61806.94	123621.88	1423515.72	57986.14	0.1794,0.3273,14.8383,2.2529
sym_mig	Round_3_Replicate_5	-65581.87	131171.74	157268.62	75623.51	0.1398,0.2038,4.0961,2.1274
sym_mig	Round_3_Replicate_6	-42678.07	85364.14	130438.44	28510.15	0.6829,0.2925,3.1516,0.883
sym_mig	Round_3_Replicate_7	-41978.93	83965.86	143171.47	107581.0	0.1647,0.0879,12.7507,1.3238
sym_mig	Round_3_Replicate_8	-47820.53	95649.06	139497.21	24878.91	0.8506,0.3557,2.2676,0.5704
sym_mig	Round_3_Replicate_9	-46633.25	93274.5	182816.05	40725.83	0.5901,0.1753,5.7523,10.8865
sym_mig	Round_3_Replicate_10	-42770.33	85548.66	164429.42	57883.1	0.3165,0.1628,7.3779,4.4102
sym_mig	Round_3_Replicate_11	-61712.76	123433.52	190637.81	54574.45	0.3547,0.1158,2.9317,1.4521
sym_mig	Round_3_Replicate_12	-36141.39	72290.78	113228.13	48233.93	0.3448,0.1542,6.5338,0.6809
sym_mig	Round_3_Replicate_13	-41836.13	83680.26	170332.0	53189.51	0.2097,0.227,7.7783,0.7235
sym_mig	Round_3_Replicate_14	-44776.45	89560.9	176987.92	35022.56	0.6259,0.2235,4.8036,5.2001
sym_mig	Round_3_Replicate_15	-42551.07	85110.14	138678.95	45169.29	0.3987,0.2091,5.1005,8.5958
sym_mig	Round_3_Replicate_16	-42858.46	85724.92	130481.78	95701.02	0.1703,0.1097,9.9636,7.4055
sym_mig	Round_3_Replicate_17	-45327.2	90662.4	228049.93	23851.52	0.8891,0.3515,3.6346,2.9136
sym_mig	Round_3_Replicate_18	-40965.2	81938.4	136496.76	34824.62	0.5406,0.2376,4.3193,1.2016
sym_mig	Round_3_Replicate_19	-42383.33	84774.66	146403.51	89149.3	0.1971,0.109,10.5104,1.9934
sym_mig	Round_3_Replicate_20	-43097.12	86202.24	126154.89	29363.31	0.5342,0.3683,2.9383,1.2052
sym_mig	Round_3_Replicate_21	-42310.28	84628.56	144575.01	30338.15	0.5682,0.326,3.5404,2.3792
sym_mig	Round_3_Replicate_22	-42868.27	85744.54	127706.71	68234.58	0.2667,0.1348,7.0763,4.4205
sym_mig	Round_3_Replicate_23	-42684.75	85377.5	163547.7	146734.55	0.1172,0.0688,18.3697,6.9474
sym_mig	Round_3_Replicate_24	-43134.39	86276.78	132164.78	49336.76	0.3182,0.2222,5.1385,7.2871
sym_mig	Round_3_Replicate_25	-65682.57	131373.14	394056.85	54498.05	0.1388,0.4641,9.0372,1.2767
sym_mig	Round_3_Replicate_26	-43169.72	86347.44	128325.95	31517.13	0.6026,0.2775,3.2865,5.8896
sym_mig	Round_3_Replicate_27	-36155.33	72318.66	138250.55	95328.74	0.155,0.0891,14.4257,0.5993
sym_mig	Round_3_Replicate_28	-42172.38	84352.76	182630.58	34851.09	0.4837,0.2872,4.7806,1.7319
sym_mig	Round_3_Replicate_29	-42718.64	85445.28	152364.81	114667.04	0.1627,0.08,13.9866,7.8036
sym_mig	Round_3_Replicate_30	-43186.91	86381.82	173461.24	57080.12	0.34,0.1554,7.6052,2.9948
sym_mig	Round_4_Replicate_1	-38483.03	76974.06	140730.58	37360.17	0.4938,0.1995,5.4328,0.7142
sym_mig	Round_4_Replicate_2	-38081.74	76171.48	133490.19	36295.44	0.4416,0.2418,4.8796,0.6764
sym_mig	Round_4_Replicate_3	-39174.81	78357.62	129268.72	45564.41	0.3804,0.1859,5.7582,1.058
sym_mig	Round_4_Replicate_4	-30146.68	60301.36	92855.59	50878.1	0.2682,0.116,8.7394,0.3315
sym_mig	Round_4_Replicate_5	-34256.08	68520.16	103886.04	36706.89	0.4276,0.1869,5.2337,0.3372
sym_mig	Round_4_Replicate_6	-40469.2	80946.4	139327.27	34820.16	0.4926,0.2636,4.324,1.1409
sym_mig	Round_4_Replicate_7	-37676.97	75361.94	116206.9	38561.18	0.4286,0.2128,4.818,0.7165
sym_mig	Round_4_Replicate_8	-33094.69	66197.38	100900.19	43876.88	0.3345,0.1594,6.4431,0.423
sym_mig	Round_4_Replicate_9	-37270.84	74549.68	120530.58	35234.27	0.4896,0.2156,4.7415,0.5338
sym_mig	Round_4_Replicate_10	-35855.6	71719.2	105212.91	37395.78	0.4595,0.1792,5.0184,0.4514
sym_mig	Round_4_Replicate_11	-30178.71	60365.42	80423.32	48372.22	0.274,0.1187,7.4336,0.3009
sym_mig	Round_4_Replicate_12	-37161.64	74331.28	122668.55	37592.62	0.499,0.1727,5.551,0.5297
sym_mig	Round_4_Replicate_13	-39313.17	78634.34	134165.48	53304.3	0.2911,0.1802,6.7243,1.0662
sym_mig	Round_4_Replicate_14	-37410.99	74829.98	118491.79	38718.67	0.451,0.1941,5.1265,0.6684
sym_mig	Round_4_Replicate_15	-35071.49	70150.98	102577.55	41159.89	0.3669,0.1869,5.3696,0.5061
sym_mig	Round_4_Replicate_16	-38970.28	77948.56	130023.53	54309.45	0.3078,0.1615,6.8885,1.0419
sym_mig	Round_4_Replicate_17	-37909.08	75826.16	117219.51	46225.96	0.3582,0.1796,5.7367,0.8708
sym_mig	Round_4_Replicate_18	-32062.57	64133.14	95151.96	42038.71	0.3303,0.1606,6.3292,0.333
sym_mig	Round_4_Replicate_19	-37530.45	75068.9	135975.98	40590.07	0.4185,0.1961,5.8104,0.7291
sym_mig	Round_4_Replicate_20	-35927.04	71862.08	112464.27	54711.12	0.2781,0.1495,7.2659,0.6945
sym_mig	Round_4_Replicate_21	-39894.33	79796.66	133795.18	48503.57	0.3434,0.19,5.9784,1.2271
sym_mig	Round_4_Replicate_22	-33915.05	67838.1	102606.46	43147.36	0.3468,0.1682,6.0786,0.4643
sym_mig	Round_4_Replicate_23	-40196.13	80400.26	131580.75	59405.12	0.2947,0.1481,7.2158,1.2312
sym_mig	Round_4_Replicate_24	-30799.83	61607.66	93006.19	48367.46	0.2406,0.1441,7.9157,0.3059
sym_mig	Round_4_Replicate_25	-36000.39	72008.78	111344.14	45463.36	0.3405,0.1771,5.9835,0.656
