Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_1_Replicate_1	-101180.4	202370.8	291943.97	24108.68	0.5119,0.8995,0.2472,0.6698,0.439
asym_mig	Round_1_Replicate_2	-114603.85	229217.7	523759.72	29326.61	0.1664,5.1842,0.8922,5.5003,0.1292
asym_mig	Round_1_Replicate_3	-72160.33	144330.66	927526.64	7592.3	3.4771,1.4112,0.6409,1.7935,3.4788
asym_mig	Round_1_Replicate_4	-207531.07	415072.14	871468.06	12927.22	0.218,3.4691,0.4822,0.6053,4.5741
asym_mig	Round_1_Replicate_5	-61805.26	123620.52	171894.98	35534.41	0.612,0.1484,0.4167,4.4366,1.9741
asym_mig	Round_1_Replicate_6	-145698.66	291407.32	155568209.09	13953.91	5.6165,2.1052,4.3745,2.0665,0.3381
asym_mig	Round_1_Replicate_7	-93401.15	186812.3	807204.52	14010.82	2.8679,1.8835,1.525,0.1448,0.449
asym_mig	Round_1_Replicate_8	-87615.49	175240.98	729226.79	19609.2	2.5266,0.5728,4.356,0.58,6.7954
asym_mig	Round_1_Replicate_9	-119009.52	238029.04	591579.53	11056.25	4.3668,0.3313,0.6693,0.6826,1.5735
asym_mig	Round_1_Replicate_10	-104492.85	208995.7	336568.01	9821.21	0.9929,2.2168,0.3415,0.1894,4.256
asym_mig	Round_2_Replicate_1	-47766.76	95543.52	131627.4	27179.31	0.9786,0.0837,0.3372,9.976,7.0073
asym_mig	Round_2_Replicate_2	-59098.35	118206.7	181770.52	19041.58	1.5508,0.2165,0.3213,4.1564,1.0103
asym_mig	Round_2_Replicate_3	-136954.98	273919.96	809738.44	22058.68	1.807,0.0968,1.5726,1.1941,2.0536
asym_mig	Round_2_Replicate_4	-70152.59	140315.18	1359016.7	38085.43	0.5005,0.422,1.2222,11.5848,1.7472
asym_mig	Round_2_Replicate_5	-145969.27	291948.54	770678.26	53428.22	0.351,0.0685,0.1461,2.1639,1.3135
asym_mig	Round_2_Replicate_6	-57370.37	114750.74	154382.57	41642.86	0.5127,0.1346,0.5264,5.9293,1.5364
asym_mig	Round_2_Replicate_7	-86404.21	172818.42	488721.59	52320.95	0.2615,0.5385,1.5294,7.9134,4.1675
asym_mig	Round_2_Replicate_8	-66880.81	133771.62	323931.25	25958.5	0.7931,0.4753,0.1304,5.0407,1.1983
asym_mig	Round_2_Replicate_9	-85689.11	171388.22	314086.34	15171.03	2.111,0.0632,0.1728,4.4549,2.4342
asym_mig	Round_2_Replicate_10	-44051.0	88112.0	132251.2	35228.5	0.6408,0.1185,0.9094,9.7103,1.0957
asym_mig	Round_2_Replicate_11	-51806.11	103622.22	158609.13	38668.47	0.6245,0.1321,0.212,9.2987,1.8257
asym_mig	Round_2_Replicate_12	-150493.58	300997.16	772332.66	65548.34	0.2276,0.0813,0.3486,2.0178,1.1466
asym_mig	Round_2_Replicate_13	-85326.48	170662.96	1772835.71	51141.69	0.3335,0.5704,1.3425,12.7638,1.9043
asym_mig	Round_2_Replicate_14	-62012.64	124035.28	285089.72	30385.23	0.595,0.4303,0.8276,5.2957,6.7296
asym_mig	Round_2_Replicate_15	-80704.89	161419.78	1053856.09	41177.17	0.4885,0.514,0.2263,9.5608,3.0973
asym_mig	Round_2_Replicate_16	-111693.3	223396.6	438372.77	47768.16	0.4081,0.1113,0.1281,2.6506,1.5497
asym_mig	Round_2_Replicate_17	-61249.53	122509.06	174505.37	44042.52	0.425,0.1375,1.2681,3.5591,1.8538
asym_mig	Round_2_Replicate_18	-58110.17	116230.34	169050.8	50576.49	0.4586,0.0665,1.4678,7.1013,3.2571
asym_mig	Round_2_Replicate_19	-146104.21	292218.42	907743.26	15166.85	2.357,0.0676,0.6232,1.3799,2.3824
asym_mig	Round_2_Replicate_20	-66306.71	132623.42	193437.52	53760.16	0.4419,0.0759,0.3207,7.283,2.1338
asym_mig	Round_3_Replicate_1	-44603.35	89216.7	131567.51	32025.87	0.5715,0.2083,1.2266,6.1007,0.4565
asym_mig	Round_3_Replicate_2	-49152.32	98314.64	151624.88	25811.75	0.793,0.2892,1.0041,4.3038,0.9993
asym_mig	Round_3_Replicate_3	-53075.42	106160.84	192368.3	21585.96	1.7566,0.065,2.6763,17.5238,0.6605
asym_mig	Round_3_Replicate_4	-39487.84	78985.68	142774.23	32374.26	0.7177,0.1059,2.522,11.9706,0.8866
asym_mig	Round_3_Replicate_5	-39697.86	79405.72	171279.28	36341.46	0.5513,0.108,0.7032,15.6907,0.3716
asym_mig	Round_3_Replicate_6	-40356.27	80722.54	100008.54	47513.18	0.3173,0.158,3.42,5.6806,0.707
asym_mig	Round_3_Replicate_7	-42190.65	84391.3	139928.33	20492.92	1.0444,0.2911,1.6795,4.0072,4.0339
asym_mig	Round_3_Replicate_8	-53355.83	106721.66	154357.37	26133.92	0.7744,0.3074,0.7062,3.8237,0.7182
asym_mig	Round_3_Replicate_9	-44703.36	89416.72	140167.26	15626.09	1.8235,0.1384,1.1743,7.3825,3.3635
asym_mig	Round_3_Replicate_10	-51324.69	102659.38	209197.39	29307.53	0.6549,0.31,1.1325,5.7331,2.3819
asym_mig	Round_3_Replicate_11	-50822.31	101654.62	140974.45	96898.47	0.2653,0.0342,0.7818,25.6228,3.0494
asym_mig	Round_3_Replicate_12	-42646.34	85302.68	183769.83	25007.86	0.974,0.1846,2.9972,7.1323,3.0358
