Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_1_Replicate_1	-518340.03	1036692.06	92684097.61	11261.59	0.9109,2.3022,1.3952,0.9642,2.3276,1.1497
no_mig_size	Round_1_Replicate_2	-592250.88	1184513.76	243452924.51	17683.85	0.4447,0.5619,2.1743,0.4274,1.5788,0.2437
no_mig_size	Round_1_Replicate_3	-340290.56	680593.12	2112010549994933.0	8315.48	0.9804,0.8931,0.337,0.147,0.6948,5.1
no_mig_size	Round_1_Replicate_4	-1534866.18	3069744.36	673444065968995.1	9211.98	1.8109,0.4841,0.7906,0.773,4.3162,3.9552
no_mig_size	Round_1_Replicate_5	-110292.22	220596.44	292657.4	18196.21	0.4035,7.2959,0.8793,5.7691,0.1176,0.1707
no_mig_size	Round_1_Replicate_6	-449386.54	898785.08	40380122.85	13583.96	0.8179,2.5932,1.2411,0.8257,0.2218,2.2515
no_mig_size	Round_1_Replicate_7	-288828.51	577669.02	2709686759366434.5	7007.59	0.1629,0.2612,0.9909,0.1193,2.2671,3.1729
no_mig_size	Round_1_Replicate_8	-304795.42	609602.84	6084797.31	8394.51	1.0941,0.3169,5.8348,5.6429,0.5462,0.7409
no_mig_size	Round_1_Replicate_9	-1025164.38	2050340.76	112686450993.57	12360.73	0.5505,0.9796,0.7223,1.5734,4.4501,0.1282
no_mig_size	Round_1_Replicate_10	-251790.51	503593.02	479118607868792.3	3669.53	0.1794,0.983,0.2304,0.6319,4.3061,3.0281
no_mig_size	Round_2_Replicate_1	-245985.34	491982.68	1808990.71	16972.13	0.1825,5.7226,1.3615,2.825,0.3192,0.1511
no_mig_size	Round_2_Replicate_2	-192686.6	385385.2	916095.45	14710.69	0.8376,10.1929,0.5525,5.0427,0.1831,0.5008
no_mig_size	Round_2_Replicate_3	-126622.68	253257.36	447616.31	11330.19	0.8706,4.3236,2.7189,5.0378,0.0911,0.5453
no_mig_size	Round_2_Replicate_4	-200309.35	400630.7	1020783.87	19992.66	0.1805,3.9194,0.383,2.3765,0.0437,0.4468
no_mig_size	Round_2_Replicate_5	-69526.29	139064.58	388056.05	23660.65	1.5626,8.302,0.4032,2.2223,0.0692,0.059
no_mig_size	Round_2_Replicate_6	-176369.98	352751.96	857098.04	18206.3	0.2379,6.6868,0.908,1.68,0.1964,0.3148
no_mig_size	Round_2_Replicate_7	-184046.06	368104.12	782417.9	16677.16	0.5158,2.3161,0.4574,5.7972,0.0746,0.4397
no_mig_size	Round_2_Replicate_8	-136075.85	272163.7	394971.83	14883.95	1.2077,25.6433,0.5696,10.2314,0.2762,0.2005
no_mig_size	Round_2_Replicate_9	-103320.09	206652.18	254770.02	21884.11	0.3497,2.0974,1.1297,11.4853,0.166,0.0445
no_mig_size	Round_2_Replicate_10	-190591.1	381194.2	783445.98	18959.17	0.1853,2.5419,0.3299,7.0176,0.05,0.3202
no_mig_size	Round_2_Replicate_11	-159646.14	319304.28	686639.44	9837.32	1.3497,4.4541,2.2254,6.976,0.3828,0.5721
no_mig_size	Round_2_Replicate_12	-156180.77	312373.54	615239.89	9224.58	1.1703,8.8796,2.4608,12.7074,0.2623,0.617
no_mig_size	Round_2_Replicate_13	-92173.13	184358.26	475982.36	18294.18	0.817,12.1614,2.7403,7.6557,0.1666,0.0416
no_mig_size	Round_2_Replicate_14	-304587.65	609187.3	3418900.85	18499.53	0.1356,9.7722,0.8496,2.0374,0.3342,0.1026
no_mig_size	Round_2_Replicate_15	-95305.17	190622.34	271532.78	18431.16	0.8202,22.4086,0.7492,6.3879,0.125,0.1342
no_mig_size	Round_2_Replicate_16	-132667.28	265346.56	403333.54	16246.28	0.5592,4.0425,2.1923,15.8953,0.3234,0.0703
no_mig_size	Round_2_Replicate_17	-124781.23	249574.46	361797.82	16716.16	0.3884,5.1581,2.4387,4.1108,0.1913,0.1352
no_mig_size	Round_2_Replicate_18	-77301.79	154615.58	220830.51	25273.67	0.1573,4.6578,0.7294,3.5493,0.0363,0.0567
no_mig_size	Round_2_Replicate_19	-87526.08	175064.16	254797.98	22479.48	0.2215,9.4112,0.9942,13.356,0.0568,0.0713
no_mig_size	Round_2_Replicate_20	-103360.46	206732.92	296704.22	16418.82	0.4253,2.244,1.3525,3.0487,0.0491,0.3329
no_mig_size	Round_3_Replicate_1	-69564.31	139140.62	220167.6	20357.21	1.6956,17.5628,1.4558,0.6954,0.0857,0.1383
no_mig_size	Round_3_Replicate_2	-87546.36	175104.72	996439.61	18198.02	2.5191,16.773,1.5889,3.8279,0.0146,0.1927
no_mig_size	Round_3_Replicate_3	-91353.03	182718.06	216022.73	22125.96	0.5443,6.3791,0.452,2.4207,0.1148,0.0953
no_mig_size	Round_3_Replicate_4	-75629.88	151271.76	200084.15	21247.0	0.8216,3.3939,1.2717,0.6486,0.1269,0.1267
no_mig_size	Round_3_Replicate_5	-87130.73	174273.46	209783.7	21957.87	0.7283,4.8353,0.4808,3.1352,0.0706,0.1336
no_mig_size	Round_3_Replicate_6	-94920.19	189852.38	246556.73	18983.61	0.9186,10.449,0.4563,2.6536,0.2263,0.053
no_mig_size	Round_3_Replicate_7	-63275.14	126562.28	458283.7	29603.7	1.9779,3.3752,0.1332,2.4724,0.0141,0.0234
no_mig_size	Round_3_Replicate_8	-85839.07	171690.14	197638.6	23896.97	0.3804,20.0951,0.4383,1.9607,0.0249,0.1558
no_mig_size	Round_3_Replicate_9	-92515.1	185042.2	250636.94	18861.84	2.0505,12.7857,0.5822,5.8646,0.1099,0.1566
no_mig_size	Round_3_Replicate_10	-97022.32	194056.64	236101.85	29184.72	4.7337,22.434,0.2171,0.5948,0.0787,0.1281
no_mig_size	Round_3_Replicate_11	-59542.84	119097.68	236187.96	25878.71	1.1489,3.6824,0.2337,0.5972,0.0887,0.028
no_mig_size	Round_3_Replicate_12	-91737.16	183486.32	856559.94	16947.14	1.9856,5.3514,1.2279,5.352,0.199,0.055
no_mig_size	Round_3_Replicate_13	-68708.33	137428.66	206589.29	21501.76	2.1311,2.2267,0.4613,0.9882,0.1745,0.0576
no_mig_size	Round_3_Replicate_14	-92914.13	185840.26	206259.96	25388.72	6.1381,22.8232,0.2767,2.7393,0.0128,0.1323
