Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sym_mig_size	Round_1_Replicate_1	-84839.93	169693.86	316589.89	17259.73	2.3542,1.1223,1.8256,0.2653,0.9579,0.4428,0.3295
sym_mig_size	Round_1_Replicate_2	-47673.79	95361.58	165627.65	29758.03	0.3235,1.7561,0.8626,0.211,4.1172,2.6297,2.1697
sym_mig_size	Round_1_Replicate_3	-109583.44	219180.88	514356.07	11505.44	0.8398,0.3254,3.0546,0.8019,0.3622,0.1924,1.2195
sym_mig_size	Round_1_Replicate_4	-143033.24	286080.48	900395.11	8654.47	2.9746,0.2758,3.9854,0.242,0.3834,2.7071,2.9451
sym_mig_size	Round_1_Replicate_5	-80570.1	161154.2	3364951.51	15143.68	3.4568,2.6785,0.3763,3.0414,6.1694,2.8685,2.1544
sym_mig_size	Round_1_Replicate_6	-136914.45	273842.9	216173969.32	8753.68	1.1268,3.88,3.1953,3.3081,3.353,1.5163,0.4263
sym_mig_size	Round_1_Replicate_7	-45778.85	91571.7	214977.04	24490.52	1.1846,1.0942,0.6979,0.4439,3.2673,0.1787,0.4226
sym_mig_size	Round_1_Replicate_8	-201511.81	403037.62	1327508.87	34050.5	2.0213,5.6128,0.2372,0.296,0.3555,0.3201,2.1449
sym_mig_size	Round_1_Replicate_9	-84622.83	169259.66	8812635.76	6303.64	0.266,0.1337,2.2712,3.4943,1.9516,0.1616,5.7032
sym_mig_size	Round_1_Replicate_10	-140906.35	281826.7	931679.75	12268.13	0.2013,2.954,3.7995,0.343,0.4007,3.1775,0.6934
sym_mig_size	Round_2_Replicate_1	-62626.78	125267.56	184552.14	26860.21	0.9349,1.1166,0.3265,0.8066,2.6393,0.1248,0.2486
sym_mig_size	Round_2_Replicate_2	-48208.5	96431.0	191926.05	30817.16	0.4207,2.3589,0.3511,0.487,4.021,0.1388,0.5662
sym_mig_size	Round_2_Replicate_3	-65018.41	130050.82	159683.26	21325.42	0.5627,1.3791,0.481,0.8626,1.3947,0.4799,1.6254
sym_mig_size	Round_2_Replicate_4	-42653.51	85321.02	343128.95	30287.28	2.3982,2.8509,0.7841,0.1318,9.8555,0.2391,0.2936
sym_mig_size	Round_2_Replicate_5	-65792.36	131598.72	164735.44	25731.24	0.6916,0.6309,0.4788,0.7355,1.2459,0.077,0.2975
sym_mig_size	Round_2_Replicate_6	-87507.07	175028.14	221177.91	22729.05	2.0084,4.4108,0.3507,1.094,1.2896,0.1219,1.0153
sym_mig_size	Round_2_Replicate_7	-67857.65	135729.3	206329.19	21684.97	0.4218,0.3865,1.1143,0.5241,1.0142,0.2204,0.4292
sym_mig_size	Round_2_Replicate_8	-51739.29	103492.58	629212.25	29930.07	1.9474,0.332,0.9686,0.178,8.7943,0.1317,0.4277
sym_mig_size	Round_2_Replicate_9	-96240.35	192494.7	368535.2	37752.02	0.5431,0.3409,0.3857,0.1507,1.1272,0.5147,0.3974
sym_mig_size	Round_2_Replicate_10	-86691.3	173396.6	336124.8	26285.34	4.8055,0.3004,0.618,0.2024,0.9293,0.3406,0.2392
sym_mig_size	Round_2_Replicate_11	-41201.33	82416.66	151997.65	32271.13	0.355,1.8595,0.6679,0.2022,4.8914,0.2613,0.7361
