Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
asym_mig_size	Round_1_Replicate_1	-84553.73	169123.46	319416.67	47071.52	1.7678,0.5383,0.3489,0.2372,2.5864,0.581,0.1286,3.6525
asym_mig_size	Round_1_Replicate_2	-113724.61	227465.22	317744.32	20140.95	0.6868,3.9769,0.1861,0.6372,1.5051,0.152,1.6248,0.3657
asym_mig_size	Round_1_Replicate_3	-73405.87	146827.74	2252275.38	20974.28	0.1852,0.1311,1.3988,0.4426,4.5646,6.0853,0.1783,0.8733
asym_mig_size	Round_1_Replicate_4	-84350.61	168717.22	9834584.89	10933.26	1.0045,5.9464,0.6359,3.2154,6.5706,4.4543,0.1763,4.0791
asym_mig_size	Round_1_Replicate_5	-164770.23	329556.46	1329527687.29	7461.03	4.6673,8.1904,6.471,4.2922,0.3993,7.0727,1.8455,0.2304
asym_mig_size	Round_1_Replicate_6	-91327.05	182670.1	6738154.89	8525.12	0.3459,4.134,1.8778,5.0484,5.1437,1.0313,3.0635,0.1232
asym_mig_size	Round_1_Replicate_7	-82079.54	164175.08	869063.35	15355.56	0.7372,0.4791,0.5799,2.6939,2.6646,2.7242,0.3427,1.3993
asym_mig_size	Round_1_Replicate_8	-113271.74	226559.48	468956.1	11700.46	0.6957,1.2578,2.4726,1.7328,0.4194,0.1554,3.4576,0.1888
asym_mig_size	Round_1_Replicate_9	-79269.33	158554.66	1076335.59	20075.56	2.0076,2.4024,1.8869,0.7402,5.0715,0.2133,0.1523,1.9814
asym_mig_size	Round_1_Replicate_10	-58564.83	117145.66	175728.68	26215.15	0.3266,1.9553,0.8448,0.3827,2.771,0.9163,2.7031,3.2726
asym_mig_size	Round_2_Replicate_1	-61258.87	122533.74	1180448.23	14252.34	0.3518,4.1256,1.3147,1.2919,4.5643,0.4721,2.4914,8.3223
asym_mig_size	Round_2_Replicate_2	-129200.34	258416.68	627519.13	38407.3	0.0948,7.4834,1.3648,0.1522,4.5433,0.7274,3.0565,10.1597
asym_mig_size	Round_2_Replicate_3	-47442.53	94901.06	117155.09	26105.46	0.202,0.5623,0.3538,0.7538,4.2336,0.9728,10.8073,3.4245
asym_mig_size	Round_2_Replicate_4	-89790.26	179596.52	737383.5	35520.49	0.2406,4.0772,1.7687,0.2253,8.5245,2.902,2.8941,4.8596
asym_mig_size	Round_2_Replicate_5	-60830.62	121677.24	1017198.08	21570.15	0.1011,3.36,0.9928,0.7597,6.4552,0.7677,7.0173,3.5228
asym_mig_size	Round_2_Replicate_6	-50160.37	100336.74	423443.49	27296.38	0.1402,5.6126,0.5888,0.5761,6.973,1.6045,2.0771,3.0836
asym_mig_size	Round_2_Replicate_7	-54386.29	108788.58	138275.1	53047.82	0.3499,3.7137,0.2158,0.3219,5.3107,1.1054,8.2991,5.3842
asym_mig_size	Round_2_Replicate_8	-71744.9	143505.8	213545.15	37152.52	0.4629,0.9742,0.4919,0.1863,0.7052,2.5647,11.0754,3.9801
asym_mig_size	Round_2_Replicate_9	-57708.78	115433.56	141566.75	35512.28	0.0899,1.6073,0.2621,0.5531,3.8087,0.5375,7.545,4.6233
asym_mig_size	Round_2_Replicate_10	-98503.43	197022.86	614587.93	22435.04	0.1126,1.1397,2.7161,0.4446,4.6568,0.5485,2.3767,4.8147
asym_mig_size	Round_2_Replicate_11	-57739.79	115495.58	172744.89	10285.48	0.27,0.5331,2.5267,0.6141,0.7914,0.8557,10.8572,4.6435
asym_mig_size	Round_2_Replicate_12	-49086.24	98188.48	401286.41	16489.42	0.2866,4.9398,0.591,1.1617,5.094,1.4223,1.1381,5.9095
asym_mig_size	Round_2_Replicate_13	-119517.21	239050.42	512937.64	28945.24	0.122,3.651,1.9881,0.1931,3.883,0.9356,2.8863,3.8691
asym_mig_size	Round_2_Replicate_14	-146605.51	293227.02	686801.44	29961.89	0.1065,2.877,2.5815,0.1883,5.4272,0.2258,9.2342,1.1357
asym_mig_size	Round_2_Replicate_15	-65970.4	131956.8	2128151.76	17380.9	0.2208,2.1189,1.1269,1.0837,6.3397,0.5981,1.1269,6.2923
asym_mig_size	Round_2_Replicate_16	-64462.01	128940.02	448712.07	11186.44	0.1119,0.6837,2.7352,0.9809,2.3098,0.7022,2.3561,13.152
asym_mig_size	Round_2_Replicate_17	-52513.43	105042.86	166398.69	18074.86	0.0817,1.1483,0.3136,1.387,5.4497,1.0396,1.4511,2.8354
asym_mig_size	Round_2_Replicate_18	-88308.69	176633.38	319250.41	47983.01	0.9844,1.1052,0.7415,0.1299,6.3598,1.5481,7.6719,0.9598
asym_mig_size	Round_2_Replicate_19	-81935.06	163886.12	283347.54	73596.04	0.2029,2.1826,0.3902,0.1635,8.9404,0.4905,1.7056,1.8591
asym_mig_size	Round_2_Replicate_20	-56648.46	113312.92	154452.21	59695.95	0.0815,5.6808,0.2297,0.2906,6.6814,0.5444,2.9342,2.248
