Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
sec_contact_asym_mig	Round_1_Replicate_1	-107540.44	215092.88	289543.82	17580.08	0.43,7.7584,1.747,0.3522,0.2187,0.1385
sec_contact_asym_mig	Round_1_Replicate_2	-84173.49	168358.98	2352680.14	18198.41	1.0437,1.5282,2.0097,3.6248,0.1375,0.3511
sec_contact_asym_mig	Round_1_Replicate_3	-101410.38	202832.76	2553219.7	15500.05	1.6552,2.7969,0.28,2.8245,0.2037,0.2755
sec_contact_asym_mig	Round_1_Replicate_4	-165195.9	330403.8	1089130.56	14066.74	5.2622,0.2282,1.7173,0.5236,0.1311,6.7806
sec_contact_asym_mig	Round_1_Replicate_5	-101503.36	203018.72	1509016.7	23028.79	0.2572,6.211,4.507,6.2229,0.1636,0.1463
sec_contact_asym_mig	Round_1_Replicate_6	-76683.77	153379.54	265746.48	9048.66	1.4344,0.9269,0.7163,0.175,5.7049,1.1371
sec_contact_asym_mig	Round_1_Replicate_7	-147504.13	295020.26	1032674.16	5683.99	4.4683,4.4297,0.234,0.4452,2.4869,0.3617
sec_contact_asym_mig	Round_1_Replicate_8	-44650.8	89313.6	132642.09	16109.15	1.0191,0.7541,1.9831,1.1089,1.1849,2.953
sec_contact_asym_mig	Round_1_Replicate_9	-182658.86	365329.72	2169784.06	5841.32	3.238,1.1427,0.1199,0.3579,7.662,0.3532
sec_contact_asym_mig	Round_1_Replicate_10	-101081.58	202175.16	399560068.68	8221.95	3.7035,1.7267,6.8849,1.9467,2.6402,0.2527
sec_contact_asym_mig	Round_2_Replicate_1	-44015.42	88042.84	211513.44	12742.1	2.0773,0.3093,1.8083,4.4111,0.5764,9.7121
sec_contact_asym_mig	Round_2_Replicate_2	-54411.91	108835.82	158048.09	11072.72	2.2084,0.4934,0.886,0.9881,2.3789,5.9586
sec_contact_asym_mig	Round_2_Replicate_3	-66562.45	133136.9	2135092.82	11171.8	1.7674,1.1264,2.3967,2.9428,0.3174,2.7968
sec_contact_asym_mig	Round_2_Replicate_4	-76050.71	152113.42	260793.2	13627.72	2.4921,0.3684,1.104,0.9976,0.7513,1.0371
sec_contact_asym_mig	Round_2_Replicate_5	-92263.67	184539.34	321231.72	28150.63	0.4511,0.3824,0.9425,0.5775,1.291,6.0866
sec_contact_asym_mig	Round_2_Replicate_6	-127223.04	254458.08	569226.73	31551.97	0.3599,0.2371,0.815,0.487,1.1184,0.9616
sec_contact_asym_mig	Round_2_Replicate_7	-62994.09	126000.18	845543.08	9608.98	2.5178,1.5322,2.4822,0.508,1.4728,5.9546
sec_contact_asym_mig	Round_2_Replicate_8	-132714.69	265441.38	779519.23	10622.28	3.5594,0.3623,0.7889,0.2941,0.458,9.219
sec_contact_asym_mig	Round_2_Replicate_9	-56525.36	113062.72	133542.11	31556.15	0.3418,0.453,2.2143,1.5722,1.0665,2.0878
sec_contact_asym_mig	Round_2_Replicate_10	-99220.45	198452.9	429657.4	12365.63	2.5813,0.3628,0.9658,0.4756,1.6072,2.5638
sec_contact_asym_mig	Round_2_Replicate_11	-42421.33	84854.66	146022.92	13008.65	1.8267,0.4019,1.6137,2.554,4.2631,5.2142
sec_contact_asym_mig	Round_2_Replicate_12	-35249.27	70510.54	80346.9	24823.4	0.3832,0.3437,3.6871,1.3601,4.1066,0.843
sec_contact_asym_mig	Round_2_Replicate_13	-68265.81	136543.62	853446.99	12900.32	0.6056,2.2258,3.1733,2.6399,1.0668,3.1924
sec_contact_asym_mig	Round_2_Replicate_14	-49205.53	98423.06	131755.43	20463.04	0.6478,0.9095,3.1348,0.317,0.4742,4.3942
sec_contact_asym_mig	Round_2_Replicate_15	-120270.4	240552.8	349387.75	21024.7	0.2981,1.4338,0.834,1.8354,2.4485,1.8581
sec_contact_asym_mig	Round_2_Replicate_16	-67072.79	134157.58	214639.32	40613.87	0.3974,0.2697,2.6409,0.8845,0.9588,2.1387
sec_contact_asym_mig	Round_2_Replicate_17	-77428.44	154868.88	13676178.48	9538.18	1.6236,1.5023,4.7186,3.4861,1.4698,4.6618
sec_contact_asym_mig	Round_2_Replicate_18	-80179.8	160371.6	1024574.49	18131.91	0.457,2.1671,3.0315,3.988,0.6874,1.6125
sec_contact_asym_mig	Round_2_Replicate_19	-64965.29	129942.58	2764802.04	7788.63	1.5968,2.4388,3.6661,0.7008,4.8014,1.0753
sec_contact_asym_mig	Round_2_Replicate_20	-43532.63	87077.26	177538.01	41290.58	0.3599,0.3014,5.9698,4.4799,1.5634,9.263
sec_contact_asym_mig	Round_3_Replicate_1	-68530.8	137073.6	348753.68	12218.42	0.2709,0.7022,3.1285,4.8085,7.0514,0.3158
sec_contact_asym_mig	Round_3_Replicate_2	-31395.03	62802.06	149129.53	21308.96	0.6795,0.2678,4.5809,4.9223,3.3054,0.8758
sec_contact_asym_mig	Round_3_Replicate_3	-50193.5	100399.0	341665.89	19551.94	1.5165,0.2804,5.083,3.7676,3.5838,1.5633
sec_contact_asym_mig	Round_3_Replicate_4	-85782.87	171577.74	568568.5	38383.97	1.1777,0.3058,8.2103,0.3846,4.0886,1.0542
sec_contact_asym_mig	Round_3_Replicate_5	-111063.6	222139.2	597906.34	18355.12	1.1956,0.3624,1.1175,0.3597,1.182,0.3557
sec_contact_asym_mig	Round_3_Replicate_6	-35642.36	71296.72	148601.79	16003.18	0.8197,0.6744,4.3176,3.229,2.4994,0.2166
sec_contact_asym_mig	Round_3_Replicate_7	-44654.5	89321.0	121282.38	44137.29	0.2022,0.479,9.7753,0.9975,3.7497,1.9771
sec_contact_asym_mig	Round_3_Replicate_8	-109097.83	218207.66	438419.0	27880.64	0.3442,0.1662,1.6611,0.5802,2.1558,0.4747
sec_contact_asym_mig	Round_3_Replicate_9	-75935.83	151883.66	2679294.54	17076.52	1.5043,0.6908,7.1219,0.8575,1.6091,0.3062
sec_contact_asym_mig	Round_3_Replicate_10	-44361.68	88735.36	135667.89	88996.03	0.137,0.1844,14.5697,4.8118,3.9272,3.0372
sec_contact_asym_mig	Round_3_Replicate_11	-47285.88	94583.76	255097.0	43391.81	0.5028,0.1696,12.6503,2.6448,1.7864,0.3592
sec_contact_asym_mig	Round_3_Replicate_12	-64892.71	129797.42	159712.12	8534.92	0.5036,0.4389,1.1434,3.4123,12.0556,0.3796
sec_contact_asym_mig	Round_3_Replicate_13	-42070.21	84152.42	101519.12	23946.44	0.4869,0.5788,3.0034,1.258,1.0376,0.5606
sec_contact_asym_mig	Round_3_Replicate_14	-51178.32	102368.64	898183.6	11418.84	0.3062,0.8392,10.2217,4.9323,8.0189,0.497
sec_contact_asym_mig	Round_3_Replicate_15	-85976.18	171964.36	314501.82	35845.37	0.2433,0.2218,3.6181,0.3823,1.9114,0.4054
sec_contact_asym_mig	Round_3_Replicate_16	-106201.16	212414.32	381223.72	75009.64	0.1181,0.2355,3.6035,0.3264,4.925,2.7185
sec_contact_asym_mig	Round_3_Replicate_17	-53954.14	107920.28	143835.6	66496.98	0.1664,0.2098,6.9885,0.8823,5.0038,0.931
sec_contact_asym_mig	Round_3_Replicate_18	-64979.05	129970.1	208383.28	40434.05	0.4361,0.2212,2.7165,1.1547,3.8492,2.3222
sec_contact_asym_mig	Round_3_Replicate_19	-37254.22	74520.44	98836.18	24389.8	0.3177,0.3709,7.4458,0.8572,3.1977,0.2715
sec_contact_asym_mig	Round_3_Replicate_20	-39265.24	78542.48	87054.8	16616.22	0.4643,0.5579,2.2962,2.1807,3.6314,0.4798
sec_contact_asym_mig	Round_3_Replicate_21	-28138.04	56288.08	71060.69	18381.25	0.7472,0.1767,3.1354,4.4946,4.6011,0.7427
sec_contact_asym_mig	Round_3_Replicate_22	-44626.46	89264.92	145143.2	22884.69	0.9868,0.2994,3.7215,2.2666,8.422,2.5137
sec_contact_asym_mig	Round_3_Replicate_23	-35480.85	70973.7	363373.35	6092.41	0.9125,1.2446,4.678,0.6265,21.894,0.7262
sec_contact_asym_mig	Round_3_Replicate_24	-46938.8	93889.6	2384935.27	9935.46	0.9939,0.618,7.8435,4.3888,7.7735,0.5009
sec_contact_asym_mig	Round_3_Replicate_25	-71124.43	142260.86	235692.51	21743.02	1.0149,0.2856,2.9211,0.6187,1.4296,0.518
sec_contact_asym_mig	Round_3_Replicate_26	-24177.95	48367.9	56536.85	15383.27	0.6345,0.2702,4.5023,2.433,4.7852,0.3382
sec_contact_asym_mig	Round_3_Replicate_27	-45953.39	91918.78	92013.84	11762.56	0.2265,0.5264,3.7533,0.9884,14.4223,0.676
sec_contact_asym_mig	Round_3_Replicate_28	-32702.51	65417.02	204600.17	17534.13	0.718,0.4729,6.0365,1.6757,14.1997,1.4919
sec_contact_asym_mig	Round_3_Replicate_29	-40031.63	80075.26	141679.78	16668.29	0.2897,0.9932,7.3539,0.9569,10.3591,1.2532
sec_contact_asym_mig	Round_3_Replicate_30	-41346.1	82704.2	108035.94	18163.53	0.2175,1.0451,10.4139,0.4395,3.9053,0.2294
sec_contact_asym_mig	Round_4_Replicate_1	-23050.8	46113.6	85994.24	11954.77	0.5127,0.3633,5.7942,2.6756,8.9715,0.4843
sec_contact_asym_mig	Round_4_Replicate_2	-27079.56	54171.12	79248.92	17201.39	0.8043,0.2505,3.0339,4.1483,3.5014,0.5376
sec_contact_asym_mig	Round_4_Replicate_3	-22214.49	44440.98	56187.52	12607.02	0.517,0.2284,4.4225,3.959,9.2379,0.5612
sec_contact_asym_mig	Round_4_Replicate_4	-25099.57	50211.14	117868.71	8577.64	0.8404,0.2588,6.2415,2.7807,12.8475,0.4184
sec_contact_asym_mig	Round_4_Replicate_5	-28372.45	56756.9	75688.72	14598.14	0.8618,0.5062,2.6182,1.9574,3.5708,0.5334
