Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
anc_sym_mig	Round_1_Replicate_1	-530338.16	1060686.32	107079454.49	8735.85	1.5477,1.565,7.4113,0.7231,4.3774
anc_sym_mig	Round_1_Replicate_2	-1038915.22	2077840.44	220877370727.76	12107.8	1.304,0.2896,0.206,3.0912,2.8378
anc_sym_mig	Round_1_Replicate_3	-97114.56	194239.12	739558.81	14990.06	3.8004,1.7592,1.9199,0.1289,0.176
anc_sym_mig	Round_1_Replicate_4	-314337.01	628684.02	8273319.93	11405.77	2.5726,0.531,1.0542,0.9664,1.2279
anc_sym_mig	Round_1_Replicate_5	-110658.11	221326.22	303914.66	10134.08	0.8714,5.8169,1.7619,1.8788,0.2235
anc_sym_mig	Round_1_Replicate_6	-135497.86	271005.72	535298.5	9797.48	5.4064,2.2723,0.1392,0.127,0.6324
anc_sym_mig	Round_1_Replicate_7	-727524.13	1455058.26	2522159221.44	9146.77	3.2323,0.3541,0.8025,0.8459,2.5813
anc_sym_mig	Round_1_Replicate_8	-254340.49	508690.98	192604122287504.4	1849.49	0.1879,4.6844,1.2959,0.4426,8.2
anc_sym_mig	Round_1_Replicate_9	-1273231.79	2546473.58	3626440642791.2	15694.21	0.255,1.1324,1.9913,0.2612,3.3715
anc_sym_mig	Round_1_Replicate_10	-117733.49	235476.98	331856.34	18903.4	0.4724,1.5476,3.9937,1.3055,0.262
anc_sym_mig	Round_2_Replicate_1	-91588.9	183187.8	267166.8	16415.99	1.3086,2.0612,0.551,0.3237,0.1268
anc_sym_mig	Round_2_Replicate_2	-103099.0	206208.0	438055.57	13820.91	2.1637,3.9196,6.2241,0.0579,0.3752
anc_sym_mig	Round_2_Replicate_3	-100873.89	201757.78	577204.18	13715.66	6.1247,0.9275,2.1388,0.2985,0.0922
anc_sym_mig	Round_2_Replicate_4	-112031.41	224072.82	390343.35	14293.55	4.2898,0.5877,7.0297,0.1915,0.2966
anc_sym_mig	Round_2_Replicate_5	-69777.54	139565.08	189927.33	21871.63	1.0068,0.564,3.9994,0.3013,0.1457
anc_sym_mig	Round_2_Replicate_6	-95959.64	191929.28	342921.76	19246.27	1.5081,0.4929,0.5463,0.4309,0.0633
anc_sym_mig	Round_2_Replicate_7	-72923.08	145856.16	515329.19	20610.38	5.7989,0.4232,7.2953,0.07,0.0543
anc_sym_mig	Round_2_Replicate_8	-152748.99	305507.98	647344.23	8289.16	10.5097,1.7577,1.552,0.2494,0.5973
anc_sym_mig	Round_2_Replicate_9	-122229.94	244469.88	56339125.64	18432.97	4.1204,4.3347,0.8628,0.0729,0.0608
anc_sym_mig	Round_2_Replicate_10	-108485.28	216980.56	528171.81	12714.22	6.3683,1.331,0.9443,0.2819,0.1316
anc_sym_mig	Round_2_Replicate_11	-112585.24	225180.48	423232.77	19960.56	1.158,0.7028,0.6539,0.1659,0.2937
anc_sym_mig	Round_2_Replicate_12	-66501.9	133013.8	204984.26	20268.6	1.455,0.745,1.5073,0.2034,0.0667
anc_sym_mig	Round_2_Replicate_13	-107340.57	214691.14	453304.88	13298.4	5.7102,1.535,0.8175,0.0485,0.3192
anc_sym_mig	Round_2_Replicate_14	-130346.0	260702.0	12885811.99	13891.04	5.2194,6.7302,0.4809,0.0296,0.2413
anc_sym_mig	Round_2_Replicate_15	-109283.89	218577.78	5840075.39	16908.41	9.4666,1.2373,7.4362,0.0898,0.0856
anc_sym_mig	Round_2_Replicate_16	-103586.72	207183.44	11170695.82	19288.15	4.7523,1.7616,6.6176,0.0299,0.0913
anc_sym_mig	Round_2_Replicate_17	-122089.75	244189.5	1118813.95	11380.09	3.9763,5.8006,7.9314,0.024,0.465
anc_sym_mig	Round_2_Replicate_18	-95088.35	190186.7	797294.9	16473.83	9.8085,0.7589,4.403,0.1158,0.0913
anc_sym_mig	Round_2_Replicate_19	-99448.09	198906.18	321217.66	16463.67	2.9056,0.6801,1.6932,0.0828,0.2752
anc_sym_mig	Round_2_Replicate_20	-95786.23	191582.46	3385899.81	18190.66	3.3259,2.0203,1.1996,0.0641,0.1008
anc_sym_mig	Round_3_Replicate_1	-81683.98	163377.96	838240.73	18749.51	2.4516,1.5485,0.5247,0.0432,0.1366
anc_sym_mig	Round_3_Replicate_2	-71890.54	143791.08	683739.43	21248.0	1.2128,1.6496,5.1401,0.058,0.0994
anc_sym_mig	Round_3_Replicate_3	-65426.41	130862.82	193489.52	20206.79	1.8678,0.3811,1.6203,0.3161,0.0117
anc_sym_mig	Round_3_Replicate_4	-89717.1	179444.2	231000.52	20621.09	0.5427,1.728,1.015,0.4167,0.0352
anc_sym_mig	Round_3_Replicate_5	-67013.84	134037.68	283046.54	22399.4	0.6273,1.4558,6.4301,0.1922,0.0778
anc_sym_mig	Round_3_Replicate_6	-63036.72	126083.44	231034.04	20930.5	2.1255,0.3729,5.0563,0.1978,0.05
anc_sym_mig	Round_3_Replicate_7	-59159.72	118329.44	260704.35	22901.3	1.3349,0.6719,0.7529,0.1013,0.0348
anc_sym_mig	Round_3_Replicate_8	-49021.35	98052.7	136253.26	25016.58	0.8317,0.3798,5.6252,0.6403,0.0598
anc_sym_mig	Round_3_Replicate_9	-45624.19	91258.38	161481.2	25301.8	0.8549,0.346,3.9703,0.6211,0.0174
anc_sym_mig	Round_3_Replicate_10	-88589.61	177189.22	1352040.63	17562.75	2.7106,1.6075,5.7781,0.0917,0.1261
anc_sym_mig	Round_3_Replicate_11	-62134.77	124279.54	295870.44	25220.18	0.5609,1.5232,0.9224,0.0455,0.0593
anc_sym_mig	Round_3_Replicate_12	-56551.53	113113.06	252968.23	26323.77	0.5388,1.0117,0.9804,0.0339,0.0585
anc_sym_mig	Round_3_Replicate_13	-71291.34	142592.68	285292.03	22071.11	0.7937,2.2657,1.6961,0.0262,0.1357
anc_sym_mig	Round_3_Replicate_14	-58259.42	116528.84	299803.01	25183.76	0.6429,1.0266,1.2302,0.0982,0.0194
anc_sym_mig	Round_3_Replicate_15	-72495.85	145001.7	545282.72	20742.0	5.0169,0.5274,3.3911,0.0479,0.0647
anc_sym_mig	Round_3_Replicate_16	-112064.59	224139.18	419970.99	29816.23	0.4598,0.3876,0.4713,0.4516,0.0162
anc_sym_mig	Round_3_Replicate_17	-51794.33	103598.66	182472.74	25807.88	0.6387,0.6356,2.8502,0.1503,0.0267
anc_sym_mig	Round_3_Replicate_18	-68923.36	137856.72	224308.3	16919.41	1.1704,1.115,7.6481,0.6144,0.1656
anc_sym_mig	Round_3_Replicate_19	-78738.58	157487.16	234758.33	26953.83	0.6302,0.3788,1.8804,0.6305,0.0943
anc_sym_mig	Round_3_Replicate_20	-53237.91	106485.82	191206.51	23934.52	1.4489,0.3477,2.1986,0.1248,0.0133
anc_sym_mig	Round_3_Replicate_21	-44596.74	89203.48	108068.65	30445.77	0.4542,0.3234,2.4916,0.1276,0.0163
anc_sym_mig	Round_3_Replicate_22	-87476.76	174963.52	1382944.69	18311.83	2.0885,2.4674,1.4444,0.0657,0.1269
anc_sym_mig	Round_3_Replicate_23	-73812.42	147634.84	688687.16	20520.86	1.6176,1.5029,0.3382,0.0904,0.066
anc_sym_mig	Round_3_Replicate_24	-48597.49	97204.98	149859.72	26094.5	0.8162,0.4219,2.0099,0.1084,0.0251
anc_sym_mig	Round_3_Replicate_25	-51561.56	103133.12	187442.81	24124.24	1.3369,0.312,3.7466,0.165,0.0185
anc_sym_mig	Round_3_Replicate_26	-66060.03	132130.06	345626.03	17562.19	1.2048,1.0225,5.1884,0.5709,0.094
anc_sym_mig	Round_3_Replicate_27	-60704.9	121419.8	213154.29	18855.54	1.5284,0.5265,1.9837,0.5753,0.0163
anc_sym_mig	Round_3_Replicate_28	-75810.09	151630.18	655096.07	19515.54	2.1485,1.1588,4.3657,0.0679,0.1109
anc_sym_mig	Round_3_Replicate_29	-53065.48	106140.96	269764.77	26073.21	0.6907,0.715,1.9485,0.0348,0.0566
anc_sym_mig	Round_3_Replicate_30	-62101.74	124213.48	507662.4	24148.74	0.7855,1.1505,1.3278,0.1053,0.015
anc_sym_mig	Round_4_Replicate_1	-39117.38	78244.76	146254.0	30038.14	0.4955,0.2861,4.8176,0.0901,0.0125
anc_sym_mig	Round_4_Replicate_2	-46565.82	93141.64	147492.65	26465.68	0.8735,0.3366,1.8959,0.1084,0.0109
