Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
anc_asym_mig	Round_1_Replicate_1	-919124.93	1838261.86	11842476659.53	14610.81	0.2056,2.2953,5.826,0.4105,0.2298,1.9711
anc_asym_mig	Round_1_Replicate_2	-775592.96	1551197.92	1223101050.14	6051.24	0.3933,7.7891,0.1696,0.1957,3.4122,2.423
anc_asym_mig	Round_1_Replicate_3	-181088.67	362189.34	640762.35	22790.91	0.2434,6.5483,3.1349,5.6827,7.3282,0.1583
anc_asym_mig	Round_1_Replicate_4	-1291929.76	2583871.52	9020525285117.69	15090.7	0.6011,0.4393,0.6382,3.7632,7.7824,4.3472
anc_asym_mig	Round_1_Replicate_5	-223642.92	447297.84	2450347.91	14033.15	1.7472,0.4255,0.4608,2.0635,1.7129,0.7026
anc_asym_mig	Round_1_Replicate_6	-486064.89	972141.78	79362339.8	7605.25	4.2521,0.2282,0.739,2.0434,6.2322,1.167
anc_asym_mig	Round_1_Replicate_7	-183710.07	367432.14	973974.64	10276.55	1.4171,5.1851,0.3044,4.2164,0.145,1.0478
anc_asym_mig	Round_1_Replicate_8	-175323.85	350659.7	1027187.71	53790.09	0.294,0.2547,0.2382,6.3939,1.0027,0.1656
anc_asym_mig	Round_1_Replicate_9	-124901.61	249815.22	412087.25	11017.29	1.5903,6.197,1.0842,0.2615,0.5183,0.3151
anc_asym_mig	Round_1_Replicate_10	-313018.61	626049.22	2880309184735.32	8610.33	0.4993,0.1261,2.5387,0.3741,0.144,5.0173
anc_asym_mig	Round_2_Replicate_1	-120554.96	241121.92	442363.35	7563.5	1.35,10.4504,1.5183,0.2743,1.5616,0.1325
anc_asym_mig	Round_2_Replicate_2	-111299.68	222611.36	371010.45	13788.53	2.1945,1.9127,0.6243,0.3561,0.1229,0.4467
anc_asym_mig	Round_2_Replicate_3	-96375.36	192762.72	322777.37	12898.86	1.9824,1.6484,0.4253,0.7886,0.7741,0.1192
anc_asym_mig	Round_2_Replicate_4	-136477.36	272966.72	576522.9	6172.84	2.9854,8.6802,0.8161,0.0674,1.6624,0.4224
anc_asym_mig	Round_2_Replicate_5	-123773.85	247559.7	805047.32	10687.04	3.2147,7.0777,2.6702,0.8758,0.1704,0.4299
anc_asym_mig	Round_2_Replicate_6	-167886.25	335784.5	895552.61	7665.17	4.9173,2.7835,0.2921,0.7213,0.4256,1.0193
anc_asym_mig	Round_2_Replicate_7	-136722.99	273457.98	703016.34	7351.94	2.1156,17.8208,1.8287,0.3442,1.0364,0.2278
anc_asym_mig	Round_2_Replicate_8	-127159.28	254330.56	452045.29	7088.78	1.6888,9.3564,1.8247,0.9181,1.6568,0.4273
anc_asym_mig	Round_2_Replicate_9	-152519.16	305050.32	1459313.24	7465.57	4.865,14.0132,3.5098,0.7821,0.3009,0.6567
anc_asym_mig	Round_2_Replicate_10	-110865.1	221742.2	3027159.01	14404.22	2.4022,6.8237,1.1936,0.8594,0.2248,0.0967
anc_asym_mig	Round_2_Replicate_11	-141563.04	283138.08	595371.23	9588.61	4.7582,2.0935,0.4774,0.2518,0.2798,0.6213
anc_asym_mig	Round_2_Replicate_12	-134623.01	269258.02	516976.36	9952.63	3.0186,3.8904,2.0401,0.3812,0.1714,0.7191
anc_asym_mig	Round_2_Replicate_13	-305702.12	611416.24	3589266.39	8545.59	0.7048,18.5295,0.2793,0.3625,0.3298,1.0854
anc_asym_mig	Round_2_Replicate_14	-108230.88	216473.76	392229.89	7986.1	3.8341,2.0291,2.1141,0.3393,2.055,0.5629
anc_asym_mig	Round_2_Replicate_15	-115893.4	231798.8	499431.52	6432.14	4.9403,2.8076,0.6347,0.3247,2.0841,0.3777
anc_asym_mig	Round_2_Replicate_16	-141811.15	283634.3	799984.47	6384.82	2.9407,15.7941,0.9208,0.4418,1.3186,0.2575
anc_asym_mig	Round_2_Replicate_17	-143249.4	286510.8	2099032.23	5746.37	5.1328,8.6931,1.2123,0.066,1.5617,0.2237
anc_asym_mig	Round_2_Replicate_18	-80656.91	161325.82	265756.46	14643.63	0.9233,2.7844,3.9363,0.2703,0.6603,0.0971
anc_asym_mig	Round_2_Replicate_19	-100137.17	200286.34	338361.85	14119.38	2.3572,2.1433,3.5037,0.3662,0.1208,0.35
anc_asym_mig	Round_2_Replicate_20	-154195.63	308403.26	768914.78	7141.44	4.2541,12.0122,1.4741,0.1199,0.3741,0.7713
anc_asym_mig	Round_3_Replicate_1	-73873.22	147758.44	239954.48	9725.77	1.5932,2.8111,1.3225,0.119,2.0792,0.0292
anc_asym_mig	Round_3_Replicate_2	-56789.34	113590.68	133514.04	26288.04	0.4748,0.6881,4.891,0.9591,0.5242,0.0562
anc_asym_mig	Round_3_Replicate_3	-86333.7	172679.4	266053.39	16230.63	2.1556,1.1529,1.1142,0.1655,0.2771,0.1262
anc_asym_mig	Round_3_Replicate_4	-64232.63	128477.26	305090.86	21151.7	0.8164,1.3365,9.5209,1.0484,0.2141,0.081
anc_asym_mig	Round_3_Replicate_5	-60738.88	121489.76	174660.68	25468.5	0.7747,0.7513,9.2881,0.1023,0.957,0.0868
anc_asym_mig	Round_3_Replicate_6	-86839.4	173690.8	255001.19	13028.79	1.1708,2.8608,19.7827,0.4133,0.8873,0.2893
anc_asym_mig	Round_3_Replicate_7	-126334.16	252680.32	18345268.05	8254.15	1.994,5.4251,3.7635,0.7679,1.4578,0.0199
anc_asym_mig	Round_3_Replicate_8	-67475.49	134962.98	195481.83	19265.84	1.0632,0.9198,1.1938,0.7527,0.4961,0.0157
anc_asym_mig	Round_3_Replicate_9	-90694.89	181401.78	4006980.06	12433.73	0.8196,3.4681,9.634,0.1666,1.1559,0.0241
anc_asym_mig	Round_3_Replicate_10	-63928.77	127869.54	309652.18	23365.26	0.3819,2.0795,9.1577,0.3189,0.1664,0.0232
anc_asym_mig	Round_3_Replicate_11	-81834.47	163680.94	254428.26	19928.68	0.6359,3.4122,1.3056,0.6162,0.2438,0.0202
anc_asym_mig	Round_3_Replicate_12	-58771.07	117554.14	201662.81	23298.83	0.4053,1.4993,8.1111,0.1446,0.2539,0.0274
anc_asym_mig	Round_3_Replicate_13	-150611.24	301234.48	533517.61	21709.68	0.3844,1.7854,1.4102,0.304,0.2139,0.2258
anc_asym_mig	Round_3_Replicate_14	-69939.38	139890.76	261239.72	16247.7	0.7104,2.3624,4.1076,0.066,0.6608,0.0259
anc_asym_mig	Round_3_Replicate_15	-85737.62	171487.24	217987.64	27177.05	0.393,0.7566,2.0072,0.1216,0.1955,0.0776
anc_asym_mig	Round_3_Replicate_16	-106104.96	212221.92	1112512.86	13456.05	2.6109,4.3207,3.0227,0.5016,0.206,0.1994
anc_asym_mig	Round_3_Replicate_17	-123881.44	247774.88	358658.91	15269.3	0.7748,5.7718,2.3198,0.1331,0.2299,0.274
anc_asym_mig	Round_3_Replicate_18	-72997.36	146006.72	214304.54	17532.28	1.0459,1.3986,5.9754,0.7976,0.5167,0.1542
