Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_1_Replicate_1	-220576.06	441166.12	5028909.38	12847.17	0.8874,0.1646,1.937,3.4594,0.174,0.6543,0.5776
sec_contact_sym_mig_size	Round_1_Replicate_2	-140548.19	281110.38	701161.29	7459.42	0.125,0.4272,5.4642,4.5004,0.359,0.855,1.2482
sec_contact_sym_mig_size	Round_1_Replicate_3	-60568.55	121151.1	256301.15	18671.44	0.2583,0.2215,1.5948,0.4787,2.1352,0.1529,0.8514
sec_contact_sym_mig_size	Round_1_Replicate_4	-73495.04	147004.08	1510625.23	21441.16	0.3226,3.2086,0.3207,1.0017,6.771,0.642,0.1868
sec_contact_sym_mig_size	Round_1_Replicate_5	-53741.08	107496.16	488791.21	9713.12	6.5584,0.2914,1.8759,1.2993,1.5548,0.2533,4.4173
sec_contact_sym_mig_size	Round_1_Replicate_6	-97495.23	195004.46	410279.13	13296.83	4.1313,1.7876,2.6592,0.1638,1.2821,1.0498,0.5501
sec_contact_sym_mig_size	Round_1_Replicate_7	-110804.79	221623.58	19897467.72	7904.17	0.7521,1.0082,3.7015,2.0543,2.2034,0.4348,2.0443
sec_contact_sym_mig_size	Round_1_Replicate_8	-99211.98	198437.96	456207.79	15680.92	0.6005,0.9015,5.6773,0.4198,1.6492,1.1301,0.196
sec_contact_sym_mig_size	Round_1_Replicate_9	-148133.42	296280.84	2550884547.09	7441.85	0.6899,0.2454,6.2892,2.3272,6.9653,2.3426,1.2596
sec_contact_sym_mig_size	Round_1_Replicate_10	-101814.22	203642.44	338433.19	13150.7	0.3662,0.5052,1.1097,5.8332,1.86,3.4425,0.2381
sec_contact_sym_mig_size	Round_2_Replicate_1	-105335.68	210685.36	30495953.94	6479.39	6.2475,0.2785,4.5111,2.0078,2.5042,0.2367,3.7854
sec_contact_sym_mig_size	Round_2_Replicate_2	-77894.48	155802.96	14411125.82	5022.66	2.0541,0.3275,2.6489,3.0808,2.3027,0.2089,16.0444
sec_contact_sym_mig_size	Round_2_Replicate_3	-82304.21	164622.42	11043331.8	6798.17	10.3907,0.0863,5.0903,1.1264,3.1664,0.0696,8.6088
sec_contact_sym_mig_size	Round_2_Replicate_4	-50834.74	101683.48	393896.68	17894.61	10.5951,0.1913,0.6801,0.8605,3.0033,0.0803,8.3557
sec_contact_sym_mig_size	Round_2_Replicate_5	-81477.42	162968.84	265764.96	15539.77	2.6721,0.1099,1.0421,0.8605,0.4943,0.2419,2.0438
sec_contact_sym_mig_size	Round_2_Replicate_6	-54947.47	109908.94	546038.58	5672.1	11.3561,0.6185,4.9245,1.2555,1.2259,0.0709,14.997
sec_contact_sym_mig_size	Round_2_Replicate_7	-87606.0	175226.0	305972.47	12637.78	10.3044,0.5709,0.8988,2.9089,0.9396,0.1327,1.3673
sec_contact_sym_mig_size	Round_2_Replicate_8	-79846.53	159707.06	564431.1	11928.98	1.7845,0.4971,0.5966,3.3411,2.0548,0.1108,4.1633
sec_contact_sym_mig_size	Round_2_Replicate_9	-47247.99	94509.98	120403.06	9199.06	19.2761,0.7412,1.679,1.1588,0.6743,0.0766,17.8294
