Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
sec_contact_asym_mig_size	Round_1_Replicate_1	-135925.05	271866.1	657648086.07	5526.2	0.2267,2.924,4.4341,4.1829,6.1313,1.861,0.1998,4.4978
sec_contact_asym_mig_size	Round_1_Replicate_2	-201733.82	403483.64	1596171.57	22894.82	3.2151,0.4038,4.8754,0.1642,3.3156,0.2766,0.1347,1.7373
sec_contact_asym_mig_size	Round_1_Replicate_3	-77399.33	154814.66	331551.22	25882.09	0.1946,3.1318,1.7494,0.2659,4.6813,2.1819,1.8862,6.3344
sec_contact_asym_mig_size	Round_1_Replicate_4	-62182.15	124380.3	194539.04	27232.58	2.3293,0.5516,0.4897,0.2105,2.3119,0.9862,5.2008,1.3243
sec_contact_asym_mig_size	Round_1_Replicate_5	-85407.22	170830.44	291424.52	9326.93	0.7322,1.0191,2.6906,0.6569,0.9736,0.9465,5.756,0.3459
sec_contact_asym_mig_size	Round_1_Replicate_6	-312045.72	624107.44	8372319.67	14643.62	0.1834,5.8059,5.0421,0.2946,0.1612,0.5015,1.8197,0.2643
sec_contact_asym_mig_size	Round_1_Replicate_7	-119706.22	239428.44	643253.39	12055.37	0.1757,2.5566,3.4274,0.6334,0.4969,0.2931,0.3882,1.1185
sec_contact_asym_mig_size	Round_1_Replicate_8	-55330.43	110676.86	126807.88	35098.16	0.7481,0.9747,0.3311,0.2523,1.4254,3.6176,2.8763,1.1474
sec_contact_asym_mig_size	Round_1_Replicate_9	-32438.36	64892.72	73371.67	13712.49	1.4488,4.341,0.306,0.7497,5.8674,0.4986,3.1115,0.3724
sec_contact_asym_mig_size	Round_1_Replicate_10	-191438.15	382892.3	1191759.33	12652.58	1.8546,4.2311,0.5323,0.1793,0.3021,0.3489,7.5192,1.1477
sec_contact_asym_mig_size	Round_2_Replicate_1	-85782.85	171581.7	197081.06	13667.91	1.8707,8.808,0.1262,2.2634,5.6834,0.2363,1.5423,1.06
