Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
anc_sym_mig_size	Round_1_Replicate_1	-578302.69	1156619.38	261222841.94	6584.89	0.5213,0.1255,5.963,0.8301,0.3357,2.5735,2.6888
anc_sym_mig_size	Round_1_Replicate_2	-440087.76	880189.52	36307038.42	7106.09	4.1341,0.2238,2.4576,2.1432,7.1079,0.4732,4.4663
anc_sym_mig_size	Round_1_Replicate_3	-344767.04	689548.08	1.291093274045614e+17	8336.4	1.9102,5.142,0.3156,0.1343,0.3782,0.2853,5.5517
anc_sym_mig_size	Round_1_Replicate_4	-114512.81	229039.62	508270.11	13922.32	2.8378,0.2561,1.7949,1.089,1.0789,1.7351,0.1584
anc_sym_mig_size	Round_1_Replicate_5	-243529.71	487073.42	2145256.49	15147.0	0.2837,0.6313,7.1804,0.6033,0.2697,5.4462,0.2036
anc_sym_mig_size	Round_1_Replicate_6	-198037.87	396089.74	1474206.33	8193.25	0.3108,7.3714,4.8947,1.7784,5.3808,0.737,1.3415
anc_sym_mig_size	Round_1_Replicate_7	-460783.1	921580.2	28259403.39	14747.4	0.4536,8.1187,0.4094,0.6477,0.2345,4.3406,1.0059
anc_sym_mig_size	Round_1_Replicate_8	-254321.06	508656.12	2455996.14	12504.82	0.5894,2.1731,0.8371,3.2102,0.507,0.4544,0.9445
anc_sym_mig_size	Round_1_Replicate_9	-575502.54	1151019.08	118497675.22	6380.28	4.6857,3.7818,0.8222,2.9325,4.5749,6.213,4.2727
anc_sym_mig_size	Round_1_Replicate_10	-1625295.51	3250605.02	1537285540001632.8	22757.18	0.4159,2.2698,0.1681,0.1654,0.5891,6.9425,1.9236
anc_sym_mig_size	Round_2_Replicate_1	-140190.1	280394.2	716654.87	8355.19	8.1904,0.9945,3.1235,1.1533,0.6506,1.7822,0.5078
anc_sym_mig_size	Round_2_Replicate_2	-76477.15	152968.3	239455.5	20138.42	2.5019,0.1855,1.4792,1.1176,3.8089,0.6336,0.0664
anc_sym_mig_size	Round_2_Replicate_3	-89879.23	179772.46	278178.55	14947.01	1.1071,0.357,5.6611,0.6804,2.0766,4.5307,0.1662
anc_sym_mig_size	Round_2_Replicate_4	-75843.28	151700.56	253497.8	11378.81	2.3309,0.9737,1.7166,1.6677,0.6484,1.8579,0.0488
anc_sym_mig_size	Round_2_Replicate_5	-128817.73	257649.46	589239.01	12715.85	2.3604,0.4186,4.2381,0.291,4.0339,3.3852,0.2698
anc_sym_mig_size	Round_2_Replicate_6	-220395.62	440805.24	1738698.91	14046.72	2.1623,0.554,0.6398,2.5789,0.3596,1.707,0.5714
anc_sym_mig_size	Round_2_Replicate_7	-75579.64	151173.28	238264.53	11221.82	5.8582,0.3979,2.5639,0.2916,2.6217,4.1263,0.0409
anc_sym_mig_size	Round_2_Replicate_8	-115840.48	231694.96	432027.83	10898.51	4.9485,0.9157,7.4158,3.0388,0.5154,0.6206,0.085
anc_sym_mig_size	Round_2_Replicate_9	-263122.72	526259.44	3980455.98	12801.41	0.9842,0.1112,2.0016,2.9813,0.3199,4.3518,0.388
anc_sym_mig_size	Round_2_Replicate_10	-112920.77	225855.54	417091.2	14205.97	10.4647,0.179,1.9401,0.4054,2.8821,4.2527,0.053
anc_sym_mig_size	Round_2_Replicate_11	-117025.01	234064.02	397321.01	14196.91	3.3354,0.5312,0.9577,2.494,2.7914,1.0398,0.4387
anc_sym_mig_size	Round_2_Replicate_12	-198396.56	396807.12	2041286.03	15409.57	4.282,0.0889,0.772,2.7444,0.6103,1.3744,0.0706
anc_sym_mig_size	Round_2_Replicate_13	-68317.51	136649.02	179322.37	16375.88	1.2154,0.7944,0.4659,0.3616,1.2107,6.2537,0.1027
anc_sym_mig_size	Round_2_Replicate_14	-145321.32	290656.64	666730.79	11572.7	10.7401,0.2307,5.5014,0.6347,2.0504,0.7395,0.1869
anc_sym_mig_size	Round_2_Replicate_15	-100615.6	201245.2	358297.58	14338.43	6.7521,0.438,1.405,1.2849,0.862,0.5057,0.053
anc_sym_mig_size	Round_2_Replicate_16	-91247.56	182509.12	345674.02	7930.1	5.0258,0.9153,3.9589,1.3508,0.6309,2.5026,0.0776
anc_sym_mig_size	Round_2_Replicate_17	-244898.5	489811.0	3173268.64	15813.66	0.9124,0.1137,1.5898,1.3999,0.4167,2.9053,0.3355
anc_sym_mig_size	Round_2_Replicate_18	-96383.39	192780.78	353862.42	31696.82	0.7934,0.104,1.2833,3.7104,2.9674,5.6457,0.0527
anc_sym_mig_size	Round_2_Replicate_19	-193627.25	387268.5	1400603.13	13414.37	0.7098,0.8641,1.6145,1.1234,0.4359,1.7819,0.6005
anc_sym_mig_size	Round_2_Replicate_20	-116723.32	233460.64	431719.71	13435.72	1.779,0.2288,2.6656,3.6125,2.6184,0.969,0.3322
anc_sym_mig_size	Round_3_Replicate_1	-42920.47	85854.94	119365.95	19809.28	0.9662,0.608,0.2685,0.6585,4.1588,19.5122,0.0351
anc_sym_mig_size	Round_3_Replicate_2	-67315.31	134644.62	145312.32	11506.66	1.0046,2.1136,0.3368,1.343,1.8594,6.2323,0.0716
anc_sym_mig_size	Round_3_Replicate_3	-83416.15	166846.3	252912.79	14348.91	0.9587,1.1987,1.3895,0.2785,0.5152,3.1107,0.0512
anc_sym_mig_size	Round_3_Replicate_4	-132148.43	264310.86	476259.4	17565.99	2.6103,2.8142,0.1712,0.21,0.5512,1.9053,0.1008
anc_sym_mig_size	Round_3_Replicate_5	-51459.76	102933.52	161493.4	12521.2	0.666,2.2949,1.5349,0.7636,3.7766,12.001,0.1011
anc_sym_mig_size	Round_3_Replicate_6	-90444.05	180902.1	202016.02	15183.62	1.0678,1.2157,0.2753,0.8481,3.1838,12.9033,0.1513
anc_sym_mig_size	Round_3_Replicate_7	-79519.12	159052.24	190436.31	12627.39	1.8219,0.9419,0.6268,1.1264,4.3725,15.1168,0.2959
anc_sym_mig_size	Round_3_Replicate_8	-153316.13	306646.26	866861.8	21506.02	4.9147,0.2277,0.1618,0.2617,0.6118,2.0916,0.0693
anc_sym_mig_size	Round_3_Replicate_9	-51510.87	103035.74	110043.08	12209.4	1.3079,1.165,0.2001,0.5504,1.0092,24.5355,0.0259
anc_sym_mig_size	Round_3_Replicate_10	-107857.59	215729.18	418213.95	23779.76	0.8663,0.3684,0.4369,0.2744,0.7119,2.1388,0.0686
anc_sym_mig_size	Round_3_Replicate_11	-85915.62	171845.24	261972.94	23133.78	0.7217,0.4142,0.2494,0.7308,0.7868,18.3523,0.032
anc_sym_mig_size	Round_3_Replicate_12	-112396.2	224806.4	295275.52	28985.38	0.3217,0.9451,0.1868,0.3599,1.9318,19.3936,0.0775
anc_sym_mig_size	Round_3_Replicate_13	-78902.83	157819.66	271741.3	9771.75	2.4139,1.3143,1.42,1.3785,0.4128,2.6016,0.0289
anc_sym_mig_size	Round_3_Replicate_14	-73678.14	147370.28	242670.83	14802.26	1.523,0.3488,1.7747,1.3856,0.9524,8.6861,0.0495
anc_sym_mig_size	Round_3_Replicate_15	-72364.06	144742.12	197895.54	12495.45	1.4992,1.4985,0.504,0.2366,1.1678,9.2006,0.1247
anc_sym_mig_size	Round_3_Replicate_16	-121026.93	242067.86	518156.7	19130.32	0.6022,1.1938,0.9349,0.1888,1.4505,6.2739,0.1945
anc_sym_mig_size	Round_3_Replicate_17	-248424.55	496863.1	2183097.38	24050.6	0.7028,2.3804,0.2361,0.2386,2.73,10.7007,0.3766
anc_sym_mig_size	Round_3_Replicate_18	-54213.62	108441.24	142488.63	17477.81	3.2281,0.4854,0.2545,0.3698,2.0963,2.331,0.0462
anc_sym_mig_size	Round_3_Replicate_19	-148638.37	297290.74	489491.12	14968.29	0.7532,2.2095,0.2212,0.9024,0.4063,2.2546,0.0777
anc_sym_mig_size	Round_3_Replicate_20	-92307.44	184628.88	356728.27	13317.99	1.8679,0.379,0.5574,1.0705,0.5162,11.6596,0.0506
anc_sym_mig_size	Round_3_Replicate_21	-89608.12	179230.24	226382.02	14721.41	0.5614,2.189,0.7542,1.0372,2.4471,4.6674,0.2474
anc_sym_mig_size	Round_3_Replicate_22	-83528.08	167070.16	238989.61	24825.28	0.4115,0.5347,1.3034,0.3648,1.3823,26.0546,0.071
anc_sym_mig_size	Round_3_Replicate_23	-116878.48	233770.96	444146.45	21897.0	1.6891,0.4761,0.4633,0.3659,3.9756,22.2611,0.2703
anc_sym_mig_size	Round_3_Replicate_24	-127641.86	255297.72	589002.95	27668.31	0.5467,0.2513,0.8737,0.2875,1.1968,3.7927,0.1295
anc_sym_mig_size	Round_3_Replicate_25	-147243.16	294500.32	693177.43	28837.97	0.6939,0.3259,0.4051,0.447,2.0095,6.8744,0.2625
anc_sym_mig_size	Round_3_Replicate_26	-57975.47	115964.94	123451.08	24297.59	0.515,1.0636,0.1919,0.1996,2.6559,1.8784,0.0304
anc_sym_mig_size	Round_3_Replicate_27	-105158.98	210331.96	315200.93	15757.26	0.6778,0.8367,0.6523,1.3844,0.5967,17.8043,0.1175
anc_sym_mig_size	Round_3_Replicate_28	-90737.44	181488.88	319934.45	13061.6	1.4431,0.5556,1.4475,0.5448,0.6779,18.0085,0.1499
anc_sym_mig_size	Round_3_Replicate_29	-227279.6	454573.2	2018105.82	22578.98	0.6399,0.3197,0.4541,0.5629,0.4575,14.0912,0.3178
anc_sym_mig_size	Round_3_Replicate_30	-56880.45	113774.9	124506.7	22177.25	0.4812,1.608,0.2584,0.144,2.773,2.8886,0.0363
anc_sym_mig_size	Round_4_Replicate_1	-40141.76	80297.52	156698.81	15024.93	1.5173,0.7093,0.2992,0.704,3.7995,22.5909,0.0312
anc_sym_mig_size	Round_4_Replicate_2	-40511.27	81036.54	186175.83	20634.97	1.163,0.4638,0.2652,0.5928,4.724,22.4062,0.0201
anc_sym_mig_size	Round_4_Replicate_3	-40935.45	81884.9	166986.16	14157.09	1.6362,0.7314,0.3569,0.9003,3.667,24.3989,0.0367
anc_sym_mig_size	Round_4_Replicate_4	-42142.68	84299.36	126996.29	18603.02	0.934,0.5799,0.3661,1.3091,2.2983,12.963,0.016
anc_sym_mig_size	Round_4_Replicate_5	-41208.51	82431.02	150652.24	19386.93	1.4586,0.4215,0.2585,1.0866,3.4509,26.3588,0.0196
anc_sym_mig_size	Round_4_Replicate_6	-39588.46	79190.92	159081.51	17759.81	1.8163,0.5026,0.2323,0.5272,4.9374,16.2317,0.0254
anc_sym_mig_size	Round_4_Replicate_7	-42935.79	85885.58	182316.99	28708.45	0.7564,0.3585,0.1952,0.8077,6.7011,10.5675,0.0188
anc_sym_mig_size	Round_4_Replicate_8	-43004.69	86023.38	146112.55	22239.71	0.6802,0.6526,0.3439,0.4848,6.8588,24.6015,0.0386
