Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
anc_asym_mig_size	Round_1_Replicate_1	-548830.14	1097676.28	184254609.87	10097.4	2.5972,0.593,2.9845,0.3862,1.3746,0.1798,4.3632,1.8839
anc_asym_mig_size	Round_1_Replicate_2	-214723.6	429463.2	1265520.9	12268.86	0.2098,0.4578,7.1768,3.8221,0.8792,6.6662,0.5837,0.4988
anc_asym_mig_size	Round_1_Replicate_3	-452392.73	904801.46	47088549.54	4994.65	0.4715,0.7658,5.1594,1.9864,1.5524,2.3166,2.1976,5.462
anc_asym_mig_size	Round_1_Replicate_4	-160202.83	320421.66	993138.38	15647.86	6.1476,0.5621,1.9714,0.2258,0.7011,0.1966,0.464,0.1727
anc_asym_mig_size	Round_1_Replicate_5	-244982.14	489980.28	194249046902737.47	2687.2	0.267,0.4673,0.1783,4.5819,1.1821,4.9339,5.415,4.2795
anc_asym_mig_size	Round_1_Replicate_6	-92702.23	185420.46	309396.79	7717.74	2.9438,2.7483,7.5664,0.7268,2.3367,0.178,2.8186,0.2575
anc_asym_mig_size	Round_1_Replicate_7	-109976.43	219968.86	633681.58	13013.45	3.6372,1.9684,6.2245,1.8618,0.6479,1.358,0.1424,0.234
anc_asym_mig_size	Round_1_Replicate_8	-758763.42	1517542.84	2255117819.2	9898.58	0.6045,0.4455,0.9273,1.6076,1.8239,0.9386,0.7314,4.7917
anc_asym_mig_size	Round_1_Replicate_9	-243618.89	487253.78	2030975.91	18221.19	0.2758,0.6017,0.6233,3.0062,0.1677,2.4596,0.5275,0.4946
anc_asym_mig_size	Round_1_Replicate_10	-834127.15	1668270.3	11697701437.93	15054.39	0.1777,1.9789,1.5164,0.255,1.5963,0.6237,0.1358,2.2263
anc_asym_mig_size	Round_2_Replicate_1	-126936.61	253889.22	727999.05	9073.67	8.6517,1.9559,22.6422,0.7937,1.4526,0.1081,0.8087,0.0657
anc_asym_mig_size	Round_2_Replicate_2	-106188.05	212392.1	361720.67	5706.47	1.5008,3.4049,26.4008,0.6817,4.6574,0.0541,9.936,0.4829
anc_asym_mig_size	Round_2_Replicate_3	-113575.38	227166.76	433376.15	9268.27	4.3891,2.567,5.4832,0.548,3.3157,0.3242,1.3826,0.2724
anc_asym_mig_size	Round_2_Replicate_4	-132163.73	264343.46	654798.52	10106.06	3.6292,0.8726,5.4678,1.2545,0.736,0.1005,1.2873,0.1323
anc_asym_mig_size	Round_2_Replicate_5	-76508.1	153032.2	201672.31	6067.85	0.9319,4.5281,18.0752,2.5493,0.9975,0.6567,9.0568,0.1698
anc_asym_mig_size	Round_2_Replicate_6	-275276.74	550569.48	4326845.3	7598.17	1.8287,2.0797,21.5866,0.274,0.8497,0.0844,1.6077,0.5335
anc_asym_mig_size	Round_2_Replicate_7	-182018.41	364052.82	1291820.79	8767.24	9.8115,1.9163,4.8388,0.5478,1.6195,0.1818,1.1565,0.5727
anc_asym_mig_size	Round_2_Replicate_8	-115814.9	231645.8	426724.95	8145.07	10.6885,1.7243,10.5407,1.2823,4.7303,0.1958,1.9201,0.3707
anc_asym_mig_size	Round_2_Replicate_9	-153201.36	306418.72	712458.42	7727.41	10.0847,1.5157,13.5825,0.6462,5.0711,0.0511,7.8123,0.5152
anc_asym_mig_size	Round_2_Replicate_10	-109895.81	219807.62	442754.98	9016.1	3.0169,4.5313,3.5214,0.539,1.3505,0.36,1.4898,0.2107
anc_asym_mig_size	Round_2_Replicate_11	-61916.8	123849.6	160085.68	9848.05	0.7959,2.2785,28.9388,0.2684,1.3915,0.2947,8.6724,0.0752
anc_asym_mig_size	Round_2_Replicate_12	-124365.98	248747.96	487032.13	10018.37	1.1848,1.2812,11.1584,0.9336,2.0345,0.0969,1.8503,0.3255
anc_asym_mig_size	Round_2_Replicate_13	-78496.55	157009.1	235095.76	14600.96	1.0214,1.1996,6.5264,1.0763,1.4302,0.6821,0.9661,0.0759
anc_asym_mig_size	Round_2_Replicate_14	-117141.03	234298.06	463993.16	9397.66	5.456,1.409,9.1331,0.9416,1.5719,0.4188,0.921,0.1626
anc_asym_mig_size	Round_2_Replicate_15	-142952.66	285921.32	755533.7	4670.2	4.9473,3.0254,8.3909,0.947,0.8453,0.3122,6.2427,0.9083
anc_asym_mig_size	Round_2_Replicate_16	-120995.93	242007.86	724718.84	8154.61	2.8377,7.6107,4.3291,2.4405,4.6235,0.3614,0.8884,0.3693
anc_asym_mig_size	Round_2_Replicate_17	-88625.31	177266.62	308431.65	7561.25	8.959,3.1334,4.1148,2.4175,9.1214,0.4417,2.5041,0.5574
anc_asym_mig_size	Round_2_Replicate_18	-142937.13	285890.26	648616.8	8379.57	1.6977,1.6055,17.3359,1.4801,0.8598,0.1731,1.1814,0.367
anc_asym_mig_size	Round_2_Replicate_19	-191934.66	383885.32	1194334.36	5517.62	7.5096,3.4171,20.1437,1.06,3.2479,0.4728,1.1207,0.8259
