Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2, T3)
sec_contact_sym_mig_three_epoch	Round_1_Replicate_1	-230712.03	461436.06	3085310.24	5314.92	2.094,3.653,0.1732,7.1832,0.3198,0.3572
sec_contact_sym_mig_three_epoch	Round_1_Replicate_2	-301394.49	602800.98	4932580.24	16219.58	0.6714,1.2339,5.7935,0.5433,0.1274,1.2845
sec_contact_sym_mig_three_epoch	Round_1_Replicate_3	-232853.95	465719.9	2531980.12	39204.94	0.403,0.2011,3.8872,0.7136,0.7517,0.3375
sec_contact_sym_mig_three_epoch	Round_1_Replicate_4	-781371.85	1562755.7	2173462898.43	14243.44	0.462,0.162,0.3107,5.6382,0.2838,0.8675
sec_contact_sym_mig_three_epoch	Round_1_Replicate_5	-203267.45	406546.9	1859097.14	22111.27	0.9882,0.275,6.2448,3.3466,1.9737,0.4877
sec_contact_sym_mig_three_epoch	Round_1_Replicate_6	-207485.26	414982.52	1340050.02	6257.18	1.6998,5.6985,7.9848,2.0873,0.1903,1.8856
sec_contact_sym_mig_three_epoch	Round_1_Replicate_7	-904745.24	1809502.48	31262728725.48	12634.39	1.4015,0.3314,4.3909,1.4317,0.4721,3.1729
sec_contact_sym_mig_three_epoch	Round_1_Replicate_8	-117095.63	234203.26	335995.27	12127.01	0.7076,1.7821,2.1618,4.6154,5.1139,0.4271
sec_contact_sym_mig_three_epoch	Round_1_Replicate_9	-167450.11	334912.22	1169306.98	8812.7	2.8405,0.5226,0.2194,3.0478,0.9261,0.1603
sec_contact_sym_mig_three_epoch	Round_1_Replicate_10	-331983.88	663979.76	7400567.49	22973.95	0.4583,0.4924,2.569,1.5243,0.2666,0.8943
sec_contact_sym_mig_three_epoch	Round_2_Replicate_1	-112718.67	225449.34	457126.47	9479.39	2.3631,0.9262,2.2444,2.2341,1.3377,0.6665
sec_contact_sym_mig_three_epoch	Round_2_Replicate_2	-67759.35	135530.7	289395.08	10583.76	0.6667,4.0299,5.9968,2.8173,1.3113,0.1044
sec_contact_sym_mig_three_epoch	Round_2_Replicate_3	-129704.88	259421.76	385881.71	6891.98	1.1214,4.3852,6.6281,6.5229,8.8987,0.9157
sec_contact_sym_mig_three_epoch	Round_2_Replicate_4	-74922.16	149856.32	192637.83	20652.01	0.6236,0.6448,1.6064,6.3615,11.0812,0.1169
sec_contact_sym_mig_three_epoch	Round_2_Replicate_5	-619601.39	1239214.78	140775390.63	10588.53	0.2247,2.5333,0.6402,8.3393,3.6254,1.1661
sec_contact_sym_mig_three_epoch	Round_2_Replicate_6	-45168.58	90349.16	156214.15	8284.39	2.6594,1.0357,4.0559,8.4612,9.8714,0.1745
sec_contact_sym_mig_three_epoch	Round_2_Replicate_7	-276120.5	552253.0	1856470.07	7940.05	0.3571,5.4582,7.305,12.6899,1.7609,0.8045
sec_contact_sym_mig_three_epoch	Round_2_Replicate_8	-35272.46	70556.92	81413.93	5987.42	2.5135,0.9506,3.4998,22.0301,3.9294,0.2549
sec_contact_sym_mig_three_epoch	Round_2_Replicate_9	-41860.43	83732.86	101673.02	9797.26	1.6537,0.8955,8.5702,5.9532,2.3205,0.2189
sec_contact_sym_mig_three_epoch	Round_2_Replicate_10	-209011.63	418035.26	897720.16	16467.05	0.2494,2.2012,1.122,2.9088,19.3309,0.189
sec_contact_sym_mig_three_epoch	Round_2_Replicate_11	-182369.11	364750.22	802139.85	25895.67	0.2632,0.865,1.3595,2.9802,7.4142,0.2081
sec_contact_sym_mig_three_epoch	Round_2_Replicate_12	-84359.56	168731.12	257867.98	14868.48	1.1356,0.6989,2.2664,1.575,4.4058,0.2978
sec_contact_sym_mig_three_epoch	Round_2_Replicate_13	-397139.98	794291.96	8277178.45	10046.04	0.2717,5.5053,1.211,11.4048,7.9607,0.7308
sec_contact_sym_mig_three_epoch	Round_2_Replicate_14	-106558.67	213129.34	244689.62	9750.85	0.4903,5.6445,3.3952,4.8233,2.3385,0.185
sec_contact_sym_mig_three_epoch	Round_2_Replicate_15	-79790.29	159592.58	178871.81	5019.49	1.7796,4.0041,3.8511,16.9313,9.3585,0.7981
sec_contact_sym_mig_three_epoch	Round_2_Replicate_16	-39736.89	79485.78	97673.63	5560.05	2.8338,0.5231,1.8011,18.7703,2.0751,0.1301
sec_contact_sym_mig_three_epoch	Round_2_Replicate_17	-152201.81	304415.62	912988.43	9180.81	2.5509,0.5858,1.1415,5.5083,4.1688,0.6489
sec_contact_sym_mig_three_epoch	Round_2_Replicate_18	-255417.99	510847.98	3305464.5	13346.28	1.0815,0.5688,7.1216,14.7708,3.0234,1.2099
sec_contact_sym_mig_three_epoch	Round_2_Replicate_19	-62359.52	124731.04	964866.64	5525.41	1.687,4.7999,2.988,3.3403,13.2931,0.1128
sec_contact_sym_mig_three_epoch	Round_2_Replicate_20	-60605.64	121223.28	151260.27	5942.64	2.7995,2.3336,1.8721,1.1737,7.0807,0.4997
sec_contact_sym_mig_three_epoch	Round_3_Replicate_1	-135450.18	270912.36	672752.69	7934.25	5.3196,0.6102,4.4634,21.786,14.3573,0.6335
sec_contact_sym_mig_three_epoch	Round_3_Replicate_2	-98870.41	197752.82	354722.15	7118.65	5.864,0.5534,1.2582,23.8439,14.1159,0.2289
sec_contact_sym_mig_three_epoch	Round_3_Replicate_3	-42780.5	85573.0	986435.31	2828.7	3.2814,2.3993,6.6437,28.7989,2.3213,0.1453
sec_contact_sym_mig_three_epoch	Round_3_Replicate_4	-65590.04	131192.08	185210.6	13493.23	1.4804,0.4958,4.5335,9.2017,3.3901,0.2363
sec_contact_sym_mig_three_epoch	Round_3_Replicate_5	-97622.25	195256.5	239005.42	12919.24	0.6688,1.9865,10.1244,7.0314,7.8248,0.3719
sec_contact_sym_mig_three_epoch	Round_3_Replicate_6	-45498.72	91009.44	629046.43	5360.82	4.5832,1.264,12.9138,24.281,7.4979,0.1474
sec_contact_sym_mig_three_epoch	Round_3_Replicate_7	-44323.79	88659.58	163400.68	3418.94	5.4156,2.9756,3.8417,12.6342,10.8018,0.5084
sec_contact_sym_mig_three_epoch	Round_3_Replicate_8	-49631.99	99275.98	130656.95	9025.41	3.4982,0.6166,5.8625,8.0156,3.7301,0.1802
sec_contact_sym_mig_three_epoch	Round_3_Replicate_9	-46301.34	92614.68	126672.15	8099.83	0.7842,1.5001,2.2994,8.9743,1.0751,0.0753
sec_contact_sym_mig_three_epoch	Round_3_Replicate_10	-30262.81	60537.62	107517.16	5678.73	5.1104,0.315,9.8451,23.6148,1.3545,0.0635
sec_contact_sym_mig_three_epoch	Round_3_Replicate_11	-41210.79	82433.58	98911.46	3507.57	3.351,0.9699,3.1457,29.7876,1.9843,0.4613
sec_contact_sym_mig_three_epoch	Round_3_Replicate_12	-45941.57	91895.14	120416.05	6570.13	2.7527,0.4283,1.2313,28.1783,3.8645,0.0493
sec_contact_sym_mig_three_epoch	Round_3_Replicate_13	-65231.1	130474.2	158251.06	9351.13	0.837,0.6289,1.3268,10.8349,1.2089,0.198
sec_contact_sym_mig_three_epoch	Round_3_Replicate_14	-45894.83	91801.66	107292.9	11486.98	1.3042,0.6759,2.8678,26.6621,5.3691,0.1717
sec_contact_sym_mig_three_epoch	Round_3_Replicate_15	-63301.59	126615.18	170019.86	3496.06	5.382,2.3573,1.0115,12.562,3.6549,0.9376
sec_contact_sym_mig_three_epoch	Round_3_Replicate_16	-31755.66	63523.32	178100.81	3453.94	2.6377,1.9732,5.6758,29.2969,3.3519,0.2172
sec_contact_sym_mig_three_epoch	Round_3_Replicate_17	-51755.66	103523.32	626283.16	5178.12	7.1471,1.2799,8.8885,16.5714,9.4954,0.1637
sec_contact_sym_mig_three_epoch	Round_3_Replicate_18	-127404.24	254820.48	404200.01	9988.9	0.8292,1.9006,5.0478,23.8334,6.7202,0.6936
sec_contact_sym_mig_three_epoch	Round_3_Replicate_19	-32022.53	64057.06	92665.69	4924.42	3.9149,1.0928,15.7794,21.3589,3.8225,0.2741
sec_contact_sym_mig_three_epoch	Round_3_Replicate_20	-22342.01	44696.02	64453.29	4265.81	1.9151,0.7064,6.7251,29.2221,1.4995,0.1307
sec_contact_sym_mig_three_epoch	Round_3_Replicate_21	-41940.16	83892.32	207928.06	5510.39	6.3058,0.9576,7.6599,26.3564,6.9764,0.176
sec_contact_sym_mig_three_epoch	Round_3_Replicate_22	-84206.67	168425.34	283200.58	6276.06	3.178,0.9141,3.6891,21.9624,5.28,0.6961
sec_contact_sym_mig_three_epoch	Round_3_Replicate_23	-133599.83	267211.66	653325.91	20354.82	1.069,0.3947,8.05,16.9025,14.1708,0.396
sec_contact_sym_mig_three_epoch	Round_3_Replicate_24	-78356.0	156724.0	258550.01	8947.2	1.9972,0.4687,4.349,13.5866,2.0662,0.3599
sec_contact_sym_mig_three_epoch	Round_3_Replicate_25	-58263.19	116538.38	264415.65	9262.45	6.9793,0.4768,5.9181,10.1017,4.4263,0.0751
sec_contact_sym_mig_three_epoch	Round_3_Replicate_26	-29651.54	59315.08	63000.1	3505.66	2.4797,1.6461,1.3439,29.0356,2.8677,0.2495
sec_contact_sym_mig_three_epoch	Round_3_Replicate_27	-75428.04	150868.08	218330.4	11426.42	7.8096,0.4295,9.0655,23.0303,17.111,0.1337
sec_contact_sym_mig_three_epoch	Round_3_Replicate_28	-31285.08	62582.16	70251.67	5071.2	2.6271,1.0955,14.2029,16.3283,1.8069,0.3209
