Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, T3)
sec_contact_asym_mig_three_epoch	Round_1_Replicate_1	-87162.65	174339.3	2829232.35	3286.32	5.9298,7.6112,6.9965,0.7435,7.9466,0.3746,4.5
sec_contact_asym_mig_three_epoch	Round_1_Replicate_2	-199400.61	398815.22	1004806.68	7689.1	0.4227,2.2575,1.3581,0.1514,8.3162,0.1865,8.1328
sec_contact_asym_mig_three_epoch	Round_1_Replicate_3	-689213.61	1378441.22	454276473.22	21232.16	0.1722,1.09,1.3872,0.8458,0.8401,1.0567,2.9732
sec_contact_asym_mig_three_epoch	Round_1_Replicate_4	-168272.21	336558.42	666907.66	21469.82	0.2775,1.2731,2.6435,0.4663,0.782,0.1804,0.1395
sec_contact_asym_mig_three_epoch	Round_1_Replicate_5	-1256613.13	2513240.26	1352317581952.91	5483.91	0.27,6.7476,1.6364,0.7002,3.6561,3.9261,4.3643
sec_contact_asym_mig_three_epoch	Round_1_Replicate_6	-94972.08	189958.16	300732.46	9764.95	1.2014,1.9113,2.6417,0.2718,3.4233,0.3878,0.351
sec_contact_asym_mig_three_epoch	Round_1_Replicate_7	-243624.98	487263.96	2456390.27	20244.14	0.524,0.8511,0.2733,0.4261,1.187,0.1509,0.3979
sec_contact_asym_mig_three_epoch	Round_1_Replicate_8	-590603.11	1181220.22	303509597.47	11633.85	1.8685,0.3863,0.2881,5.3124,0.1635,2.2782,1.5336
sec_contact_asym_mig_three_epoch	Round_1_Replicate_9	-118498.74	237011.48	505926.32	9511.84	2.9026,0.4067,0.2531,2.5614,2.9298,0.157,0.1272
sec_contact_asym_mig_three_epoch	Round_1_Replicate_10	-114208.23	228430.46	415705.96	10772.98	2.6745,1.9033,1.4842,1.461,0.2282,0.4445,0.5459
sec_contact_asym_mig_three_epoch	Round_2_Replicate_1	-49491.72	98997.44	144279.08	2122.41	8.1919,4.0637,2.1059,0.3725,27.1765,0.6507,3.4978
sec_contact_asym_mig_three_epoch	Round_2_Replicate_2	-104210.09	208434.18	337589.77	5206.44	11.9428,2.3994,23.0793,0.8405,9.0682,0.9878,1.4578
sec_contact_asym_mig_three_epoch	Round_2_Replicate_3	-173292.27	346598.54	1284581.53	4590.24	2.0544,21.1929,2.1641,0.3805,2.6477,0.1328,3.1474
sec_contact_asym_mig_three_epoch	Round_2_Replicate_4	-177888.74	355791.48	31758804.55	2863.78	23.5078,13.2241,7.8868,0.4509,2.8555,0.7781,1.274
sec_contact_asym_mig_three_epoch	Round_2_Replicate_5	-119769.18	239552.36	3750907.88	4756.98	12.9166,4.42,7.2351,0.5625,3.0898,0.3973,1.9944
sec_contact_asym_mig_three_epoch	Round_2_Replicate_6	-100989.47	201992.94	253585.33	3289.95	2.1855,6.9742,6.3383,0.2994,29.7,1.306,1.1982
sec_contact_asym_mig_three_epoch	Round_2_Replicate_7	-96028.83	192071.66	21702977.67	1455.45	14.0166,11.9483,6.2814,1.5248,24.1144,0.4133,4.0216
sec_contact_asym_mig_three_epoch	Round_2_Replicate_8	-92057.44	184128.88	839381.03	3379.87	16.6305,6.5699,24.4978,0.2385,6.8403,0.9482,7.6989
sec_contact_asym_mig_three_epoch	Round_2_Replicate_9	-73984.02	147982.04	646491.21	4843.19	4.1905,5.6209,24.4807,1.26,5.7772,0.4658,2.8615
sec_contact_asym_mig_three_epoch	Round_2_Replicate_10	-114902.02	229818.04	1321595.7	5955.44	12.709,1.9613,7.4356,0.3398,3.4529,0.265,2.1078
sec_contact_asym_mig_three_epoch	Round_2_Replicate_11	-159890.13	319794.26	5472219.51	3597.23	15.0301,5.2842,3.289,1.8678,2.984,0.219,16.2763
sec_contact_asym_mig_three_epoch	Round_2_Replicate_12	-87664.6	175343.2	1522983.98	1401.12	10.2597,22.6718,2.47,0.1862,17.6927,0.7703,2.7484
sec_contact_asym_mig_three_epoch	Round_2_Replicate_13	-57696.11	115406.22	201817.45	1844.19	6.15,11.249,3.0282,1.0388,21.3437,0.2286,19.5102
sec_contact_asym_mig_three_epoch	Round_2_Replicate_14	-99602.8	199219.6	9653717.38	2623.98	15.7283,8.6147,14.679,0.8441,12.1924,0.4918,5.5213
sec_contact_asym_mig_three_epoch	Round_2_Replicate_15	-133204.58	266423.16	3656722.82	3701.45	8.3888,9.906,7.3036,0.8676,2.8275,0.65,6.9412
sec_contact_asym_mig_three_epoch	Round_2_Replicate_16	-189490.92	378995.84	6065559.24	2167.32	21.426,3.8906,2.4893,0.2416,9.1293,0.1433,4.1762
sec_contact_asym_mig_three_epoch	Round_2_Replicate_17	-62833.47	125680.94	214347.97	3436.18	2.4557,5.7716,4.291,0.2091,13.5615,0.1593,3.3027
sec_contact_asym_mig_three_epoch	Round_2_Replicate_18	-128720.91	257455.82	520257.46	4640.26	1.7235,13.0687,2.3017,0.2829,3.2193,0.4337,1.6834
sec_contact_asym_mig_three_epoch	Round_2_Replicate_19	-90235.17	180484.34	1085446.76	2404.35	2.0903,19.3506,8.835,2.6753,10.7339,0.2237,1.9275
sec_contact_asym_mig_three_epoch	Round_2_Replicate_20	-118639.12	237292.24	1301860.79	1936.65	4.8149,9.6547,2.5652,0.2405,24.813,0.1525,1.2513
sec_contact_asym_mig_three_epoch	Round_3_Replicate_1	-53331.78	106677.56	152692.34	2309.47	9.2248,4.3395,3.3695,1.0219,22.221,1.1054,2.8256
