Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_1	-66603.85	133223.7	276128.57	4116.49	0.3914,6.4734,4.4555,5.5991,1.3002,6.2333,1.4876,0.5066
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_2	-379343.61	758703.22	1.3238757213371615e+22	12412.41	6.2855,7.9323,0.1618,0.1222,5.6053,0.5396,0.9533,4.3919
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_3	-507081.86	1014179.72	98919257.48	11831.24	0.5228,0.2373,1.8983,0.356,0.8891,1.9913,6.3551,1.6577
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_4	-696799.07	1393614.14	487687887.46	9565.04	2.1859,0.1796,0.3401,5.5242,6.9612,0.1766,0.6296,2.2461
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_5	-254677.85	509371.7	3755838.05	6187.48	0.8405,0.8499,4.043,1.0043,1.7483,4.5951,2.0048,2.1909
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_6	-231828.7	463673.4	1575896.53	21580.9	5.7912,0.8758,0.3136,0.9625,0.498,0.1904,1.8464,0.2563
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_7	-161734.46	323484.92	1010506.07	7950.77	1.4131,0.8358,2.9506,1.0658,0.1897,0.516,3.4441,0.4597
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_8	-156765.08	313546.16	925987.62	11948.12	0.6864,0.3275,3.1734,0.6629,2.129,0.8102,0.3659,0.6061
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_9	-299366.93	598749.86	6621714.93	18891.04	0.8326,1.5547,1.2719,0.1618,0.2124,0.5848,1.0445,0.1548
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_10	-255188.91	510393.82	3558122.64	7885.62	0.3467,0.7274,7.8659,0.19,0.6565,1.2561,2.2782,0.1981
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_1	-112282.76	224581.52	304389.47	3520.1	0.1237,2.048,2.6269,8.4688,0.4019,7.3432,6.1781,1.0435
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_2	-97458.14	194932.28	1153285.01	2317.95	0.1009,13.7586,6.8747,20.4164,0.8353,6.3995,4.2645,0.5834
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_3	-146527.75	293071.5	3565753.2	5479.71	0.793,21.2968,3.7622,12.8836,1.1598,1.6549,0.642,0.1239
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_4	-112803.37	225622.74	439252.99	3859.21	0.8538,25.4902,6.8517,3.327,0.8668,5.4318,0.5681,0.9507
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_5	-153569.33	307154.66	14346948.8	4089.36	0.1912,2.8341,7.4742,18.3795,0.6473,1.9069,1.7347,0.1293
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_6	-99643.66	199303.32	371711.94	5826.24	0.0985,26.8843,6.9729,1.773,4.9962,2.5454,0.441,0.5251
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_7	-139640.99	279297.98	613713.92	3318.45	0.5907,20.2462,7.6738,7.7699,0.7723,4.6771,0.5852,1.3843
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_8	-83415.28	166846.56	210345.18	5019.78	0.7387,2.8554,1.4136,7.7378,0.6553,7.8408,1.7219,0.1802
