Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2, T3)
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_1	-413929.53	827877.06	24340353.22	22836.9	0.1294,0.1664,0.6353,0.3672,0.608,0.9509,0.8624,1.0757,0.9558
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_2	-557454.68	1114927.36	198807926.24	9692.6	3.8858,3.9807,2.4516,0.2884,0.2541,4.0059,0.8664,6.7404,1.7589
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_3	-219980.97	439979.94	1646943.64	8143.16	0.7489,3.1066,1.199,2.6235,2.8108,0.2739,3.4997,0.1549,1.2258
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_4	-144542.65	289103.3	681375.98	12581.68	1.0676,1.8749,1.6092,0.8697,0.2533,6.164,4.6834,0.3756,0.6047
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_5	-190846.46	381710.92	1130424.87	15054.28	1.1095,0.2327,7.8797,0.3949,7.1329,0.143,0.2753,0.3435,0.2468
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_6	-117582.15	235182.3	428240.78	13508.37	4.2721,0.9406,4.082,0.8171,5.2204,0.1642,0.2374,1.6144,0.2856
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_7	-255770.25	511558.5	3936372.62	11512.83	0.1748,0.242,3.2341,0.4522,0.4338,0.1487,0.1498,1.2945,0.4234
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_8	-330244.57	660507.14	6191230.45	21853.0	0.3178,5.26,0.3557,0.9156,2.8302,0.1381,0.6695,1.6844,0.7898
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_9	-276308.4	552634.8	4708440.49	13852.94	1.8187,1.1376,1.3983,0.6149,6.6719,2.2696,1.4056,0.2282,1.2722
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_10	-420874.94	841767.88	33222798.95	13547.96	0.4707,0.2257,1.81,0.4357,6.8928,0.2261,2.3353,0.1572,1.2553
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_1	-79935.06	159888.12	245456.74	23525.76	1.5664,3.2715,1.539,0.5175,7.1222,0.1437,0.1203,0.7939,0.0963
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_2	-96440.04	192898.08	331767.87	12210.54	5.5526,2.6739,2.7092,1.3749,2.1349,0.0431,0.213,0.5298,0.207
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_3	-187693.52	375405.04	1384160.74	15371.67	1.8549,2.2907,2.7421,0.6096,7.7932,0.3216,0.062,4.3795,0.5913
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_4	-215731.51	431481.02	2121530.12	18879.18	13.2415,0.6596,1.8001,0.5322,8.9956,0.0511,0.452,2.2112,0.6371
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_5	-78731.65	157481.3	343423.52	9109.24	6.8279,1.8559,4.9827,1.9739,14.9609,0.4142,0.2832,4.4083,0.3639
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_6	-89764.78	179547.56	302643.56	15612.84	6.1501,0.7262,2.5688,0.9816,6.6387,0.2068,0.3288,0.7385,0.2052
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_7	-147931.4	295880.8	730315.81	8822.23	5.8119,0.4119,6.8846,2.2121,11.208,0.075,0.4402,0.7479,0.6312
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_8	-122322.39	244662.78	511879.66	8342.15	6.3899,2.3816,8.947,1.1746,1.6723,0.618,0.4977,0.5354,0.1791
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_9	-146131.91	292281.82	2401591.04	12683.56	8.9351,0.3894,8.7954,1.2378,5.397,0.1586,0.5583,0.4293,0.0977
