Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_1_Replicate_1	-693854.06	1387714.12	1410696520.99	9180.25	5.7035,0.199,1.575
no_mig	Round_1_Replicate_2	-1716259.28	3432524.56	1.7914271197991388e+16	15034.8	0.4456,0.363,5.0661
no_mig	Round_1_Replicate_3	-123475.22	246956.44	1873169.57	11838.99	4.5368,5.6795,0.4237
no_mig	Round_1_Replicate_4	-170794.73	341595.46	1014733.46	16281.3	1.2114,1.1192,0.8452
no_mig	Round_1_Replicate_5	-173584.61	347175.22	1221912.13	18703.74	2.2338,0.2601,0.4066
no_mig	Round_1_Replicate_6	-142048.26	284102.52	681128.17	15596.45	4.3402,0.3723,0.3773
no_mig	Round_1_Replicate_7	-96450.07	192906.14	304945.44	19777.43	4.8257,0.236,0.166
no_mig	Round_1_Replicate_8	-96844.92	193695.84	248604.62	19057.7	0.7406,3.4921,0.2936
no_mig	Round_1_Replicate_9	-1132328.43	2264662.86	377329104950.48	15617.56	0.2479,1.3729,3.0153
no_mig	Round_1_Replicate_10	-56713.22	113432.44	145461.4	26404.46	0.8915,0.3137,0.1241
no_mig	Round_2_Replicate_1	-51793.43	103592.86	345583.63	25651.32	2.2063,0.2373,0.0481
no_mig	Round_2_Replicate_2	-70518.7	141043.4	160289.09	26029.32	0.4527,1.0621,0.1539
no_mig	Round_2_Replicate_3	-92010.73	184027.46	269031.48	33343.09	0.3211,0.3159,0.1719
no_mig	Round_2_Replicate_4	-57815.43	115636.86	176228.78	26889.0	0.4529,1.0097,0.0984
no_mig	Round_2_Replicate_5	-82070.22	164146.44	264990.16	30740.12	0.5658,0.1871,0.1447
no_mig	Round_2_Replicate_6	-71034.57	142075.14	199248.55	24758.01	1.0317,0.3605,0.1801
no_mig	Round_2_Replicate_7	-184422.61	368851.22	1016055.15	35751.29	0.2478,0.3679,0.3228
no_mig	Round_2_Replicate_8	-43770.15	87546.3	158817.18	28161.72	0.6311,0.3345,0.0665
no_mig	Round_2_Replicate_9	-50602.62	101211.24	144243.7	25804.31	2.0181,0.167,0.0582
no_mig	Round_2_Replicate_10	-151094.19	302194.38	586234.47	24581.91	0.3873,1.0961,0.3858
no_mig	Round_2_Replicate_11	-70330.42	140666.84	181055.97	22660.99	0.9263,0.8493,0.2162
no_mig	Round_2_Replicate_12	-47368.46	94742.92	193684.19	30167.95	0.2968,0.4988,0.0498
no_mig	Round_2_Replicate_13	-69119.71	138245.42	194336.33	25387.75	1.046,0.2948,0.1572
no_mig	Round_2_Replicate_14	-52338.52	104683.04	248981.91	27521.66	0.4819,0.7641,0.074
no_mig	Round_2_Replicate_15	-166785.51	333577.02	917143.97	35730.43	0.323,0.2652,0.3059
no_mig	Round_2_Replicate_16	-70952.76	141911.52	1111809.39	22127.54	2.0392,0.9227,0.1023
no_mig	Round_2_Replicate_17	-103808.57	207623.14	336992.4	29824.89	0.4271,0.4269,0.243
no_mig	Round_2_Replicate_18	-55572.42	111150.84	246694.51	23955.82	1.9219,0.3784,0.0856
no_mig	Round_2_Replicate_19	-72640.87	145287.74	202899.3	20445.23	1.4574,0.8474,0.2316
no_mig	Round_2_Replicate_20	-39076.21	78158.42	97752.08	32407.42	0.2914,0.2055,0.0483
no_mig	Round_3_Replicate_1	-47854.69	95715.38	157887.75	26196.43	1.1061,0.2943,0.0766
no_mig	Round_3_Replicate_2	-38190.41	76386.82	120377.34	31533.14	0.3131,0.2237,0.0428
no_mig	Round_3_Replicate_3	-38476.05	76958.1	135689.01	30451.02	0.41,0.2253,0.0452
no_mig	Round_3_Replicate_4	-38349.27	76704.54	115472.05	30312.57	0.4659,0.196,0.0486
no_mig	Round_3_Replicate_5	-47580.97	95167.94	205605.89	27836.1	0.5494,0.5109,0.0711
no_mig	Round_3_Replicate_6	-52999.1	106004.2	269941.44	25319.23	0.9257,0.6019,0.0915
no_mig	Round_3_Replicate_7	-33693.72	67393.44	134719.07	32656.34	0.2168,0.1186,0.0224
no_mig	Round_3_Replicate_8	-31990.9	63987.8	107800.79	32757.16	0.2322,0.0866,0.0208
no_mig	Round_3_Replicate_9	-54319.11	108644.22	289520.19	24811.5	1.0517,0.6041,0.0944
no_mig	Round_3_Replicate_10	-43324.55	86655.1	162451.44	27563.74	0.9711,0.2042,0.0512
no_mig	Round_3_Replicate_11	-32812.48	65630.96	114555.03	31732.52	0.3107,0.075,0.0197
no_mig	Round_3_Replicate_12	-30750.96	61507.92	103366.77	32857.54	0.1987,0.0525,0.0139
no_mig	Round_3_Replicate_13	-52123.52	104253.04	262517.43	27207.9	0.5314,0.7371,0.0759
no_mig	Round_3_Replicate_14	-46850.12	93706.24	303733.19	30202.5	0.2919,0.4418,0.0388
no_mig	Round_3_Replicate_15	-42402.61	84811.22	149204.33	27871.85	0.9893,0.1657,0.045
no_mig	Round_3_Replicate_16	-45872.33	91750.66	144789.75	27348.08	0.7485,0.3458,0.0796
no_mig	Round_3_Replicate_17	-37850.24	75706.48	125335.08	30023.94	0.505,0.177,0.0433
no_mig	Round_3_Replicate_18	-30907.83	61821.66	101346.64	33339.63	0.187,0.0684,0.0169
no_mig	Round_3_Replicate_19	-39733.86	79473.72	152129.89	29836.04	0.4594,0.2517,0.0481
no_mig	Round_3_Replicate_20	-44481.63	88969.26	126457.43	27875.02	0.7685,0.2562,0.0724
