Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-99915.97	199839.94	352684.22	12004.32	5.7988,0.2263,1.9943,5.0769
sym_mig	Round_1_Replicate_2	-88781.92	177571.84	1104649.74	18328.4	1.0642,4.513,1.0534,0.2461
sym_mig	Round_1_Replicate_3	-135653.19	271314.38	680679.17	26019.25	0.56,0.3061,0.4161,2.1369
sym_mig	Round_1_Replicate_4	-137352.05	274712.1	481243.81	12938.82	0.909,5.096,0.1962,0.8146
sym_mig	Round_1_Replicate_5	-117529.65	235067.3	118208115.47	9236.56	1.55,3.4731,4.6193,2.2949
sym_mig	Round_1_Replicate_6	-163861.08	327730.16	535403445.91	13536.07	5.5956,5.2076,2.3594,0.2839
sym_mig	Round_1_Replicate_7	-110504.19	221016.38	545910.37	9073.52	6.2376,1.1603,0.7225,1.1429
sym_mig	Round_1_Replicate_8	-90767.18	181542.36	842880.69	15392.81	2.1136,2.1337,0.7895,0.3752
sym_mig	Round_1_Replicate_9	-203363.28	406734.56	1622010.58	46285.11	0.2476,0.1384,0.4484,0.9824
sym_mig	Round_1_Replicate_10	-146101.03	292210.06	807315.67	23570.96	0.635,0.3102,0.3434,2.5369
sym_mig	Round_2_Replicate_1	-82381.56	164771.12	1014726.29	20292.38	1.0603,4.8164,0.2579,0.1626
sym_mig	Round_2_Replicate_2	-119810.5	239629.0	347795.72	17759.04	0.4232,16.184,0.8341,0.3569
sym_mig	Round_2_Replicate_3	-84586.42	169180.84	774306.29	22823.74	0.4002,6.3673,2.797,0.172
sym_mig	Round_2_Replicate_4	-93265.63	186539.26	2462278.63	16739.65	2.3513,1.6211,1.4965,0.2836
sym_mig	Round_2_Replicate_5	-114796.55	229601.1	2647728.46	13882.82	2.1005,14.8916,0.3694,0.3447
sym_mig	Round_2_Replicate_6	-96230.9	192469.8	719439.0	15931.44	1.5286,6.0283,0.2679,0.3064
sym_mig	Round_2_Replicate_7	-113722.73	227453.46	21644870.43	18029.15	1.2576,11.213,2.4924,0.2038
sym_mig	Round_2_Replicate_8	-91459.61	182927.22	3350415.19	20269.86	1.1033,9.0909,0.6685,0.1463
sym_mig	Round_2_Replicate_9	-98558.72	197125.44	893531.77	17159.7	0.4367,5.335,2.9132,0.6766
sym_mig	Round_2_Replicate_10	-91994.64	183997.28	2411832.38	19188.52	1.2867,7.3913,0.4147,0.172
sym_mig	Round_2_Replicate_11	-148564.81	297137.62	198777018.07	10850.55	2.3669,4.2268,3.3945,0.7711
sym_mig	Round_2_Replicate_12	-79084.51	158177.02	295148.0	19414.16	0.8986,2.5016,0.5809,0.27
sym_mig	Round_2_Replicate_13	-129422.88	258853.76	358644399.44	20120.82	2.8,7.7753,1.1971,0.1023
sym_mig	Round_2_Replicate_14	-122196.71	244401.42	20097976.23	16000.68	3.0301,9.4569,0.2878,0.2125
