Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_1_Replicate_1	-64958.92	129927.84	196130.84	19247.28	1.3539,0.7022,2.3501,0.1512,0.6251
asym_mig	Round_1_Replicate_2	-192893.5	385797.0	1966438.25	10974.6	3.5492,0.1957,0.5152,0.2341,3.2773
asym_mig	Round_1_Replicate_3	-106488.16	212986.32	356312.69	18024.29	6.5868,0.2459,0.3453,0.2341,0.2098
asym_mig	Round_1_Replicate_4	-71027.31	142064.62	190000.97	20176.93	0.4309,1.0181,1.7019,0.1866,3.3069
asym_mig	Round_1_Replicate_5	-159813.31	319636.62	269901061.9	10260.19	3.3054,7.2559,1.0966,3.7774,0.7831
asym_mig	Round_1_Replicate_6	-114540.19	229090.38	576555.81	9351.18	3.718,0.3681,0.3014,0.4969,3.0114
asym_mig	Round_1_Replicate_7	-104951.38	209912.76	283685.44	9231.02	0.4791,4.7499,1.1566,0.5352,3.6666
asym_mig	Round_1_Replicate_8	-105071.05	210152.1	355513.32	17612.74	5.4358,0.2543,0.2369,0.6275,0.2398
asym_mig	Round_1_Replicate_9	-93246.71	186503.42	294013.19	5851.83	2.3143,4.5099,0.1927,0.3534,5.4067
asym_mig	Round_1_Replicate_10	-46663.64	93337.28	136829.7	54764.5	0.297,0.1687,2.9835,7.8417,1.2661
asym_mig	Round_2_Replicate_1	-52603.09	105216.18	590673.86	25732.01	0.5238,0.5486,4.3522,5.3817,3.7977
asym_mig	Round_2_Replicate_2	-47319.54	94649.08	140162.67	47894.6	0.4727,0.1039,1.1535,10.8554,2.0723
asym_mig	Round_2_Replicate_3	-39938.67	79887.34	98946.0	64469.4	0.1859,0.2063,9.5056,2.6746,0.7199
asym_mig	Round_2_Replicate_4	-35360.12	70730.24	94461.89	40559.8	0.3866,0.1461,3.6225,6.947,0.4283
asym_mig	Round_2_Replicate_5	-72829.34	145668.68	219404.81	42558.26	0.3854,0.1447,0.9516,2.6782,0.8729
asym_mig	Round_2_Replicate_6	-46470.83	92951.66	134223.28	68223.33	0.1536,0.1777,6.507,8.903,0.6233
asym_mig	Round_2_Replicate_7	-84650.53	169311.06	247573.76	78437.21	0.163,0.1073,1.6392,3.9419,0.7755
asym_mig	Round_2_Replicate_8	-42540.85	85091.7	118915.4	33081.57	0.7072,0.1151,2.088,7.7418,2.1871
asym_mig	Round_2_Replicate_9	-43214.44	86438.88	101788.06	65009.3	0.2229,0.0801,2.3728,10.8049,0.4381
asym_mig	Round_2_Replicate_10	-59698.93	119407.86	141074.78	70041.5	0.153,0.1861,3.6755,6.1828,0.757
asym_mig	Round_2_Replicate_11	-45178.43	90366.86	174781.08	45914.16	0.5582,0.0741,0.8104,19.2916,3.5265
asym_mig	Round_2_Replicate_12	-45494.91	90999.82	106611.4	74093.76	0.1203,0.2074,9.934,4.6392,0.8319
asym_mig	Round_2_Replicate_13	-52667.48	105344.96	203025.01	35053.21	0.2751,0.4861,4.4325,4.5319,0.7698
asym_mig	Round_2_Replicate_14	-83414.97	166839.94	235928.38	40872.02	0.1566,0.6318,3.5742,4.1772,0.8522
asym_mig	Round_2_Replicate_15	-91751.58	183513.16	2529553.56	87200.71	0.136,0.5683,7.4044,23.2891,1.1955
asym_mig	Round_2_Replicate_16	-103963.04	207936.08	450186.4	38052.51	0.542,0.0643,1.0777,2.2165,0.554
asym_mig	Round_2_Replicate_17	-108242.62	216495.24	1682209.69	135286.71	0.1099,0.4603,1.874,26.9268,1.4291
asym_mig	Round_2_Replicate_18	-41011.69	82033.38	159938.37	29961.68	0.8371,0.1026,2.7085,12.7022,2.7584
asym_mig	Round_2_Replicate_19	-48448.38	96906.76	129944.77	56430.03	0.3643,0.0961,1.3278,10.0557,1.1712
asym_mig	Round_2_Replicate_20	-85704.96	171419.92	835474.98	56996.04	0.2266,0.5743,2.5583,10.9408,1.4043
asym_mig	Round_3_Replicate_1	-72295.95	144601.9	3485479.6	43508.64	0.3947,0.3727,1.0906,20.5195,0.5253
asym_mig	Round_3_Replicate_2	-42001.89	84013.78	121802.0	28908.3	0.6524,0.2697,2.7552,3.3632,0.2782
asym_mig	Round_3_Replicate_3	-40054.95	80119.9	128051.85	31896.07	0.6245,0.2049,3.2921,5.2358,0.8512
asym_mig	Round_3_Replicate_4	-37832.79	75675.58	127425.18	67694.47	0.1274,0.2462,18.8329,2.5794,0.5889
asym_mig	Round_3_Replicate_5	-43784.96	87579.92	346768.37	28810.78	0.5814,0.3379,6.0136,3.911,0.1225
asym_mig	Round_3_Replicate_6	-38301.39	76612.78	127305.37	32132.64	0.7429,0.0704,2.1247,16.7862,0.4486
asym_mig	Round_3_Replicate_7	-64363.29	128736.58	188379.01	54322.21	0.3053,0.0452,0.9842,7.678,0.3946
asym_mig	Round_3_Replicate_8	-47951.44	95912.88	166644.63	28089.61	0.6376,0.3386,1.2787,4.4233,0.2217
asym_mig	Round_3_Replicate_9	-61706.1	123422.2	486865.26	41862.05	0.3721,0.339,1.434,10.0759,0.725
asym_mig	Round_3_Replicate_10	-28650.01	57310.02	71322.86	40972.75	0.2436,0.1932,10.0124,1.9653,0.1655
asym_mig	Round_3_Replicate_11	-43837.51	87685.02	168692.15	35648.35	0.4274,0.1893,0.9694,9.8629,0.2426
asym_mig	Round_3_Replicate_12	-27767.75	55545.5	77888.4	45440.52	0.2585,0.0687,5.7392,16.3937,0.1545
asym_mig	Round_3_Replicate_13	-52183.38	104376.76	305460.96	24477.76	1.2265,0.3782,4.0738,2.2332,0.1685
asym_mig	Round_3_Replicate_14	-38986.99	77983.98	103648.07	38903.57	0.4614,0.1093,1.4324,9.6679,0.4035
asym_mig	Round_3_Replicate_15	-38610.48	77230.96	118297.0	40454.91	0.3844,0.1376,1.8967,10.175,0.3462
asym_mig	Round_3_Replicate_16	-35032.29	70074.58	109931.16	34437.37	0.5152,0.0919,1.9582,13.1374,0.1732
asym_mig	Round_3_Replicate_17	-30813.91	61637.82	97710.77	41235.81	0.3545,0.0732,3.1356,17.5476,0.1905
asym_mig	Round_3_Replicate_18	-55540.88	111091.76	186001.42	55923.86	0.4582,0.1628,7.918,3.4029,1.4594
asym_mig	Round_3_Replicate_19	-49960.9	99931.8	233983.18	19074.17	1.2097,0.4556,2.3461,2.8151,1.4193
asym_mig	Round_3_Replicate_20	-52080.34	104170.68	470236.71	29561.63	1.4081,0.1412,12.2369,5.9584,0.1259
asym_mig	Round_3_Replicate_21	-34148.14	68306.28	100599.62	34655.34	0.449,0.1395,3.5797,7.6451,0.172
asym_mig	Round_3_Replicate_22	-29257.18	58524.36	82234.43	51160.91	0.2961,0.061,6.0409,17.3037,0.2948
asym_mig	Round_3_Replicate_23	-45020.4	90050.8	109759.36	33498.87	0.4169,0.1943,1.2129,3.879,0.1555
asym_mig	Round_3_Replicate_24	-40664.44	81338.88	153543.44	53959.45	0.4499,0.0532,2.6715,25.3473,1.552
asym_mig	Round_3_Replicate_25	-36090.58	72191.16	144955.88	45178.55	0.4803,0.0518,2.141,28.0385,0.6255
asym_mig	Round_3_Replicate_26	-41504.47	83018.94	119380.59	89111.12	0.1625,0.1293,10.5231,7.8124,1.0988
asym_mig	Round_3_Replicate_27	-55346.4	110702.8	996923.12	22337.01	1.0008,0.3872,5.2471,5.7251,1.7349
asym_mig	Round_3_Replicate_28	-41981.06	83972.12	124651.56	39205.33	0.5046,0.1285,1.401,9.42,0.7618
asym_mig	Round_3_Replicate_29	-30936.32	61882.64	165156.77	38476.11	0.2505,0.1905,12.5037,6.1459,0.1286
asym_mig	Round_3_Replicate_30	-39214.97	78439.94	98972.62	35433.31	0.4516,0.1768,2.5523,4.8589,0.3433
asym_mig	Round_4_Replicate_1	-32348.88	64707.76	90609.09	38977.46	0.4178,0.0907,3.4794,11.6197,0.2427
asym_mig	Round_4_Replicate_2	-25021.6	50053.2	76670.98	45976.33	0.2248,0.0555,11.5112,18.5704,0.105
asym_mig	Round_4_Replicate_3	-31322.51	62655.02	112535.51	40715.82	0.4447,0.063,5.1613,20.0516,0.2809
asym_mig	Round_4_Replicate_4	-26062.31	52134.62	76767.16	47328.0	0.2524,0.0407,7.0875,27.7619,0.1353
asym_mig	Round_4_Replicate_5	-27132.75	54275.5	78521.66	55075.28	0.2313,0.0709,10.3423,13.8271,0.2298
asym_mig	Round_4_Replicate_6	-25486.2	50982.4	74247.85	48744.51	0.2332,0.0462,9.0966,23.3439,0.1348
asym_mig	Round_4_Replicate_7	-27293.88	54597.76	85431.67	45195.55	0.262,0.0826,7.7471,14.0408,0.1662
asym_mig	Round_4_Replicate_8	-29173.59	58357.18	88464.2	47685.2	0.3138,0.0428,3.0139,28.6539,0.2174
asym_mig	Round_4_Replicate_9	-27100.33	54210.66	79185.34	53369.74	0.2349,0.0601,7.678,18.9395,0.2171
asym_mig	Round_4_Replicate_10	-29365.67	58741.34	85068.71	46178.0	0.3282,0.0463,3.3671,24.9365,0.2196
asym_mig	Round_4_Replicate_11	-28240.35	56490.7	90959.31	42717.46	0.2869,0.1173,8.7005,8.8023,0.1822
asym_mig	Round_4_Replicate_12	-28309.77	56629.54	81293.09	48802.28	0.2486,0.0445,3.1413,27.7028,0.1533
asym_mig	Round_4_Replicate_13	-26309.53	52629.06	78881.57	50210.65	0.2397,0.0557,8.109,20.5091,0.174
asym_mig	Round_4_Replicate_14	-25604.09	51218.18	82144.27	48359.16	0.2404,0.0421,8.6642,28.4471,0.1347
asym_mig	Round_4_Replicate_15	-30554.13	61118.26	114338.07	39723.72	0.4052,0.0894,6.8442,13.5986,0.213
asym_mig	Round_4_Replicate_16	-29096.54	58203.08	98005.76	40336.85	0.3938,0.0451,5.954,26.4469,0.1575
asym_mig	Round_4_Replicate_17	-28655.76	57321.52	96696.96	42044.58	0.3748,0.0433,6.5894,27.5374,0.1713
asym_mig	Round_4_Replicate_18	-25811.06	51632.12	77787.72	51263.56	0.2239,0.0432,7.5922,27.5391,0.1523
asym_mig	Round_4_Replicate_19	-29096.4	58202.8	92393.87	44730.73	0.3306,0.0589,4.5298,21.0265,0.2165
asym_mig	Round_4_Replicate_20	-26022.66	52055.32	72050.63	60227.64	0.1714,0.0748,12.2445,13.2889,0.2031
asym_mig	Round_4_Replicate_21	-25348.62	50707.24	67671.87	44598.65	0.2155,0.0619,10.6431,14.0664,0.0929
asym_mig	Round_4_Replicate_22	-25043.63	50097.26	64280.06	44856.71	0.1963,0.0868,13.2647,7.1635,0.0946
asym_mig	Round_4_Replicate_23	-30709.71	61429.42	88359.73	37501.56	0.3577,0.0846,4.105,12.5569,0.1165
asym_mig	Round_4_Replicate_24	-30922.4	61854.8	76936.17	57491.83	0.2266,0.0791,5.8027,12.4188,0.3174
asym_mig	Round_4_Replicate_25	-29203.82	58417.64	79584.35	49334.46	0.2928,0.0672,5.6624,15.4169,0.2683
asym_mig	Round_4_Replicate_26	-25563.74	51137.48	70028.31	49028.43	0.2058,0.0623,9.0873,16.7851,0.1323
asym_mig	Round_4_Replicate_27	-32364.61	64739.22	106203.55	36650.28	0.4138,0.0907,3.0103,14.0437,0.1496
asym_mig	Round_4_Replicate_28	-26505.11	53020.22	73955.9	44765.83	0.2567,0.07,8.3867,13.996,0.1351
asym_mig	Round_4_Replicate_29	-30070.45	60150.9	99172.11	41654.83	0.362,0.072,4.2185,17.6832,0.2092
asym_mig	Round_4_Replicate_30	-25835.48	51680.96	79672.48	54396.75	0.2108,0.0553,9.7916,21.0554,0.1809
asym_mig	Round_4_Replicate_31	-27851.82	55713.64	97923.36	45761.05	0.3274,0.0467,9.0619,25.3173,0.1829
asym_mig	Round_4_Replicate_32	-23025.51	46061.02	62476.31	45612.09	0.1316,0.0756,18.6671,9.2128,0.0613
