Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_1_Replicate_1	-457746.51	915505.02	34902908.47	17555.09	1.8796,0.2928,0.5307,1.2611,0.2689,1.4691
no_mig_size	Round_1_Replicate_2	-632305.49	1264622.98	482799169.87	8103.48	0.8827,0.4258,2.9296,4.4491,1.8244,1.1036
no_mig_size	Round_1_Replicate_3	-1252178.94	2504369.88	5741846789624.8	17270.01	0.3585,5.8678,0.7277,0.2528,0.3183,3.0781
no_mig_size	Round_1_Replicate_4	-789846.47	1579704.94	3518489466.81	22314.43	7.3524,5.8217,0.4175,0.1616,1.6323,1.1068
no_mig_size	Round_1_Replicate_5	-310091.73	620195.46	7645771.17	13036.48	0.5819,1.669,3.0983,0.4051,0.1613,0.9921
no_mig_size	Round_1_Replicate_6	-1135639.42	2271290.84	737488493542.03	11443.3	0.2826,2.9932,2.6818,0.4397,3.4717,0.4989
no_mig_size	Round_1_Replicate_7	-254913.97	509839.94	1202295461451.42	2494.19	0.6497,0.1683,6.9282,0.172,2.9939,5.54
no_mig_size	Round_1_Replicate_8	-854559.65	1709131.3	8806394738.72	27350.72	0.2568,0.2986,0.3203,0.4375,1.2356,0.4008
no_mig_size	Round_1_Replicate_9	-366618.69	733249.38	14642948.18	19179.88	2.4775,0.2761,0.8401,0.6249,0.5266,0.7409
no_mig_size	Round_1_Replicate_10	-297646.14	595304.28	1596610242842467.8	6797.76	0.1388,0.2181,0.5014,2.3383,3.2975,0.9222
no_mig_size	Round_2_Replicate_1	-259509.3	519030.6	448362334478.93	2190.87	1.5326,0.0717,13.5193,0.433,3.8703,3.0179
no_mig_size	Round_2_Replicate_2	-270859.72	541731.44	904303739018.95	1642.21	1.5592,0.1204,6.4169,0.063,7.8863,12.5893
no_mig_size	Round_2_Replicate_3	-282673.92	565359.84	797208393228.17	3077.97	1.3136,0.1618,2.4299,0.145,4.203,8.7279
no_mig_size	Round_2_Replicate_4	-1251457.02	2502926.04	7196917928828.14	9923.03	1.1953,0.6652,2.1625,0.2003,3.7272,1.5215
no_mig_size	Round_2_Replicate_5	-263622.85	527257.7	707252963264.13	2521.25	0.3725,0.0625,4.2436,0.1405,1.3801,11.1014
no_mig_size	Round_2_Replicate_6	-267619.62	535251.24	548728322758.33	2763.45	0.2462,0.1746,3.3226,0.3409,0.8563,11.7182
no_mig_size	Round_2_Replicate_7	-265938.61	531889.22	2.806351295456673e+21	1363.78	0.3038,0.0769,12.4903,0.0651,6.125,10.9235
no_mig_size	Round_2_Replicate_8	-253702.87	507417.74	1122224606057.06	1134.71	2.6573,0.0763,17.1462,0.6038,8.7327,9.4744
no_mig_size	Round_2_Replicate_9	-264000.16	528012.32	4.556171674864445e+20	1499.3	0.3477,0.0557,9.1854,0.2085,6.9897,11.5312
no_mig_size	Round_2_Replicate_10	-280711.37	561434.74	6917007473668.85	2904.68	0.4992,0.147,9.1215,0.1583,5.222,2.1357
no_mig_size	Round_2_Replicate_11	-254380.51	508773.02	378743813448.53	4229.84	0.6305,0.0522,5.568,0.278,1.4157,2.0692
no_mig_size	Round_2_Replicate_12	-1151067.7	2302147.4	1177285358310.65	4643.47	2.1915,0.2853,20.1065,0.1926,0.7713,2.1456
no_mig_size	Round_2_Replicate_13	-259972.85	519957.7	2885802660617.26	1379.28	0.7611,0.0627,11.0893,0.1075,6.6757,11.6083
no_mig_size	Round_2_Replicate_14	-263965.85	527943.7	1.4426261682068067e+17	2780.55	0.1812,0.4968,6.2452,0.0986,3.4291,4.6682
no_mig_size	Round_2_Replicate_15	-252002.95	504017.9	291167001341.61	1588.41	2.3873,0.3131,13.6722,0.0882,1.0633,8.3457
no_mig_size	Round_2_Replicate_16	-270729.6	541471.2	6900872754876870.0	5217.16	0.1724,0.0513,2.6794,0.0631,2.8744,2.2245
no_mig_size	Round_2_Replicate_17	-253784.23	507580.46	286760380718.49	4744.27	1.9702,0.0694,2.5233,0.1906,1.7095,3.6549
no_mig_size	Round_2_Replicate_18	-302329.99	604671.98	9812633965174302.0	3228.17	0.6297,0.1337,1.8067,0.0613,7.0068,6.8961
no_mig_size	Round_2_Replicate_19	-283015.06	566042.12	5.715483705004842e+19	3182.14	0.2532,0.5,5.4836,0.2985,6.9666,2.1269
no_mig_size	Round_2_Replicate_20	-257218.28	514448.56	1077164446840.9	3376.13	0.2923,0.2377,6.1383,0.1572,1.5298,3.5445
no_mig_size	Round_3_Replicate_1	-257357.08	514726.16	5948653549434.31	616.26	0.9096,0.1982,29.5257,0.0395,2.4957,29.2833
no_mig_size	Round_3_Replicate_2	-254185.82	508383.64	301985896810.14	1953.02	5.1071,0.0876,11.8318,0.0413,0.6653,6.1352
no_mig_size	Round_3_Replicate_3	-252296.29	504604.58	537472719581.86	2303.41	1.7454,0.1191,6.6074,0.1402,2.7932,7.0935
no_mig_size	Round_3_Replicate_4	-255631.08	511274.16	318120856251.39	2863.42	1.0775,0.3529,8.5465,0.0268,0.3978,3.8361
no_mig_size	Round_3_Replicate_5	-899386.19	1798784.38	34243762255.64	7303.81	2.3296,0.8032,5.6058,0.2627,0.3521,2.6453
no_mig_size	Round_3_Replicate_6	-245631.42	491274.84	249808785559.42	3112.75	6.0705,0.829,5.126,0.1659,2.4975,3.6279
no_mig_size	Round_3_Replicate_7	-251165.37	502342.74	260828455223.21	1033.14	7.3478,0.2701,18.2332,0.089,0.4702,16.7723
no_mig_size	Round_3_Replicate_8	-251890.85	503793.7	260528548352.1	624.99	1.7788,1.2412,29.1457,0.1346,1.1904,29.3873
no_mig_size	Round_3_Replicate_9	-248424.86	496861.72	262670130860.1	1865.43	1.1935,1.1721,9.7105,0.1468,0.7733,8.9885
no_mig_size	Round_3_Replicate_10	-252439.92	504891.84	265113053279.92	1919.82	3.8444,0.2022,7.8148,0.1009,3.495,8.4549
no_mig_size	Round_3_Replicate_11	-247802.37	495616.74	262959429397.57	3315.42	3.1564,0.3533,5.3851,0.1085,2.2301,3.0809
no_mig_size	Round_3_Replicate_12	-248829.31	497670.62	263225021978.23	2610.98	6.2323,0.1425,7.5675,0.0656,0.4063,5.4417
no_mig_size	Round_3_Replicate_13	-248823.57	497659.14	255452409088.85	1474.49	8.2216,0.131,11.8318,0.1312,1.8598,11.0925
no_mig_size	Round_3_Replicate_14	-252118.8	504249.6	278271816023.28	1853.2	1.6593,0.8263,9.7399,0.1094,2.7975,7.7204
no_mig_size	Round_3_Replicate_15	-262705.46	525422.92	519361283552.06	1651.5	2.0743,0.2123,20.6334,0.2034,0.2692,5.2001
no_mig_size	Round_3_Replicate_16	-245462.7	490937.4	257368389181.46	2399.97	1.699,1.1569,7.5886,0.206,0.2767,6.867
no_mig_size	Round_3_Replicate_17	-252045.44	504102.88	287927576197.81	2855.52	2.5237,0.6101,6.546,0.1012,3.6477,3.0445
no_mig_size	Round_3_Replicate_18	-717195.11	1434402.22	1413535656.96	3960.07	1.237,0.9098,27.3144,0.4029,0.4511,2.5738
no_mig_size	Round_3_Replicate_19	-252005.97	504023.94	269076788155.7	1638.96	0.9828,0.2358,11.8318,0.0576,0.5522,9.8087
no_mig_size	Round_3_Replicate_20	-251148.98	502309.96	256047630063.12	1306.96	2.0164,0.3636,13.5082,0.0727,0.2488,14.2975
no_mig_size	Round_3_Replicate_21	-256237.94	512487.88	268677881356.07	1340.39	1.535,1.0771,13.2855,0.0282,2.2894,12.3877
no_mig_size	Round_3_Replicate_22	-244605.65	489223.3	253435390146.58	2815.03	2.8105,0.1038,6.009,0.2485,0.4744,6.0165
no_mig_size	Round_3_Replicate_23	-250841.75	501695.5	259144676737.11	1062.21	5.355,0.0721,17.379,0.0958,0.6516,16.5237
no_mig_size	Round_3_Replicate_24	-674357.82	1348727.64	945849081.08	5702.17	2.4821,0.291,12.0711,0.3523,0.3042,2.1012
no_mig_size	Round_3_Replicate_25	-256627.34	513266.68	424007886667.95	2575.81	0.9505,0.0852,12.0313,0.1969,0.537,3.3343
no_mig_size	Round_3_Replicate_26	-251670.69	503353.38	274030349202.34	2590.6	6.8009,0.2703,4.9234,0.2624,0.5095,9.4307
no_mig_size	Round_3_Replicate_27	-248346.5	496705.0	267460079538.32	3160.09	3.626,0.4218,6.4643,0.0665,0.5362,3.9656
no_mig_size	Round_3_Replicate_28	-250476.58	500965.16	279633535512.68	1810.12	10.8396,0.492,11.8318,0.0847,4.4903,3.6576
no_mig_size	Round_3_Replicate_29	-252964.02	505940.04	310620344879.36	2957.36	2.2914,0.4864,8.2634,0.0475,0.7287,3.3496
no_mig_size	Round_3_Replicate_30	-246819.14	493650.28	265759378144.51	2393.5	0.783,1.2025,7.0578,0.2953,0.9881,7.1583
no_mig_size	Round_4_Replicate_1	-245296.56	490605.12	260257236428.07	1739.54	1.5499,0.1244,10.6314,0.3224,0.3999,9.6473
no_mig_size	Round_4_Replicate_2	-243944.37	487900.74	250990519070.15	4637.97	2.5809,0.1883,3.801,0.1383,0.3364,2.9974
no_mig_size	Round_4_Replicate_3	-242816.67	485645.34	259954028316.96	2698.88	2.7654,0.063,6.8783,0.4273,0.6965,5.3339
no_mig_size	Round_4_Replicate_4	-244097.65	488207.3	248666353261.87	3972.91	2.1064,0.0445,4.2303,0.2276,0.1971,4.2198
no_mig_size	Round_4_Replicate_5	-245032.24	490076.48	251517086989.26	3683.73	4.7771,0.1681,4.7668,0.1305,0.3189,4.1612
no_mig_size	Round_4_Replicate_6	-244017.69	488047.38	259774112986.1	2250.41	4.2985,0.1216,8.4254,0.3209,0.2228,6.9916
no_mig_size	Round_4_Replicate_7	-246303.6	492619.2	256154177294.0	3985.33	1.6008,0.1739,3.8651,0.2561,0.6611,4.2731
no_mig_size	Round_4_Replicate_8	-242165.49	484342.98	262887904002.28	3469.72	1.9278,0.0403,5.6057,0.4634,0.5645,3.7185
no_mig_size	Round_4_Replicate_9	-567825.37	1135662.74	237887177.67	8786.09	5.5514,0.1217,4.1891,0.4803,0.1609,2.1459
no_mig_size	Round_4_Replicate_10	-244188.94	488389.88	251320039029.83	2031.85	4.9375,0.1774,8.5342,0.4411,0.5221,8.6972
no_mig_size	Round_4_Replicate_11	-883441.57	1766895.14	26988934989.28	7257.07	5.7076,0.2459,5.7504,0.2815,0.4411,2.4195
no_mig_size	Round_4_Replicate_12	-243976.11	487964.22	248988732122.2	4463.98	5.2746,0.1642,3.7695,0.1517,0.219,3.4829
