Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sym_mig_size	Round_1_Replicate_1	-145130.24	290274.48	434063.75	24519.29	0.3638,0.7563,0.1609,1.5066,1.3783,0.2316,1.5431
sym_mig_size	Round_1_Replicate_2	-70553.28	141120.56	875257.65	17267.86	0.7636,2.613,0.3166,1.3179,5.4463,1.3854,0.1216
sym_mig_size	Round_1_Replicate_3	-63177.48	126368.96	149959.13	19573.8	0.4549,7.152,0.4378,0.6395,1.4316,1.8921,0.4208
sym_mig_size	Round_1_Replicate_4	-91536.86	183087.72	19655658.63	9196.83	3.9531,4.9982,0.6552,6.7414,5.8669,3.3934,2.2919
sym_mig_size	Round_1_Replicate_5	-57919.06	115852.12	1007334.92	24143.3	6.5203,0.3126,0.5,0.6932,5.3502,0.5081,0.9429
sym_mig_size	Round_1_Replicate_6	-252953.36	505920.72	1603648.12	14275.26	0.232,0.6695,0.2196,1.8448,0.2017,2.638,2.6243
sym_mig_size	Round_1_Replicate_7	-63308.67	126631.34	296952.14	12079.84	4.2423,3.3529,4.0762,0.275,3.3038,2.8694,1.7838
sym_mig_size	Round_1_Replicate_8	-175623.37	351260.74	704521.73	16760.08	4.2968,5.9645,0.3015,1.2104,0.3312,1.3584,1.7922
sym_mig_size	Round_1_Replicate_9	-69349.39	138712.78	515980.45	30518.96	1.9801,2.7757,0.1714,0.8334,7.1921,2.9949,1.2518
sym_mig_size	Round_1_Replicate_10	-65780.95	131575.9	211062.71	17485.0	1.7122,0.3949,1.5642,0.2666,1.3494,7.1537,6.3581
sym_mig_size	Round_2_Replicate_1	-113854.53	227723.06	230936061.73	9612.98	5.8299,0.257,1.359,2.8102,6.8036,0.6499,2.9034
sym_mig_size	Round_2_Replicate_2	-44164.21	88342.42	105860.6	40847.84	25.5816,0.1707,0.3013,0.1969,3.0961,0.7634,0.4172
sym_mig_size	Round_2_Replicate_3	-78470.48	156954.96	19808093.73	24290.71	3.2295,1.0865,0.8627,0.3745,13.6975,1.4962,3.0358
sym_mig_size	Round_2_Replicate_4	-59626.85	119267.7	1129928.32	27337.32	10.8686,0.3439,1.3102,0.1856,9.5621,0.689,0.6883
