Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
asym_mig_size	Round_1_Replicate_1	-65910.03	131836.06	168667.8	27074.76	1.4493,4.5797,0.4118,0.2128,0.4057,2.7855,0.7409,0.2157
asym_mig_size	Round_1_Replicate_2	-115381.01	230778.02	419284.03	24733.68	1.9343,7.6439,0.5022,0.4341,0.3433,0.7585,0.3947,2.8375
asym_mig_size	Round_1_Replicate_3	-70428.2	140872.4	234829.8	28610.52	5.0893,4.6197,0.4061,0.7113,1.4987,3.2695,0.2759,3.999
asym_mig_size	Round_1_Replicate_4	-111286.17	222588.34	372055.81	38033.84	2.98,1.5944,0.2514,0.33,0.9338,0.8898,0.7677,2.5362
asym_mig_size	Round_1_Replicate_5	-85143.58	170303.16	213030.26	17680.61	0.8498,1.8582,0.2989,2.492,2.0903,0.2182,0.7738,0.1814
asym_mig_size	Round_1_Replicate_6	-125566.19	251148.38	1343289.01	24099.02	7.827,0.2665,7.1109,0.3732,6.3803,0.5823,0.406,1.0033
asym_mig_size	Round_1_Replicate_7	-153958.8	307933.6	478232.02	21933.54	0.3111,1.8807,0.2424,4.9359,0.435,1.2056,0.334,0.1321
asym_mig_size	Round_1_Replicate_8	-56138.5	112293.0	122588.47	26404.21	0.9539,1.6349,0.2442,0.8337,4.0563,0.5238,3.2224,2.843
asym_mig_size	Round_1_Replicate_9	-53410.81	106837.62	122893.98	22782.53	0.3165,1.0856,0.3407,1.0863,3.8939,0.2464,0.1604,1.1805
asym_mig_size	Round_1_Replicate_10	-97833.08	195682.16	337164.16	13367.9	2.49,5.083,0.7483,0.3383,0.2173,0.6186,3.372,0.4319
asym_mig_size	Round_2_Replicate_1	-73301.37	146618.74	220518.71	19941.7	0.2801,2.5714,0.6549,0.9644,1.4224,0.1152,0.081,0.9234
asym_mig_size	Round_2_Replicate_2	-71453.44	142922.88	1879370.95	22468.2	0.3992,0.5111,1.2553,0.8015,7.1562,0.0848,0.069,0.5705
asym_mig_size	Round_2_Replicate_3	-59599.78	119215.56	273163.24	39824.83	0.9724,0.4434,0.5621,0.4007,7.801,0.3136,0.0395,1.2806
asym_mig_size	Round_2_Replicate_4	-70013.83	140043.66	378645.6	38600.59	0.791,0.5813,0.7484,0.3853,7.4552,0.3363,0.111,1.8459
asym_mig_size	Round_2_Replicate_5	-60915.57	121847.14	177374.27	20068.2	0.465,1.1401,1.0462,0.6412,2.0702,0.171,0.3869,0.406
asym_mig_size	Round_2_Replicate_6	-52072.09	104160.18	172665.98	25292.35	0.3635,2.5036,0.6479,0.7082,4.4253,0.3473,0.0514,4.7966
asym_mig_size	Round_2_Replicate_7	-54963.36	109942.72	161130.11	20237.37	0.4817,2.071,0.9221,0.7816,2.4057,0.5306,0.0889,0.5846
asym_mig_size	Round_2_Replicate_8	-85510.45	171036.9	246562.13	12181.86	0.4818,2.1875,0.6398,3.7094,1.8025,0.1609,0.0401,1.2673
asym_mig_size	Round_2_Replicate_9	-81610.2	163236.4	13699166.17	13387.7	0.3659,4.1769,1.007,1.9971,9.0978,0.1749,0.0419,2.8321
asym_mig_size	Round_2_Replicate_10	-66730.78	133477.56	185579.17	35394.78	0.9623,0.6433,0.2631,0.4231,3.2442,0.0701,0.2644,0.4243
asym_mig_size	Round_2_Replicate_11	-79056.26	158128.52	498568.9	17969.21	0.715,0.2915,1.2388,2.6718,3.1411,0.0599,0.0935,0.3133
asym_mig_size	Round_2_Replicate_12	-83833.51	167683.02	17721578.22	19756.75	0.3125,1.0306,1.0289,1.1399,11.7648,0.3415,0.0529,2.7626
asym_mig_size	Round_2_Replicate_13	-99437.88	198891.76	242585.46	11993.47	0.2584,3.7318,0.1204,3.6482,5.4408,0.1023,0.2825,2.525
asym_mig_size	Round_2_Replicate_14	-44785.6	89587.2	133401.17	22093.45	0.1419,2.3513,0.4086,0.9943,5.4362,0.3665,0.4677,0.9876
asym_mig_size	Round_2_Replicate_15	-47796.86	95609.72	139807.3	52091.27	0.2086,0.6088,0.2482,0.3896,10.2724,0.1609,0.4558,1.1077
asym_mig_size	Round_2_Replicate_16	-78379.64	156775.28	932301.96	35591.45	0.1151,0.3087,0.9996,0.4445,8.6531,0.1108,0.0386,1.7992
asym_mig_size	Round_2_Replicate_17	-73585.74	147187.48	164454.59	20643.97	1.0974,0.4714,0.2303,1.2961,3.0688,0.3687,0.2499,2.8316
asym_mig_size	Round_2_Replicate_18	-46076.39	92168.78	139333.89	25997.58	0.1161,1.3382,0.3213,0.9123,6.8984,0.3548,0.1889,3.192
asym_mig_size	Round_2_Replicate_19	-45285.99	90587.98	174211.42	33210.64	1.1362,0.8318,0.5431,0.3921,7.8028,0.1388,0.0773,0.4231
asym_mig_size	Round_2_Replicate_20	-119460.24	238936.48	625690.18	22300.65	0.2889,0.3597,1.0413,0.3789,1.026,0.1171,0.1048,0.8048
asym_mig_size	Round_3_Replicate_1	-101403.03	202822.06	272357.04	22177.46	0.0884,0.7682,0.2343,1.6439,2.0603,0.1428,0.1155,0.6222
asym_mig_size	Round_3_Replicate_2	-62810.5	125637.0	266631.94	15903.89	0.0752,2.6401,0.9817,1.5309,2.7684,0.4304,0.3905,0.5756
asym_mig_size	Round_3_Replicate_3	-85384.65	170785.3	17834524.94	17152.89	0.3619,8.579,1.1105,1.3,10.1,0.797,0.2159,1.2156
asym_mig_size	Round_3_Replicate_4	-53360.04	106736.08	121461.95	19645.1	0.2377,2.2217,0.349,0.8975,3.1838,0.605,1.2308,0.3175
asym_mig_size	Round_3_Replicate_5	-78671.79	157359.58	5262006.0	15710.56	0.381,2.1463,1.5245,1.1618,6.3342,0.737,0.677,0.5113
asym_mig_size	Round_3_Replicate_6	-45236.03	90488.06	142608.25	53472.05	0.0692,0.6472,0.1601,0.4267,14.2614,0.8874,0.877,1.547
asym_mig_size	Round_3_Replicate_7	-76599.87	153215.74	262024.88	25000.46	0.04,0.7257,0.6172,0.5923,1.8801,0.1394,1.8333,2.9581
asym_mig_size	Round_3_Replicate_8	-62768.87	125553.74	239443.0	20053.6	0.1639,1.3672,0.2209,2.355,10.201,0.1764,0.7538,0.2602
asym_mig_size	Round_3_Replicate_9	-44463.6	88943.2	345000.31	20842.67	0.3435,3.9858,0.2706,0.9307,11.8027,0.8613,1.0895,0.6012
asym_mig_size	Round_3_Replicate_10	-74348.7	148713.4	4765902.39	19070.19	0.0884,2.1832,1.1802,1.0413,8.0682,0.3461,0.3527,0.7236
asym_mig_size	Round_3_Replicate_11	-68171.56	136359.12	503339.44	19381.31	0.1991,0.6139,0.8124,1.5146,3.4169,1.1923,0.1829,0.4188
asym_mig_size	Round_3_Replicate_12	-45925.9	91867.8	139727.94	38829.77	0.0488,3.1018,0.2239,0.625,10.4504,0.179,0.4685,2.6189
asym_mig_size	Round_3_Replicate_13	-114707.57	229431.14	45734112.62	10396.74	0.1764,2.3972,1.3493,3.3292,6.48,1.201,0.1886,1.3173
asym_mig_size	Round_3_Replicate_14	-55725.18	111466.36	130914.08	29914.21	0.1244,0.9483,0.3451,0.5407,2.4656,1.4555,0.1061,2.0098
asym_mig_size	Round_3_Replicate_15	-92688.34	185392.68	8126712.44	15215.28	0.0581,3.8337,1.5348,1.6061,5.8039,0.8138,0.3661,0.3665
asym_mig_size	Round_3_Replicate_16	-89788.88	179593.76	44606960.16	14429.5	0.1269,2.5431,1.022,1.7793,12.6198,0.2117,0.1343,3.489
asym_mig_size	Round_3_Replicate_17	-34220.4	68456.8	80784.73	33659.12	0.0929,1.4986,0.3074,0.3521,7.4326,0.2411,1.5738,0.4216
asym_mig_size	Round_3_Replicate_18	-61845.28	123706.56	168163.83	27769.37	0.2327,0.6005,0.559,0.4758,1.7214,0.7452,0.1605,0.2681
asym_mig_size	Round_3_Replicate_19	-39661.31	79338.62	97370.33	42861.18	0.3811,0.7602,0.2793,0.3269,8.039,0.2982,0.8887,0.3963
asym_mig_size	Round_3_Replicate_20	-67305.27	134626.54	4851853.74	24479.98	0.0826,3.0608,0.9058,0.648,12.5127,0.2305,0.203,0.3202
asym_mig_size	Round_3_Replicate_21	-68556.99	137129.98	151760.69	39023.59	0.1132,5.5431,0.1493,0.3446,3.5876,1.3596,1.2281,0.6511
asym_mig_size	Round_3_Replicate_22	-45781.46	91578.92	116273.44	32504.27	0.0508,0.7768,0.3151,0.658,6.4139,0.2063,0.1346,1.2744
asym_mig_size	Round_3_Replicate_23	-40391.65	80799.3	103754.36	32198.2	0.1164,9.5796,0.3315,0.5615,6.9514,0.114,0.2242,0.7542
asym_mig_size	Round_3_Replicate_24	-50807.84	101631.68	161804.69	16535.21	0.3484,2.4675,0.4896,1.3747,3.5689,0.9345,0.5975,1.9815
asym_mig_size	Round_3_Replicate_25	-67411.61	134839.22	943243.75	10228.8	0.138,2.3956,1.4909,2.1705,2.5081,0.8179,1.2228,1.8194
asym_mig_size	Round_3_Replicate_26	-41409.0	82834.0	159601.7	29274.03	0.0929,2.3991,0.2608,0.7318,10.1508,0.3256,1.0038,1.1492
asym_mig_size	Round_3_Replicate_27	-66437.43	132890.86	170033.12	17979.77	0.4996,6.0492,0.3854,1.3413,2.2276,1.3088,0.6121,2.0817
asym_mig_size	Round_3_Replicate_28	-49323.6	98663.2	139985.97	63229.26	0.0604,10.0812,0.2109,0.3114,10.9752,0.6929,0.9876,3.7731
asym_mig_size	Round_3_Replicate_29	-64287.69	128591.38	2488199.69	21340.42	0.1199,1.7345,0.5754,1.1407,10.7679,0.1043,0.382,0.4996
asym_mig_size	Round_3_Replicate_30	-54893.74	109803.48	163480.45	16528.98	0.1398,2.1558,0.2993,1.9932,6.7496,0.102,0.5198,1.3278
asym_mig_size	Round_4_Replicate_1	-38901.2	77818.4	106163.47	35577.87	0.0636,0.9637,0.3636,0.397,7.4237,0.3809,1.7462,0.4762
asym_mig_size	Round_4_Replicate_2	-29387.57	58791.14	77438.85	25487.63	0.097,2.2712,0.335,0.4648,7.8267,0.2038,2.0179,0.4195
asym_mig_size	Round_4_Replicate_3	-39978.84	79973.68	109339.01	28107.67	0.1528,1.1559,0.4667,0.5203,5.6832,0.2957,0.9157,0.4917
asym_mig_size	Round_4_Replicate_4	-42112.4	84240.8	99724.74	33716.61	0.1534,3.1357,0.2776,0.387,5.4597,0.2279,1.1575,0.6637
asym_mig_size	Round_4_Replicate_5	-34075.45	68166.9	84857.9	27131.81	0.0599,1.2678,0.4079,0.4599,6.0506,0.3343,2.178,0.343
asym_mig_size	Round_4_Replicate_6	-41632.14	83280.28	119355.5	62675.52	0.1303,0.8824,0.1524,0.333,15.8775,0.1563,1.0932,0.7611
asym_mig_size	Round_4_Replicate_7	-36650.83	73317.66	110503.85	40614.93	0.1393,0.9556,0.2263,0.427,11.2946,0.4162,1.4068,0.4911
asym_mig_size	Round_4_Replicate_8	-30727.67	61471.34	87652.68	45301.88	0.1741,0.8049,0.208,0.2739,13.599,0.284,1.0778,0.2106
asym_mig_size	Round_4_Replicate_9	-32218.7	64453.4	100871.5	22987.5	0.0795,2.5606,0.325,0.6376,8.0967,0.2241,1.7036,0.4666
asym_mig_size	Round_4_Replicate_10	-37492.15	75000.3	97111.86	35353.28	0.1522,1.5589,0.2956,0.4674,8.2171,0.1242,3.0041,0.7745
asym_mig_size	Round_4_Replicate_11	-30631.21	61278.42	99043.71	24347.54	0.1341,1.5156,0.3652,0.4911,7.8366,0.523,3.0266,0.3101
asym_mig_size	Round_4_Replicate_12	-28453.51	56923.02	66978.2	23714.6	0.1048,2.6054,0.317,0.4564,7.3732,0.1349,1.9928,0.3587
asym_mig_size	Round_4_Replicate_13	-38638.06	77292.12	89563.49	30542.49	0.1553,0.9911,0.338,0.4203,5.1674,0.4277,1.0999,0.2838
asym_mig_size	Round_4_Replicate_14	-32332.32	64680.64	99777.33	24855.87	0.0541,1.5461,0.3526,0.5577,7.595,0.4346,3.0573,0.4053
asym_mig_size	Round_4_Replicate_15	-29462.28	58940.56	83825.19	37855.65	0.1803,1.32,0.2443,0.2997,11.7052,0.4197,0.9836,0.2836
