Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
sec_contact_sym_mig	Round_1_Replicate_1	-92809.36	185628.72	381496.22	14086.67	2.1613,0.2491,0.8255,0.2171,3.5567
sec_contact_sym_mig	Round_1_Replicate_2	-77115.0	154240.0	177427.75	22645.84	0.3359,0.7639,1.3335,1.8149,1.4655
sec_contact_sym_mig	Round_1_Replicate_3	-87988.81	175987.62	266563.53	16728.23	3.1234,0.7564,0.1492,0.1176,0.1874
sec_contact_sym_mig	Round_1_Replicate_4	-149586.52	299183.04	914008.15	19131.19	0.9341,0.2278,0.3392,0.7124,3.5591
sec_contact_sym_mig	Round_1_Replicate_5	-150145.27	300300.54	558888.61	9463.2	0.3578,3.6713,1.1597,3.7047,0.2176
sec_contact_sym_mig	Round_1_Replicate_6	-170195.22	340400.44	929110.44	43545.38	0.2134,0.1338,0.9284,0.7319,0.1908
sec_contact_sym_mig	Round_1_Replicate_7	-69078.07	138166.14	221659.63	30474.95	0.54,0.2667,1.4704,0.2416,0.1839
sec_contact_sym_mig	Round_1_Replicate_8	-90745.11	181500.22	365420.44	12205.01	4.4116,0.5888,1.3471,0.3575,0.5248
sec_contact_sym_mig	Round_1_Replicate_9	-172583.16	345176.32	1260929.11	20370.66	0.8494,0.4124,0.2,0.6822,0.9129
sec_contact_sym_mig	Round_1_Replicate_10	-76046.88	152103.76	464361.08	22217.87	0.2819,1.5288,3.9501,2.1863,2.6212
sec_contact_sym_mig	Round_2_Replicate_1	-44750.6	89511.2	141180.54	27818.21	0.6552,0.3555,1.4159,0.0483,0.0499
sec_contact_sym_mig	Round_2_Replicate_2	-179897.68	359805.36	1426625.1	33435.68	0.5251,0.1461,0.3767,0.2714,0.2506
sec_contact_sym_mig	Round_2_Replicate_3	-85159.43	170328.86	286437.41	23818.5	2.0143,0.0967,3.0232,0.0637,0.245
sec_contact_sym_mig	Round_2_Replicate_4	-89522.04	179054.08	279474.73	24103.02	0.6132,0.6629,0.5198,0.0552,0.4526
sec_contact_sym_mig	Round_2_Replicate_5	-76578.63	153167.26	251862.23	25681.68	1.3961,0.0883,3.3524,0.2352,0.241
sec_contact_sym_mig	Round_2_Replicate_6	-137928.13	275866.26	857221.44	16605.73	2.1977,0.1011,1.0474,0.8623,0.2687
sec_contact_sym_mig	Round_2_Replicate_7	-38955.73	77921.46	89094.33	36136.21	0.3486,0.213,3.1656,0.803,0.3956
sec_contact_sym_mig	Round_2_Replicate_8	-65152.62	130315.24	302679.39	17144.54	1.4037,0.5988,5.5837,0.9024,0.0778
sec_contact_sym_mig	Round_2_Replicate_9	-51257.93	102525.86	118758.14	47666.64	0.2187,0.185,3.1272,0.0976,0.3188
sec_contact_sym_mig	Round_2_Replicate_10	-57076.66	114163.32	137493.32	32755.46	0.3577,0.3073,1.903,0.6739,0.3389
sec_contact_sym_mig	Round_2_Replicate_11	-93560.32	187130.64	381773.22	28875.46	0.7374,0.1161,1.3215,0.6537,0.6712
sec_contact_sym_mig	Round_2_Replicate_12	-90599.78	181209.56	323690.84	18090.29	0.9744,0.9565,0.5973,0.4825,0.3522
sec_contact_sym_mig	Round_2_Replicate_13	-108021.32	216052.64	454698.82	25234.02	1.4626,0.1129,0.7546,0.0876,0.0832
sec_contact_sym_mig	Round_2_Replicate_14	-99661.75	199333.5	388445.9	38115.03	0.3689,0.1214,0.9102,0.0544,0.1599
sec_contact_sym_mig	Round_2_Replicate_15	-89792.09	179594.18	282482.84	36631.68	0.3101,0.2124,0.5881,0.0605,0.1423
sec_contact_sym_mig	Round_2_Replicate_16	-52873.63	105757.26	145956.09	30097.6	0.6946,0.1328,2.2754,0.0626,0.0476
sec_contact_sym_mig	Round_2_Replicate_17	-65769.71	131549.42	188702.44	51615.76	0.2441,0.1342,2.3771,0.1117,0.4251
sec_contact_sym_mig	Round_2_Replicate_18	-185191.65	370393.3	1596632.94	30146.72	0.6724,0.0942,0.5787,0.5605,0.1906
sec_contact_sym_mig	Round_2_Replicate_19	-160946.18	321902.36	780699.02	40035.7	0.2085,0.3036,0.6125,0.2671,0.1623
sec_contact_sym_mig	Round_2_Replicate_20	-53074.05	106158.1	180387.96	24262.77	1.6226,0.238,3.6956,0.0787,0.0651
sec_contact_sym_mig	Round_3_Replicate_1	-34000.26	68010.52	98986.07	28081.05	0.5617,0.2553,3.804,1.1097,0.5378
sec_contact_sym_mig	Round_3_Replicate_2	-104776.71	209563.42	408630.25	61077.78	0.2256,0.121,1.4927,0.5163,1.4451
sec_contact_sym_mig	Round_3_Replicate_3	-40517.14	81044.28	92127.54	17501.68	0.7795,0.4674,1.4779,2.3104,0.5687
sec_contact_sym_mig	Round_3_Replicate_4	-48516.81	97043.62	145709.53	21150.01	0.8623,0.5337,1.871,0.3201,0.8447
sec_contact_sym_mig	Round_3_Replicate_5	-40462.93	80935.86	92728.33	31026.33	0.3814,0.2729,2.6935,1.8734,0.8934
sec_contact_sym_mig	Round_3_Replicate_6	-28203.06	56416.12	61225.48	19771.25	0.5709,0.2878,2.9517,2.8148,0.3682
sec_contact_sym_mig	Round_3_Replicate_7	-39244.37	78498.74	121090.96	30118.99	0.7882,0.1392,6.2995,0.2904,0.1252
sec_contact_sym_mig	Round_3_Replicate_8	-77700.45	155410.9	264874.96	46476.33	0.3335,0.1124,1.9266,0.2255,0.4931
sec_contact_sym_mig	Round_3_Replicate_9	-48547.26	97104.52	124205.36	30860.4	0.405,0.4346,2.5742,0.456,1.638
sec_contact_sym_mig	Round_3_Replicate_10	-52810.01	105630.02	294593.91	25331.61	0.4582,0.6808,3.5702,0.346,0.6772
sec_contact_sym_mig	Round_3_Replicate_11	-83161.61	166333.22	210386.99	40264.34	0.1867,0.2316,1.7754,1.8227,0.7428
sec_contact_sym_mig	Round_3_Replicate_12	-30600.12	61210.24	87414.4	14352.46	1.2649,0.3683,4.0926,3.0348,0.1797
sec_contact_sym_mig	Round_3_Replicate_13	-110670.36	221350.72	306895.52	25885.36	0.2621,0.5677,0.8572,2.1907,1.6268
sec_contact_sym_mig	Round_3_Replicate_14	-47394.85	94799.7	161927.31	20304.04	1.1552,0.3751,2.4421,0.4315,1.3276
sec_contact_sym_mig	Round_3_Replicate_15	-31677.25	63364.5	103223.03	16230.96	0.7696,0.454,2.6362,4.1531,1.1483
sec_contact_sym_mig	Round_3_Replicate_16	-58029.93	116069.86	185451.71	28333.61	0.3398,0.6804,2.9719,0.2451,1.1443
sec_contact_sym_mig	Round_3_Replicate_17	-53680.67	107371.34	330884.75	24281.84	0.4888,0.7192,3.5247,0.2114,1.0297
sec_contact_sym_mig	Round_3_Replicate_18	-81061.94	162133.88	243301.04	26589.58	0.4238,0.2527,1.0646,1.6264,0.5334
sec_contact_sym_mig	Round_3_Replicate_19	-25314.34	50638.68	60032.49	19692.43	0.6516,0.1377,6.3699,3.1183,0.1626
sec_contact_sym_mig	Round_3_Replicate_20	-49312.96	98635.92	342701.06	24783.96	0.5513,0.5734,3.8699,0.2948,1.1068
sec_contact_sym_mig	Round_3_Replicate_21	-56692.05	113394.1	594311.42	21494.29	0.5519,0.8357,3.8685,0.4158,1.2657
sec_contact_sym_mig	Round_3_Replicate_22	-39252.87	78515.74	124195.84	62222.6	0.2612,0.1465,7.4596,0.2577,0.9518
sec_contact_sym_mig	Round_3_Replicate_23	-57627.4	115264.8	155623.98	27094.22	0.533,0.3314,1.3709,1.1155,1.3519
sec_contact_sym_mig	Round_3_Replicate_24	-27001.28	54012.56	132506.72	39154.1	0.2859,0.1241,11.4706,1.0505,0.1581
sec_contact_sym_mig	Round_3_Replicate_25	-65690.18	131390.36	204455.42	30007.2	0.2557,0.7309,3.2934,0.3567,0.5098
sec_contact_sym_mig	Round_3_Replicate_26	-61247.72	122505.44	692405.01	37678.11	0.2011,0.5713,8.735,2.715,1.5302
sec_contact_sym_mig	Round_3_Replicate_27	-46310.01	92630.02	527482.52	27109.84	0.2848,0.4162,8.0161,2.7905,0.7157
