Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
sec_contact_asym_mig	Round_1_Replicate_1	-57552.81	115117.62	151608.37	30389.26	0.5473,0.182,1.5718,3.9459,0.7562,0.1657
sec_contact_asym_mig	Round_1_Replicate_2	-61793.97	123599.94	192014.92	14379.92	1.103,0.3473,1.0752,0.6816,3.7685,1.1869
sec_contact_asym_mig	Round_1_Replicate_3	-130141.4	260294.8	445764.25	10216.64	0.9464,3.5832,0.2095,0.5678,0.3252,2.4946
sec_contact_asym_mig	Round_1_Replicate_4	-163604.93	327221.86	765449.44	18398.84	0.1977,0.4562,1.1863,0.1208,6.5515,0.8671
sec_contact_asym_mig	Round_1_Replicate_5	-87180.75	174373.5	315503.3	26566.4	1.691,0.2519,3.9797,1.3432,0.7888,2.174
sec_contact_asym_mig	Round_1_Replicate_6	-105003.45	210018.9	433215.49	18904.91	2.3376,0.2876,2.1678,0.7112,1.7651,3.8731
sec_contact_asym_mig	Round_1_Replicate_7	-309436.44	618884.88	2704802.93	11459.26	0.1553,1.375,0.1732,0.2023,5.813,0.9503
sec_contact_asym_mig	Round_1_Replicate_8	-91731.9	183475.8	1555723.52	10777.03	2.2544,2.5252,2.3656,0.1383,0.1639,1.0906
sec_contact_asym_mig	Round_1_Replicate_9	-73309.71	146631.42	1009569.11	11116.53	1.6329,0.9904,1.155,4.7294,2.9714,0.227
sec_contact_asym_mig	Round_1_Replicate_10	-108721.1	217454.2	395497.57	42931.36	0.2702,0.1991,0.9328,1.1323,0.2213,0.4886
sec_contact_asym_mig	Round_2_Replicate_1	-72003.24	144018.48	228442.63	17224.57	2.1589,0.2054,3.5051,1.7029,1.1318,0.327
sec_contact_asym_mig	Round_2_Replicate_2	-213241.89	426495.78	1223682.32	27406.69	0.1647,0.5838,0.6018,1.1837,1.5204,0.1593
sec_contact_asym_mig	Round_2_Replicate_3	-58893.55	117799.1	175459.57	22613.71	0.9485,0.0636,0.6052,14.198,2.163,0.1248
sec_contact_asym_mig	Round_2_Replicate_4	-48267.44	96546.88	119405.19	42965.75	0.2939,0.2072,3.0867,2.404,0.3368,0.4558
sec_contact_asym_mig	Round_2_Replicate_5	-130967.34	261946.68	490821.46	41986.36	0.2439,0.0704,0.6973,3.4503,1.2975,0.1896
sec_contact_asym_mig	Round_2_Replicate_6	-69984.66	139981.32	274309.65	32776.3	0.3335,0.5783,1.68,4.8448,0.226,0.4369
sec_contact_asym_mig	Round_2_Replicate_7	-47151.6	94315.2	127394.89	15372.28	1.4036,0.113,2.9863,3.4368,2.8486,0.1722
sec_contact_asym_mig	Round_2_Replicate_8	-103137.03	206286.06	428239.24	21747.83	0.8179,0.0836,1.917,1.5977,2.0403,0.1762
sec_contact_asym_mig	Round_2_Replicate_9	-117317.41	234646.82	554053.64	24524.76	0.668,0.0525,2.4765,3.4056,1.9118,0.079
sec_contact_asym_mig	Round_2_Replicate_10	-63915.97	127843.94	159129.79	43883.99	0.2473,0.1987,1.9942,2.4198,0.5158,0.4106
sec_contact_asym_mig	Round_2_Replicate_11	-131724.43	263460.86	843805.38	18335.49	2.219,0.1279,3.5747,1.0108,0.7248,0.1225
sec_contact_asym_mig	Round_2_Replicate_12	-80861.33	161734.66	561490.05	13854.94	1.6829,0.6749,6.5163,1.6675,1.8279,0.084
sec_contact_asym_mig	Round_2_Replicate_13	-63305.17	126622.34	179744.6	27505.41	0.7483,0.219,0.5124,2.7513,0.2529,0.3837
sec_contact_asym_mig	Round_2_Replicate_14	-99441.03	198894.06	336494.69	40364.25	0.2925,0.1918,0.7798,1.7388,0.2034,0.1742
sec_contact_asym_mig	Round_2_Replicate_15	-76395.26	152802.52	239577.73	25618.27	2.223,0.0844,5.8084,6.3278,0.1962,0.3717
sec_contact_asym_mig	Round_2_Replicate_16	-74828.02	149668.04	249269.41	21180.44	1.2381,0.1366,0.5919,7.2411,0.8465,0.0699
sec_contact_asym_mig	Round_2_Replicate_17	-104973.78	209959.56	334105.83	42161.8	0.1418,0.0806,2.315,2.0849,1.8747,0.287
sec_contact_asym_mig	Round_2_Replicate_18	-71363.34	142738.68	272374.11	19404.61	1.3292,0.5283,0.4422,3.9275,0.4239,0.1495
sec_contact_asym_mig	Round_2_Replicate_19	-58448.08	116908.16	205001.06	28252.53	0.6187,0.3591,0.694,4.8828,0.4748,0.4329
sec_contact_asym_mig	Round_2_Replicate_20	-44489.08	88990.16	88494.18	23152.77	0.2161,0.3796,4.9537,2.905,2.7337,0.178
sec_contact_asym_mig	Round_3_Replicate_1	-27962.69	55937.38	59981.87	10585.15	0.7637,0.198,2.1044,5.1708,8.6509,0.296
sec_contact_asym_mig	Round_3_Replicate_2	-49030.8	98073.6	137933.99	28328.34	0.748,0.1974,5.4481,1.8792,0.8477,0.2346
sec_contact_asym_mig	Round_3_Replicate_3	-162907.84	325827.68	521012.3	10837.15	0.1446,0.793,1.4068,2.7592,8.2589,0.1863
sec_contact_asym_mig	Round_3_Replicate_4	-28280.81	56573.62	69753.26	24511.66	0.4903,0.2108,4.359,3.4339,3.0209,0.5862
sec_contact_asym_mig	Round_3_Replicate_5	-80317.26	160646.52	2205488.39	16101.3	0.2374,1.0086,5.1372,10.7365,4.3235,0.1846
sec_contact_asym_mig	Round_3_Replicate_6	-46131.77	92275.54	156240.11	12681.61	0.2404,1.2432,7.9994,1.5675,5.9432,0.3536
sec_contact_asym_mig	Round_3_Replicate_7	-27778.31	55568.62	80410.89	17524.12	0.3594,0.2136,4.3133,6.4959,5.5843,0.3769
sec_contact_asym_mig	Round_3_Replicate_8	-38609.41	77230.82	85376.48	33174.41	0.1463,0.1862,7.3682,6.633,1.9849,0.17
sec_contact_asym_mig	Round_3_Replicate_9	-52931.28	105874.56	131525.22	63904.89	0.1981,0.1173,1.9477,10.6577,0.9483,0.3039
sec_contact_asym_mig	Round_3_Replicate_10	-44598.66	89209.32	167952.43	11625.12	0.2358,0.9688,7.8372,1.9893,8.7331,0.4493
sec_contact_asym_mig	Round_3_Replicate_11	-65536.25	131084.5	195824.3	34552.27	0.1546,0.1557,6.712,0.9511,2.4652,0.2006
sec_contact_asym_mig	Round_3_Replicate_12	-39339.57	78691.14	150845.0	42569.83	0.1286,0.423,18.775,1.4493,3.9276,0.443
sec_contact_asym_mig	Round_3_Replicate_13	-75924.57	151861.14	1291851.67	21009.13	0.7313,0.6281,2.1054,8.785,1.1742,0.1295
sec_contact_asym_mig	Round_3_Replicate_14	-41486.91	82985.82	92212.52	11181.16	0.4593,0.6719,2.5256,2.1112,7.0159,0.3864
sec_contact_asym_mig	Round_3_Replicate_15	-34759.07	69530.14	88006.48	66739.58	0.1645,0.1728,14.0322,1.8426,2.0028,0.355
sec_contact_asym_mig	Round_3_Replicate_16	-30123.37	60258.74	78613.12	74392.47	0.1256,0.1274,16.5801,5.6934,1.3296,0.3422
sec_contact_asym_mig	Round_3_Replicate_17	-45136.71	90285.42	444490.84	7252.39	0.4809,1.3541,5.8504,2.3622,11.9015,0.4721
sec_contact_asym_mig	Round_3_Replicate_18	-96634.2	193280.4	300870.12	40162.96	0.1026,0.1187,5.2209,1.2651,1.7457,0.1505
sec_contact_asym_mig	Round_3_Replicate_19	-83146.14	166304.28	212988.02	16443.41	0.1399,0.6947,4.3699,1.3039,4.5724,0.1686
sec_contact_asym_mig	Round_3_Replicate_20	-49311.75	98635.5	255242.85	14483.85	0.1828,1.0127,21.4247,5.8435,4.3356,0.0681
sec_contact_asym_mig	Round_3_Replicate_21	-28861.02	57734.04	60265.27	28257.51	0.1839,0.259,11.2391,3.5772,2.2379,0.1107
sec_contact_asym_mig	Round_3_Replicate_22	-41480.41	82972.82	161281.13	13638.08	0.6871,1.1122,3.0071,2.1106,3.0612,0.3468
