Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
anc_asym_mig	Round_1_Replicate_1	-543471.51	1086955.02	78346138.14	27976.56	0.1891,0.7805,0.6728,1.4642,0.1726,0.8343
anc_asym_mig	Round_1_Replicate_2	-1060753.65	2121519.3	96503107224.3	10484.97	0.2649,2.6992,7.7948,0.5046,1.7206,3.1
anc_asym_mig	Round_1_Replicate_3	-381962.46	763936.92	7463785.15	12209.28	0.2604,7.2122,0.3576,0.4747,0.9305,0.4137
anc_asym_mig	Round_1_Replicate_4	-131006.22	262024.44	429847.89	19192.0	0.6616,1.8161,0.2844,5.77,0.3467,0.3421
anc_asym_mig	Round_1_Replicate_5	-354452.6	708917.2	13301488.63	5419.48	5.0315,1.9375,3.261,2.7264,0.6614,4.0391
anc_asym_mig	Round_1_Replicate_6	-545495.65	1091003.3	172531939.68	5946.5	5.3032,0.9238,1.2906,1.4927,0.1368,4.3183
anc_asym_mig	Round_1_Replicate_7	-569044.49	1138100.98	230495567.84	13967.62	3.5309,0.2013,2.7731,0.1377,1.8667,0.8899
anc_asym_mig	Round_1_Replicate_8	-837983.49	1675978.98	3885678229.25	14335.54	0.2489,1.8238,0.3538,0.7543,4.6936,1.8457
anc_asym_mig	Round_1_Replicate_9	-283438.55	566889.1	2733326.76	14895.25	0.3888,4.7776,0.2075,1.2064,0.1198,0.7053
anc_asym_mig	Round_1_Replicate_10	-1242617.15	2485246.3	4170869628391.77	23306.46	0.4364,0.2562,3.9287,1.1226,0.7868,2.632
anc_asym_mig	Round_2_Replicate_1	-92981.59	185975.18	300089.06	21959.07	1.0336,0.5103,0.748,11.4563,0.3064,0.2476
anc_asym_mig	Round_2_Replicate_2	-79756.16	159524.32	211040.31	22725.0	0.8763,0.7916,0.0906,17.5625,0.3311,0.2177
anc_asym_mig	Round_2_Replicate_3	-90780.93	181573.86	320775.52	22952.15	0.6804,2.7039,0.4927,10.554,1.1214,0.1215
anc_asym_mig	Round_2_Replicate_4	-83562.17	167136.34	226675.76	19750.05	0.8864,1.9757,0.2361,1.5933,0.1727,0.1248
anc_asym_mig	Round_2_Replicate_5	-107003.25	214018.5	292207.41	17007.86	0.8538,3.8982,0.1166,2.7677,0.2004,0.2236
anc_asym_mig	Round_2_Replicate_6	-82627.59	165267.18	215991.2	30591.73	0.6203,0.7362,0.1679,27.3398,1.1551,0.1695
anc_asym_mig	Round_2_Replicate_7	-151233.87	302479.74	820111.83	13807.6	2.1178,0.7444,0.0778,7.9482,0.5503,0.6231
anc_asym_mig	Round_2_Replicate_8	-332977.98	665967.96	5665297.41	16442.83	0.3986,2.4207,0.0831,2.0724,0.1502,0.9377
anc_asym_mig	Round_2_Replicate_9	-125894.47	251800.94	448796.23	12479.26	1.5651,2.2901,0.0977,4.0169,0.714,0.5435
anc_asym_mig	Round_2_Replicate_10	-188046.03	376104.06	692847.26	18814.08	0.3343,6.8037,0.3677,2.8499,0.7102,0.1159
anc_asym_mig	Round_2_Replicate_11	-103236.59	206485.18	304077.89	32360.23	0.4366,0.4936,0.1259,7.4984,0.4029,0.1508
anc_asym_mig	Round_2_Replicate_12	-312718.72	625449.44	4098804.77	22554.74	0.2605,1.5542,0.076,2.6087,0.2672,0.5086
anc_asym_mig	Round_2_Replicate_13	-201293.35	402598.7	1096113.64	14907.72	0.6134,3.8005,0.9917,2.8166,0.0983,0.6775
anc_asym_mig	Round_2_Replicate_14	-88202.55	176417.1	330280.67	13730.96	1.6747,1.6408,0.0762,2.2317,1.0325,0.0819
anc_asym_mig	Round_2_Replicate_15	-116244.57	232501.14	398884.19	12850.1	2.3654,2.1992,0.3883,2.0331,0.124,0.5129
anc_asym_mig	Round_2_Replicate_16	-123181.93	246375.86	384447.48	18731.67	0.6903,1.8409,0.2635,1.6561,0.3275,0.2329
