Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_1_Replicate_1	-238651.26	477316.52	2913920.97	20064.47	0.2949,1.2482,3.2792,0.1551,0.1336,0.2459,0.3462
sec_contact_sym_mig_size	Round_1_Replicate_2	-61002.99	122019.98	160799.96	45364.95	0.2919,0.759,0.2833,0.2153,2.1655,0.2838,0.9926
sec_contact_sym_mig_size	Round_1_Replicate_3	-127342.49	254698.98	633792.76	9137.27	0.3244,0.4264,5.1641,3.4089,0.5634,0.3529,0.8597
sec_contact_sym_mig_size	Round_1_Replicate_4	-43541.14	87096.28	138008.73	62673.64	1.2709,5.913,0.2398,0.1844,6.6888,0.3195,3.5522
sec_contact_sym_mig_size	Round_1_Replicate_5	-63053.14	126120.28	176716.29	35134.02	3.6498,0.2842,0.3011,0.2023,1.8394,0.3724,0.2936
sec_contact_sym_mig_size	Round_1_Replicate_6	-50227.0	100468.0	133211.96	8646.12	0.4177,3.9507,2.868,0.2828,1.2561,6.4103,0.9951
sec_contact_sym_mig_size	Round_1_Replicate_7	-85877.94	171769.88	433567.63	15399.59	2.6978,0.3545,0.5453,2.859,1.9185,0.3125,1.1775
sec_contact_sym_mig_size	Round_1_Replicate_8	-85342.4	170698.8	295007.57	66040.6	0.1912,5.8387,0.231,0.1255,2.0088,0.6262,3.7478
sec_contact_sym_mig_size	Round_1_Replicate_9	-43554.19	87122.38	116809.17	39402.33	4.355,0.3532,0.4016,0.2627,3.5299,6.4821,4.2121
sec_contact_sym_mig_size	Round_1_Replicate_10	-88327.86	176669.72	918623.16	15201.3	1.5339,0.3349,2.0679,1.8692,1.702,0.218,0.3449
sec_contact_sym_mig_size	Round_2_Replicate_1	-45739.56	91493.12	124976.57	21573.23	2.1565,1.9275,0.9192,0.3683,1.8878,0.7623,5.8453
sec_contact_sym_mig_size	Round_2_Replicate_2	-66385.86	132785.72	636499.86	52418.89	1.4104,13.6881,0.1574,0.502,10.1448,0.5843,5.3903
sec_contact_sym_mig_size	Round_2_Replicate_3	-62532.9	125079.8	539551.02	81822.77	1.7837,4.8322,0.4729,0.0675,19.6063,0.2919,9.5672
sec_contact_sym_mig_size	Round_2_Replicate_4	-67624.82	135263.64	213519.69	63955.14	1.5751,3.6975,0.5308,0.0651,6.8495,0.6548,11.5472
sec_contact_sym_mig_size	Round_2_Replicate_5	-46517.13	93048.26	208101.87	24612.18	2.6655,1.7184,0.5294,0.5616,3.2337,1.0076,5.4963
sec_contact_sym_mig_size	Round_2_Replicate_6	-45821.39	91656.78	118242.99	69053.76	0.5368,17.1686,0.227,0.1528,5.4358,0.3454,7.9538
sec_contact_sym_mig_size	Round_2_Replicate_7	-49052.95	98119.9	166673.59	40546.44	0.7767,3.2666,0.6454,0.1574,5.3508,1.1178,6.0582
sec_contact_sym_mig_size	Round_2_Replicate_8	-64032.13	128078.26	2012903.53	47937.97	2.758,2.9088,0.2212,0.3939,13.4908,0.857,5.0167
sec_contact_sym_mig_size	Round_2_Replicate_9	-94857.91	189729.82	238607.44	84358.69	0.5022,5.0943,0.0888,0.2266,3.6279,0.1525,1.4934
sec_contact_sym_mig_size	Round_2_Replicate_10	-52511.47	105036.94	288045.93	65245.89	0.98,7.3368,0.4473,0.0966,11.8258,0.1238,3.0008
sec_contact_sym_mig_size	Round_2_Replicate_11	-45694.05	91402.1	254254.29	87099.69	0.5543,9.5393,0.1441,0.1531,13.3218,0.394,1.1929
sec_contact_sym_mig_size	Round_2_Replicate_12	-47972.97	95959.94	214568.13	130861.34	4.6048,1.9357,0.0948,0.1125,17.0858,0.1378,2.2237
sec_contact_sym_mig_size	Round_2_Replicate_13	-61152.88	122319.76	178322.38	148572.55	0.7357,1.7839,0.113,0.0574,7.0638,0.2246,3.1993
sec_contact_sym_mig_size	Round_2_Replicate_14	-45883.64	91781.28	199077.61	51575.17	2.1848,5.1438,0.4455,0.1465,7.5837,0.3064,4.5126
sec_contact_sym_mig_size	Round_2_Replicate_15	-61211.55	122437.1	577614.62	66291.01	0.4693,16.5018,0.5529,0.0866,16.044,1.0827,2.5589
sec_contact_sym_mig_size	Round_2_Replicate_16	-45151.16	90316.32	272204.67	34271.79	3.8096,13.1542,0.5749,0.2631,5.5754,0.8032,10.2041
sec_contact_sym_mig_size	Round_2_Replicate_17	-64360.92	128735.84	181213.02	97460.52	2.3496,4.4412,0.1502,0.1038,4.2323,0.0933,13.8451
sec_contact_sym_mig_size	Round_2_Replicate_18	-54928.52	109871.04	147012.01	64823.84	0.4737,19.7175,0.2431,0.15,3.5489,0.1233,4.0652
sec_contact_sym_mig_size	Round_2_Replicate_19	-72936.49	145886.98	637115.66	80910.77	2.7559,1.6708,0.089,0.4042,15.7474,0.0757,2.1694
sec_contact_sym_mig_size	Round_2_Replicate_20	-44172.6	88359.2	184049.15	112723.56	3.7622,16.5743,0.1853,0.0734,15.6674,0.5157,5.0972
sec_contact_sym_mig_size	Round_3_Replicate_1	-57281.46	114576.92	248024.76	59885.16	4.1427,10.3801,0.5713,0.0899,10.4316,0.9848,7.5032
sec_contact_sym_mig_size	Round_3_Replicate_2	-117465.29	234944.58	479832.17	110711.67	0.4067,4.0285,0.1141,0.0805,2.2363,0.443,8.0724
sec_contact_sym_mig_size	Round_3_Replicate_3	-42175.37	84364.74	139205.54	75546.51	5.5349,18.2098,0.2238,0.1325,8.5917,0.6486,2.1224
sec_contact_sym_mig_size	Round_3_Replicate_4	-55776.79	111567.58	1305566.28	36656.28	0.3667,18.0011,0.377,0.3622,9.3105,0.2951,2.7964
sec_contact_sym_mig_size	Round_3_Replicate_5	-57586.84	115187.68	191392.76	35166.18	0.9496,3.9928,0.9425,0.1427,5.0442,0.0907,2.7721
sec_contact_sym_mig_size	Round_3_Replicate_6	-67051.51	134117.02	202394.95	93454.77	1.568,15.957,0.1714,0.0935,3.8742,0.8042,3.3076
sec_contact_sym_mig_size	Round_3_Replicate_7	-81096.96	162207.92	289959.36	59895.79	2.8327,2.6522,0.2986,0.1054,2.1612,0.441,2.0606
sec_contact_sym_mig_size	Round_3_Replicate_8	-44829.73	89673.46	172324.71	126147.87	0.5626,3.8123,0.1747,0.0615,17.039,0.0949,2.5721
sec_contact_sym_mig_size	Round_3_Replicate_9	-59128.2	118270.4	1069440.27	26174.48	2.9825,15.9899,0.4037,0.6931,6.1914,0.2439,1.8996
sec_contact_sym_mig_size	Round_3_Replicate_10	-47607.15	95228.3	127609.72	24676.87	0.3335,3.5456,0.7585,0.337,1.8567,0.0798,5.2069
sec_contact_sym_mig_size	Round_3_Replicate_11	-47546.95	95107.9	122892.99	31544.55	5.4196,5.0563,0.5209,0.2863,2.191,0.3314,2.0886
sec_contact_sym_mig_size	Round_3_Replicate_12	-42548.29	85110.58	137349.02	181631.34	1.3045,2.6112,0.0986,0.0522,20.32,0.3903,11.5083
sec_contact_sym_mig_size	Round_3_Replicate_13	-46126.65	92267.3	118619.82	25699.34	2.7366,1.7632,0.61,0.4094,1.9866,0.1644,3.8434
sec_contact_sym_mig_size	Round_3_Replicate_14	-59820.58	119655.16	165289.65	77213.86	1.0081,23.1181,0.1983,0.1267,3.7139,0.1157,13.2322
sec_contact_sym_mig_size	Round_3_Replicate_15	-48593.09	97200.18	129733.28	28194.72	2.043,26.1213,0.4488,0.4896,2.4589,0.5216,12.1077
sec_contact_sym_mig_size	Round_3_Replicate_16	-40130.37	80274.74	142189.36	36388.03	0.58,3.489,0.5422,0.2014,5.0812,0.2997,1.143
sec_contact_sym_mig_size	Round_3_Replicate_17	-54593.57	109201.14	1066275.58	27340.72	2.3509,5.5879,0.4966,0.4961,6.5152,0.1132,1.7812
sec_contact_sym_mig_size	Round_3_Replicate_18	-42497.02	85008.04	144459.92	140976.16	1.5053,10.5319,0.1239,0.0697,16.3411,0.3047,2.6738
sec_contact_sym_mig_size	Round_3_Replicate_19	-42650.45	85314.9	107835.86	35517.57	1.9327,3.5601,0.42,0.2762,3.0429,0.1757,1.2384
sec_contact_sym_mig_size	Round_3_Replicate_20	-61684.06	123382.12	744088.34	46531.28	0.4442,1.7365,0.2018,0.4696,9.565,0.3301,4.1826
sec_contact_sym_mig_size	Round_3_Replicate_21	-70970.48	141954.96	558337.76	55438.94	2.9453,1.6399,0.9245,0.0855,14.2784,0.3775,3.4845
sec_contact_sym_mig_size	Round_3_Replicate_22	-49630.58	99275.16	123553.14	43644.73	2.9121,2.7404,0.2715,0.3128,3.5563,1.2234,2.4046
sec_contact_sym_mig_size	Round_3_Replicate_23	-56923.44	113860.88	168934.13	29483.39	1.0686,21.5423,0.8266,0.1343,2.8533,0.5695,0.9391
sec_contact_sym_mig_size	Round_3_Replicate_24	-88946.79	177907.58	216608.03	59338.42	3.331,16.7762,0.11,0.3904,3.8908,0.2275,1.4841
sec_contact_sym_mig_size	Round_3_Replicate_25	-80497.71	161009.42	24259593.75	18034.25	0.729,8.826,0.8196,0.7103,9.9749,0.8253,15.8782
sec_contact_sym_mig_size	Round_3_Replicate_26	-44150.4	88314.8	173656.98	45429.58	0.9813,2.6679,0.3208,0.2678,5.6023,0.3254,9.8659
sec_contact_sym_mig_size	Round_3_Replicate_27	-93681.19	187376.38	259502.79	74320.97	0.5136,20.2985,0.1174,0.1712,2.4881,0.4749,1.0443
sec_contact_sym_mig_size	Round_3_Replicate_28	-59132.49	118278.98	281378.38	46244.71	0.8087,10.2874,0.8589,0.0928,10.2929,0.081,0.9429
sec_contact_sym_mig_size	Round_3_Replicate_29	-88507.95	177029.9	302191.18	87318.26	0.5717,11.8245,0.1619,0.1044,2.5049,0.1902,3.1125
sec_contact_sym_mig_size	Round_3_Replicate_30	-52098.65	104211.3	154108.73	60142.6	1.3958,24.9745,0.1652,0.2684,6.3369,0.5256,1.4179
sec_contact_sym_mig_size	Round_4_Replicate_1	-41390.38	82794.76	141077.49	26365.94	0.4808,2.0408,0.6785,0.3448,3.1956,0.2962,0.9357
sec_contact_sym_mig_size	Round_4_Replicate_2	-39820.32	79654.64	135795.32	28783.27	0.313,3.225,0.7224,0.2237,4.2186,0.4149,0.604
sec_contact_sym_mig_size	Round_4_Replicate_3	-41189.34	82392.68	145479.96	25856.35	0.3423,3.1599,0.6958,0.3469,3.2456,0.4584,1.1168
sec_contact_sym_mig_size	Round_4_Replicate_4	-41536.84	83087.68	144604.23	42981.01	0.9548,5.9233,0.3741,0.2389,5.1585,0.4381,2.1332
sec_contact_sym_mig_size	Round_4_Replicate_5	-37294.72	74603.44	121621.36	38137.16	0.7464,5.2384,0.4011,0.2307,4.9685,0.5034,1.0713
sec_contact_sym_mig_size	Round_4_Replicate_6	-40153.26	80320.52	131965.44	51005.49	0.9965,6.6984,0.3385,0.1752,6.1943,0.1813,1.4051
sec_contact_sym_mig_size	Round_4_Replicate_7	-42916.87	85847.74	129953.53	36618.22	1.0104,1.9265,0.3807,0.3198,3.8966,0.569,2.0883
sec_contact_sym_mig_size	Round_4_Replicate_8	-41421.78	82857.56	141580.26	28590.73	0.5463,2.2337,0.6401,0.3093,3.5008,0.1966,1.2786
sec_contact_sym_mig_size	Round_4_Replicate_9	-45186.08	90386.16	195016.43	25155.65	0.6164,3.0409,0.9008,0.2987,3.7255,0.1386,0.8031
sec_contact_sym_mig_size	Round_4_Replicate_10	-38215.92	76445.84	143055.04	31098.13	0.8693,3.6051,0.6213,0.215,4.8795,0.4359,0.8336
sec_contact_sym_mig_size	Round_4_Replicate_11	-42878.35	85770.7	175216.77	28646.48	0.6147,4.1823,0.7696,0.2429,4.3951,0.2387,1.0146
sec_contact_sym_mig_size	Round_4_Replicate_12	-44591.55	89197.1	165771.98	31022.03	1.0408,2.1441,0.7558,0.2155,4.4874,0.1603,1.3793
sec_contact_sym_mig_size	Round_4_Replicate_13	-41291.62	82597.24	125163.57	38120.59	0.4678,7.4053,0.4348,0.2542,4.142,0.2357,1.82
sec_contact_sym_mig_size	Round_4_Replicate_14	-36836.29	73686.58	119989.93	36685.43	0.4155,6.6664,0.4265,0.2289,4.8707,0.3244,0.8046
sec_contact_sym_mig_size	Round_4_Replicate_15	-43428.73	86871.46	160162.83	28951.53	1.0536,4.8732,0.7524,0.2539,3.9789,0.212,1.5987
sec_contact_sym_mig_size	Round_4_Replicate_16	-36644.72	73303.44	112689.6	33688.08	0.3294,3.9754,0.529,0.2028,4.6061,0.2919,0.5581
sec_contact_sym_mig_size	Round_4_Replicate_17	-37515.7	75045.4	109025.14	29272.85	0.3289,4.5209,0.4894,0.3119,3.4743,0.5965,0.7117
sec_contact_sym_mig_size	Round_4_Replicate_18	-39346.62	78707.24	127814.16	47482.42	0.7673,1.8308,0.3508,0.1884,5.8195,0.2201,1.248
