Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
sec_contact_asym_mig_size	Round_1_Replicate_1	-98908.79	197833.58	7165707.01	11338.35	1.531,0.9354,1.241,4.4859,1.3986,3.567,0.588,1.9128
sec_contact_asym_mig_size	Round_1_Replicate_2	-63626.0	127268.0	940088.79	20057.99	1.6399,0.7861,0.468,0.9084,2.6574,6.1916,3.4792,1.251
sec_contact_asym_mig_size	Round_1_Replicate_3	-318116.38	636248.76	24277480.36	2347.22	0.2297,0.3165,3.2698,2.8643,3.2267,0.1301,2.1516,0.4079
sec_contact_asym_mig_size	Round_1_Replicate_4	-61858.27	123732.54	1593580.04	14751.6	3.5686,0.2704,1.0822,1.004,4.0338,2.7171,1.455,0.8397
sec_contact_asym_mig_size	Round_1_Replicate_5	-131133.31	262282.62	1228808.49	11940.01	1.568,0.1775,0.6249,8.193,3.8982,0.9803,4.5573,0.1652
sec_contact_asym_mig_size	Round_1_Replicate_6	-179210.41	358436.82	952976.46	21915.67	0.3028,0.8983,0.3415,1.4416,0.393,0.2062,0.5124,0.3744
sec_contact_asym_mig_size	Round_1_Replicate_7	-80930.71	161877.42	267402.15	25468.28	0.1401,0.1904,0.1588,1.4341,5.7973,3.1059,0.2217,2.8155
sec_contact_asym_mig_size	Round_1_Replicate_8	-91569.51	183155.02	1377987.76	24620.89	0.5724,3.6985,0.2391,2.2381,4.5367,7.8927,0.277,0.1987
sec_contact_asym_mig_size	Round_1_Replicate_9	-76940.91	153897.82	1674345.77	11678.75	5.0944,1.0786,1.2361,1.2729,5.5283,0.1544,4.4671,0.4345
sec_contact_asym_mig_size	Round_1_Replicate_10	-107860.25	215736.5	308504.16	29106.37	0.1379,0.5468,0.3162,0.7883,1.0353,1.4243,0.3666,0.3126
sec_contact_asym_mig_size	Round_2_Replicate_1	-122836.83	245689.66	840286.89	12382.59	3.7214,0.0644,1.9662,3.3118,2.0365,0.875,1.0753,0.3187
sec_contact_asym_mig_size	Round_2_Replicate_2	-65714.97	131445.94	263269.69	22805.93	1.0468,0.3532,0.3943,1.4451,5.6466,0.8654,0.4737,0.5494
sec_contact_asym_mig_size	Round_2_Replicate_3	-100117.26	200250.52	15149540.36	13726.52	10.2024,0.2936,1.0479,3.6581,1.9335,5.5353,0.5347,1.3329
sec_contact_asym_mig_size	Round_2_Replicate_4	-92142.82	184301.64	5177931.3	11010.54	3.3164,0.5514,2.8251,1.2737,2.8985,1.9769,0.3992,1.3798
sec_contact_asym_mig_size	Round_2_Replicate_5	-83266.24	166548.48	1044744.59	18331.6	0.9784,0.7775,0.4542,2.0552,2.0206,4.5428,3.4781,1.6529
sec_contact_asym_mig_size	Round_2_Replicate_6	-46227.28	92470.56	1228407.93	19669.05	0.9461,0.0716,0.6612,0.479,8.9312,4.3017,3.3709,0.6599
sec_contact_asym_mig_size	Round_2_Replicate_7	-69110.09	138236.18	339453.75	16557.33	1.3553,0.6355,1.262,1.3058,1.814,1.9043,0.5138,0.2859
sec_contact_asym_mig_size	Round_2_Replicate_8	-68115.49	136246.98	871931.53	16119.59	1.4052,0.2302,0.5769,1.9044,3.417,2.8741,1.3659,0.6991
sec_contact_asym_mig_size	Round_2_Replicate_9	-101865.17	203746.34	15768440.77	8520.31	1.468,0.33,2.0963,3.0711,3.3499,1.2351,1.8625,1.7326
sec_contact_asym_mig_size	Round_2_Replicate_10	-144591.92	289199.84	98222369.34	12456.33	3.7862,0.2143,4.0935,1.4472,5.296,1.7401,1.0638,0.4328
sec_contact_asym_mig_size	Round_2_Replicate_11	-81244.3	162504.6	2543968.97	29246.11	5.3472,0.2155,0.9531,0.4016,11.5324,1.2281,1.6054,0.3323
sec_contact_asym_mig_size	Round_2_Replicate_12	-72713.07	145442.14	2038851.57	9607.0	11.1588,1.0374,0.5414,3.1913,5.2026,3.0895,3.4733,0.9373
sec_contact_asym_mig_size	Round_2_Replicate_13	-61043.23	122102.46	266989.18	30866.57	1.3647,0.1981,1.0366,0.2575,5.3558,2.7291,0.3656,1.9114
