Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
anc_asym_mig_size	Round_1_Replicate_1	-1485088.52	2970193.04	128590392119790.0	14521.36	1.4976,5.4068,0.2527,0.6867,4.1482,2.0194,1.7597,3.8179
anc_asym_mig_size	Round_1_Replicate_2	-112467.39	224950.78	332419.2	12844.32	3.3127,5.1708,0.5713,2.2074,3.0318,0.5398,0.9009,0.2334
anc_asym_mig_size	Round_1_Replicate_3	-543248.61	1086513.22	152622235.83	8678.96	0.1589,0.9507,2.4199,1.0393,4.813,0.2902,0.2566,3.8664
anc_asym_mig_size	Round_1_Replicate_4	-138572.42	277160.84	470983.97	11096.43	3.2162,5.3812,0.485,3.9089,0.6077,0.3294,1.1087,0.2012
anc_asym_mig_size	Round_1_Replicate_5	-195497.23	391010.46	1040037.59	14163.41	0.5876,1.1033,0.7635,6.426,0.1902,1.0372,1.1996,0.363
anc_asym_mig_size	Round_1_Replicate_6	-239144.11	478304.22	1877712.67	17439.55	3.0369,1.2013,0.4025,2.1731,0.2025,0.1214,0.5003,0.536
anc_asym_mig_size	Round_1_Replicate_7	-273830.81	547677.62	4461287.37	12849.65	0.6748,1.0104,1.9635,0.9382,0.3012,0.141,0.3841,1.1631
anc_asym_mig_size	Round_1_Replicate_8	-201254.81	402525.62	1304871.56	44681.6	0.2082,0.2052,0.1738,0.3352,2.0548,0.1498,0.2734,0.1293
anc_asym_mig_size	Round_1_Replicate_9	-173382.87	346781.74	933329.15	12880.99	0.3809,0.5501,4.4636,6.2243,0.9037,0.4138,1.4853,0.3227
anc_asym_mig_size	Round_1_Replicate_10	-180660.41	361336.82	1190584.11	31391.92	0.787,0.2524,0.4824,1.0304,2.9148,0.2671,1.3404,0.2245
anc_asym_mig_size	Round_2_Replicate_1	-141669.97	283355.94	523279.53	17055.21	1.7672,4.9177,0.6248,1.8512,0.7734,0.3377,0.3012,0.3756
anc_asym_mig_size	Round_2_Replicate_2	-120862.83	241741.66	368387.03	20934.25	8.0163,2.4561,0.3883,1.2458,3.2939,1.9869,0.2701,0.2505
anc_asym_mig_size	Round_2_Replicate_3	-174391.85	348799.7	982162.65	16785.88	5.9134,14.2856,0.6164,0.769,6.5973,0.1685,0.8387,0.5201
