Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2, T3)
sec_contact_sym_mig_three_epoch	Round_1_Replicate_1	-746653.53	1493319.06	1852098510.2	19036.15	0.4951,0.6086,2.2208,0.1687,0.2205,2.4131
sec_contact_sym_mig_three_epoch	Round_1_Replicate_2	-223738.05	447488.1	2354554.88	11144.64	4.7131,0.4182,0.3947,0.2131,0.4353,0.3737
sec_contact_sym_mig_three_epoch	Round_1_Replicate_3	-130282.47	260576.94	516224.74	3240.38	5.4758,7.1238,3.321,5.0447,0.8345,2.4734
sec_contact_sym_mig_three_epoch	Round_1_Replicate_4	-391020.17	782052.34	14425572.77	38780.46	0.2225,0.1984,0.7346,2.7741,1.6023,0.3335
sec_contact_sym_mig_three_epoch	Round_1_Replicate_5	-904763.27	1809538.54	10476805393.38	7925.04	0.425,4.8953,7.7468,0.1995,0.3118,3.9167
sec_contact_sym_mig_three_epoch	Round_1_Replicate_6	-88843.23	177698.46	294561.29	7273.17	4.648,0.9498,1.363,1.7655,2.1261,0.3686
sec_contact_sym_mig_three_epoch	Round_1_Replicate_7	-237489.69	474991.38	1307923.82	10577.03	0.2595,0.8182,0.3657,8.3142,0.7536,0.1386
sec_contact_sym_mig_three_epoch	Round_1_Replicate_8	-178365.55	356743.1	1266040.04	4559.28	5.853,2.1173,0.1578,0.2104,5.0164,1.2973
sec_contact_sym_mig_three_epoch	Round_1_Replicate_9	-1124383.32	2248778.64	1109448582677.35	4922.77	7.6592,0.2894,0.5861,1.3305,0.8112,3.8161
sec_contact_sym_mig_three_epoch	Round_1_Replicate_10	-180777.3	361566.6	948319.13	4535.04	2.5288,7.0158,0.2713,0.2263,4.6449,1.6045
sec_contact_sym_mig_three_epoch	Round_2_Replicate_1	-90472.37	180956.74	276811.15	6832.49	9.5815,0.5898,1.974,0.6221,8.9606,0.1697
sec_contact_sym_mig_three_epoch	Round_2_Replicate_2	-111250.2	222512.4	533327.58	4406.64	9.7719,1.8516,0.4872,3.0148,0.9913,0.2406
sec_contact_sym_mig_three_epoch	Round_2_Replicate_3	-133559.69	267131.38	663053.04	3704.12	12.3383,0.4858,0.8171,6.654,0.7151,0.2867
sec_contact_sym_mig_three_epoch	Round_2_Replicate_4	-88164.05	176340.1	256615.11	8838.63	1.9705,1.8759,2.4388,1.2198,1.8288,0.5661
sec_contact_sym_mig_three_epoch	Round_2_Replicate_5	-104533.24	209078.48	1025208.34	6245.89	7.7982,1.6328,1.2629,0.8441,1.6725,0.0959
sec_contact_sym_mig_three_epoch	Round_2_Replicate_6	-65647.85	131307.7	218612.66	11451.66	2.6143,0.7816,1.8463,1.0457,0.7923,0.098
sec_contact_sym_mig_three_epoch	Round_2_Replicate_7	-88675.07	177362.14	317766.14	7172.13	5.2935,0.9226,0.6571,1.5209,1.5456,0.1113
sec_contact_sym_mig_three_epoch	Round_2_Replicate_8	-74791.16	149594.32	226322.84	4647.21	9.6647,0.9041,0.8571,4.6875,5.6089,0.1256
sec_contact_sym_mig_three_epoch	Round_2_Replicate_9	-112958.51	225929.02	408487.86	5822.13	18.976,0.2853,3.7293,6.3259,1.1216,0.189
sec_contact_sym_mig_three_epoch	Round_2_Replicate_10	-64250.3	128512.6	216764.39	9841.93	1.9335,1.6864,3.4854,0.7722,1.761,0.2326
sec_contact_sym_mig_three_epoch	Round_2_Replicate_11	-61585.81	123183.62	169421.65	5693.12	4.8309,1.1607,1.2479,5.2685,8.4371,0.3215
sec_contact_sym_mig_three_epoch	Round_2_Replicate_12	-113435.21	226882.42	497989.91	5347.25	6.5563,0.59,5.3383,7.4682,0.7733,0.6664
sec_contact_sym_mig_three_epoch	Round_2_Replicate_13	-156975.32	313962.64	784370.27	8469.14	13.2817,0.3664,4.2901,2.232,4.8324,0.3367
sec_contact_sym_mig_three_epoch	Round_2_Replicate_14	-160334.88	320681.76	808544.56	10074.49	1.5874,2.1652,1.3873,0.585,0.8493,0.9553
sec_contact_sym_mig_three_epoch	Round_2_Replicate_15	-158636.27	317284.54	970073.44	8205.06	5.2829,0.3361,1.4231,2.1878,0.6654,0.3155
sec_contact_sym_mig_three_epoch	Round_2_Replicate_16	-106284.17	212580.34	416696.15	5081.37	5.4194,1.3722,1.2089,3.9137,5.1441,0.9437
sec_contact_sym_mig_three_epoch	Round_2_Replicate_17	-188395.76	376803.52	1378117.89	6762.83	9.3171,0.4615,1.1555,0.9374,1.8662,0.4413
sec_contact_sym_mig_three_epoch	Round_2_Replicate_18	-139473.87	278959.74	10185010.19	6997.61	6.6511,2.8684,1.8328,0.6803,0.7459,0.0924
sec_contact_sym_mig_three_epoch	Round_2_Replicate_19	-91312.98	182637.96	283883.89	11524.9	5.1837,0.3479,4.5947,4.6586,4.0761,0.1608
sec_contact_sym_mig_three_epoch	Round_2_Replicate_20	-146325.95	292663.9	862148.8	9156.14	3.4848,0.3696,0.3808,1.787,1.577,0.1145
sec_contact_sym_mig_three_epoch	Round_3_Replicate_1	-52490.37	104992.74	296910.74	8873.22	3.3797,0.8709,4.4234,1.3406,5.793,0.1132
sec_contact_sym_mig_three_epoch	Round_3_Replicate_2	-169899.27	339810.54	1153974.48	1863.06	22.3534,0.6045,0.5066,24.3947,3.5175,0.6117
sec_contact_sym_mig_three_epoch	Round_3_Replicate_3	-59903.92	119819.84	274514.01	10182.63	4.4059,0.5583,4.2746,13.3892,11.7534,0.0753
sec_contact_sym_mig_three_epoch	Round_3_Replicate_4	-53091.25	106194.5	168384.39	5315.42	5.7789,1.2518,1.6731,7.7026,21.2984,0.2152
sec_contact_sym_mig_three_epoch	Round_3_Replicate_5	-43377.92	86767.84	138552.42	3949.79	6.7628,1.462,1.5808,13.3471,5.1186,0.2447
sec_contact_sym_mig_three_epoch	Round_3_Replicate_6	-101845.19	203702.38	417465.64	2534.24	6.5106,1.1044,0.4617,28.307,2.5575,0.912
sec_contact_sym_mig_three_epoch	Round_3_Replicate_7	-47352.12	94716.24	123018.16	6671.9	2.7309,1.5041,1.5488,1.6019,22.8144,0.248
sec_contact_sym_mig_three_epoch	Round_3_Replicate_8	-59033.01	118078.02	161451.09	12116.17	2.3571,0.5834,3.6307,1.359,3.184,0.1571
sec_contact_sym_mig_three_epoch	Round_3_Replicate_9	-47866.76	95745.52	256284.6	4707.11	8.3929,1.1845,4.493,10.9971,4.9361,0.1971
sec_contact_sym_mig_three_epoch	Round_3_Replicate_10	-135605.74	271223.48	554621.55	8181.87	1.5178,1.6824,0.5503,2.9425,9.1644,0.8133
sec_contact_sym_mig_three_epoch	Round_3_Replicate_11	-147004.78	294021.56	852644.11	8464.08	3.1165,0.4953,0.5305,2.8312,3.117,0.3529
sec_contact_sym_mig_three_epoch	Round_3_Replicate_12	-63208.6	126429.2	140113.42	8138.55	1.2509,2.5506,3.9469,3.9227,22.4986,0.3272
sec_contact_sym_mig_three_epoch	Round_3_Replicate_13	-53928.6	107869.2	128608.21	10460.32	1.348,1.3608,1.7963,1.6928,4.3672,0.1768
sec_contact_sym_mig_three_epoch	Round_3_Replicate_14	-107000.81	214013.62	369344.1	5877.08	12.8889,0.7659,5.4054,2.9237,6.5794,0.5169
sec_contact_sym_mig_three_epoch	Round_3_Replicate_15	-109146.27	218304.54	348942.3	6382.21	1.8577,2.342,0.5538,2.6337,17.5395,0.7944
sec_contact_sym_mig_three_epoch	Round_3_Replicate_16	-45903.38	91818.76	270406.68	7566.07	2.0044,1.6524,4.5708,7.5643,26.3289,0.1572
sec_contact_sym_mig_three_epoch	Round_3_Replicate_17	-49237.57	98487.14	123659.62	8834.07	2.4739,0.8107,3.8708,23.8055,7.8946,0.2415
sec_contact_sym_mig_three_epoch	Round_3_Replicate_18	-117498.28	235008.56	488751.95	7743.12	6.0184,0.4206,1.7933,5.0819,3.7725,0.2682
sec_contact_sym_mig_three_epoch	Round_3_Replicate_19	-30699.74	61411.48	81473.65	2506.06	5.4206,2.6535,1.1424,28.2443,3.8283,0.417
sec_contact_sym_mig_three_epoch	Round_3_Replicate_20	-278036.15	556084.3	4663376.21	5424.82	14.958,0.3961,2.5125,12.2745,5.839,0.9025
sec_contact_sym_mig_three_epoch	Round_3_Replicate_21	-30092.6	60197.2	62821.92	2713.19	4.0962,2.0108,0.6255,28.0254,2.3773,0.2917
sec_contact_sym_mig_three_epoch	Round_3_Replicate_22	-78710.82	157433.64	240328.14	5004.53	5.0065,1.5718,4.1141,3.5275,17.7432,0.8794
sec_contact_sym_mig_three_epoch	Round_3_Replicate_23	-340301.36	680614.72	11952354.23	5043.89	6.8483,0.4444,0.5906,6.3529,4.414,1.2849
sec_contact_sym_mig_three_epoch	Round_3_Replicate_24	-112974.66	225961.32	470107.77	10446.71	3.0509,0.5847,6.1032,1.6892,16.7661,0.507
sec_contact_sym_mig_three_epoch	Round_3_Replicate_25	-97942.61	195897.22	338761.96	11352.13	4.0461,0.449,6.0658,2.2549,21.9495,0.2865
sec_contact_sym_mig_three_epoch	Round_3_Replicate_26	-48828.88	97669.76	133153.09	4860.08	6.6557,1.1734,3.4462,16.2833,7.5614,0.3216
sec_contact_sym_mig_three_epoch	Round_3_Replicate_27	-41662.44	83336.88	145579.05	3862.96	6.7029,1.3014,0.9963,12.1949,3.4306,0.1015
sec_contact_sym_mig_three_epoch	Round_3_Replicate_28	-75189.07	150390.14	177461.67	7351.3	1.3402,1.8233,2.214,10.032,3.2645,0.5254
sec_contact_sym_mig_three_epoch	Round_3_Replicate_29	-122253.98	244519.96	588485.25	6630.26	3.9897,0.5091,0.3366,22.0195,24.1395,0.1403
sec_contact_sym_mig_three_epoch	Round_3_Replicate_30	-53762.68	107537.36	138917.98	3602.52	5.1602,3.2235,1.2083,8.6839,3.6456,0.6687
sec_contact_sym_mig_three_epoch	Round_4_Replicate_1	-44899.43	89810.86	91548.64	2958.32	3.4991,4.0748,0.4665,19.3117,1.6801,0.3001
sec_contact_sym_mig_three_epoch	Round_4_Replicate_2	-32403.68	64819.36	73033.04	3532.29	3.504,1.2796,0.9475,28.6838,3.6438,0.2394
sec_contact_sym_mig_three_epoch	Round_4_Replicate_3	-26160.3	52332.6	55852.71	2973.44	3.4311,1.468,0.8803,29.2033,2.2516,0.1938
sec_contact_sym_mig_three_epoch	Round_4_Replicate_4	-25243.44	50498.88	59217.51	2537.23	6.0597,1.4816,0.8222,26.9698,1.4626,0.1301
sec_contact_sym_mig_three_epoch	Round_4_Replicate_5	-55037.36	110086.72	153024.64	2983.89	5.8995,1.0433,0.8977,26.3664,2.8908,0.4403
sec_contact_sym_mig_three_epoch	Round_4_Replicate_6	-24283.92	48579.84	51159.31	3330.01	2.8562,1.1329,1.1226,26.2414,1.5021,0.1404
sec_contact_sym_mig_three_epoch	Round_4_Replicate_7	-29845.36	59702.72	73273.78	2588.81	4.1054,2.75,1.1774,28.6838,2.6474,0.3863
sec_contact_sym_mig_three_epoch	Round_4_Replicate_8	-28778.7	57569.4	68310.78	2618.37	5.2327,1.9723,0.4671,28.2228,4.0736,0.0973
sec_contact_sym_mig_three_epoch	Round_4_Replicate_9	-23881.37	47774.74	62170.46	3161.16	3.4295,1.3893,1.2679,26.4917,1.931,0.1495
sec_contact_sym_mig_three_epoch	Round_4_Replicate_10	-24449.31	48910.62	55262.47	2429.75	5.3445,1.7905,0.8432,29.813,1.3511,0.167
sec_contact_sym_mig_three_epoch	Round_4_Replicate_11	-26616.45	53244.9	67616.28	2440.22	4.8852,2.4275,0.6243,29.8648,2.9881,0.1843
sec_contact_sym_mig_three_epoch	Round_4_Replicate_12	-31341.23	62694.46	66500.02	3168.04	3.2051,1.6732,0.6064,28.7899,3.3644,0.1898
sec_contact_sym_mig_three_epoch	Round_4_Replicate_13	-25293.99	50599.98	55699.24	3032.6	3.5826,1.226,0.8522,29.0789,2.2701,0.1281
sec_contact_sym_mig_three_epoch	Round_4_Replicate_14	-33980.81	67973.62	77538.94	2422.02	6.6295,1.9884,0.734,27.042,2.7082,0.443
sec_contact_sym_mig_three_epoch	Round_4_Replicate_15	-42844.89	85701.78	94624.64	3483.19	2.8181,1.6184,0.81,24.2835,2.2131,0.4384
sec_contact_sym_mig_three_epoch	Round_4_Replicate_16	-28312.31	56636.62	67896.89	2241.18	5.2775,3.1341,0.43,29.9381,2.876,0.1342
sec_contact_sym_mig_three_epoch	Round_4_Replicate_17	-31841.15	63694.3	73293.98	2204.63	9.0235,2.6501,0.5205,22.5237,1.6785,0.2468
sec_contact_sym_mig_three_epoch	Round_4_Replicate_18	-32406.26	64824.52	72399.11	3572.58	3.1492,1.1781,0.8268,27.4727,3.019,0.1977
sec_contact_sym_mig_three_epoch	Round_4_Replicate_19	-53573.11	107158.22	148691.12	2750.44	5.4673,1.0959,0.9546,28.632,2.0851,0.5266
sec_contact_sym_mig_three_epoch	Round_4_Replicate_20	-32820.65	65653.3	74356.88	3115.32	4.2323,1.5271,0.7017,26.9023,3.567,0.2478
sec_contact_sym_mig_three_epoch	Round_4_Replicate_21	-35363.97	70739.94	81670.41	2835.86	4.2133,1.2188,0.664,28.1943,1.8367,0.2584
sec_contact_sym_mig_three_epoch	Round_4_Replicate_22	-43719.99	87451.98	97629.84	3290.94	4.0745,3.8579,0.5808,13.9754,1.4874,0.3587
sec_contact_sym_mig_three_epoch	Round_4_Replicate_23	-23744.08	47500.16	65062.21	2831.59	3.8007,1.595,1.1197,28.7664,1.9135,0.149
sec_contact_sym_mig_three_epoch	Round_4_Replicate_24	-27317.12	54646.24	59251.86	2562.2	5.3072,1.5075,0.6667,28.5196,1.9172,0.1869
sec_contact_sym_mig_three_epoch	Round_4_Replicate_25	-28863.29	57738.58	67331.19	2449.91	5.446,2.4258,0.443,28.0212,3.7512,0.1489
sec_contact_sym_mig_three_epoch	Round_4_Replicate_26	-26047.74	52107.48	68674.84	3061.49	3.9524,1.5505,0.894,29.9515,3.6167,0.1312
sec_contact_sym_mig_three_epoch	Round_4_Replicate_27	-27848.71	55709.42	111240.53	2445.03	4.6899,2.5824,1.1523,29.1867,1.8243,0.2142
sec_contact_sym_mig_three_epoch	Round_4_Replicate_28	-29815.6	59643.2	71379.85	2223.9	7.4292,3.1852,0.5661,24.3807,1.6652,0.2663
