Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, T3)
sec_contact_asym_mig_three_epoch	Round_1_Replicate_1	-1412303.54	2824621.08	67411584362138.06	12820.45	0.6044,0.4285,0.5399,0.1684,2.4322,4.5634,3.7019
sec_contact_asym_mig_three_epoch	Round_1_Replicate_2	-446981.92	893977.84	36238564.0	29171.24	0.4562,0.1813,0.4751,0.2972,0.8701,0.4269,4.6904
sec_contact_asym_mig_three_epoch	Round_1_Replicate_3	-361987.37	723988.74	6820722.17	26395.3	0.1687,1.0484,0.2668,0.436,0.3908,0.2061,1.3329
sec_contact_asym_mig_three_epoch	Round_1_Replicate_4	-343336.98	686687.96	8407457.71	5649.01	1.9331,4.3438,0.6928,4.0826,0.5388,4.2197,4.8607
sec_contact_asym_mig_three_epoch	Round_1_Replicate_5	-248943.54	497901.08	3302019.97	5985.57	4.3252,1.9398,8.0276,0.8957,0.2427,2.8833,2.6681
sec_contact_asym_mig_three_epoch	Round_1_Replicate_6	-509779.35	1019572.7	62561132.93	21111.95	0.3819,0.8065,8.1079,1.2381,2.4918,1.4915,1.4027
sec_contact_asym_mig_three_epoch	Round_1_Replicate_7	-1037205.11	2074424.22	290530322822.27	4403.77	7.6303,0.3748,1.1718,1.4017,4.1485,4.7245,0.1893
sec_contact_asym_mig_three_epoch	Round_1_Replicate_8	-658773.62	1317561.24	790302597.15	28608.68	0.6868,0.1879,3.7557,1.6176,0.3904,1.1161,2.9803
sec_contact_asym_mig_three_epoch	Round_1_Replicate_9	-568525.81	1137065.62	217570648.54	9844.42	2.0654,0.5041,0.327,0.4485,0.6419,2.429,0.2852
sec_contact_asym_mig_three_epoch	Round_1_Replicate_10	-206171.39	412356.78	2251266.95	8085.71	4.6278,0.849,0.409,0.2097,1.6248,0.3204,0.4355
sec_contact_asym_mig_three_epoch	Round_2_Replicate_1	-211618.06	423250.12	3167366.29	4675.05	11.5033,0.9597,0.5162,0.5751,3.0719,0.1882,0.2435
sec_contact_asym_mig_three_epoch	Round_2_Replicate_2	-190040.64	380095.28	1916265.39	4497.34	10.0057,0.9104,1.4476,0.119,4.8664,0.3501,1.0844
sec_contact_asym_mig_three_epoch	Round_2_Replicate_3	-253369.9	506753.8	4694753.22	3744.65	12.6,0.5891,0.5454,0.2216,5.387,0.3151,1.0834
