Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_1	-262920.27	525856.54	3992277.53	12879.58	0.3899,0.1311,3.8051,0.5307,0.339,0.1964,0.3153,0.5118
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_2	-125172.44	250360.88	521074.36	7217.1	0.9021,1.017,4.8656,5.5376,1.3841,0.867,0.4437,0.5877
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_3	-103868.4	207752.8	289368.34	9956.1	1.7701,0.9382,0.8238,1.7916,0.611,4.4022,0.6289,0.1806
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_4	-347599.84	695215.68	1.2192836545053035e+17	9853.86	0.1228,1.4344,0.2534,0.1406,2.6528,4.56,1.2935,4.9508
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_5	-204319.78	408655.56	1712658.78	13913.86	1.5255,2.2932,1.5806,1.0442,0.2911,0.1437,0.2749,0.8245
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_6	-112003.96	224023.92	269020.2	6636.67	5.6261,2.2393,0.38,4.8266,5.1617,7.2546,0.3117,0.1877
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_7	-105419.96	210855.92	515825.08	8026.17	2.4562,3.3887,5.1724,1.7486,2.5899,0.9606,0.3709,0.3281
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_8	-757049.79	1514115.58	1592930980.46	28430.85	0.6365,0.4238,0.2255,0.3384,0.359,0.6977,1.9299,0.9901
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_9	-942048.51	1884113.02	25979483843.65	11984.75	0.5932,2.7141,0.4732,1.444,1.3433,0.6053,0.3137,3.9438
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_10	-203806.07	407628.14	1417053.12	11236.19	1.879,0.1821,1.1688,2.2267,4.6021,0.5437,0.7929,1.2226
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_1	-99646.3	199308.6	319277.51	17179.38	0.6795,3.2041,0.7505,0.6688,1.6783,2.0668,1.8853,0.2807
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_2	-403316.57	806649.14	11417143.39	12203.62	0.4432,1.3377,0.3156,0.5032,0.1941,7.3542,1.0751,0.415
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_3	-43384.05	86784.1	205804.2	4648.95	0.5429,3.2318,3.3531,2.9663,2.3289,11.9618,0.4851,0.2144
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_4	-183927.29	367870.58	640648.79	8949.88	0.5115,0.6574,0.3162,4.9827,0.7587,7.4291,0.4038,0.1551
