chr start end
Chr01 447500 452500
Chr01 450000 455000
Chr01 457500 462500
Chr01 475000 480000
Chr01 487500 492500
Chr01 967500 972500
Chr01 970000 975000
Chr01 980000 985000
Chr01 982500 987500
Chr01 985000 990000
Chr01 987500 992500
Chr01 990000 995000
Chr01 992500 997500
Chr01 995000 1000000
Chr01 1035000 1040000
Chr01 1075000 1080000
Chr01 1132500 1137500
Chr01 1240000 1245000
Chr01 1255000 1260000
Chr01 1257500 1262500
Chr01 1260000 1265000
Chr01 1262500 1267500
Chr01 1325000 1330000
Chr01 1330000 1335000
Chr01 1332500 1337500
Chr01 1335000 1340000
Chr01 1337500 1342500
Chr01 1340000 1345000
Chr01 1350000 1355000
Chr01 1352500 1357500
Chr01 1355000 1360000
Chr01 1370000 1375000
Chr01 1717500 1722500
Chr01 1745000 1750000
Chr01 1747500 1752500
Chr01 2225000 2230000
Chr01 2452500 2457500
Chr01 2642500 2647500
Chr01 2827500 2832500
Chr01 3862500 3867500
Chr01 3942500 3947500
Chr01 4082500 4087500
Chr01 4745000 4750000
Chr01 5000000 5005000
Chr01 5002500 5007500
Chr01 5027500 5032500
Chr01 5030000 5035000
Chr01 5317500 5322500
Chr01 5325000 5330000
Chr01 5392500 5397500
Chr01 5395000 5400000
Chr01 5397500 5402500
Chr01 5400000 5405000
Chr01 5442500 5447500
Chr01 5470000 5475000
Chr01 5472500 5477500
Chr01 6505000 6510000
Chr01 7082500 7087500
Chr01 7085000 7090000
Chr01 7087500 7092500
Chr01 7147500 7152500
Chr01 7150000 7155000
Chr01 7200000 7205000
Chr01 7582500 7587500
Chr01 7627500 7632500
Chr01 7640000 7645000
Chr01 7685000 7690000
Chr01 8007500 8012500
Chr01 8010000 8015000
Chr01 8315000 8320000
Chr01 8317500 8322500
Chr01 8320000 8325000
Chr01 8752500 8757500
Chr01 8755000 8760000
Chr01 8757500 8762500
Chr01 8760000 8765000
Chr01 8770000 8775000
Chr01 8937500 8942500
Chr01 8940000 8945000
Chr01 8947500 8952500
Chr01 9365000 9370000
Chr01 9367500 9372500
Chr01 9370000 9375000
Chr01 9737500 9742500
Chr01 9740000 9745000
Chr01 9760000 9765000
Chr01 9762500 9767500
Chr01 9785000 9790000
Chr01 9795000 9800000
Chr01 9797500 9802500
Chr01 9805000 9810000
Chr01 10942500 10947500
Chr01 10945000 10950000
Chr01 11315000 11320000
Chr01 11327500 11332500
Chr01 11347500 11352500
Chr01 11432500 11437500
