chrom	start	end	nSites	recombRate	CI95LO	CI95HI
Chr01	18600000	18755000	575	2.530994321619457e-08	1.3642387516826177e-08	3.785301113384205e-08
Chr04	34354000	34532000	953	2.611384300548588e-08	1.328697215113147e-08	3.6400395770623334e-08
Chr06	13148000	13224000	687	7.436137163389314e-09	2.675593431513718e-10	2.29666624736149e-08
Chr06	26904000	26980000	738	2.0712536902936305e-09	9.690500575224778e-11	1.0628720314497496e-08
Chr06	39140000	39216000	275	7.742373851694896e-09	5.737960314569543e-10	2.3272899161920483e-08
Chr07	339000	452000	518	1.0577937285292948e-09	0	6.105549497456978e-09
Chr07	678000	791000	461	9.715716364201826e-09	2.515435681406503e-09	2.382751236261899e-08
Chr07	7006000	7119000	564	2.1004603105287973e-08	7.363305724714682e-09	3.450543973172239e-08
Chr08	36456000	36624000	774	4.504514894818461e-09	0	1.0583487286950191e-08
Chr10	20196000	20349000	746	1.1343514361048419e-08	4.640333062131303e-09	2.1026561747181543e-08
Chr10	24327000	24480000	865	3.5498373068711724e-08	2.3540280774560822e-08	4.296265879155857e-08
