Chr Start End
Chr01 995000 999999
Chr01 1155000 1424999
Chr01 3935000 3954999
Chr01 4420000 4864999
Chr01 6585000 6589999
Chr01 8965000 8969999
Chr01 13710000 13714999
Chr01 14875000 15104999
Chr01 15575000 15709999
Chr01 16365000 16514999
Chr01 16915000 16994999
Chr01 16995000 17039999
Chr01 17605000 17619999
Chr01 21220000 21224999
Chr01 25060000 25204999
Chr01 29065000 29069999
Chr01 29585000 29604999
Chr01 29605000 29699999
Chr01 29700000 29839999
Chr01 31295000 31684999
Chr01 33915000 33924999
Chr01 33930000 34219999
Chr01 34325000 34354999
Chr01 34580000 34769999
Chr01 34770000 34984999
Chr01 38840000 38919999
Chr02 4110000 4139999
Chr02 9390000 9394999
Chr02 10310000 10519999
Chr02 11725000 11834999
Chr02 16365000 16389999
Chr02 16400000 16549999
Chr02 16945000 16949999
Chr02 16950000 16959999
Chr02 16960000 16994999
Chr02 19635000 19639999
Chr02 22120000 22179999
Chr02 31710000 31734999
Chr02 31925000 31989999
Chr02 34520000 34554999
Chr02 43195000 43299999
Chr03 5945000 5954999
Chr03 7730000 7734999
Chr03 7750000 7754999
Chr03 7765000 7979999
Chr03 13480000 13714999
Chr03 23210000 23214999
Chr03 23215000 23234999
Chr03 28070000 28174999
Chr03 30300000 30304999
Chr03 30875000 31069999
Chr03 31615000 31624999
Chr03 35550000 35594999
Chr03 35765000 35784999
Chr03 35840000 35849999
Chr03 37855000 37859999
Chr03 37880000 37884999
Chr03 47105000 47244999
Chr03 47775000 47799999
Chr03 54460000 54509999
Chr03 56120000 56124999
Chr04 3260000 3264999
Chr04 5225000 5229999
Chr04 5230000 5244999
Chr04 5255000 5259999
Chr04 8405000 8439999
Chr04 9935000 10104999
Chr04 10335000 10344999
Chr04 27350000 27494999
Chr04 28920000 29004999
Chr04 34250000 34509999
Chr05 2240000 2274999
Chr05 6935000 7034999
Chr05 7775000 7909999
Chr05 14355000 14399999
Chr05 15250000 15449999
Chr05 15450000 15454999
Chr05 15455000 15739999
Chr05 18495000 18499999
Chr05 18500000 18759999
Chr05 28830000 29394999
Chr05 29800000 29999999
Chr05 30605000 30649999
Chr05 30650000 30674999
Chr05 36800000 36954999
Chr05 37295000 37299999
Chr05 39200000 39204999
Chr05 39205000 39234999
Chr05 40135000 40494999
Chr05 40495000 40499999
Chr05 40500000 40514999
Chr05 40515000 40629999
Chr05 40670000 40684999
Chr05 44675000 45054999
Chr05 47215000 47219999
Chr05 47220000 47254999
Chr05 47785000 47809999
Chr05 57230000 57269999
Chr05 57290000 57304999
Chr05 59545000 59549999
