chr start end
Chr01 987500 992500
Chr01 1075000 1080000
Chr01 1257500 1262500
Chr01 1260000 1265000
Chr01 1262500 1267500
Chr01 1352500 1357500
Chr01 2225000 2230000
Chr01 5030000 5035000
Chr01 7085000 7090000
Chr01 7147500 7152500
Chr01 7640000 7645000
Chr01 8007500 8012500
Chr01 8317500 8322500
Chr01 8752500 8757500
Chr01 9365000 9370000
Chr01 9367500 9372500
Chr01 11315000 11320000
Chr01 11747500 11752500
Chr01 11750000 11755000
Chr01 11752500 11757500
Chr01 11770000 11775000
Chr01 11772500 11777500
Chr01 12112500 12117500
Chr01 13040000 13045000
Chr01 13042500 13047500
Chr01 13045000 13050000
Chr01 13115000 13120000
Chr01 13187500 13192500
Chr01 13245000 13250000
Chr01 13247500 13252500
Chr01 14477500 14482500
Chr01 14965000 14970000
Chr01 15792500 15797500
Chr01 15795000 15800000
Chr01 15800000 15805000
Chr01 15802500 15807500
Chr01 15805000 15810000
Chr01 15807500 15812500
Chr01 18620000 18625000
Chr01 18645000 18650000
Chr01 18647500 18652500
Chr01 18682500 18687500
Chr01 18862500 18867500
Chr01 19287500 19292500
Chr01 19420000 19425000
Chr01 19422500 19427500
Chr01 19425000 19430000
Chr01 19432500 19437500
Chr01 19435000 19440000
Chr01 21400000 21405000
Chr01 21402500 21407500
Chr01 21405000 21410000
Chr01 21410000 21415000
Chr01 21415000 21420000
Chr01 21455000 21460000
Chr01 21770000 21775000
Chr01 21772500 21777500
Chr01 22275000 22280000
Chr01 24212500 24217500
Chr01 25232500 25237500
Chr01 26327500 26332500
Chr01 26330000 26335000
Chr01 26572500 26577500
Chr01 27010000 27015000
Chr01 27012500 27017500
Chr01 27015000 27020000
Chr01 27410000 27415000
Chr01 28635000 28640000
Chr01 28650000 28655000
Chr01 28652500 28657500
Chr01 28655000 28660000
Chr01 28670000 28675000
Chr01 28692500 28697500
Chr01 28802500 28807500
Chr01 28805000 28810000
Chr01 30870000 30875000
Chr01 31420000 31425000
Chr01 31422500 31427500
Chr01 31697500 31702500
Chr01 32062500 32067500
Chr01 32287500 32292500
Chr01 32882500 32887500
Chr01 33595000 33600000
Chr01 33795000 33800000
Chr01 33797500 33802500
Chr01 33927500 33932500
Chr01 34215000 34220000
Chr01 34217500 34222500
Chr01 34242500 34247500
Chr01 34705000 34710000
Chr01 34707500 34712500
Chr01 34710000 34715000
Chr01 34770000 34775000
Chr01 34772500 34777500
Chr01 35170000 35175000
Chr01 35377500 35382500
Chr01 35380000 35385000
Chr01 35382500 35387500
Chr01 35387500 35392500
Chr01 35390000 35395000
Chr01 35957500 35962500
Chr01 36390000 36395000
Chr01 36810000 36815000
Chr01 36825000 36830000
Chr01 36827500 36832500
Chr01 36830000 36835000
Chr01 36847500 36852500
Chr01 36885000 36890000
Chr01 36887500 36892500
Chr01 36912500 36917500
Chr01 36915000 36920000
Chr01 37750000 37755000
Chr01 38110000 38115000
Chr01 38112500 38117500
Chr01 38657500 38662500
Chr01 38705000 38710000
Chr01 40155000 40160000
Chr01 40157500 40162500
