chrom	start	end	nSites	recombRate	CI95LO	CI95HI
Chr05	0	329000	1091	1.7198335981806117e-08	7.407542383720461e-09	3.2199510506604106e-08
Chr05	329000	658000	315	2.4409335170764034e-08	1.1029366437801267e-08	3.69794462561167e-08
Chr05	658000	987000	528	1.9201738972424143e-08	8.014401560413309e-09	3.3378968229652556e-08
Chr05	987000	1316000	419	1.7955355578547407e-08	7.347135187541123e-09	3.362818776616613e-08
Chr05	1316000	1645000	723	4.832630426340951e-09	3.2245112963922903e-10	1.3089525815976538e-08
Chr05	1645000	1974000	264	1.4988750492281383e-08	6.20992304951335e-09	2.962335069063022e-08
Chr05	1974000	2303000	741	1.4585818964218464e-08	5.355516885995956e-09	2.8585638090416534e-08
Chr05	2303000	2632000	861	2.1233900083674383e-08	8.660046702959233e-09	3.5367782770125604e-08
Chr05	2632000	2961000	776	1.4999783775841756e-08	6.2209563330737225e-09	2.963438397419059e-08
Chr05	2961000	3290000	726	3.739911520279195e-08	2.375259777560148e-08	4.495156462420271e-08
Chr05	3290000	3619000	1046	2.1715773984959466e-08	9.639060000560331e-09	3.568170319805949e-08
Chr05	3619000	3948000	521	2.59399946057697e-08	1.3153866094248092e-08	3.792766182021114e-08
Chr05	3948000	4277000	515	1.9476803506539013e-08	8.289466094528179e-09	3.3654032763767427e-08
Chr05	4277000	4606000	452	2.7575292619967033e-08	1.3187894369418787e-08	3.890370211932302e-08
Chr05	4606000	4935000	884	5.041874316972541e-08	3.9377392713571897e-08	5.528514369671813e-08
Chr05	4935000	5264000	765	1.2368357450526577e-08	4.677192412344898e-09	2.656287212529675e-08
Chr05	5264000	5593000	818	2.4088100941145533e-08	9.708867115289158e-09	3.6013558007442977e-08
Chr05	5593000	5922000	743	3.853432655132188e-08	2.4224710037380742e-08	4.560143664844723e-08
Chr05	5922000	6251000	992	5.364890422506666e-08	4.260755376891315e-08	5.851530475205938e-08
Chr05	6251000	6580000	594	2.2393257702773796e-08	9.691313584042308e-09	3.564766238768859e-08
Chr05	6580000	6909000	590	2.747111888231206e-08	1.3083720631763815e-08	3.879952838166805e-08
Chr05	6909000	7238000	969	3.5500009573875754e-08	2.1760248511649902e-08	4.341052768109941e-08
Chr05	7238000	7567000	825	1.979689173012777e-08	8.78932105294827e-09	3.507866011418448e-08
Chr05	7567000	7896000	847	4.968903000374483e-08	3.864767954759132e-08	5.455543053073755e-08
Chr05	7896000	8225000	580	1.51208140367316e-08	6.341986593963567e-09	2.9755414235080436e-08
Chr05	8225000	8554000	198	1.949301950382038e-08	8.485448826640879e-09	3.477478788787709e-08
Chr05	8554000	8883000	886	2.983635239465491e-08	1.5305940321100366e-08	3.999071738795271e-08
Chr05	8883000	9212000	702	2.059260564725793e-08	9.356234813479778e-09	3.589179005549301e-08
Chr05	9212000	9541000	789	4.953411622286725e-08	3.8492765766713743e-08	5.440051674985997e-08
Chr05	9541000	9870000	1113	5.1903521712631797e-08	4.086217125647829e-08	5.6769922239624515e-08
Chr05	9870000	10199000	573	1.4396245627189123e-08	5.165943548966616e-09	2.8396064753387194e-08
Chr05	10528000	10857000	318	8.5589582352281e-09	2.3110028377299817e-09	2.0083281153405272e-08
Chr05	10857000	11186000	472	1.7307783796932085e-08	7.51699019884643e-09	3.2308958321730074e-08
Chr05	11186000	11515000	875	2.57074057537941e-08	1.2921277242272492e-08	3.7695072968235544e-08
Chr05	12173000	12502000	76	2.443879391309654e-09	0	8.920945918875617e-09
Chr05	12502000	12831000	1491	5.171624510339717e-08	4.067489464724367e-08	5.658264563038989e-08
Chr05	12831000	13160000	948	5.503874343660645e-08	4.3997392980452944e-08	5.990514396359917e-08
Chr05	13160000	13489000	562	4.9584545851624244e-08	3.854319539547073e-08	5.445094637861696e-08
Chr05	13489000	13818000	350	4.838136466534198e-09	3.2795716983247585e-10	1.3095031856169785e-08
Chr05	14147000	14476000	588	2.873280752946381e-08	1.433118878746451e-08	3.911643553133923e-08
Chr05	14476000	14805000	746	2.369440600412977e-08	1.1680900014124711e-08	3.714438748824467e-08
Chr05	14805000	15134000	532	2.7666262293119763e-08	1.3278864042571518e-08	3.899467179247575e-08
Chr05	15134000	15463000	549	1.1480030712509682e-09	0	6.538297371051724e-09
Chr05	15463000	15792000	558	2.7598427827051348e-08	1.3211029576503102e-08	3.8926837326407335e-08
Chr05	15792000	16121000	550	1.0602659078461906e-08	3.5962958999430234e-09	2.2861864595857244e-08
Chr05	16121000	16450000	831	2.433726939931606e-08	1.0957300666353292e-08	3.690738048466872e-08
Chr05	16450000	16779000	1588	1.7179413421308345e-08	7.388619823222689e-09	3.2180587946106334e-08
Chr05	16779000	17108000	101	8.77307636634132e-09	2.5251209688432033e-09	2.0297399284518497e-08
Chr05	18424000	18753000	573	3.07063950205634e-08	1.6060099288783953e-08	3.993244534428188e-08
Chr05	18753000	19082000	1774	5.253907412779065e-08	4.149772367163714e-08	5.740547465478337e-08
Chr05	19082000	19411000	1043	4.893486024888372e-08	3.789350979273021e-08	5.380126077587644e-08
Chr05	19411000	19740000	144	4.349716941241542e-09	1.6257142204490866e-10	1.2541794446483965e-08
Chr05	20069000	20398000	260	1.11624618966824e-08	3.3647399618610897e-09	2.3714950056693823e-08
Chr05	20398000	20727000	76	7.467091722615703e-09	2.0467730842440346e-09	1.767020758592106e-08
Chr05	20727000	21056000	721	2.176262494202894e-08	9.685910957629805e-09	3.572855415512896e-08
Chr05	21056000	21385000	645	1.4532699076759524e-08	5.302396998537016e-09	2.8532518202957594e-08
Chr05	21385000	21714000	638	5.0730667301313855e-08	3.968931684516034e-08	5.5597067828306574e-08
Chr05	21714000	22043000	633	5.220635392326036e-08	4.116500346710685e-08	5.707275445025308e-08
Chr05	22043000	22372000	317	2.079628527396075e-09	4.250513385745226e-13	7.3729369856168055e-09
Chr05	22372000	22701000	90	7.394164678244709e-09	1.973846039873041e-09	1.7597280541550063e-08
Chr05	23030000	23359000	251	1.5165076591001153e-08	5.686412515144085e-09	2.9831962430177455e-08
Chr05	23359000	23688000	941	3.9037951120156735e-08	2.3976845957128904e-08	4.5598890112251825e-08
Chr05	23688000	24017000	850	2.492004965906761e-08	1.1540080926104844e-08	3.749016074442028e-08
Chr05	24346000	24675000	548	2.335118470164328e-08	1.0406429145288843e-08	3.6583893763482214e-08
Chr05	24675000	25004000	1201	5.738922891025409e-08	4.634787845410058e-08	6.22556294372468e-08
Chr05	25004000	25333000	919	1.3782179281353132e-08	5.751435611290952e-09	2.912590947886769e-08
Chr05	27307000	27636000	652	1.0881090913530738e-08	3.807234923672081e-09	2.3159278358067308e-08
Chr05	27636000	27965000	990	3.215613832959715e-08	1.7630534987233623e-08	4.075479362849417e-08
Chr05	27965000	28294000	293	2.8664234768880876e-08	1.4262616026881577e-08	3.9047862770756296e-08
Chr05	28294000	28623000	195	8.89220767097844e-09	2.644252273480323e-09	2.0416530589155615e-08
Chr05	28623000	28952000	468	2.086520318183089e-08	8.29134980111574e-09	3.4999085868282104e-08
Chr05	29281000	29610000	594	1.694708332069934e-08	6.726762819679497e-09	3.169860581311707e-08
Chr05	29610000	29939000	755	4.7164465469791065e-08	3.574803611236625e-08	5.1954563299290086e-08
Chr05	29939000	30268000	650	1.188039867537833e-08	4.161017807523933e-09	2.5663675906050626e-08
Chr05	30268000	30597000	895	1.7207469172233992e-08	6.599248781227708e-09	3.288030135985272e-08
Chr05	30597000	30926000	1236	2.2138778945067352e-08	9.633378407745831e-09	3.6025992812814396e-08
Chr05	30926000	31255000	682	4.749252761627813e-09	2.390734649260911e-10	1.30061481512634e-08
Chr05	31255000	31584000	849	1.4145755192641048e-08	6.1150115225788684e-09	2.9489485390155607e-08
Chr05	31584000	31913000	348	4.4189795683420247e-08	3.148049869082343e-08	5.003764153542307e-08
Chr05	32242000	32571000	178	9.484182589795694e-09	2.9442290333120704e-09	2.1428085478740225e-08
Chr05	32571000	32900000	602	2.5679371765416473e-08	1.2893243253894863e-08	3.766703897985791e-08
Chr05	32900000	33229000	232	7.970540066362027e-09	2.2271137540407505e-09	1.8092821168560398e-08
Chr05	36519000	36848000	546	1.2480897960594734e-08	4.789732922413054e-09	2.6675412635364904e-08
