chr	pos
Chr01	596387
Chr01	596388
Chr02	159720
Chr02	187771
Chr02	411038
Chr02	453154
Chr02	796414
Chr02	796467
Chr02	798994
Chr02	801190
Chr02	801357
Chr05	284123
Chr05	288833
Chr05	288860
Chr05	288922
Chr05	289133
Chr05	292620
Chr05	302626
Chr05	303201
Chr05	323857
Chr05	331979
Chr05	497135
Chr05	497750
Chr06	252833
Chr06	442284
Chr08	407506
Chr08	444854
Chr09	573415
Chr09	575908
Chr09	577353
Chr10	400340
Chr10	406260
Chr10	543039
Chr10	571402
Chr10	601795
Chr11	124634
Chr11	164218
Chr11	252085
Chr11	628353
Chr11	628407
Chr11	629073
Chr11	629075
Chr11	629106
Chr11	740651
