chr_list	winsize	nsites	recomb
Chr01	154624.224409449	614.232283464567	2.00187378152265e-08
Chr02	179544.408163265	645.412244897959	2.18293320909391e-08
Chr03	120000	481.880813953488	1.67062511200721e-08
Chr04	177862.541237113	636.541237113402	1.83316768864847e-08
Chr05	169000	580.766536964981	9.52024149612277e-09
Chr06	76000	323.352530541012	1.1373254166361e-08
Chr07	113000	428.067278287462	1.1652616468312e-08
Chr08	168000	658.53412462908	2.44144157816189e-08
Chr09	127613.658914729	529.178294573643	1.5527912552186e-08
Chr10	153000	640.982378854625	2.35720598349682e-08
Chr11	164000	622.519823788546	2.61321310418183e-08
genome-wide	145694.984793141	560.133413369888	1.80980572049191e-08
