chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'Chr04'	365000	730000	279	1.9388714172554757e-08	1.064000603683516e-08	3.10367322781581e-08
b'Chr04'	730000	1095000	466	2.8185524665593225e-08	1.650009168878865e-08	3.802919374544968e-08
b'Chr04'	1095000	1460000	85	5.26882387926796e-09	1.8491894813958872e-09	1.0960991016906607e-08
b'Chr04'	1460000	1825000	558	1.1305144663824719e-08	5.768011289790777e-09	2.0959133516600513e-08
b'Chr04'	1825000	2190000	182	1.3303530422757263e-08	6.681860765720785e-09	2.347871538402693e-08
b'Chr04'	2190000	2555000	913	1.958355267999818e-08	1.0547157425706618e-08	3.192731700179647e-08
b'Chr04'	2555000	2920000	552	1.9231773339514354e-08	1.0483065203794757e-08	3.08797914451177e-08
b'Chr04'	2920000	3285000	1549	3.2436682224591804e-08	2.032562744331986e-08	4.098473826537204e-08
b'Chr04'	3285000	3650000	428	3.6325123020684715e-08	2.4438523449386708e-08	4.248314644520315e-08
b'Chr04'	4015000	4380000	760	1.3020464908880526e-08	6.76594969202803e-09	2.366364733315528e-08
b'Chr04'	4380000	4745000	187	9.716899774631591e-09	4.493865902561132e-09	1.7664547381330227e-08
b'Chr04'	4745000	5110000	660	1.8809993185069597e-08	1.0217959411722656e-08	3.083832778008522e-08
b'Chr04'	5110000	5475000	1629	3.7465512347830397e-08	2.4928715547141974e-08	4.269292080948033e-08
b'Chr04'	5475000	5840000	650	2.116560113896549e-08	1.1904370356700673e-08	3.3780763387118446e-08
b'Chr04'	5840000	6205000	796	4.482942718373534e-08	3.424236808766762e-08	4.86961289869255e-08
b'Chr04'	6205000	6570000	1318	4.5772711285525105e-08	3.633685874176521e-08	4.9524060827638864e-08
b'Chr04'	6570000	6935000	1197	4.915204802398235e-08	4.069574720884176e-08	5.21559993339035e-08
b'Chr04'	6935000	7300000	728	2.0629767997762942e-08	1.1614955545683474e-08	3.3060680830191416e-08
b'Chr04'	7300000	7665000	682	2.4147584661562618e-08	1.348619235923796e-08	3.628709290464347e-08
b'Chr04'	7665000	8030000	136	9.725867604233017e-09	4.502833732162558e-09	1.767351521093165e-08
b'Chr04'	8030000	8395000	57	5.7136818072709865e-09	2.2940474093989133e-09	1.1405848944909633e-08
b'Chr04'	8395000	8760000	1328	5.189282632169269e-08	4.34365255065521e-08	5.489677763161384e-08
b'Chr04'	8760000	9125000	231	9.909831039337202e-09	4.686797167266743e-09	1.7857478646035836e-08
b'Chr04'	9125000	9490000	657	5.126085290806004e-08	4.280455209291945e-08	5.426480421798119e-08
b'Chr04'	9490000	9855000	1113	2.461642338481039e-08	1.3867500521908312e-08	3.54649638507679e-08
b'Chr04'	9855000	10220000	998	2.112177932840605e-08	1.1860548546141233e-08	3.3736941576559006e-08
b'Chr04'	10220000	10585000	903	3.031579186745356e-08	1.8113592927294727e-08	3.9394985708641834e-08
b'Chr04'	10585000	10950000	539	1.5346192916521742e-08	8.262325357311766e-09	2.687541849075782e-08
b'Chr04'	11315000	11680000	277	1.4823343853544877e-08	7.999524832593573e-09	2.5985029118482532e-08
b'Chr04'	11680000	12045000	1433	4.996546357141132e-08	4.150916275627073e-08	5.296941488133247e-08
b'Chr04'	12045000	12410000	998	3.6399567828543144e-08	2.5516992543178406e-08	4.297662255161016e-08
b'Chr04'	12410000	12775000	487	4.540951307520968e-08	3.5814159141576144e-08	4.915995534306771e-08
b'Chr04'	12775000	13140000	556	2.378673877720548e-08	1.3040669609361438e-08	3.576391953549905e-08
b'Chr04'	13140000	13505000	871	5.262116532949579e-08	4.41648645143552e-08	5.562511663941694e-08
b'Chr04'	13505000	13870000	1324	5.050316201932854e-08	4.204686120418795e-08	5.350711332924969e-08
b'Chr04'	13870000	14235000	731	2.600039660527254e-08	1.5049486248972627e-08	3.75564712802291e-08
b'Chr04'	14235000	14600000	111	5.964164998864904e-09	2.2439795502791373e-09	1.1928270852493513e-08
b'Chr04'	14600000	14965000	721	4.736818430275566e-08	3.836810468784865e-08	5.0870507889457206e-08
b'Chr04'	14965000	15330000	201	1.619540297178741e-08	8.365864398753154e-09	2.817062378676223e-08
b'Chr04'	15330000	15695000	742	4.9875183350740505e-08	4.1418882535599914e-08	5.2879134660661654e-08
b'Chr04'	15695000	16060000	1008	4.635529419977353e-08	3.657752191904557e-08	5.006896827913771e-08
b'Chr04'	16060000	16425000	526	8.25004936893296e-09	3.4581803784382964e-09	1.6084172807787547e-08
b'Chr04'	16425000	16790000	674	2.1680738902358542e-08	1.2005368086715806e-08	3.430710019220549e-08
b'Chr04'	16790000	17155000	200	1.749050331695838e-08	9.317029796735141e-09	2.9793722560350884e-08
b'Chr04'	17155000	17520000	696	4.774883737345946e-08	3.860604080918294e-08	5.1003421087100526e-08
b'Chr04'	17520000	17885000	950	5.2874251757483577e-08	4.4417950942342985e-08	5.5878203067404726e-08
b'Chr04'	17885000	18250000	552	5.133597649632263e-08	4.287967568118204e-08	5.433992780624378e-08
b'Chr04'	18250000	18615000	607	3.6426349236853706e-08	2.5543773951488968e-08	4.3003403959920725e-08
b'Chr04'	18615000	18980000	1207	4.740044576878447e-08	3.840036615387746e-08	5.0902769355486015e-08
b'Chr04'	18980000	19345000	944	2.692137070263841e-08	1.4694964104379277e-08	3.784442409775608e-08
b'Chr04'	19345000	19710000	169	1.3188866319027614e-08	6.567196661991137e-09	2.336405128029728e-08
b'Chr04'	19710000	20075000	392	1.8359139147871843e-08	1.0016643409204987e-08	3.002563269687257e-08
b'Chr04'	20075000	20440000	1488	5.008664541705587e-08	4.163034460191528e-08	5.309059672697702e-08
b'Chr04'	20440000	20805000	679	5.014243281156261e-08	4.1686131996422016e-08	5.3146384121483756e-08
b'Chr04'	20805000	21170000	1458	4.047220337843826e-08	2.956524364305879e-08	4.523996245486772e-08
b'Chr04'	21170000	21535000	1160	3.9911538307109284e-08	2.850925900858684e-08	4.5044159390812555e-08
b'Chr04'	21535000	21900000	778	4.920237909864463e-08	4.0746078283504037e-08	5.220633040856578e-08
b'Chr04'	21900000	22265000	738	5.084822083927515e-08	4.239192002413456e-08	5.38521721491963e-08
b'Chr04'	22265000	22630000	500	2.0610313962419403e-08	1.1595501510339935e-08	3.304122679484787e-08
b'Chr04'	22630000	22995000	672	3.068599947937057e-08	1.788238793060882e-08	3.9267409017892285e-08
b'Chr04'	22995000	23360000	1201	5.0482633845196476e-08	4.2026333030055884e-08	5.3486585155117625e-08
b'Chr04'	23360000	23725000	1488	5.164891627748311e-08	4.319261546234252e-08	5.465286758740426e-08
b'Chr04'	23725000	24090000	727	3.398857141256757e-08	2.203303893744009e-08	4.103960734547103e-08
b'Chr04'	24090000	24455000	820	3.992620492198021e-08	2.8523925623457767e-08	4.505882600568348e-08
b'Chr04'	24455000	24820000	1673	4.143571032204064e-08	3.11228434504538e-08	4.611832630589375e-08
b'Chr04'	24820000	25185000	833	3.79379233041821e-08	2.6624181227657967e-08	4.350925390104731e-08
b'Chr04'	25185000	25550000	54	4.506377034385864e-09	1.140674739741585e-09	9.493333371158017e-09
b'Chr04'	25550000	25915000	910	4.3097208184874376e-08	3.209566060083023e-08	4.7530248430873487e-08
b'Chr04'	25915000	26280000	383	2.03051850014589e-08	1.1290372549379432e-08	3.273609783388737e-08
b'Chr04'	26645000	27010000	664	3.743351030285075e-08	2.489671350216233e-08	4.2660918764500685e-08
b'Chr04'	27010000	27375000	299	2.3097429786253264e-08	1.3023242257622945e-08	3.569339352495735e-08
b'Chr04'	27375000	27740000	773	5.345647736992397e-08	4.5000176554783376e-08	5.6460428679845116e-08
b'Chr04'	27740000	28105000	817	5.105801955886353e-08	4.260171874372294e-08	5.406197086878468e-08
b'Chr04'	28105000	28470000	708	2.40571993160222e-08	1.3395807013697543e-08	3.619670755910305e-08
b'Chr04'	28470000	28835000	877	4.903921173653373e-08	4.058291092139314e-08	5.204316304645488e-08
b'Chr04'	28835000	29200000	1089	5.2901955551746715e-08	4.4445654736606124e-08	5.5905906861667864e-08
b'Chr04'	29200000	29565000	998	5.150218569740213e-08	4.304588488226154e-08	5.450613700732328e-08
b'Chr04'	29565000	29930000	858	3.5515649287869536e-08	2.3998974740517923e-08	4.257193444405126e-08
b'Chr04'	29930000	30295000	954	4.967932384974794e-08	4.1223023034607346e-08	5.2683275159669086e-08
b'Chr04'	30295000	30660000	1752	5.035677224729254e-08	4.190047143215195e-08	5.336072355721369e-08
b'Chr04'	30660000	31025000	862	4.576498291204746e-08	3.6329130368287565e-08	4.951633245416122e-08
b'Chr04'	31025000	31390000	931	4.99212873883076e-08	4.146498657316701e-08	5.292523869822875e-08
b'Chr04'	31390000	31755000	646	2.020969304582166e-08	1.119488059374219e-08	3.2640605878250126e-08
b'Chr04'	31755000	32120000	552	4.0430772310880904e-08	2.952381257550143e-08	4.519853138731036e-08
b'Chr04'	32120000	32485000	713	4.306997236583718e-08	3.2068424781793036e-08	4.750301261183629e-08
b'Chr04'	32485000	32850000	693	5.019817612144662e-08	4.174187530630603e-08	5.320212743136777e-08
b'Chr04'	32850000	33215000	895	3.004489779522509e-08	1.7842698855066253e-08	3.912409163641336e-08
b'Chr04'	33215000	33580000	540	5.1531912297623766e-08	4.3075611482483175e-08	5.4535863607544915e-08
b'Chr04'	33580000	33945000	708	5.0973160051226515e-08	4.2516859236085924e-08	5.3977111361147664e-08
b'Chr04'	33945000	34310000	1031	5.0058373609384434e-08	4.160207279424384e-08	5.306232491930558e-08
b'Chr04'	34310000	34675000	1057	5.077197478869527e-08	4.231567397355468e-08	5.377592609861642e-08
b'Chr04'	34675000	35040000	535	2.097547897330685e-08	1.1877045411191035e-08	3.240451064991987e-08
b'Chr04'	35770000	36135000	195	1.4913595249654683e-08	8.089776228703379e-09	2.6075280514592338e-08
b'Chr04'	36135000	36500000	866	4.982700055365528e-08	4.1370699738514686e-08	5.2830951863576426e-08
b'Chr04'	36500000	36865000	1128	5.1113140597342035e-08	4.2656839782201444e-08	5.4117091907263184e-08
b'Chr04'	36865000	37230000	817	4.973046879436837e-08	4.127416797922778e-08	5.273442010428952e-08
