chr_list	winsize	nsites	recomb
Chr01	301492.879699248	729.293233082707	1.71677235860969e-08
Chr02	276153.818181818	582.072727272727	1.96548842202815e-08
Chr03	212000	472.607476635514	1.64151590616272e-08
Chr04	364093.33	764.36	1.51302051027291e-08
Chr05	329000	610.258503401361	2.22235304200501e-08
Chr06	152892.558139535	384.372093023256	1.65727921062829e-08
Chr07	268452.743589744	548.429487179487	2.27139799851551e-08
Chr08	378000	844.024844720497	1.66899102506356e-08
Chr09	273530.11023622	670.811023622047	1.59760575755973e-08
Chr10	304000	762.042372881356	2.19845540054108e-08
Chr11	288000	645.62962962963	2.0142335143948e-08
genome-wide	286146.85816787	637.627399222598	1.8606466496165e-08
