Chr Start End
Chr02 8340000 8344999
Chr02 14115000 14119999
Chr03 17195000 17199999
Chr03 29230000 29234999
Chr03 30380000 30384999
Chr03 57880000 57884999
Chr03 61200000 61204999
Chr03 61545000 61549999
Chr05 59150000 59154999
Chr06 4010000 4014999
Chr06 16120000 16124999
Chr06 17415000 17419999
Chr06 23855000 23859999
Chr06 23955000 23959999
Chr06 23975000 23979999
Chr06 24765000 24769999
Chr06 46335000 46339999
Chr08 6195000 6199999
Chr08 17045000 17049999
Chr08 67870000 67874999
Chr09 33970000 33974999
Chr09 36560000 36564999
