chrom	start	end	nSites	recombRate	CI95LO	CI95HI
Chr11	0	288000	252	2.349479499268014e-09	0	6.343346469743337e-09
Chr11	288000	576000	500	3.330307190768257e-08	2.1081719222267212e-08	4.167995509479373e-08
Chr11	576000	864000	639	2.582209427520399e-08	1.3925981691306101e-08	3.7806587139973425e-08
Chr11	864000	1152000	1315	2.281754275820389e-09	0	6.275621246295712e-09
Chr11	1152000	1440000	829	3.13975495003974e-08	1.856350522862736e-08	4.055244696273528e-08
Chr11	1440000	1728000	617	1.5565309830550824e-08	7.92195539229268e-09	2.847885304308462e-08
Chr11	1728000	2016000	342	1.577561643303442e-08	8.132261994776275e-09	2.8689159645568216e-08
Chr11	2016000	2304000	788	1.1353557539291681e-08	5.023355976359834e-09	2.0656886668587114e-08
Chr11	2304000	2592000	165	1.4548110961287896e-08	7.467097097135954e-09	2.6440654711068665e-08
Chr11	2592000	2880000	746	2.9638256130407777e-09	7.351091435161089e-11	7.044967792797856e-09
Chr11	2880000	3168000	928	1.590012572644678e-08	8.256771288188636e-09	2.8813668938980576e-08
Chr11	3168000	3456000	1193	9.599836099268325e-09	4.187949071861633e-09	1.775965740679789e-08
Chr11	3456000	3744000	57	3.1992530835953953e-09	3.0893838490622844e-10	7.2803952633524735e-09
Chr11	4032000	4320000	396	1.6499620177081853e-08	7.988553614448736e-09	2.8723507412844584e-08
Chr11	4320000	4608000	170	1.5705751083040525e-08	8.06239664478238e-09	2.861929429557432e-08
Chr11	4608000	4896000	865	1.5681693926462227e-08	8.038339488204083e-09	2.8595237138996024e-08
Chr11	4896000	5184000	655	1.8383736441105453e-08	9.510838335966537e-09	3.159438643725919e-08
Chr11	6912000	7200000	47	1.624261400433922e-09	0	4.6872053433558696e-09
Chr11	8064000	8352000	755	6.7265419780873925e-09	2.1557093323757172e-09	1.358872237977734e-08
Chr11	8352000	8640000	463	6.685089412225204e-09	2.1142567665135284e-09	1.3547269813915152e-08
