chr_list	winsize	nsites	recomb
Chr01	301492.879699248	729.293233082707	2.90300197268322e-08
Chr02	276153.818181818	582.072727272727	2.85473804323336e-08
Chr03	212000	472.607476635514	1.75645443513035e-08
Chr04	364093.33	764.36	3.41178069540112e-08
Chr05	329000	610.258503401361	8.90595173606569e-09
Chr06	152892.558139535	384.372093023256	2.29304097930831e-08
Chr07	268452.743589744	548.429487179487	1.89369320019293e-08
Chr08	378000	844.024844720497	2.80219937717661e-08
Chr09	273530.11023622	670.811023622047	2.22890895825392e-08
Chr10	304000	762.042372881356	2.3799229694986e-08
Chr11	288000	645.62962962963	1.96701084451862e-08
genome-wide	286146.85816787	637.627399222598	2.30739514990942e-08
