chrom	start	end	nSites	recombRate	CI95LO	CI95HI
Chr02	0	277000	380	2.3724602116632335e-08	1.1873464933915537e-08	3.5885011596010465e-08
Chr02	277000	554000	527	1.2581624830707733e-08	4.2076249816093645e-09	2.604381263966242e-08
Chr02	554000	831000	388	3.1567090140728174e-08	1.7706886666902624e-08	4.004514963961242e-08
Chr02	831000	1108000	611	2.467240815771416e-08	1.2425509595773548e-08	3.661558118604231e-08
Chr02	1108000	1385000	756	8.787646561874922e-09	2.7287986940124394e-09	1.9102815414289935e-08
Chr02	1385000	1662000	535	1.6754477747077096e-08	7.474659100231413e-09	3.114114924563341e-08
Chr02	1662000	1939000	695	2.715364639944049e-08	1.318535676337227e-08	3.7574345281015195e-08
Chr02	1939000	2216000	94	2.37276606436599e-09	0	7.477758404331963e-09
Chr02	2216000	2493000	634	1.6755476925780109e-09	0	6.449526193982495e-09
Chr02	2493000	2770000	582	1.4704456316405614e-08	6.711998554120871e-09	2.9524826225479925e-08
Chr02	2770000	3047000	220	1.892491876517198e-08	8.690842845126098e-09	3.361263567455041e-08
Chr02	3047000	3324000	754	4.942648796729433e-08	3.891971642560922e-08	5.339822726030153e-08
Chr02	3324000	3601000	708	5.059473164657586e-08	4.0087960104890745e-08	5.456647093958306e-08
Chr02	3601000	3878000	363	4.729758930944755e-11	0	4.258437959057009e-09
Chr02	3878000	4155000	758	3.156772901511997e-08	1.7707525541294423e-08	4.004578851400422e-08
Chr02	4155000	4432000	392	2.9287749345817516e-08	1.612220438048523e-08	3.834381129060743e-08
Chr02	4432000	4709000	278	1.44700131393958e-08	6.477555377111056e-09	2.929038304847011e-08
Chr02	4709000	4986000	522	1.2109689625366504e-08	5.0198354105408396e-09	2.4223037816544873e-08
Chr02	5263000	5540000	485	4.190275589111377e-08	2.9376604663737114e-08	4.7730797495985486e-08
Chr02	5540000	5817000	244	1.8808643414037148e-08	8.574567493991266e-09	3.349636032341557e-08
Chr02	5817000	6094000	663	5.293613342353732e-08	4.242936188185221e-08	5.6907872716544525e-08
Chr02	6094000	6371000	603	4.639525762871041e-08	3.540161847413312e-08	5.131341604256842e-08
Chr02	6371000	6648000	491	1.4876447959369511e-08	5.795484955587039e-09	2.8005246896259512e-08
Chr02	6925000	7202000	80	4.378296469137854e-09	3.204710157082675e-10	1.1139021560008628e-08
Chr02	7202000	7479000	1116	2.300148455436715e-08	1.090112379653976e-08	3.5472274821483326e-08
Chr02	7479000	7756000	667	3.2072984415954124e-08	1.9031041334905012e-08	4.048274805698043e-08
Chr02	7756000	8033000	730	1.0166819416381916e-08	3.744872975089013e-09	2.1249713485529555e-08
Chr02	8033000	8310000	975	1.2605314814379447e-08	4.62149156741966e-09	2.541602730519778e-08
Chr02	8310000	8587000	159	2.7081162964631486e-08	1.3112873328563265e-08	3.750186184620619e-08
Chr02	8587000	8864000	239	3.554956920821524e-08	2.2639904759658116e-08	4.2990823931732216e-08
Chr02	9141000	9418000	536	2.2486961718940693e-08	1.013509097050134e-08	3.477887889194251e-08
Chr02	9418000	9695000	325	1.2078690660348238e-08	4.988836445522574e-09	2.4192038851526607e-08
Chr02	9695000	9972000	694	9.365195900098272e-09	3.2761992154593576e-09	2.0531070169734596e-08
Chr02	9972000	10249000	425	2.2911496893267862e-08	1.0811136135440473e-08	3.5382287160384035e-08
Chr02	10249000	10526000	521	1.750447032762084e-08	7.441886139501168e-09	3.1158885526137123e-08
